ROBERT 1986	ROBERT 1986
Imprimé à Roüen, & ſe vend	Imprimé à Ren, et se vend
alicl I1 A PARIS, G 3 I IN COVRBE, au Palais, en la Gallerie des Merciers, à la raime.	alicl I1 À PARIS, G 3 I IN COURBE, au Palais, en la Gallerie des Merciers, à la raime.
M.	M.
DC.	DC.
XLVII.	XLVII.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
défiance que i’aye de mon trauail, ie dois auoir encore plus de confiance en voſtre bonté.	défiance que j'aie de mon travail, Elle dois avoir encore plus de confiance en votre bonté.
C’eſt d’elle que ie tiens tout ce que ieſuis;	C'est d'elle que votre tiens tout ce que iesuis;
& ce n’eſt pas ſans rougir que pour toute reconnoiſſance ie vous fais vn preſent ſi pen digne de vous, & ſi peu proportionné à ce que ie vous dois.	et ce n'est pas sans rougir que pour toute reconnaissance ici vous fais un présent si pen digne de vous, et si peu proportionné à ce que je vous dois.
Mais dans cette confuſion qui m’eſt commune auec tous ceux qui eſcriuent, i’ay cét aduantage, qu’on ne peut ſans quelque in juſtice condamner mon choix, & que ce genereux Romain, que ie mets aux pieds de V.	Mais dans cette confusion qui m'est commune avec tous ceux qui écrivent, j'ai cet avantage, qu'on ne peut sans quelque in justice condamner mon choix, et que ce généreux Romain, que je mets aux pieds de V.
E.	E.
euſt pû paroiſtre deuant elle auec moins de honte, ſi les forces de l’Artiſan euſſent reſpondu à la dignité de la matiere.	Est pu paraître devant elle avec moins de honte, si les forces de l'Artisan eussent répondu à la dignité de la matière.
I’en ay pour garand l’Autheur dont ie l’ay tirée, qui commence à décrire cette fameuſe Hiſtoire par ce glorieux Eloge, qu’il n’y a preſque aucune choſe plus noble dans toute l’Antiquité.	J'en ai pour garant l'Auteur dont Elle l'ai tirée, qui commence à décrire cette fameuse Histoire par ce glorieux Éloge, qu'il n'y a presque aucune chose plus noble dans toute l'Antiquité.
Ie voudrois que ce qu’il a dit de l’action, ſe pûſt dire de la peinture que i’en ay faite, non pour en tirer plus de vanité, mais ſeulement pour vous offrir quelque choſe vn peu moins indigne de vous eſtre offert.	Je voudrais que ce qu'il a dit de l'action, se pût dire de la peinture que j'en ai faite, non pour en tirer plus de vanité, mais seulement pour vous offrir quelque chose un peu moins indigne de vous être offert.
Le ſuiet eſtoit capable de plus de graces s’il euſt eſté traité d’vne main *2 plus ſçauante, mais du moins il a reçeu de la mienne toutes celles qu’elle eſtoit capable de luy donner, & qu’on pouuoit raiſonnablement attendre d’vne Muſe de Prouince, qui n’eſtant pas aſſez heureuſe pour iouyr ſouuent des regards de V.	Le sujet était capable de plus de grâces s'il eût été traité d'une main *2 plus savante, mais du moins il a reçu de la mienne toutes celles qu'elle était capable de lui donner, et qu'on pouvait raisonnablement attendre d'une Muse de Province, qui n'étant pas assez heureuse pour jouir souvent des regards de V.
E.	E.
n’a pas les meſmes lumieres à ſe conduire qu’ont celles qui en ſont continuellement eſclairées.	n'a pas les mêmes lumières à se conduire qu'ont celles qui en sont continuellement éclairées.
Et certes, MONSEIGNEVR, ce changement viſible qu’on remarque en mes Ouurages, depuis que i’ay l'honneur d’eſtre à V.	Et certes, MONSEIGNEUR, ce changement visible qu'on remarque en mes Ouvrages, depuis que j'ai l'honneur d'être à V.
E.	E.
qu’eſt-ce autre choſe qu’vn effet des grãdes Idées qu’elle m’inſpire quand elle daigne ſouffrir que ie luy rende mes deuoirs, & à quoy peut-on attribuer ce qui s’y meſle de mauuais qu’aux teintures großieres que ie reprends, quand ie demeure abandonné à ma propre foibleſſe?	qu'est-ce autre chose qu'un effet des grandes Idées qu'elle m'inspire quand elle daigne souffrir que sans beau rende mes devoirs, et à quoi peut-on attribuer ce qui s'y mêle de mauvais qu'aux teintures grossieres que sans reprends, quand tu demeure abandonné à ma propre faiblesse?
Il faut, MONSEIGNEVR, que tous ceux qui donnent leurs veilles au Theatre, publient hautement auec moy que nous vous auons deux obligations tres-ſignalées;	Il faut, MONSEIGNEUR, que tous ceux qui donnent leurs veilles au Théâtre, publient hautement avec moi que nous vous avons deux obligations très-signalées;
