68 Qis Aſ	68 Qis As
A PARIS, l Chez TOVSSAINCT QNINET, au Palais, ſoubs la montés de la Cour des Aydes.	À PARIS, l Chez TOUSAINCT QNET, au Palais, sous la montés de la Cour des Aydes.
AVEC ––- M.	AVEC >- M.
DC.	DC.
XLIII.	XLIII.
PR IVILEGE DV RRLA M Ca ROY.	PR IVILÉGE DU RRLA MA Ma ROY.
	
A MONSIEVR DE MONTORON ONSIEVR, Ie vous preſente vn tableau d’vne des plus belles actions d’Auguſte.	À MONSIEUR DE MONTORON ONSIEUR, Je vous présente un tableau d'une des plus belles actions d'Auguste.
Ce Monarque eſtoit tout genereux, & ſa generoſité n'a iamais paru auec tãt d’eſclat que dans les effects de ſa clemence & de ſa liberalité.	Ce Monarque était tout généreux, et sa générosité n'a jamais paru avec tenez d'éclat que dans les effets de sa clémence et de sa libéralité.
Ces deux rares vertus luy eſtoient ſi naturelles * ſi inſe parables en luy, qu’il ſemble ------ .	Ces deux rares vertus avoir étaient si naturelles * si inse parables en peine, qu'il semble -- .
.	.
A qu’en cette Hiſtoire que i’ay miſe ſur noſtre Theatre, elles ſe ſoiẽt tour à tour entre-produites dans ſon ame.	À qu'en cette Histoire que j'ai mise sur notre Théâtre, elles se soient tour à tour entreproduites dans son âme.
Il auoit eſté ſi liberal enuers Cinna, que ſa coniuration ayant fait voir vne ingratitude extraordinaire, il eut beſoin d’vnextraordinaire effort de clemence pour luy pardonner, & Ie pardon qu’il luy dõna fut la ſource des nouueaux bienfaits dont il luy fut prodigue, pour vaincre tout à fait cet eſprit qui n'auoit peu eſtre gaigné par les premiers;	Il avait été si libéral envers Cina, que sa conjuration ayant fait voir une ingratitude extraordinaire, il eut besoin d'unextraordinaire effort de clémence pour lui pardonner, et Je pardon qu'il lui donna fut la source des nouveaux bienfaits dont il lui fut prodigue, pour vaincre tout à fait cet esprit qui n'avait peu être gagné par les premiers;
deſorte qu'il eſt vray de dire, qu’il euſt eſté moins clement enuers luy s’il euſt eſté moins liberal, & qu’il euſt eſté moins liberal s’il euſt eſté moins clement.	désorte qu'il est vrai de dire, qu'il eût été moins clément envers lui s'il eût été moins libéral, et qu'il eût été moins libéral s'il eût été moins clément.
Cela eſtant, à qui pourrois-je plus iuſtement donner le portraict de l’vne de ces Heroiques vertus qu'à celuy qui poſſede l’autre en vn ſi haut degré, .	Cela étant, à qui pourrais-je plus justement donner le portrait de l'une de ces Héroïques vertus qu'à celui qui possède l'autre en un si haut degré, .
v - v-vua puiſque dans cette action ce grand Prince les a ſi bien attachées, & cõme vnies l’vne à l’autre, qu’elles ont eſté tout enſemble & la cauſe & l’effect l’vne de l’autre?	 - vite-là puisque dans cette action ce grand Prince les a si bien attachées, et con vnies l'une à l'autre, qu'elles ont été tout ensemble et la cause et l'effet l'une de l'autre?
Vous aue des richeſſes, mais vous ſçauez en iouyr, & vous en iouyſſez d’vne façon ſi noble, ſi releuée, & tellement illuſtre, que vous forcez la voix publique d’aduouër que la fortune a conſulté la raiſon quand elle a reſpandu ſes faueurs ſur vous, & qu’on a plus de ſuiet de vous en ſouhaiter le redoublemeut, que de vous en enuier l’abondance.	Vous avez des richesses, mais vous savez en jouir, et vous en jouissez d'une façon si noble, si relevée, et tellement illustre, que vous forcez la voix publique d'avouer que la fortune a consulté la raison quand elle a répandu ses faveurs sur vous, et qu'on a plus de sujet de vous en souhaiter le redoublemut, que de vous en envier l'abondance.
