A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
EPASIRE.	EPASIRE.
vne ingratitude extraordinaire, il eut beſoin d’vn extraordinaire effort de clemence pour luy pardonner, & le pardon qu’il luy donna fut la ſource des nouueaux bien-faits dont il luy fut prodigue, pour vaincre tout à fait cet eſprit qui n’auoit peu eſtre gaigné par les premiers;	une ingratitude extraordinaire, il eut besoin d'un extraordinaire effort de clémence pour venir pardonner, et le pardon qu'il lui donna fut la source des nouveaux bienfaits dont il lui fut prodigue, pour vaincre tout à fait cet esprit qui n'avait pu être gagné par les premiers;
de ſorte qu’il eſt vray de dire, qu’il euſt eſté moins clement enuers luy s’il euſt eſté moins liberal, & qu’il euſt eſté moins liberal s’il euſt eſté moins clement.	de sorte qu'il est vrai de dire, qu'il eût été moins clément envers homme s'il eût été moins libéral, et qu'il eût été moins libéral s'il eût été moins clément.
Cela eſtant, à qui pourrois-ie plus iuſtement donner le portraict de l’vne de ces Heroïques vertus qu’à celuy qui poſſede l’autre en vn ſi haut degré, puiſque dans cette action ce grand Prince les a ſi bien attachées, & comme vnies l’vne à l’autre, qu’elles ont eſté tout enſemble & la cauſe & l’effect l’vne de l’autre?	Cela étant, à qui pourrais-je plus justement donner le portrait de l'une de ces Héroïques vertus qu'à celui qui possède l'autre en un si haut degré, puisque dans cette action ce grand Prince les a si bien attachées, et comme unies l'une à l'autre, qu'elles ont été tout ensemble et la cause et l’ défect l'une de l'autre?
Vous auez des richeſſes, mais vous ſçauez en iouyr, & vous en iouyſſez d’vne façon ſi noble, & releuée, & tellement illuſtre, que vous forcez la voix publique d’aduoüer que la fortune a conſulté la raiſon quand elle a reſpandu ſes faueurs ſur vous, & qu’on a plus de ſubiet de vous en ſouhaiter le redoublement, que de vous en enuier l’abondance.	Vous avez des richesses, mais vous savez en jouir, et vous en jouissez d'une façon si noble, et relevée, et tellement illustre, que vous forcez la voix publique d'avouer que la fortune a consulté la raison quand elle a répandu ses faveurs sur vous, et qu'on a plus de sujet de vous en souhaiter le redoublement, que de vous en envier l'abondance.
I’ay veſcu ſi eſloigné de la flaterie EMDSIRE.	J'ai vécu si éloigné de la flatterie EMDSIRE.
que ie penſe eſtre en poſſeſſion de me faire croire quand ie dis du bien de quelqu’vn, & lors que ie donne des loüanges, ce qui m’arriue aſſez rarement, c’eſt auec tant de retenuë, que ie ſupprime tousjours quantité de glorieuſes veritez pour ne me rendre pas ſuſpect d’eſtaler de ces menſonges obligeans, que beaucoup de nos modernes ſçauent debiter de ſi bonne grace.	que ici pense être en possession de me faire croire quand Elle dis du bien de quelqu'être, et lors que sans donne des louanges, ce qui m'arrive assez rarement, c'est avec tant de retenue, que je supprime toujours quantité de glorieuses vérités pour ne me rendre pas suspect d'étaler de ces mensonges obligeants, que beaucoup de nos modernes sauvent débiter de si bonne grâce.
Auſſi ie ne diray rien des auantages de voſtre naiſſance, ny de voſtre courage, qu’il a ſi dignement ſouſtenu dans la profeſſion des Armes à qui vous auez donné vos premieres années, ce ſont des choſes trop cognües de tout le monde:	Aussi ici ne dirai rien des avantages de votre naissance, ni de votre courage, qu'il a si dignement soutenu dans la profession des Armes à qui vous avez donné vos premières années, ce sont des choses trop connue de tout le monde:
Ie ne diray rien de ce prompt & puiſſant ſecours que reçoiuent chaſque iour de voſtre main tant de bonnes familles ruinées par les deſordres de nos guerres, ce ſont des choſes que vous voulez tenir cachées:	Je ne dirai rien de ce prompt et puissant secours que reçoivent chasque jour de votre main tant de bonnes familles ruinées par les désordres de nos guerres, ce sont des choses que vous voulez tenir cachées:
Ie diray ſeulement vn mot de ce que vous auez particulierement de commun auec Auguſte.	Je dirai seulement un mot de ce que vous avez particulièrement de commun avec Auguste.
