A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
MONSEIGNEVR, E n’aurois iamai eu la temerité de preſenter à Voſtre Eminence ce mauuais portrait d’Horace, ſi ie n’euſſe cõſideré qu’apres tant de bien faits, que i’ay reçeus d’elle, le ſilence, où mon reſpect m’a retenu iuſqu’à preſent, paſſeroit pour ingratitude, & que quelque juſte defiance que i’aye de mon trauail, ie dois auvir encore plus de confiance en voſtre bonté.	MONSEIGNEUR, E n'aurais jamai eu la témérité de présenter à Votre Eminence ce mauvais portrait d'Horace, si je n'eusse cõsideré qu'après tant de bien faits, que j'ai reçus d'elle, le silence, où mon respect m'a retenu jusqu'à présent, passerait pour ingratitude, et que quelque juste défiance que j'aie de mon trauail, je dois auvir encore plus de confiance en votre bonté.
C’eſt d’elle que ie tiens tous ce que ie ſuis;	C'est d'elle que votre tiens tous ce que je suis;
& ce n’eſt pas ſans rougir que pour toute reconnoiſſance ie vous fais vn preſent ſi peu digne de Vous, & ſi peu proportionné à ce que ie vous dois.	et ce n'est pas sans rougir que pour toute reconnaissance ici vous fais un présent si peu digne de Vous, et si peu proportionné à ce que je vous dois.
Mais dans cette confuſion, qui m’eſt commune auec tous ceux qui eſcriuent, i’ay cet aduantage, qu’on ne peut ſans quelque iniuſtice condamner mon choix, & que ce genereux Romain que ie mets aux pies de V.	Mais dans cette confusion, qui m'est commune avec tous ceux qui écrivent, j'ai cet avantage, qu'on ne peut sans quelque injustice condamner mon choix, et que ce généreux Romain que je mets aux pies de V.
E.	E.
euſt pù paroiſtre deuant elle auec moins de honte, ſi les forces de l’Artiſan euſfent reſpondu à la dignité de la matiere, I’en ay pour garand l’Autheur dont ie l’ay tiree, qui commence à décrire cette fameuſe Hiſtoire par ce glorieux Eloge, qu’il n’y a preſque aucune choſe plus noble dans toute l’Antiquité.	Est pitié paraître devant elle avec moins de honte, si les forces de l'Artisan eussent répondu à la dignité de la matière, J'en ai pour garand l'Auteur dont quelque l'ai tirée, qui commence à décrire cette fameuse Histoire par ce glorieux Éloge, qu'il n'y a presque aucune chose plus noble dans toute l'Antiquité.
Ie voudrois que ce qu’il a dit de l’action ſe peuſt dire de la peinture que i’en ay faite, non pour en tirer plus de vanité, mais ſeulement pour vous offrir quelque choſe vn peu moins indigne de vous eſtre offert.	Je voudrais que ce qu'il a dit de l'action se pût dire de la peinture que j'en ai faite, non pour en tirer plus de vanité, mais seulement pour vous offrir quelque chose un peu moins indigne de vous être offert.
Le ſuiet eſtoit capable de plus de graces s’il euſt eſté traité d’vne main plus ſçavante, mais du moins il à receu de la mienne toutes celles qu’elle eſtoit capable de luy donner, & qu’on pouuoit raiſonnablement attendre d’vne Muſe de Province, qui n’eſtant pas aſſez heureuſe pour iouir ſouuent des regards de V.	Le sujet était capable de plus de grâces s'il eût été traité d'une main plus savante, mais du moins il à reçu de la mienne toutes celles qu'elle était capable de lui donner, et qu'on pouvait raisonnablement attendre d'une Muse de Province, qui n'étant pas assez heureuse pour jouir souvent des regards de V.
E.	E.
n’a pas les meſmes lumieres à ſe conduire qu’ont celles qui en ſont continuellement eſclairées.	n'a pas les mêmes lumières à se conduire qu'ont celles qui en sont continuellement éclairées.
