Suivant la Copie imprimée	Suivant la Copie imprimée
ACTEURS.	ACTEURS.
TULLE, Roy de Rome.	TULLE, Roi de Rome.
Le vieil HORACE, Chevalier Romain.	Le vieil HORACE, Chevalier Romain.
HORACE, ſon fils.	HORACE, son fils.
SABINE, femme d’Horace, & ſœur de Curiace.	SABINE, femme d'Horace, et sœur de Curiace.
CAMILLE, Amant ue cunace, & ſœur d’Horace.	CAMILLE, Amant ue cunace, et sœur d'Horace.
JULIE, Dame Romaine, Confidente de Sabine & de Camille.	JULIE, Dame Romaine, Confidente de Sabine et de Camille.
FLAVIAN, ſoldat de l'armée d'Albe.	FLAVIAN, soldat de l'armée d'Albe.
PROCULE, ſoldat de l’armée de Rome.	PROCULE, soldat de l'armée de Rome.
La Scene eſt à Rome dans une ſalle de la I maiſon d'Horace.	La Scène est à Rome dans une salle de la I maison d'Horace.
H RACE TRAGEDIE.	H RACE -TRAGÉDIE.
ACTE I.	ACTE I.
dOn nMMmN E.	dOn nUMmN E.
SABINE, JULIE.	SABINE, JULIE.
A LR SABINE.	À LR SABINE.
Pprouvez ma foibleſſe, & ſouffrez ma douleur, Elle n’eſt que trop juſte en un ſi grand malheur;	Prouvez ma faiblesse, et souffrez ma douleur, Elle n'est que trop juste en un si grand malheur;
orages, Si prés de voir ſur ſoy fondre de tels L’ébranlement ſied bien aux plus fermes courages, Et l’eſprit le plus mâle & le moins abatu Ne ſçauroit ſans deſordre exercer ſa vertu.	orages, Si près de voir sur soi fondre de tels L'ébranlement sied bien aux plus fermes courages, Et l'esprit le plus mâle et le moins abattu Ne saurait sans désordre exercer sa vertu.
Quoy que le mien s’étonne à ces rudes alarmes, Le trouble de mõ cœur ne peut riẽ ſur mes larmes, Et parmy les ſoûpirs qu’il pouſſe vers les Cieux, Ma conſtance du moins regne encor ſur mes yeux.	Quoi que le mien s'étonne à ces rudes alarmes, Le trouble de mon cœur ne peut rien sur mes larmes, Et parmi les soupirs qu'il pousse vers les Cieux, Ma constance du moins règne encor sur mes yeux.
Quand on arreſte là les déplaiſirs d’une ame, Si l’on fait moins qu’un homme, on fait plus qu’une femme:	Quand on arrête là les déplaisirs d'une âme, Si l'on fait moins qu'un homme, on fait plus qu'une femme:
Commander à ſes pleurs en cette extremité, C’eſt montrer pour le ſexe aſſez de fermeté.	Commander à ses pleurs en cette extrémité, C'est montrer pour le sexe assez de fermeté.
2.	2.
Part.	Part.
D 3 3 U	D 3 3 V
JULIE.	JULIE.
C’en eſt peut-eſtre aſſez pour une ame commune Qui du moindre peril ſe fait une infortune;	C'en est peut-être assez pour une âme commune Qui du moindre péril se fait une infortune;
Mais de cet te foibleſſe un grand cœur eſt honteux, Il oſe eſperer tout dans un ſuccez douteux, Les deux cãps ſont rãgez au pied de nos murailles, Mais Rome ignore encor comme on perd des batailles;	Mais de cet te faiblesse un grand cœur est honteux, Il ose espérer tout dans un succès douteux, Les deux cãps sont ramgez au pied de nos murailles, Mais Rome ignore encor comme on perd des batailles;
Loin de trembler pour elle, il luy faut applaudir.	Loin de trembler pour elle, il lui faut applaudir.
Puis qu’elle va combatre, elle va s’agrandir.	Puis qu'elle va combattre, elle va s'agrandir.
Banniſſez, banniſſez une frayeur ſi vaine, Et concevez des vœux dignes d’une Romaine.	Bannissez, bannissez une frayeur si vaine, Et concevez des vœux dignes d'une Romaine.
SABINE.	SABINE.
Je ſuis Romaine, helas!	Je suis Romaine, hélas!
puis qu’Horace eſt Romain, j’en ay receu le nom en recevant ſa main, Mais ce nœud me tiendroit en eſclave enchaiſnée, S’il m’empeſchoit de voir en quels lieux je ſuis née.	puis qu'Horace est Romain, j'en ai reçu le nom en recevant sa main, Mais ce nœud me tiendrait en esclave enchaînée, S'il m'empêchait de voir en quels lieux je suis née.
Albe où j’ay commencé de reſpirer le jour, Albe mon cher païs, & mon premier amour, Lors qu’entre nous & toy je voy la guerre ouverte, Je crains noſtre victoire autant que noſtre perte.	Albe où j'ai commencé de respirer le jour, Albe mon cher pays, et mon premier amour, Lors qu'entre nous et toi je vois la guerre ouverte, Je crains notre victoire autant que notre perte.
Rome ſi tu te plains que c’eſt la te trahir.	Rome si tu te plains que c'est la te trahir.
Fais-toy des ennemis que je puiſſe haïr.	Fais-toi des ennemis que je puisse haïr.
Quand je voy de tes murs leur Armée & la noſtre, Mes trois freres dans l’une, & mon mary dãs l’autre, Puis-je former des vœux, & ſans impieté Importuner le Ciel pour ta felicité?	Quand je vois de tes murs leur Armée et la nôtre, Mes trois frères dans l'une, et mon maris dans l'autre, Puis-je former des vœux, et sans impiété Importuner le Ciel pour ta félicité?
