RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
CORNEILLE.	CORNEILLE.
A A RIS Au Palais.	A À RIS Au Palais.
LIDLAUME DE LUYNE, dans la Salle des Merciers ſous la montée de la Cour des Aydes à la Juſtice.	LIDLAME DE LUYNE, dans la Salle des Merciers sous la montée de la Cour des Aydes à la Justice.
la ENNE.	la ENNE.
LOYSON, au premier Pillier de grand' Salle proche les Conſultations au Nom de Jeſus.	LOISON, au premier Pillier de grand Salle proche les Consultations au Nom de Jésus.
ERRE TRABOÜILLET, dans la Galerie des Priſonniers, à l’Image S.	ERRE TRABOÜILLET, dans la Galerie des Prisonniers, à l'Image S.
Hubert, & à la Fortune proche le Greffe des Eaux & Foreſts,	Hubert, et à la Fortune proche le Greffe des Eaux et Forêts,
M.	M.
DC.	DC.
LXXXII.	LXXXII.
Avec Privilege du Roy.	Avec Privilège du Roi.
ACTEVRS.	ACTEURS.
JULES CESAR.	JULES CÉSAR.
MARC ANTOINE.	MARC ANTOINE.
CORNELIE, femme de Pompée.	CORNELIE, femme de Pompée.
	
PTOLOMDE, Roy d'Egypee.	PTOLOMDE, Roi d'Égype.
r.	r.
CLEOPATRE, ſœur de Ptofomée.	CLÉPATRE, sœur de Ptofomée.
PHOTIN, Chef du Conſeil d’Egypte.	PHOTIN, Chef du Conseil d'Égypte.
	
ACHILLAS, Lieutenant général des Armées du Roja ESJPaL	ACHILLAS, Lieutenant général des Armées du Rojà ESPPaL
SEPITME, TIibun Romain à la ſolde du Roy d’Egypte.	SÉPITME, TIibun Romain à la solde du Roi d'Égypte.
CHARMION, Dainie d'nomeur de Cléopatre.	CHARMION, Dainie d'nomeur de Cléopatre.
ACHOREE, Ecuyer de cicopuuors.	ACHORE, Ecuyer de cicopuors.
PHILIPPE, Affranchy de Pompée.	PHILIPPE, Affranchi de Pompée.
I	I
TROUPEDE ROMAINS.	TROUPEDE ROMAINS.
TROUPE D’EGYPTIENS.	TROUPE D'ÉGYPTIENS.
La Scéne eſt on Aléxandrie dans le Palais de Ptolomée.	La Scène est on Aléxandrie dans le Palais de Ptolomée.
P AIE TRAGEDIE.	 PIE -TRAGÉDIE.
AleA –	AleA 
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TOLOMEE , HOTIN, ACHILLAS, SEPTIME.	TOLOME , HOTIN, ACHILLAS, SEPTIME.
PTOLOMEE.	PTOLOMEE.
E Destin ſe déclare, & nous venons d’entendre Ce qu’il a réſolu du beau-pére & du gendre.	E Destin se déclare, et nous venons d'entendre Ce qu'il a résolu du beau-père et du gendre.
Quand les Dieux étonuez ſembloient ſe part ager, Pharſale a décidé ce qu’ils n’oſoient juger;	Quand les Dieux étonuez semblaient se part ager, Pharsale a décidé ce qu'ils n'osaient juger;
Ses fleuves teints de ſang & rendus plus rapides Par le débordement de tant de parricdes, Cet horrible débris d’Aigles, d’armes, de chars, Sur ſes champs empestez confuſément épars,	Ses fleuves teints de sang et rendus plus rapides Par le débordement de tant de parricdes, Cet horrible débris d'Aigles, d'armes, de chars, Sur ses champs empestez confusément épars,
Ces montagnes de morts privez d’honneurs ſuprèmes Que la Nature force à ſe venger eux-meſmes, Et dont les troncs pourris exhalent dans les Vents Dequoy faire la guerre au reste des vivans, Sont les tîtres affreux dont le Droit de l’épée Justifiant Céſar a condamné Pompée.	Ces montagnes de morts privés d'honneurs suprèmes Que la Nature force à se venger eux-mêmes, Et dont les troncs pourris exhalent dans les Vents Dequoi faire la guerre au reste des vivants, Sont les tîtres affreux dont le Droit de l'épée Justifiant César a condamné Pompée.
Ce déplorable Chef du party le meilleur, Que ſa Fortune laſſe abandonne au malheur, Devient un grand éxemple, & laiſſe à la mémoire Des changemens du Sort une éclatante histoire.	Ce déplorable Chef du parti le meilleur, Que sa Fortune lasse abandonne au malheur, Devient un grand éxemple, et laisse à la mémoire Des changements du Sort une éclatante histoire.
Il fuit, luy qui toûjours triomphant & vainqueur Vit ſes proſpéritez égaler ſon grand cœur;	Il fuit, Seigneur qui toujours triomphant et vainqueur Vit ses prospérités égaler son grand cœur;
Il fuit & dans nos Ports, dans nos murs, dans nos villes, Et contre ſon beau-pére ayant beſoin d’aziles, Sa déroute orgueilleuſe en cherche aux meſmes lieux Où contre les Titans en trouvérent les Dieux.	Il fuit et dans nos Ports, dans nos murs, dans nos villes, Et contre son beau-père ayant besoin d'asiles, Sa déroute orgueilleuse en cherche aux mêmes lieux Où contre les Titans en trouvèrent les Dieux.
Il croit que ce climat, en dépit de la guerre, Ayant ſauvé le Ciel, ſauvera bien la Terre, Et dans ſon deſespoir à la fin ſe meſlant Pourra préter l’épaule au Monde chancelant.	Il croit que ce climat, en dépit de la guerre, Ayant sauvé le Ciel, sauvera bien la Terre, Et dans son désespoir à la fin se mêlant Pourra préter l'épaule au Monde chancelant.
Ouy, Pompée avec luy porte le ſort du Monde, Et veut que noſtre Egypte en miracles féconde Serve à ſa liberté de ſepulchre, ou d’appuy, Et reléve ſa chûte, ou trébûche ſous luy.	Oui, Pompée avec lui porte le sort du Monde, Et veut que notre Égypte en miracles féconde Serve à sa liberté de sépulcre, ou d'appui, Et relève sa chute, ou trébûche sous mieux.
C’eſt dequoy, mes amis, nous avons à réſoudre, Il apporte en ces lieux les palmes, ou la foudre, S’il couronna le pére, il hazarde le fils, Et nous l’ayant donnée, il expoſe Memphis.	C'est dequoy, mes amis, nous avons à résoudre, Il apporte en ces lieux les palmes, ou la foudre, S'il couronna le père, il hasarde le fils, Et nous l'ayant donnée, il expose Memphis.
Il faut le recevoir, ou haſter ſon ſupplice, Le ſuivre, ou le pouſſer dedans le précipice:	Il faut le recevoir, ou hâter son supplice, Le suivre, ou le pousser dedans le précipice:
L’un me ſemble peu ſeur, l’autre peu généreux, Et je crains d’eſtre injuſte, & d’eſtre malheureux;	L'un me semble peu sûr, l'autre peu généreux, Et je crains d'être injuste, et d'être malheureux;
Quoy que je faſſe enfin, la Fortune ennemie M’offre bien des périls, ou beaucoup d’infamie, C’eſt à moy de choiſir, c’eſt à vous d’aviſer A quel choix vos conſeils doivent me dispoſer.	Quoi que je fasse enfin, la Fortune ennemie M'offre bien des périls, ou beaucoup d'infamie, C'est à moi de choisir, c'est à vous d'aviser À quel choix vos conseils doivent me disposer.
Il s’agit de Pompée, & nous aurons la gloire D’achever de Céſar, ou troubler la victoire, Et je puis dire enfin que jamais Potentat N’eut à déliberer d’un ſi grand coup d’Etat.	Il s'agit de Pompée, et nous aurons la gloire D'achever de César, ou troubler la victoire, Et je puis dire enfin que jamais Potentat N'eut à délibérer d'un si grand coup d'État.
PHOTIN.	PHOTIN.
Seigneur, quand par le fer les choſes ſont vuidées, La Juſtice & le Droit ſont de vaines idées, Et qui veut eſtre juste en de telles ſaiſons Balance le pouvoir, & non-pas les raiſons.	Seigneur, quand par le fer les choses sont vidées, La Justice et le Droit sont de vaines idées, Et qui veut être juste en de telles saisons Balance le pouvoir, et non-pas les raisons.
Voyez donc voſtre force & regardez Pompée, Sa fortune abatuë, & ſa valeur trompée.	Voyez donc votre force et regardez Pompée, Sa fortune abattue, et sa valeur trompée.
Céſar n’eſt pas le ſeul qu’il fuye en cét état, Il fuit & le reproche & les yeux du Sénat, Dont plus de la moitié piteuſement étale Une indigne curée aux vautours de Pharſale;	César n'est pas le seul qu'il fuie en cet état, Il fuit et le reproche et les yeux du Sénat, Dont plus de la moitié piteusement étale Une indigne curée aux vautours de Pharsale;
Il fuit Rome perduë, il fuit tous les Romains A qui par ſa défaite il met les fers aux mains;	Il fuit Rome perdue, il fuit tous les Romains À qui par sa défaite il met les fers aux mains;
Il fuit le deſespoir des Peuples & des Princes, Qui vengeroient ſur luy le ſang de leurs Provinces, Leurs Etats & d’argent & d’hommes épuiſez, Leurs troſnes mis en cendre, & leurs ſceptres briſez, Autheur des maux de tous, il eſt à tous en bute, Et fuit le Monde entier écraſé ſous ſa chûte.	Il fuit le désespoir des Peuples et des Princes, Qui vengeraient sur lui le sang de leurs Provinces, Leurs États et d'argent et d'hommes épuisez, Leurs trônes mis en cendre, et leurs sceptres brisez, Auteur des maux de tous, il est à tous en bute, Et fuit le Monde entier écrasé sous sa chute.
Le défendrez-vous ſeul contre tant d’ennemis?	Le défendrez-vous seul contre tant d'ennemis?
L’espoir de ſon ſalut en luy ſeul étoit mis, Luy ſeul pouvoit pour ſoy, cédez alors qu’il tombe, Soûtiendrez-vous un faix ſous qui Rome ſuccombe, Sous qui tout l’Univers ſe trouve foudroyé, Sous qui le grand Pompée a luy-meſme ployé ?	L'espoir de son salut en était seul était mis, Lui seul pouvait pour soi, cédez alors qu'il tombe, Soutiendrez-vous un faix sous qui Rome succombe, Sous qui tout l'Univers se trouve foudroyé, Sous qui le grand Pompée a lui-même ployé ?
Quand on veut ſoûtenir ceux que le Sort accable, A force d’eſtre juste on eſt ſouvent coupable, Et la fidélité qu’on garde imprudemment Après un peu d’éclat traiſne un long châtiment, Trouve un noble revers, dont les coups invincibles, Pour eſtre glorieux, ne ſont pas moins ſenſibles.	Quand on veut soutenir ceux que le Sort accable, À force d'être juste on est souvent coupable, Et la fidélité qu'on garde imprudemment Après un peu d'éclat traîne un long châtiment, Trouve un noble revers, dont les coups invincibles, Pour être glorieux, ne sont pas moins sensibles.
Seigneur, n’attirez point le tounerre en ces lieux, Rangez-vous du party des Destins & des Dieux,	Seigneur, n'attirez point le tounerre en ces lieux, Rangez-vous du parti des Destins et des Dieux,
Et ſans les accuſer d’injustice, ou d’outrage, Puisqu’ils font les heureux, adorez leur ouvrage.	Et sans les accuser d'injustice, ou d'outrage, Puisqu'ils font les heureux, adorés leur ouvrage.
Quels que ſoiẽt leurs decrets, déclarez-vous pour eux, Et pour leur obéïr, perdez le malheureux.	Quels que soient leurs décrets, déclarés-vous pour eux, Et pour leur obéir, perdez le malheureux.
Preſſé de toutes parts des coléres célestes Il en vient deſſus vous faire fondre les restes, Et ſa teſte qu’à peine il a pû dérober Toute preſte de choir, cherche avec qui tomber, Sa retraite chez vous en effet n’eſt qu’un crime, Elle marque ſa haine, & non pas ſon estime, Il ne vient que vous perdre en venant prendre port, Et vous pouvez douter s’il eſt digne de mort!	Pressé de toutes parts des colères célestes Il en vient dessus vous faire fondre les restes, Et sa tête qu'à peine il a pu dérober Toute prête de choir, cherche avec qui tomber, Sa retraite chez vous en effet n'est qu'un crime, Elle marque sa haine, et non pas son estime, Il ne vient que vous perdre en venant prendre port, Et vous pouvez douter s'il est digne de mort!
Il devoit mieux remplir nos vœux & noſtre attente, Faire voir ſur ſes nefs la victoire flotante;	Il devait mieux remplir nos vœux et notre attente, Faire voir sur ses nefs la victoire flotante;
Il n’euſt icy trouvé que joye & que festins, Mais puisqu’il eſt vaincu qu’il s’en prẽne aux Destins.	Il n'eût ici trouvé que joie et que festins, Mais puisqu'il est vaincu qu'il s'en prenne aux Destins.
J’en veux à ſa disgrace & non à ſa perſonne, J’éxécute à regret ce que le Ciel ordonne, Et du meſme poignard pour Céſar destiné Je perce en ſoûpirant ſon cœur infortuné.	J'en veux à sa disgrâce et non à sa personne, J'éxécute à regret ce que le Ciel ordonne, Et du même poignard pour César destiné Je perce en soupirant son cœur infortuné.
Vous ne pouvez enfin qu’aux dépens de ſa teſte Mettre à l’abry la voſtre & parer la tempeſte.	Vous ne pouvez enfin qu'aux dépens de sa tête Mettre à l'abri la vôtre et parer la tempête.
Laiſſez nommer ſa mort un injuste attentat, La Justice n’eſt pas une vertu d’Etat, Le choix des actions ou mauvaiſes ou bonnes Ne fait qu’anéantir la force des Couronnes, Le droit des Rois conſiste à ne rien épargner.	Laissez nommer sa mort un injuste attentat, La Justice n'est pas une vertu d'État, Le choix des actions ou mauvaises ou bonnes Ne fait qu'anéantir la force des Couronnes, Le droit des Rois consiste à ne rien épargner.
La timide équité détruit l’art de régner, Quand on craint d’eſtre injuste on a toûjours à craindre, Et quiveut tout pouvoir doit oſer tout enfraindre, Fuir comme un deshonneur la vertu qui le pert, Et voler ſans ſcrupule au crime qui luy ſert.	La timide équité détruit l'art de régner, Quand on craint d'être injuste on a toujours à craindre, Et quiveut tout pouvoir doit oser tout enfraindre, Fuir comme un déshonneur la vertu qui le pert, Et voler sans scrupule au crime qui porte sert.
C’eſt-là mon ſentiment, Achillas & Septime S’attacheront peut-eſtre à quelqu’autre Maxime, Chacun a ſon avis, mais quel que ſoit le leur, Qui punit le vaincu ne craint point le vainqueur.	C'est-là mon sentiment, Achillas et Septime S'attacheront peut-être à quelque autre Maxime, Chacun à son avis, mais quel que soit le leur, Qui punit le vaincu ne craint point le vainqueur.
ACHILLAS.	ACHILAS.
Seigneur, Photin dit vray, mais quoy que de Pompée Je voye & la fortune & la valeur trompée, Je regarde ſon ſang comme un ſang précieux, Qu’au milieu de Pharſale ont respecté les Dieux.	Seigneur, Photin dit vrai, mais quoi que de Pompée Je voie et la fortune et la valeur trompée, Je regarde son sang comme un sang précieux, Qu'au milieu de Pharsale ont respecté les Dieux.
Non qu’en un coup d’Etat je n’approuve le crime, Mais s’il n’eſt néceſſaire, il n’eſt point légitime.	Non qu'en un coup d'État je n'approuve le crime, Mais s'il n'est nécessaire, il n'est point légitime.
Et quel beſoin icy d’une extréme rigueur ?	Et quel besoin ici d'une extrême rigueur ?
Qui n’eſt point au vaincu, ne craint point le vainqueur.	Qui n'est point au vaincu, ne craint point le vainqueur.
Neutre jusqu’à preſent vous pouvez l’eſtre encore, Vous pouvez adorer Céſar ſi l’on l’adore;	Neutre jusqu'à présent vous pouvez l'être encore, Vous pouvez adorer César si l'on l'adore;
Mais quoy que vos encens le traitent d’Immortel, Cette grande victime eſt trop pour ſon Autel, Et ſa teſte immolée au Dieu de la victoire Imprime à voſtre nom une tache trop noire;	Mais quoi que vos encens le traitent d'Immortel, Cette grande victime est trop pour son Autel, Et sa tête immolée au Dieu de la victoire Imprime à votre nom une tache trop noire;
Ne le pas ſecourir ſuffit ſans l’opprimer.	Ne le pas secourir suffit sans l'opprimer.
En uſant de la ſorte on ne vous peut blaſmer.	En usant de la sorte on ne vous peut blâmer.
Vous luy devez beaucoup, par luy Rome animée A fait rendre le Sceptre au feu Roy Ptolomée?	Vous avait devez beaucoup, par lui Rome animée A fait rendre le Sceptre au feu Roi Ptolomée?
Mais la reconnoiſſance & l’hospitalité Sur les ames des Rois n’ont qu’un droit limité.	Mais la reconnaissance et l'hospitalité Sur les âmes des Rois n'ont qu'un droit limité.
Quoy que doive un Monarque, & dûſt-il ſa couronne, Il doit à ſes Sujets encor plus qu’à perſonne, Et ceſſe de devoir, quand la dette eſt d’un rang A ne point s’acquiter qu’aux dépens de leur ſang.	Quoi que doive un Monarque, et dût-il sa couronne, Il doit à ses Sujets encor plus qu'à personne, Et cesse de devoir, quand la dette est d'un rang À ne point s'acquitter qu'aux dépens de leur sang.
S’il eſt juste d’ailleurs que tout ſe conſidére, Que hazardoit Pompée en ſervant voſtre pére?	S'il est juste d'ailleurs que tout se considère, Que hasardait Pompée en servant votre père?
Il ſe voulut par là faire voir tout puiſſant, Et vit croiſtre ſa gloire en le rétabliſſant.	Il se voulut par là faire voir tout -puissant, Et vit croître sa gloire en le rétablissant.
Il le ſervit enfin, mais ce fut de la langue, La bourſe de Céſar fit plus que ſa harangue, Sans ſes mille talents Pompée & ſes discours Pour rentrer en Egypte étoient un froid ſecours.	Il le servit enfin, mais ce fut de la langue, La bourse de César fit plus que sa harangue, Sans ses mille talents Pompée et ses discours Pour rentrer en Égypte étaient un froid secours.
Qu’il ne vante donc plus ſes mérites frivoles, Les effets de Céſar valent bien ſes paroles, Et ſi c’eſt un bien-fait qu’il faut rendre aujourd’huy, Comme il parla pour vous, vous parlerez pour luy.	Qu'il ne vante donc plus ses mérites frivoles, Les effets de César valent bien ses paroles, Et si c'est un bienfait qu'il faut rendre aujourd'hui, Comme il parla pour vous, vous parlerez pour lui.
Ainſi vous le pouvez & devez reconnoiſtre;	Ainsi vous le pouvez et devez reconnaître;
