POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
SEVERE, Cheualier Romain, fauory de 1Einpelcar.	SÈVRE, Chevalier Romain, favori de 1Éinpelcar.
NEARQVE, Seigneur Armenien, amy de Polveucte.	NEARQUE, Seigneur Armenien, ami de Polveute.
PAVLINE, Fille de Felix, & femme de Polveucte.	PAULINE, Fille de Félix, et femme de Polveute.
FABIAN, Domeſtique de Seuere, CLEON, Domeſtique de Felix.	FABIAN, Domestique de Sévère, CLEON, Domestique de Félix.
TROIS GARDES.	TROIS GARDES.
La Scene eſt à Melitene capitale d’Armenie dans le Palais de Felix.	La Scène est à Mélitène capitale d'Arménie dans le Palais de Félix.
tre que ie luy preſente, mais qui l’entretiendra de Dieu:	tre que ie luy présente, mais qui l'entretiendra de Dieu:
la dignité de la matiere eſt ſi haute, que l’impuiſſance de l’artiſan ner la peut raualer, & voſtre ame Royale ſe plaiſt trop à cette ſorte d’entretien, pour s’offenſer des defauts d’vn ouurage où elle rencontrera les delices de ſon cœur.	la dignité de la matière est si haute, que l'impuissance de l'artisan ner la peut ravaler, et votre âme Royale se plaît trop à cette sorte d'entretien, pour s'offenser des défauts d'un ouvrage où elle rencontrera les délices de son cœur.
Cest par là MADAME, que j’eſpere obtenir de voſtre Majeſté, le pardon du long-temps que i’ay attendu à luy rendre cette ſorte d’hommages:	Cest par là MADAME, que j'espère obtenir de votre Majesté, le pardon du longtemps que j'ai attendu à lui rendre cette sorte d'hommages:
Toutes les fois que i’ay mis ſur noſtre Scene des Vertus Morales ou Politiques i’en ay touſiours creu les tableaux trop peu dignes de paroiſtre deuant elle, quand i’ay conſideré qu’auec quelque ſoin que ie les puiſſe choiſir dans l’Histoire, & quelques ornemens dont l’artifice les peuſt enrichir, elle en voyoit de plus grands exemplès dans elle-meſme.	Toutes les fois que j'ai mis sur notre Scène des Vertus Morales ou Politiques j'en ai toujours cru les tableaux trop peu dignes de paraître devant elle, quand j'ai considéré qu'avec quelque soin que sans les puisse choisir dans l'Histoire, et quelques ornements dont l'artifice les pût enrichir, elle en voyait de plus grands exemplés dans elle-même.
