LA A REINE REGENTE.	LA A REINE RÉGENTE.
MAPAME.	MAPAME.
dignité de la matiere eſt ſi haute que l’impuißance de l’artiſan ne la peut raualer, & voſtre ame Royale ſe plaiſt trop à cette ſorté d’entretien, pour s’offenſer des defauts d’vn ouurage où elle rencontrera les delices de ſon cœur.	dignité de la matière est si haute que l'impuyance de l'artisan ne la peut ravaler, et votre âme Royale se plaît trop à cette sorté d'entretien, pour s'offenser des défauts d'un ouvrage où elle rencontrera les délices de son cœur.
C’eſt par là MADAME, que j’eſpere obtenir de Voſtre Maieſté, le pardon du long-temps que j’ay attendu à luy rendre cette ſorte d’hommages:	C'est par là MADAME, que j'espère obtenir de Votre Majesté, le pardon du longtemps que j'ai attendu à lui rendre cette sorte d'hommages:
Toutes les fois que j’ay mis ſur noſtre Scene des Vertus Morales ou Politiques, j’en ay toûjours creu les tableaux trop peu dignes de paroiſtre deuant elle, quand j'ay conſideré qu’auec quelque ſoin que ie les peuſſe choiſir dans l’Hiſtoire, & quelque ornement dont l’artifice les peuſt enrichir, elle en voyoit de plus grands exemples dans elle-méme.	Toutes les fois que j'ai mis sur notre Scène des Vertus Morales ou Politiques, j'en ai toujours cru les tableaux trop peu dignes de paraître devant elle, quand j'ai considéré qu'avec quelque soin que sans les pusse choisir dans l'Histoire, et quelque ornement dont l'artifice les pût enrichir, elle en voyait de plus grands exemples dans elle-même.
Pour rendre les choſes proportionnées, il falloit aller à la plus haute eſpece, & n'entreprendre pas de rien offrir de cette nature à vne Reine Tres-Chreſtienne, ſtienne, & qui l’eſt beaucoup plus encor par ſes actions que par ſon titre, à moins que de luy offrir vn portrait des vertus Chreſtiennes, dont l’amour & la gloire de Dieu formaßent les plus beaux traits, & qui rendiſt les plaiſirs qu’elle y pourra prendre auſſi propres à exercer ſa pieté qu’à delaſſer ſon eſprit.	Pour rendre les choses proportionnées, il fallait aller à la plus haute espèce, et n'entreprendre pas de rien offrir de cette nature à une Reine Tres-Chrétienne, stienne, et qui l'est beaucoup plus encor par ses actions que par son titre, à moins que de lui offrir un portrait des vertus Chrétiennes, dont l'amour et la gloire de Dieu formassent les plus beaux traits, et qui rendît les plaisirs qu'elle y pourra prendre aussi propres à exercer sa piété qu'à délasser son esprit.
C’eſt à cette extraordinaire & admirable pieté, MADAME, que la France eſt redeuable des benedictions qu’elle voit tomber ſur les premieres armes dé ſon Roy, les heureux ſuccez qu’elles ont obtenus en ſont les retributions éclatantes, & des coups du Ciel qui reſpand abondamment ſur tout le Royaume les recompenſes & les graces que voſtre Majeſté a meritées, noſtre perte ſembloit infaillible aprés celle de noſtre grand Monarque.	C'est à cette extraordinaire et admirable piété, MADAME, que la France est redevable des bénédictions qu'elle voit tomber sur les premières armes de son Roi, les heureux succès qu'elles ont obtenus en sont les rétributions éclatantes, et des coups du Ciel qui répand abondamment sur tout le Royaume les récompenses et les grâces que votre Majesté à méritées, notre perte semblait infaillible après celle de notre grand Monarque.
Toute l’Europe auoit deſia pitié de nous, & s’imaginoit que nous nous allions precipiter dans vn extréme deſordre parce qu'elle nous voyoit dans vne extréme deſolation.	Toute l'Europe avait déjà pitié de nous, et s'imaginait que nous nous allions précipiter dans un extrême désordre parce qu'elle nous voyait dans une extrême désolation.
Cependant la prudence & les ſoins de Voſtre Majeſté, les bons conſeils qu'elle a pris, les grans ouurages qu’elle a choiſis pour les executer, ont agy ſi puißamment dans tous les beſoins de l’Eſtat, que cette premiere année de ſa Regence a non ſeulement égalé les plus glorieuſes de l’autre regne, mais à meſmes effacé par la priſe de Thionville, le ſouuenir du mal-heur qui deuant ſes murs auoit interrompu vne ſi longue ſuite de victoires.	Cependant la prudence et les soins de Votre Majesté, les bons conseils qu'elle a pris, les grans ouvrages qu'elle a choisis pour les exécuter, ont agi si puissamment dans tous les besoins de l'État, que cette première année de sa Regence a non seulement égalé les plus glorieuses de l'autre règne, mais à mêmes effacé par la prise de Thionville, le nir du malheur qui devant ses murs avait interrompu une si longue suite de victoires.
Permettez que je me laiße emporter au rauiſſement que me donne cette penſée, & que je m’écrie dans ce tranſport :	Permettez que je me laisse emporter au ravissement que me donne cette pensée, et que je m'écrie dans ce transport :
Que vos ſoins grands REINE, enfantent de miracles !	Que vos soins grands REINE, enfantent de miracles !
Bruxelles & Madrid en ſont tous interdits, Et ſi noſtre Apollon me les auoit predits I’aurois moy-meſme oſé douter de ſes oracles, Sous vos commandemens on force tous obſtacles;	Bruxelles et Madrid en sont tous interdits, Et si notre Apollon me les avait prédits J'aurais moi-même osé douter de ses oracles, Sous vos commandements on force tous obstacles;
On porte l’épouuante aux cœurs les plus hardis, Et par des coups d’eſſay vos Eſtats agrandis Des drapeaux ennemis font d’illuſtres ſpectacles.	On porte l'épouvante aux cœurs les plus hardis, Et par des coups d'essay vos États agrandis Des drapeaux ennemis font d'illustres spectacles.
La Victoire elle-meſme accourant à mon Roy.	La Victoire elle-même accourant à mon Roi.
Et mettant à ſes pieds Thionville & Rocroy, Fait retentir ces vers ſur les bords de la Seine.	Et mettant à ses pieds Thionville et Rocroi, Fait retentir ces vers sur les bords de la Seine.
France, attend tout d’vn regne ouuert en triomphant, Puis que tu vois deſia des ordres de ta Reine Faire vn foudre en tes mains des armes d’vn Enfant.	France, attend tout d' Hôgne ouvert en triomphant, Puis que tu vois déjà des ordres de ta Reine Faire un foudre en tes mains des armes d'un Enfant.
Il ne faut poïnt douter que des commencemens ſi merueilleux ne ſoient ſouſtenus par des progrez encor plus eſtonnans;	Il ne faut poïnt douter que des commencements si merveilleux ne soient soutenus par des progrès encor plus étonnants;
Dieu ne laiſſe point ſes ouurages imparfaits, il les acheuera, MADAME, & rendra non ſeulement la Regence de Voſtre Majeſté, mais encor toute ſa vie vn enchaiſnement continuel de proſperitez.	Dieu ne laisse point ses ouvrages imparfaits, il les achèvera, MADAME, et rendra non seulement la Régence de Votre Majesté, mais encor toute sa vie un enchaînement continuel de prospérités.
Ce ſont les vœux de toute la France, ce ſont ceux que fait auec plus de zele,	Ce sont les vœux de toute la France, ce sont ceux que fait avec plus de zèle,
MADAME.	MADAME.
De voſtre Majeſté,	De votre Majesté,
