Suiuant la Copie imprimée	Suivant la Copie imprimée
VERS PRESENTEZ A MONSEIGNEUR LE PROCUREUR GENERAL FOUCQUET SUR-INTENDANT DES FINANCES.	VERS PRÉSENTEZ À MONSEIGNEUR LE PROCUREUR GÉNÉRAL FOUCQUET SURINTENDANT DES FINANCES.
AISSE aller ton eſſor juſqu’à ce grand Genie Qui te rappelle au jour dont les ans t’ont bannie, Pmpr Muſe, & n’oppoſe plus vn ſilence obſtiné A l’ordre ſurprenant que ſa main t’a donné.	ÀISSE aller ton essor jusqu'à ce grand Génie Qui te rappelle au jour dont les ans t'ont bannie, Pmpr Esse, et n'oppose plus un silence obstiné A Aordre surprenant que sa main t'a donné.
De ton âge importun la timide foibleſſe A trop & trop long-temps déguiſé ta pareſſe, Et fourny de couleurs à la raiſon d’Eſtat Qui mutine ton cœur contre le Siecle ingrat.	De ton âge importun la timide faiblesse A trop et trop longtemps déguisé ta paresse, Et fourni de couleurs à la raison d'État Qui mutine ton cœur contre le Siècle ingrat.
L’ennui de voir toûjours ſes loüanges friuoles Rendre à tes long trauaux paroles pour paroles, Et le ſterile honneur d’vn Eloge impuiſſant Terminer ſon accueil le plus reconnoiſſant;	L'ennui de voir toujours ses louanges frivoles Rendre à tes long travaux paroles pour paroles, Et le stérile honneur d' Eloge impuissant Terminer son accueil le plus reconnaissant;
Ce legitime ennuy qu’au fond de l’ame excite L’excuſable fierté d’vn peu de vray merite, Par vn juſte dégouſt, ou par reſſentiment Luy pouuoir de tes Vers enuier l’agrément.	Ce légitime ennui qu'au fond de l'âme excite L'excusable fierté d'un peu de vrai mérite, Par un juste dégoût, ou par ressentiment Lui pouuoir de tes Vers envier l'agrément.
Mais aujourd’huy qu’on voit vn Heros magnanime Té	Mais aujourd'hui qu'on voit un Héros magnanime Té
Témoigner pour ton nom vne toute autre eſtime, Et répandre l’éclat de ſa propre bonté Sur l’endurciſſement de ton oiſiueté, Il te ſeroit honteux d’affermir ton ſilence Contre vne ſipreſſante & douce violence, Et tu ferois vn crime à luy diſſimuler Que ce qu’il fait pour toy te condamne à parler.	Témoigner pour ton nom une toute autre estime, Et répandre l'éclat de sa propre bonté Sur l'endurcissement de ton oisiveté, Il te serait honteux d'affermir ton silence Contre une sipressante et douce violence, Et tu ferais un crime à lui dissimuler Que ce qu'il fait pour toi te condamne à parler.
Ouy, genereux appuy de tout noſtre Parnaſſe, Tu me rends ma vigueur lors que tu me fais grace, Et ie veux bien apprendre à tout noſtre aduenir Que tes regards benins ont ſçeu me rajeunir.	Oui, généreux appui de tout notre Parnasse, Tu me rends ma vigueur lors que tu me fais grâce, Et ie veux bien apprendre à tout notre avenir Que tes regards bénins ont su me rajeunir.
Ie m’éleve ſans crainte auec de ſi bons guides, Depuis que ie t’ay veu, ie ne voy plus mes rides, Et plein d’vne plus claire & noble viſion, Ie prens mes cheueux gris pour cette illuſion.	Je m'élève sans crainte avec de si bons guides, Depuis que je t'ai vu, toujours ne vois plus mes rides, Et plein d'une plus claire et noble vision, Je prends mes cheveux gris pour cette illusion.
Ie ſens le meſme feu, ie ſens la meſme audace, Qui fit plaindre le Cid, qui fit combatre Horace.	Je sens le même feu, ie sens la même audace, Qui fit plaindre le Cid, qui fit combattre Horace.
Et ie me trouue encor la main qui crayonna L’ame du grand Pompée, & l’eſprit de Cinna.	Et petit me trouve encor la main qui crayonna L'âme du grand Pompée, et l'esprit de Cinna.
Choiſy-moi ſeulement quelque nom dans l’hiſtoire Pour qui tu veüilles place au Temple de la gloire, Quelque nom fauory qu’il te plaiſe arracher A la nuit de la tombe, au cendres du bûcher.	Choisis-moi seulement quelque nom dans l'histoire Pour qui tu veuilles place au Temple de la gloire, Quelque nom favori qu'il te plaise arracher À la nuit de la tombe, au cendres du bûcher.
Soit qu’il faille ternir ceux d’Ænée & d’Achille.	Soit qu'il faille ternir ceux d'Ænée et d'Achille.
Par vn noble attentat ſur Homere & Virgile;	Par un noble attentat sur Homère et Virgile;
Soit qu’il faille obſcurcir par vn dernier effort Ceux que j’ay ſur la Scene affranchis de la mort;	Soit qu'il faille obscurcir par un dernier effort Ceux que j'ai sur la Scène affranchis de la mort;
Tu me verras le meſme, & ie te feray dire, Si jamais pleinement ta grande ame m’inſpire, Que dix luſtres & plus n’ont pas tout emporté Cet aſſemblage heureux de force & de clarté Ces preſtiges ſecrets de l’aimable impoſture 2 Qu'à l’envy m’ont preſtée & l’Art & la Nature N’attends pas toutefois que j’oſe m’enhardir, Ou juſqu’à te dépeindre, ou juſqu’à t’applaudir;	Tu me verras le même, et Ph te ferai dire, Si jamais pleinement ta grande âme m'inspire, Que dix lustres et plus n'ont pas tout emporté Cet assemblage heureux de force et de clarté Ces prestiges secrets de l'aimable imposture 2 Qu'à l'enivre que prestée et l'Art et la Nature N'attends pas toutefois que j'ose m'enhardir, Ou jusqu'à te dépeindre, ou jusqu'à t'applaudir;
Ce ſeroit préſumer que d’vne ſeule veuë I’aurois veu de ton cœur la plus vaſté eſtenduë, Qu’vn moment ſuffiroit à mes debiles yeux Pour démeler en toy ces dons brillans des Cieux,	Ce serait présumer que d'une seule vue J'aurais vue de ton cœur la plus vasté étendue, Qu'un moment suffirait à mes débiles yeux Pour démeler en toi ces dons brillants des Cieux,
De qui l’inépuiſable & perçante lumiere, Si-toſt que tu parois, fait baiſſer la paupiere.	De qui l'inépuisable et perçante lumière, Sitôt que tu parais, fait baisser la paupière.
I’ay déja veu beaucoup en ce moment heureux, Ie t’ay veu maguanime, affable, genereux, Et ce qu’on voit à peine apres dix ans d’excuſes, Ie t’ay veu tout d’vn coup general pour les Muſes:	J'ai déjà vu beaucoup en ce moment heureux, Je t'ai vu maguanime, affable, généreux, Et ce qu'on voit à peine après dix ans d'excuses, Je t'ai vu tout d'un coup général pour les Muses:
Mais pour te voir entier il faudroit vn loiſir Que tes delaſſemens daignaſſent me choiſir.	Mais pour te voir entier il faudrait un loisir Que tes délassements daignassent me choisir.
