A MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISELLE.	À MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISLE.
Encore que ie ſçache auec toute la France, que vous n’eſtes née que pour les grandes choſes, qu’il n’appartient qu’à ceux du Sang dont vous ſortez de mettre la derniere main à tout ce qui paroiſt impoſſible;	Encore que assez sçache avec toute la France, que vous n'êtes née que pour les grandes choses, qu'il n'appartient qu'à ceux du Sang dont vous sortez de mettre la dernière main à tout ce qui paraît impossible;
Et qu’aini, ſoit pour vous diuertir, ſoit pour vous loüer, on eſt toûjours temeraire quoy qu’on oſe entreprendre.	Et qu'oni, soit pour vous divertir, soit pour vous louer, on est toujours téméraire quoi qu'on ose entreprendre.
Ie ne laiſſe pas MADEMOISELLE, de vous faire vn preſent vulgaire en vous offrant cette Comedie, qui quelque reputation qu’elle ait euë en proſe, ma ſemblé n’auoir pas tous les agrémens qu’on luy pouuoit donner, & c’eſt ce qui ma fait reſoudre à la tourner en vers pour la mettre en eſtat de meriter auec vn peu plus de iuſtice les applaudiſſemens qu’elle a receuës de tout.	Je ne laisse pas MADEMOISELLE, de vous faire un présent vulgaire en vous offrant cette Comédie, qui quelque réputation qu'elle ait eue en prose, ma semblé n'avoir pas tous les agréments qu'on lui pouuoit donner, et c'est ce qui ma fait résoudre à la tourner en vers pour la mettre en état de mériter avec un peu plus de justice les applaudissements qu'elle a reçues de tout.
le monde;	le monde;
plûtoſt par bon-heur que par merite.	plutôt par bonheur que par mérite.
Ie ſçay bien qu’il doit ſembler eſtrange de me voir abaiſſer vne choſe que i’oſe vous offrir;	Je sais bien qu'il doit sembler étrange de me voir abaisser une chose que j'ose vous offrir;
mais ie ne pretens pas qu’elle me doiue ny ſa gloire, ny ſon abaiſſement, & ie ne regleray l’eſtime que i’en dois faire qu’au jugement que vous en ferez:	mais personne ne prétends pas qu'elle me doive ni sa gloire, ni en abaissement, et ie ne réglerai l'estime que j'en dois faire qu'au jugement que vous en ferez:
que ſi ie luy laiſſe maintenant quelques auantages des acclamations publiques qu’elles a receuës, & en Italien & en François, ce n’eſt que parce qu’ils me fourniſſent l’occaſion de vous donner vne preuue de mon reſpect en mettant cette verſion que i’en ay faite ſous voſtre protection.	que si ici lui laisse maintenant quelques avantages des acclamations publiques qu'elles a reçues, et en Italien et en Français, ce n'est que parce qu'ils me fournissent l'occasion de vous donner une preuve de mon respect en mettant cette version que j'en ai faite sous votre protection.
Ie ne ſuis pas aſſez vain pour m'imaginer que ce foible homage m’aquite de ce que ie vous dois, ou qu’il ait rien de proportionné à ce merite qui vous met autant au deſſus du commun par ſon éclat, que vous l’eſtes déja par celuy du rang que vous donne voſtre naiſſance.	Je ne suis pas assez vain pour m'imaginer que ce faible hommage m'aquite de ce que je vous dois, ou qu'il ait rien de proportionné à ce mérite qui vous met autant au dessus du commun par son éclat, que vous l'êtes déjà par celui du rang que vous donne votre naissance.
Ie ſçais trop bien comme vous ſçauez iuger de tout ce que peuuent produire les plus beaux genies, pour vous offrir comme vn ouurage conſiderable vne Satyre qui doit ſa plus grande reüſite à ce certain courant des choſes qui les fait receuoir de quelque nature qu’elles ſoient, & que nous appellons la mode;	Je sais trop bien comme vous savez juger de tout ce que peuvent produire les plus beaux génies, pour vous offrir comme un ouvrage considérable une Satire qui doit sa plus grande réussite à ce certain courant des choses qui les fait recevoir de quelque nature qu'elles soient, et que nous appelons la mode;
& lors que ie vous l’offre, ie ne fais qu’imiter les Romains, qui preſentoient autrefois des lauriers aux vainqueurs, non pas pour payer leurs victoires;	et lors que je vous l'offre, je ne fais qu'imiter les Romains, qui présentaient autrefois des lauriers aux vainqueurs, non pas pour payer leurs victoires;
mais – G * ſeulement pour teſmoigner qu’ils connoiſſoient ce qui leur eſtoit deu, & pour ſeruir comme de preludes à la pompe des Triomphes qui leurs eſtoient deſtinez.	mais G * seulement pour témoigner qu'ils connaissaient ce qui leur fit dev, et pour servir comme de prudes à la pompe des Triomphes qui leurs étaient destinés.
Ie ne me permets, MADEMOISELLE, que ce que ces Maiſtres du monde accordoient à leurs moindres Citoyens, & ie vous preſente vne bagatelle comme le dernier Romain auoit la liberté d’offrir des branches de Lauriers:	Je ne me permets, MADEMOISELLE, que ce que ces Maîtres du monde accordaient à leurs moindres Citoyens, et un vous présente une bagatelle comme le dernier Romain avait la liberté d'offrir des branches de Lauriers:
Ie laiſſe, dis-ie, à des plumes plus ſçauantes & plus hardies à diſpoſer des ornemens dont on peut compoſer voſtre Paneg yrique, de meſme que le peuple laiſſoit au Senat le pouuoir & le ſoin de decerner des triomphes à ceux dont les grandes - – actions en meritoient.	Je laisse, dis-je, à des plumes plus savantes et plus hardies à disposer des ornements dont on peut composer votre Panég yrique, de même que le peuple laissait au Sénat le pouvoir et le soin de décerner des triomphes à ceux dont les grandes - actions en meritoient.
Ie ne me ſens pas aſſez fort pour vne ſi haute entrepriſe, et ie borne mes plus vaſtes projets à celuy d’obtenir de vous la permiſſion de me dire,	Je ne me sens pas assez fort pour une si haute entreprise, et votre borne mes plus vastes projets à celui d'obtenir de vous la permission de me dire,
MADEMOISELLE,	MADEMOISELLE,
PREFACE.	PRÉFACE.
Ce n’eſt pas que ie veüille ſuiure celle de ces Autheurs auides de loüanges, qui craignant qu’on ne leur rende pas tout l’honneur qu’ils croyent meriter, y inſerrent eux-meſmes leurs Panegy- riques, & font ſouuent leurs Apologies auant qu’on les accuſe.	Ce n'est pas que ie veille suivre celle de ces Auteurs avides de louanges, qui craignant qu'on ne leur rende pas tout l'honneur qu'ils croient mériter, y inserrent eux-mêmes leurs Panégi- ciques, et font souvent leurs Apologies avant qu'on les accuse.
Mon but eſt de de diuertir le Lecteur, & de me diuertir moy-meſme:	Mon but est de de ivertir le Lecteur, et de me divertir moi-même:
Toutefois comme il s’en peut trouuer d’aſſez ſcrupuleux pour croire que c’eſt trop hazarder d’expoſer aux yeux de tout le monde vn ouurage auſſi remply de defauts que celuy-cy, ſans leur donner du moins quelques apparentes excuſes;	Toutefois comme il s'en peut trouver d'assez scrupuleux pour croire que c'est trop hasarder d'exposer aux yeux de tout le monde un ouvrage aussi rempli de défauts que celui-cy, sans leur donner du moins quelques apparentes excuses;
le veux bien en cét endroit dire quelque choſe pour le contenter.	le veux bien en cet endroit dire quelque chose pour le contenter.
Ie diray d’abord qu’il ſemblera ex.	Je dirai d'abord qu'il semblera ex.
traordinaire qu’apres auoir loüé Maſcarille, comme i’ay fait dans les Veritables Pretieuſes, ie me ſois donné la peine de mettre en Vers vn ouurage dont il ſe dit Autheur, & qui ſans doute luy doit quelque choſe, ſi ce n’eſt parce qu’il y a adjouſté de ſon eſtoc, au vol qu’il en a fait aux Italiens, a qui Monſieur l’Abbé de Pure les auoit donnez;	traordinaire qu'après avoir loué Mascarille, comme j'ai fait dans les Véritables Pretieuses, je me sois donné la peine de mettre en Vers un ouvrage dont il se dit Auteur, et qui sans doute lui doit quelque chose, si ce n'est parce qu'il y a jouté de son étoc, au vol qu'il en a fait aux Italiens, à qui Monsieur l'Abé de Pure les avait donnez;
du moins pour y auoir adjoúté beaucoup par ſon jeu, qui a plû à aſſez de gens pour luy donner la vanité d’eſtre le premier Farceur de France.	du moins pour y avoir ajouté beaucoup par son jeu, qui a plu à assez de gens pour lui donner la vanité d'être le premier Farceur de France.
C’eſt toûjours quelque choſe d’exceller en quelque meſtier que ce ſoit, & pour parler ſelon le vulgaire, il vaut mieux eſtre le premier d’vn village, que le dernier d’vne ville, bon Farceur, que méchant Comedien;	C'est toujours quelque chose d'exceller en quelque métier que ce soit, et pour parler selon le vulgaire, il vaut mieux être le premier d'un village, que le dernier d'une ville, bon Farceur, que méchant Comédien;
mais quittons la parenteſe & retournons aux Pretieuſes.	mais quittons la parentese et retournons aux Prétieuses.
Elles ont eſté trop generalement receuës & approuuées pour ne pas auoüet que i’y ay pris plaiſir, & qu’elles n’ont rien perdu en Francois de ce qui les fiſt ſuiure en Italien;	Elles ont été trop généralement reçues et approuvées pour ne pas auoüet que j'y ai pris plaisir, et qu'elles n'ont rien perdu en Francais de ce qui les fît suivre en Italien;
& ſe ſeroit faire le modeſte à contre-temps, de ne pas dire que ie crois ne leur auoir rien deſrobé de leurs agrémens en les meſtant en Vers:	et se serait faire le modeste à contretemps, de ne pas dire que je crois ne leur avoir rien dérobé de leurs agréments en les métant en Vers:
meſme ſi i’en voulois croire ceux qui les ont veuës, ie me vanterois d’y en auoir beaucoup adjoûté;	même si j'en voulais croire ceux qui les ont vues, Elle me vanterais d'y en avoir beaucoup ajouté;
mais quand ie le dirois, l’on ne ſeroit pas obligé de s’en raporter à moy, & quand mon Lecteur me donneroit vn démenty, il ſeroit de ceux qui ſe ſouffrent ſans peine & qui ne coûtent iamais de ſang.	mais quand ici le dirais, l'on ne serait pas obligé de s'en rapporter à moi, et quand mon Lecteur me donnerait un démenti, il serait de ceux qui se souffrent sans peine et qui ne coûtent jamais de sang.
Auſſi ne veus-ie pas les loüer, & bien loins de le faire, ie dis ingenuëment que ce n’eſt en bien des endroits, que de la proſe rimée:	Aussi ne veux-je pas les louer, et bien loins de le faire, je dis ingénument que ce n'est en bien des endroits, que de la prose rimée:
qu’on y trouuera pluſieurs vers ſans repos, & dont la cadance eſt fort rude;	qu'on y trouvera plusieurs vers sans repos, et dont la cadance est fort rude;
mais le Lecteur verra aiſément que ce n’eſt qu’aux endroits ou i’ay voulu conſeruer mot à mot le ſens de la proſe, & lors que ie les ay trouuez tous faits.	mais le Lecteur verra aisément que ce n'est qu'aux endroits ou j'ai voulu conserver mot à mot le sens de la prose, et lors que je les ai trouvez tous faits.
