A MONSIEUR DE MOLIER Chef de la Trouppe des Comediens de Monſieur Frere Unique du Roy.	À MONSIEUR DE MOLIER Chef de la Troupe des Comédiens de Monsieur Frère Unique du Roi.
ONSIEUR, Ayant eſté voir voſtre charmante Comedie du Cocu Imaginaire, la premiere fois qu’elle fit paroiſtre ſes beautez an public, elle me parut ſi admirable, que je crus, que ce n’eſtoit pas rendre juſtice à un ſi merveilleux Ouvrage, que de ne le voir qu’une fois, ce que m’y fit rencontrer cinq ou ſix autres;	ONSIEUR, Ayant été voir votre charmante Comédie du Cocu Imaginaire, la première fois qu'elle fit paraître ses beautés an public, elle me parut si admirable, que je crus, que ce n'était pas rendre justice à un si merveilleux Ouvrage, que de ne le voir qu'une fois, ce que m'y fit rencontrer cinq ou six autres;
& comme on retient aſſez facilement les choſes qui frappent vivement l'imagination, j’eus le bon-heur de la retenir entiere, ſans auoun deſſein premedité, & je m’en apperçeus d’une maniere aſſez extraordinaire.	et comme on retient assez facilement les choses qui frappent vivement l'imagination, j'eus le bonheur de la retenir entière, sans avoun dessein prémédité, et je m'en aperçus d'une manière assez extraordinaire.
Un jour m'eſtant trouvé dans une aſſez celebre compagnie, où l’on s’entretenoit, & de vostre eſprit & du genie particulier que vous avez pour les Pieçes de Theâtre, je coulay mon ſentiment parmy celuy des autres, & pour encherir par deſſus ce qu’on diſoit à voſtre advantage, je voulus faire le recit de voſtre Cocu Imaginaire:	Un jour m'étant trouvé dans une assez célèbre compagnie, où l'on s'entretenait, et de votre esprit et du génie particulier que vous avez pour les Pieçes de Théâtre, je coulai mon sentiment parmi celui des autres, et pour enchérir par -dessus ce qu'on disait à votre avantage, je voulus faire le récit de votre Cocu Imaginaire:
mais je fus bien ſurpris, quand je vis, qu’à cent Vers prés je ſçavois la pieçe par cœur, & qu’au lien du ſujet, je les avois tous recitez, cela m’y fiſt retourner encor une fois, pour achever de retenir ce que je n’en avois pas.	mais je fus bien surpris, quand je vis, qu'à cent Vers prés je sçavois la piedée par cœur, et qu'au lien du sujet, je les avais tous récitez, cela m'y fit retourner encor une fois, pour achever de retenir ce que je n'en avais pas.
Auſſi-toſt un Gentil-homme de la Campagne de mes amis, extraordinairement curieux de ces ſortes d’Ouvrages, m’eſcrivit & me pria de luy mander, ce que c’eſtoit que le Cocu Imaginaire, parce que, diſoit-il, il n’avoit point veu de Pieçe, dont le titre promiſt rien de ſi ſpirituel, ſi elle eſtoit traittée par un habile homme.	Aussitôt un Gentilhomme de la Campagne de mes amis, extraordinairement curieux de ces sortes d'Ouvrages, m'écrivit et me pria de même mander, ce que c'était que le Cocu Imaginaire, parce que, disait-il, il n'avait point vu de Pieçe, dont le titre promît rien de si spirituel, si elle était traitée par un habile homme.
Je luy envoyay auſſi-toſt la Pieçe, que j’avois retenuë, pour luy montrer q’il ne s’eſtoit pas trompé, & comme il ne l’avoit poin veuë repreſenter, je crus à propos de luy envoyer les Argumens de chaque Scene, pour luy montrer, que quoy que cette Pieçe fuſt admirable, l’Autheur en la repreſentant luy meſme y ſçavoit encore faire découvrir de nouvelles beautez.	Je crois envoyai aussitôt la Pie, que j'avais retenue, pour lui montrer q il ne s'était pas trompé, et comme il ne l'avait poin vue représenter, je crus à propos de lui envoyer les Arguments de chaque Scène, pour lui montrer, que quoi que cette Pie fût admirable, l'Auteur en la représentant lui même y savait encore faire découvrir de nouvelles beautés.
Je n’oubliay pas de luy mander expreſſement, & meſme de le conjurer de n’en laiſſer rien ſortir de ſes mains;	Je n'oubliai pas de Seigneur mander expressément, et même de le conjurer de n'en laisser rien sortir de ses mains;
cependant ſans ſçavoir comment cela s’eſt fait, j'en ay veu courir huict ou dix coppies en cette Ville, & j’ay ſçen que quantité de gens eſtoient preſts de la faire mettre ſous la preſſe;	cependant sans savoir comment cela s'est fait, j'en ai vu courir huit ou dix copies en cette Ville, et j'ai sçen que quantité de gens étaient prêts de la faire mettre sous la presse;
ce qui m’a mis dans une colere d’autant plus grande, que la pluſpart de ceux qui ont décrit cét Ouvrage, l’ont tellement defiguré, ſoit en y adjoutant, ſoit en y diminüant, que je ne l’ay pas trouvé reconnoiſſable:	ce qui m'a mis dans une colère d'autant plus grande, que la plupart de ceux qui ont décrit cet Ouvrage, l'ont tellement défiguré, soit en y ajoutant, soit en y diminuerant, que je ne l'ai pas trouvé reconnaissable:
& comme il y alloit de voſtre gloire & de la mienne, que l’on ne l’imprimaſt pas de la ſorte, à cauſe des vers que vous avez faits, & de la proſe que j’y ay adjouſtée, j’ay crû qu’il falloit aller au devant de ces Meſſieurs, qui impriment les gens malgré qu’ils en ayent, & donner une coppie qui fut correcte (ie puis parler ainſi, puis que je croy que vous trouverez voſtre Piece dans les formes) j’ay pourtant combatu long-temps avant que de la donner, mais enfin j’ay veu, que c’eſtoit une neceſſité que nous fuſſions imprimé, & je m’y ſuis reſolu d’autant plus volontiers, que j’ay veu que cela ne vous pouvoit apporter aucun dommage, non plus qu’à voſtre Trouppe, puique cefert Prege ueſte jouée pres de cinquante fois.	et comme il y allait de votre gloire et de la mienne, que l'on ne l'imprimât pas de la sorte, à cause des vers que vous avez faits, et de la prose que j'y ai ajoutée, j'ai cru qu'il fallait aller au devant de ces Messieurs, qui impriment les gens malgré qu'ils en aient, et donner une coppie qui fut correcte (ie puis parler ainsi, puis que je crois que je trouverez votre Pièce dans les formes) j'ai pourtant combattu longtemps avant que de la donner, mais enfin jay , que 'était une necessité que nous fussions imprimé, et je m'y suis résolu autant plus volontiers, que j'ai volu que cela ne vous pouvoit apporter aucun dommage, non plus vôtre Trouppe, puique cefert Prege ueste jouée pres de cinquante fois.
Je ſuis.	Je suis.
MONSIEUR,	MONSIEUR,
Voſtre tres-humble Seviteur	Votre très-humble Seviteur
ONSIEUR, Vous ne vous eſtes pas trompé dans voſtre penſée, lors que vous avez dit (avant que l’on le joüaſt) que ſi Le Cocu Imaginaire eſtoit traitté par un habile homme, ſe devoit eſtre une parfaitement belle Piece:	ONSIEUR, Vous ne vous êtes pas trompé dans votre pensée, lors que vous avez dit (avant que l'on le jouât) que si Le Cocu Imaginaire était traité par un habile homme, se devait être une parfaitement belle Pièce:
C’eſt pourquoy je croy qu’il ne me ſera pas difficile de vous faire tomber d’accord de la beauté de cette Comedie, meſme avant que de l’avoir veuë, quand je vous auray dit qu’elle part de la plume de l’ingenieux Autheur des Pretieuſes Ridicules.	C'est pourquoi je crois qu'il ne me sera pas difficile de vous faire tomber d'accord de la beauté de cette Comédie, même avant que de l'avoir vue, quand je vous aurai dit qu'elle part de la plume de l'ingénieux Auteur des Pretieuses Ridicules.
Jugez apres cela, ſi ſe ne doit pas eſtre un Ouvrage tout à fait galand, & tout à fait ſpirituel, puiſque ſe ſont deux choſes que ſon Autheur poſſede avantageuſement.	Jugez après cela, si se ne doit pas être un Ouvrage tout à fait galant, et tout à fait spirituel, puisque se sont deux choses que son Auteur possède avantageusement.
Elles y brillent auſſi avec tãt d’éclat, que cette Pieçe ſurpaſſe de beaucoup toutes celles qu’il a faites, quoy que le ſuiet des Pretieuſes Ridicules ſoit tout à fait ſpirituel, & celuy de ſon Dépit Amoureux tout à fait galand.	Elles y brillent aussi avec tant d'éclat, que cette Pieèse surpasse de beaucoup toutes celles qu'il a faites, quoi que le sujet des Pretieuses Ridicules soit tout à fait spirituel, et celui de son Dépit Amoureux tout à fait galant.
Mais vous en allez vous-meſme eſtre juge dés que vous l’aurez leuë, & je ſuis aſſeuré que vous y trouverez quantité de Vers qui ne ſe peuvent payer, que plus vous relirez, plus vous connoiſtrez avoir eſté profondément penſez.	Mais vous en allez vous-même ici juge dès que vous l'aurez lue, et je suis assuré que vous y trouverez quantité de Vers qui ne se peuvent payer, que plus vous relirez, plus vous connaîtrez avoir été profondément pensez.
En effect le ſens en eſt ſi myſterieux qu’il ne peut partir que d’un homme conſommé dans les Compagnies, & j’oſe meſme advancer que Sganerelle n’a aucun mouvement jaloux, ny ne pouſſe aucuns ſentimens, que l’Autheur n’ayt peut-eſtre ouïs luy-meſme de quantité de gens au plus fort de leur jalouſie, tant ils ſont exprimez naturellement;	En effet le sens en est si mystérieux qu'il ne peut partir que d'un homme consommé dans les Compagnies, et j'ose même avancer que Sganerelle n'a aucun mouvement jaloux, ni ne pousse aucuns sentiments, que l'Auteur n'ait peut-être ouïsil-même de quantité de gens au plus fort de leur jalousie, tant ils sont exprimés naturellement;
ſi-bien que l’on peut dire, que quand il veut mettre quelque choſe au jour, il le lit premierement dans le monde (o nert perimis de parler amn) ce qui ne ſe peut faire ſans avoir un diſcernement auſſi bon que luy, & au ſſi propre à choiſir ce qui plaiſt.	si-bien que l'on peut dire, que quand il veut mettre quelque chose au jour, il le lit premièrement dans le monde (o nert perimis de parler amn) ce qui ne se peut faire sans avoir un discernement aussi bon que lui, et au ssi propre à choisir ce qui plaît.
On ne doit donc pas s’eſtonner apres cela, ſi ſes Pieçes ont une ſi extraor, dinaire reüſſite, puiſque l’on n’y voit rien de forcéque tout y eſt naturel, que tout y tombe ſons le ſens, & qu’enfin les plus ſpirituels confeſſent, que les paſſions produiroient en eux les meſmes effects, qu’ils produiſent en ceux, qu’il introduit ſur la Scene.	On ne doit donc pas s'étonner après cela, si ses Piedes ont une si extraor, dinaire réussite, puisque l'on n'y voit rien de forcéque tout y est naturel, que tout y tombe sons le sens, et qu'enfin les plus spirituels confessent, que les passions produiraient en eux les mêmes effets, qu'ils produisent en ceux, qu'il introduit sur la Scène.
Je u’aurois jamais fait, ſi je pretendois vous dire tout ce qui rend recommandable l’Autheur des Pretieuſes Ridicules, & du Cocu Imaginaire:	Je nu'aurais jamais fait, si je prétendais vous dire tout ce qui rend recommandable l'Auteur des Prifieuses Ridicules, et du Cocu Imaginaire:
C’eſt ce qui fait, que je ne vous entretiendray pas davantage, pour vous dire que quelques beautez, que cette Pieçe vous faſſe voir ſur le Pappier, elle n’a pas encore tous les agremens, que le Theâtre donne d’ordinaire à ces ſortes d’Ouvrages.	C'est ce qui fait, que je ne vous entretiendrai pas davantage, pour vous dire que quelques beautés, que cette Pie vous fasse voir sur le Papier, elle n'a pas encore tous les agréments, que le Théâtre donne d'ordinaire à ces sortes d'Ouvrages.
Je taſcheray toutefois de vous en faire voir quelque choſe aux endroits où il ſera neceſſaire pour l’intelligence des Vers & du ſujet, quoy qu’il ſoit aſſez difficile de bien exprimer ſur le pappier, ce que les Poëtes appellent Jeux de Theâtre, qui ſont de certains endroits, où il faut que le corps & le viſage jouënt beaucoup, & qui dépendent plus du Comedien que du Poëte, conſiſtant preſque touſiours dans l’action.	Je tâcherai toutefois de vous en faire voir quelque chose aux endroits où il sera nécessaire pour l'intelligence des Vers et du sujet, quoi qu’il soit assez difficile de bien exprimer sur le papier, ce que les Poètes appellent Jeux de Théâtre, qui sont de certains endroits, où il faut que le corps et le visage joueût beaucoup, et qui dépendent plus du Comédien que du Poète, consistant presque toujours dans l'action.
C’eſt pourquoy je vous conſeille de venir à Paris, pour voir repreſenter le Cocu Imaginaire par ſon Autheur, & vous verrez, qu’il y fait des choſes, qui ne vous donneront pas moins d’admiration, que vous aura donné la Lecture de cette Pieçe;	C'est pourquoi je vous conseille de venir à Paris, pour voir représenter le Cocu Imaginaire par son Auteur, et vous verrez, qu'il y fait des choses, qui ne vous donneront pas moins d'admiration, que vous aura donné la Lecture de cette Pieçe;
mais je ne m’apperçoy pas que je vous viens de promettre, de ne vous plus entretenir de I'eſprit de cet Autheur;	mais je ne m'aperçois pas que je vous viens de promettre, de ne vous plus entretenir de J'esprit de cet Auteur;
puiſque vous en découvrirez plus dans les Vers que vous allez lire, que dans tous les diſcours que je vous en pourrois faire.	puisque vous en découvrirez plus dans les Vers que vous allez lire, que dans tous les discours que je vous en pourrais faire.
Je ſçay bien que je vous ennuye & je m’imagine vous voir paſſer les yeux avec chagrin par deſſus cette longue Epiſtre, mais prenez-vous en à l’Autheur.	Je sais bien que je vous ennuie et je m'imagine vous voir passer les yeux avec chagrin par -dessus cette longue Épître, mais prenez-vous en à l'Auteur.
dit le quart de ce que j’avois à dire à ſon advantage.	dit le quart de ce que j'avais à dire à son avantage.
Mais je finis, de peur que cette Epiſtre n’attire quelque maudiſſon ſur elle, & je gage que dans l’impatiençe où vous eſtes, vous ſerez bien aiſe d’en voir la fin & le commencement de cette Pieçe.	Mais je finis, de peur que cette Épître n'attire quelque maudisson sur elle, et je gage que dans l'impatiençe où vous êtes, vous serez bien aise d'en voir la fin et le commencement de cette Pieçe.
A 4	A 4
GORGIBUS, Bourgeois de Paris.	GORGIBUS, Bourgeois de Paris.
CELIE, ſa Fille.	CELIE, sa Fille.
a an res liſiaaaua cener	a an rés lisiaaua cener
GROS-RENE’, Valet de Lelie.	GROS-RENE', Valet de Lélie.
SGANARELLE, Bourgeois de Paris, & Cocu imaginaire.	SGANARELLE, Bourgeois de Paris, et Cocu imaginaire.
SA FEMME.	SA FEMME.
VILLEBREQUIN Pere de Valere,	VILEBREQUIN Père de Valère,
SGANARELLE LE DU IMAGINAIRE.	SGANARELLE LE DU IMAGINAIRE.
COMEDIE.	COMÉDIE.
OOEETD ANEMIENC.	OOETD ANEMIENC.
GORGIBUS, CELIE, la SUIVANTE.	GORGIBUS, CÉLIE, la SUIVANTE.
ETTE premiere Scene, où Gorgibus avecque ſa fille, fait voir à l’Auditeur, que l’Avarice eſt la Paſſion la plus ordinaire aux Vieillards, de meſme que l’Amour eſt celle qui regne le plus ſouvent dans un jeune cœur & principalement dans celuy d’une fille;	ETTE première Scène, où Gorgibus avec sa fille, fait voir à l'Auditeur, que l'Avarice est la Passion la plus ordinaire aux Vieillards, de rendre que l'Amour est celle qui règne le plus souvent dans un jeune cœur et principalement dans celui d'une fille;
car l’on y voit Gorgibus malgrè le choix qu’il avoit fait de Lelie pour ſon Gendre, preſſer ſa fille d’agréer un autre Eſpoux nommé Valere, incomparablement plus mal fait que Lelie, ſans donner d’autre raiſon de ce changement, ſinon que le dernier eſt plus riche.	car l'on y voit Gorgibus malgrè le choix qu'il avait fait de Lélie pour son Gendre, presser sa fille d'agréer un autre Espoux nommé Valère, incomparablement plus mal fait que Lélie, sans donner d'autre raison de ce changement, sinon que le dernier est plus riche.
L’on void d’un autre coſté, que l’amour ne ſort pas facilement du cœur d’une fille, quand unefois il en à ſçeu prendre:	L'on voit d'un autre côté, que l'amour ne sort pas facilement du cœur d'une fille, quand unefois il en a su prendre:
c’eſt ce qui fait un agreable combat dans cette Scene entre le Pere & la Fille, le Pere luy voulant perſuader qu’il faut eſtre o eyſſante, & luy propoſant pour la devenir, au lieu de la lecture de Clelie, celle de quelques vieux Livres, qui marquent l’antiquité du bõ barbare, ſi l’on en comparoit le ſtyle à celuy des ouvrages de l’illuſtre Sapho.	c'est ce qui fait un agréable combat dans cette Scène entre le Père et la Fille, le Père Je voulant persuader qu'il faut être ô eussante, et lui proposant pour la devenir, au lieu de la lecture de Clélie, celle de quelques vieux Livres, qui marquent l'antiquité du b barbare, si l'on en comparait le style à celui des ouvrages de l'illustre Saphote.
Mais que tout ce que ſon pere luy dit la touche peu, elle abandonneroit volontiers la lecture de toutes ſortes de livres, pour s’occuper à repaſſer ſans ceſſe en ſon eſprit les belles qualitez de ſon Amant, & les plaiſirs dont joüiſſent deux perſonnes qui ſe marient, quand ils s’ayment mutuellement;	Mais que tout ce que son père avait dit la touche peu, elle abandonnerait volontiers la lecture de toutes sortes de livres, pour s'occuper à repasser sans cesse en son esprit les belles qualités de son Amant, et les plaisirs dont jouissent deux personnes qui se marient, quand ils s'aiment mutuellement;
mais las!	mais las!
que ce cruel pere luy donne ſujet d’avoir bien de plus triſtes penſées:	que ce cruel père Se donne sujet d'avoir bien de plus tristes pensées:
il la preſſe ſi-fort que cette fille affligée n’a plus de recours qu’aux larmes, qui ſont les armes ordinaires de ſon ſexe;	il la presse si-fort que cette fille affligée n'a plus de recours qu'aux larmes, qui sont les armes ordinaires de son sexe;
qui ne ſont pas toutefois aſſez puiſſantes pour vaincre l’avarice de cet inſenſible pere, qui la laiſſe toute éplorée.	qui ne sont pas toutefois assez puissantes pour vaincre l'avarice de cet insensible père, qui la laisse toute éplorée.
Voicy les vers de cette Scene, qui vous feront voir ce que je vous viens de dire, mieux que je n’ay fait dans cette Proſe.	Voici les vers de cette Scène, qui vous feront voir ce que je vous viens de dire, mieux que je n'ai fait dans cette Prose.
CELIE ſortant toute eſplorée, & ſon pere la ſuivant.	CELIE sortant toute esplorée, et son père la suivant.
Ah!	Ah!
n’eſperez jamais, que mon cœur y conſente.	n'espérez jamais, que mon cœur y consente.
GORGIBUS.	GORGIBUS.
Que marmottez-vous là, petite impertinente, Vous pretendez choquer, ce que j’ay reſolu, Je n’auray pas ſur vous un pouvoir abſolu, Et par ſottes raiſons voſtrejeunne cervelle Voudroit regler icy la raiſon paternelle?	Que marmottez-vous là, petite impertinente, Vous prétendez choquer, ce que j'ai résolu, Je n'aurai pas sur vous un pouvoir absolu, Et par sottes raisons votrejeunne cervelle Voudrait régler ici la raison paternelle?
Qui de nous deux à l’autre a droit de faire loy, A voſtre advis qui mieux ou de vous ou de moy, O ſotte, peut juger ce qui vous eſt utile?	Qui de nous deux à l'autre a droit de faire loi, À votre avis qui mieux ou de vous ou de mo, Ô sotte, peut juger ce qui vous est utile,
Par la corbleu, gardez d’échauffer trop ma bile, Vous pourriez eſprouver ſans beaucoup de longueur, Si mon bras ſçait encor montrer quelque vigueur, Voſtre plus court ſera, Madame la mutine, D’accepter ſans façons l’Eſpoux qu’on vous deſtine, I'ignore, dites-vous, de quelle humeur il eſt, Et dois auparavant conſulter s’il vous plaiſt.	Par la corbleu, gardez d'échauffer trop ma bile, Vous pourriez éprouver sans beaucoup de longueur, Si mon bras sait encor montrer quelque vigueur, Votre plus court sera, Madame la mutine, D'accepter sans façons l'Époux qu'on vous destine, J'ignore, dites-vous, de quelle humeur il est, Et dois auparavant consulter s'il vous plaît.
Informe du grand bien qui luy tombe en partage.	Informe du grand bien qui lui tombe en partage.
DoyDoy-je prendre le ſoin d’en ſçavoir davantage?	DoisDoi-je prendre le soin d'en savoir davantage?
Et cet eſpoux ayant vingt mille bons Ducats, Pour eſtre aimé de vous, doit-il manquer d’appas?	Et cet époux ayant vingt mille bons Ducats, Pour être aimé de vous, doit-il manquer d'appas?
imnen, tel qu’il puiſſe eſtre avecque cette ſomme Je vous ſuis caution, qu’il eſt tres honneſte homme.	imnen, tel qu'il puisse être avec cette somme Je vous suis caution, qu'il est très honnête homme.
Helas!	Hélas!
CELTE.	CELTE.
GORGIBUS.	GORGIBUS.
Et bien helas!	Et bien hélas!
que veut dire cecy?	que veut dire ceci?
Voyez le bel helas!	Voyez le bel hélas!
qu’elle nous donne icy.	qu'elle nous donne ici.
He!	He!
que ſi la colere une fois me tranſporte, Je vous feray chanter helas de bonne ſorte, Voila, voilà, le fruit de ces empreſſemens, Qu’on vous voit nuit & jour à lire vos Romans;	que si la colère une fois me transporte, Je vous ferai chanter hélas de bonne sorte, Voilà, voilà, le fruit de ces empressements, Qu'on vous voit nuit et jour à lire vos Romans;
De colibets d’amour voſtre teſte eſt remplie, Et vous parlez de Dieu, bien moins que de Clelie, Jettez-moy dans le feu tous ces mechans écrits, Qui gaſtent tous les jours tant de jeunnes eſprits:	De colibets d'amour votre tête est remplie, Et vous parlez de Dieu, bien moins que de Clélie, Jettez-moi dans le feu tous ces méchants écrits, Qui gâtent tous les jours tant de jeunes esprits:
