A MONSIEVR DE MOLIER, CHEF DE LA TROVPPE DES COMEDIENS DE MONSIEVR, FRERE VNIQVE DV ROY.	À MONSIEUR DE MOLIER, CHEF DE LA TROUPE DES COMÉDIENS DE MONSIEUR, FRÈRE VIQUE DU ROY.
ONSIEVR, Ayant eſté voir voſtre charmante Comedie du COCV IMAGINAIRE;	ONSIEUR, Ayant été voir votre charmante Comédie du COCU IMAGINAIRE;
la premiere fois qu’elle fit paroiſtre ſes beautez au public, elle me parut ſi admirable, que ie crus que ce n’eſtoit pas rendre iuſtice à vn ſi merueilleux Ouurage, que de ne le voir qu’vne fois, ce qui m’y fit retourner cinq ou ſix autres;	la première fois qu'elle fit paraître ses beautés au public, elle me parut si admirable, que sans crus que ce n'était pas rendre justice à un si merveilleux Ouvrage, que de ne le voir qu'une fois, ce qui m'y fit retourner cinq ou six autres;
& comme on retient aſſez facilement les choſes qui frappent viuement l’imagination, i’eus le bon-heur de la retenir entiere ſans aucun deſſein prémedité, & ie m’en apperceus d’vne maniere aſſez extraordinaire.	et comme on retient assez facilement les choses qui frappent vivement l'imagination, j'eus le bonheur de la retenir entière sans aucun dessein prémédité, et Seigneur m'en aperçus d'une manière assez extraordinaire.
Vn iour m’eſtant trouué dans vne aſſez celebre compagnie, où l’on s’entretenoit & de voſtre Eſprit, & du genie particulier que vous auez pour les Pieces de Theatre, ie coulay mon ſentiment parmy celuy des autres, & pour encherir pardeſſus ce qu’on diſoit à voſtre aduantage, ie voulus faire le recit de voſtre COCV IMAGINAIRE;	Un jour m'étant trouvé dans une assez célèbre compagnie, où l'on s'entretenait et de votre Esprit, et du génie particulier que vous avez pour les Pièces de Théâtre, tu coulai mon sentiment parmi celui des autres, et pour enchérir pardessus ce qu'on disait à votre avantage, une voulus faire le récit de votre COCU IMAGINAIRE;
mais ie fus bien ſurpris, quand ie vis qu’à cent Vers prés, ie ſçauois la Piece par cœur, & qu’au lieu du ſujet, ie les auois tous recitez;	mais ie pu bien surpris, quand ainsi vis qu'à cent Vers prés, tu sçauois la Pièce par cœur, et qu'au lieu du sujet, ie les avais tous récitez;
cela m’y fit retourner encore vne fois pour acheuer de retenir ce que ie n’en ſçauois pas.	cela m'y fit retourner encore une fois pour achever de retenir ce que je n'en savais pas.
Auſſi-toſt vn Gentil-homme de la Campagne de mes Amis, extraordinairement curieux de ces ſortes d’Ouurages, m’eſcriuit, & me pria de luy mander ce que c’eſtoit que le COCV IMAGINAIRE:	Aussitôt un Gentilhomme de la Campagne de mes Amis, extraordinairement curieux de ces sortes d'Ouvrages, m'escriuit, et me pria de même mander ce que c'était que le COCU IMAGINAIRE:
parce que, diſoit-il, il n’auoit point veu de Piece dont le tiltre promiſt rien de ſi ſpirituel, ſi elle eſtoit traittée par vn habile homme.	parce que, disait-il, il n'avait point vu de Pièce dont le titre promît re promît rien de, si elle était traitée par un habile homme.
Ie luy enuoyay auſſi-toſt la Piece que i’auois retenuë, pour luy montrer qu’il ne s’eſtoit pas trompé;	Je lui envoyai aussitôt la Pièce que j'avais retenue, pour lui montrer qu'il ne s'était pas trompé;
& comme il ne l’auoit point veuë repreſenter, ie creus à propos de luy enuoyer les Argumens de chaque Scene, pour luy montrer que quoy que cette Piece fût admirable, l’Autheur en la repreſentant luy-meſme y ſçauoit encore faire découurir de nouuelles beautez.	et comme il ne l'avait point vue représenter, Elle crus à propos de même envoyer les Arguments de chaque Scène, pour lui montrer que quoi que cette Pièce fut admirable, l'Auteur en la représentant Seigneur-même y savait encore faire découvrir de nouvelles beautés.
Ie n’oubliay pas de luy mander expreſſément, & meſme de le conjurer de n’en laiſſer rien ſortir de ſes mains;	Je n'oubliai pas de Seigneur mander expressément, et même de le conjurer de n'en laisser rien sortir de ses mains;
cependant ſans ſçauoir comment cela s’eſt fait, i’en ay veu courir huict ou dix copies en cette Ville, & i’ay ſceu que quantité de gens eſtoient preſts de la faire mettre ſous la preſſe;	cependant sans savoir comment cela s'est fait, j'en ai vu courir huit ou dix copies en cette Ville, et j'ai su que quantité de gens étaient prêts de la faire mettre sous la presse;
ce qui m’a mis dans vne colere d’autant plus grande, que la pluſpart de ceux qui ont decrit cet Onurage, l’ont tellement défiguré, ſoit en y adjoûtant, ſoit en y diminuant, que ie ne l’ay pas trouué reconnoiſſable:	ce qui m'a mis dans une colère d'autant plus grande, que la plupart de ceux qui ont décrit cet Onurage, l'ont tellement défiguré, soit en y ajoutant, soit en y diminuant, que je ne l'ai pas trouvé reconnaissable:
