A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Eſcuyer Sieur de Mericourt, Conſeiller du Roy, Lieutenant General Civil & Criminel au Baillage du Palais à Paris.	Écuyer Sieur de Mericourt, Conseiller du Roi, Lieutenant Général Civil et Criminel au Baillage du Palais à Paris.
Si cette Piece n’avoit receu les applaudiſſemens de toute la France, ſi elle n’avoit eſté le charme de Paris, & ſi elle n’avoit eſté le divertiſſement du plus grand Monarque de la Terre, je ne prendrois pas la liberté de vous l’offrir.	Si cette Pièce n'avait reçu les applaudissements de toute la France, si elle n'avait été le charme de Paris, et si elle n'avait été le divertissement du plus grand Monarque de la Terre, je ne prendrais pas la liberté de vous l'offrir.
Il y a long-temps que j’avois reſolu de vous preſenter quelque choſe qui vous marquaſt mes reſpects;	Il y a longtemps que j'avais résolu de vous présenter quelque chose qui vous marquât mes respects;
Mais ne trouvant rien qui ſut digne de vous eſtre offert, & qui ſut proportionné à vos merites, j’avois toûjours differé le juſte & reſpectueux hommage que je m’étois propoſe de vous rendre;	Mais ne trouvant rien qui sut digne de vous être offert, et qui sut proportionné à vos mérites, j'avais toujours différé le juste et respectueux hommage que je m'étais propose de vous rendre;
& j'euſſe peut-eſtre encore tarde long-temps à le faire, ſi le Dépit Amoureux de l’Auteur le plus approuvé de ce ſiecle ne me ſût tombé entre les mains.	et j'eusse peut-être encore tarde longtemps à le faire, si le Dépit Amoureux de l'Auteur le plus approuvé de ce siècle ne me sut tombé entre les mains.
I’ay crû, Monſieur, que je ne devois pas laiſſer echapper cette occaſion de ſatisfaire aux loix que je m’eſtois impoſées;	J'ai cru, Monsieur, que je ne devais pas laisser échapper cette occasion de satisfaire aux lois que je m'étais imposées;
& que tous les gens d’eſprit demandans tous les jours cette piece, pour avoir le plaiſir de la lecture, comme ils ont eu celuy de la repreſentation, ils ſeroient bien-aiſes de rencontrer vôtre nom à la teſte.	et que tous les gens d'esprit demandant tous les jours cette pièce, pour avoir le plaisir de la lecture, comme ils ont eu celui de la représentation, ils seraient bien-aises de rencontrer votre nom à la tête.
Pour moy, Monſieur, ma joye ſera tout à fait grande de le voir paſſer non ſeulement dans pluſieurs mains, mais encore dans la bouche des plus charmantes perſonnes du monde.	Pour moi, Monsieur, ma joie sera tout à fait grande de le voir passer non seulement dans plusieurs mains, mais encore dans la bouche des plus charmantes personnes du monde.
C’eſt alors que chacun ſe ſouviendra de toutes les belles & avantageuſes qualitez que vous poſſedez, que les uns loüeront vôtre Prudence, les autres vôtre eſprit, les autres vôtre Iuſtice, les autres la douceur qui eſt inſeparable de tout ce que vous faites, & qui eſt ſi vivement depeinte ſur votre vôtre viſage, qu’il n’eſt perſonne qui puiſſe douter que vos actions en ſoient remplies, Iugez, Monſieur, quelle ſatisfaction j’auray de ſçavoir que l’on rendra à vôtre merite ce qui luy eſt deu, que l’on vous donnera des loüanges que vous avez ſi legitimement meritées, que l’on m’eſtimera d’avoir fait un ſi juſte choix, & ſi glorieux pour moy, & que l’on loüera le zele & le reſpect avet tequel je ſuis,	C'est alors que chacun se souviendra de toutes les belles et avantageuses qualités que vous possédez, que les uns loueront votre Prudence, les autres vôtre esprit, les autres votre Justice, les autres la douceur qui est inséparable de tout ce que vous faites, et qui est si vivement dépeinte sur votre vôtre visage, qu'il n'est personne qui puisse douter que vos actions en soient remplies, Jugez, Monsieur, quelle satisfaction j'aurai de savoir que l'on rendra à votre mérite ce qui lui est deu, que l'on vous donnera des langes que vous avez si légitimement m, que on 'estime avoir fait un si juste choix, et si glorieux pour moi, et que l'on loüera le zele et m' est avet tequel je suis,
MONSIEUR, Voſtre tres-humble, & tres-obeïſſant ſerviteur, .	MONSIEUR, Votre très-humble, et très-obeïssant serviteur, .
QUINET.	QUINET.
LES PERSONNAGES.	LES PERSONNAGES.
ERASTE, Amant de Lucile.	ERASTE, Amant de Lucile.
LBERT, Pere de Lucile.	LBERT, Père de Lucile.
ROS-RENE’, Valet d’Eraſte.	ROS-RENE', Valet d'Éraste.
ALERE, Fils de Polidore.	ÀLERE, Fils de Polidore.
13 a e la Ey Illeu Aloeit.	13 a eu la É Lu Alvoeit.
AARTRETTE, ouſvaite de Lucile.	AARTRETTE, ousvaite de Lucile.
LIDORE, Pere de Valere.	LIDORE, Père de Valère.
SINE, Confidente d’Aſcagne.	SÌNE, Confidente d'Ascagne.
CAGNE, Fille ſous l’habit d’homme.	CAGNE, Fille sous l'habit d'homme.
ME A P HRASTE, Pedant.	ME A P RASTE, Pédant.
LA RAPTERE, Breteur.	LA RAPTERE, Breteur.
D E P AMOUREUX.	 DE AMOUREUX.
COMEDIE.	COMÉDIE.
ACTE I.	ACTE I.
CENEI.	CENEI.
ERASTE, GROS-RENE'.	ERASTE, GROS-RENE.
A ERASTE.	A ERASTE.
Eux-tu que je te die?	Eux-tu que je te die?
une atteinte ſecrete Ne laiſſe point mon ame en une bonne aſſiette :	une atteinte secrète Ne laisse point mon âme en une bonne assiette :
Ouy, quoy qu’à mon amour tu puiſles lepaltn , Il craint d’eſtre la dupe, a ne te point mentir :	Oui, quoi qu'à mon amour tu puisles lepaltn , Il craint d'être la dupe, à ne te point mentir :
Qu’en faveur d’un rival ta foy ne ſe corrompe, Ou du moins, qu’avec moy, toy-meſme on ne te trompe.	Qu'en faveur d'un rival ta foi ne se corrompe, Ou du moins, qu'avec moi, toi-même on ne te trompe.
GRO SRENE’.	GRO SRENE.
Pour moy, me ſoupçonner de quelque mauvais tour, Je diray, n’en déplaiſe a Monſieur vôtre amour, Que c’eſt injuſtement bleſſer ma preud’hommie, Et ſe connoiſtre mal en phiſionomie.	Pour moi, me soupçonner de quelque mauvais tour, Je dirai, n'en déplaise a Monsieur votre amour, Que c'est injustement blesser ma prud'hommie, Et se connaître mal en physionomie.
Les gens de mon minois ne ſont point aceuſez D’eſtre, graces à Diea, ny fourbes ny ruſez:	Les gens de mon minais ne sont point aceusez D'être, grâces à Diea, Seigneur fourbesrit rusez:
