PERGONNAGES.	PERGONAGES.
ACANTE, Afhant de Daphné.	ACANTE, Afhant de Daphné.
YRENE, Amant d’Eroxene.	IRENE, Amant d'Éroxène.
DAPHNE’, Bergere.	DAPHNE', Bergère.
EROXENE, Bergere.	EROXENE, Bergère.
LYCARSIS, Paſtre, crû pere de Myrtil.	LYCARSIS, Pastre, crû père de Myrtil.
MIRPIE, irmant de Melicerte.	MIRPIE, irmant de Mélicerte.
MBEICERIE Rympne ou Beigere, Amante de MyrtH.	MBEICERIE Rympne ou Beigère, Amante de MyrtH.
CORINE, Confidente de Melicerte.	CORINE, Confidente de Mélicerte.
L ICANDRE, beiger.	 LCANDRE, beiger.
MOPSE Berger, crû Oncle de Melicerte.	MOPSE Berger, cru Oncle de Mélicerte.
La Scene eſt en Theſſalie dans la Valée de Tempé.	La Scène est en Thessalie dans la Valée de Tempé.
ME	ME
MELICERTE, COMEDIE PASTORALE HEROIQUE.	MELICERTE, COMÉDIE PASTORALE HÉROÏQUE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TYRENE, DAPHNE', ACANTE, EROXENE.	TYRENE, DAPHNE, ACANTE, EROXENE.
ACANTE.	ACANTE.
1.	1.
chdiſſante Dapnne.	chédissante Dapannne.
ER OXENE.	ER OXENE.
Ne me ſuis point, Tyrene.	Ne me suis point, Tyrène.
ACANTE.	ACANTE.
Pourquoy me chaſſes tu?	Pourquoi me chasses tu?
1 RENE.	1 RENE.
Pourquoy fuis tu mes pas?	Pourquoi fuis tu mes pas?
P 2 DAPH	 2 DAPH
DAPHNE' Tu me plais loin de moy.	DAPHNE -Tu me plais loin de moi.
EROXENE.	EROXENE.
Je m’ayme où tu n’es pas.	Je m'aime où tu n'es pas.
ACANTE.	ACANTE.
Ne ceſſeras-tu point cette rigueur mortelle?	Ne cesseras-tu point cette rigueur mortelle?
TRLRE.	TRLRE.
Ne ceſſeras tu point de m’eſtre ſi cruelle?	Ne cesseras -tu point de m'être si cruelle?
A PINI.	À PINI.
Ne ceſſeras tu point tes inutiles vœux?	Ne cesseras -tu point tes inutiles vœux?
EROXENE.	EROXENE.
rie sentras tu point de m’eſtre ſi fâcheux?	rie sentras -tu point de m'être si fâcheux?
ACANTE.	ACANTE.
Srtu nen prenuspuie, je luecoinde à ma peine.	Srtu nen prenuspuie, je luecoinde à ma peine.
YRENE.	IRENE.
Si tu ne me ſecours, ma mort en trop certaine.	Si tu ne me secours, ma mort en trop certaine.
DAPHNE'.	DAPHNE.
Si tu ne veux partir, je vais quitter ce lieu.	Si tu ne veux partir, je vais quitter ce lieu.
EROXENE.	EROXENE.
Si tu veux demeurer, je te vais dire adieu.	Si tu veux demeurer, je te vais dire adieu.
A CANL.	À CANL.
Hé bien en m’éloignant, je te vais ſatisfaire.	Hé bien en m'éloignant, je te vais satisfaire.
IRENE.	IRENE.
Mon départ va t’oſter ce quite peut deplaire.	Mon départ va t'ôter ce qui peut déplaire.
ACANTE.	ACANTE.
Genereuſe Eroxene, en faveur de mes feux, Daigne au moins par pitié luy dire un mot ou deux.	Généreux Eroxène, en faveur de mes feux, Daigne au moins par pitié lui dire un mot ou deux.
YRENE.	IRENE.
Obligeante Daphné, parle à cette inhumaine, Et ſçache d’où pour moy procede tant de haine.	Obligeante Daphné, parle à cette inhumaine, Et sache d'où pour moi procède tant de haine.
SCENE II.	SCÈNE II.
DAPHNE', EROXENE.	DAPHNE, EROXENE.
EROXENE.	EROXENE.
Cante a du merite, & t’aime tendrement.	Cante a du mérite, et t'aime tendrement.
A L’où vient que uuery lals un ſi durtraitement?	À L'où vient que ouveri lals un si durtraitement?
DAPH	DAPH
DAFHNR'.	DAFHNR'.
Tyrene vaut beaucoup, & languit pour tes charmes;	Tyrène vaut beaucoup, et languit pour tes charmes;
D'où vient que ſans pitié tu vois couler ſes larmes?	D'où vient que sans pitié tu vois couler ses larmes?
EROXENE.	EROXENE.
nuinquej uy rureloy la delamdeaya ſa coy, La raiſon te condamne à répondre avant moy.	nuinquejà sa rureloi la délamdeaya sa coi, La raison te condamne à répondre avant moi.
DAP'HNE’, Pour tous les ſoins d’Acante, on me voit inflesibie, Parce qu’a d’autres feux je me trouve ſenſible.	DAPP'HNE, Pour tous les soins d'Acante, on me voit inflesibie, Parce qu'a d'autres feux je me trouve sensible.
EROXENE.	EROXENE.
Je ne fais pour Tyrene éclater que rigueur, l'arce qu’un autre choix eſt maiſtre de mon cœur.	Je ne fais pour Tyrène éclater que rigueur, l'arce qu'un autre choix est maître de mon cœur.
APHNE’, Puis-je ſçavoir de toy ce choix qu’on te voit taire?	APHNE -, Puis-je savoir de toi ce choix qu'on te voit taire?
EROXEN E.	EROXEN E.
Oüy, ſi tu veux du tien m’apprendre le miſtere.	Oui, si tu veux du tien m'apprendre le mystère.
