PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
ARISTIONE PRINCESSE, Mere d’Eriphile.	ARISTIONE PRINCESSE, Mère d'Eriphile.
ERIPHILE, Fille de la Princeſſe.	ERIPHILE, Fille de la Princesse.
CLEONICE, Confidente d’Eriphile.	CLÉONICE, Confidente d'Eriphile.
CHOREBE, de la ſuite de la Princeſſe.	CHOREBE, de la suite de la Princesse.
CRA 8 TTMOCLES, Amans magnifiques.	CRA 8 TTMOCLES, Amants magnifiques.
SOSTRATE, General d’Armée, Amant d’Eriphile.	SOSTRATE, Général d'Armée, Amant d'Eriphile.
CLITIDAS, Plaiſant de Cour, de la ſuite d’Eriphile.	CLITIDAS, Plaisant de Cour, de la suite d'Eriphile.
CLEON, Fils d’Anaxarque.	CLEON, Fils d'Anaxarque.
ANAXARQUE, Aſtrologue.	ANAXARQUE, Astrologue.
UNE FAUSSE VENUS, d’intelligence avec Anaxarque.	UNE FAUSSE VENUS, d'intelligence avec Anaxarque.
La Scene eſt en Theſſalie, daus la delicieuſe Vallée de Tempé.	La Scène est en Thessalie, daus la délicieuse Vallée de Tempé.
AVANIIRJIOD.	AVANIIRJIOD.
& E ROY qui ne veut que des choſes extraordinaires dans tout ce qu’il entreprend, s’eſt propo9 ſé de donner à ſa Cour un Divertiſſement qui fût compoſé de tous ceux que le Theatre peut fournir;	et E ROY qui ne veut que des choses extraordinaires dans tout ce qu'il entreprend, s'est prop9 zé de donner à sa Cour un Divertissement qui fût composé de tous ceux que le Théâtre peut fournir;
& pour embraſſer cette vaſte Idée, & enchaîner enſemble tant de choſes diverſes, SA MAJESTE' a choiſi pour ſujet deux Princes Rivaux, qui dans le champeſtre ſejour de la Vallée de Tempé, où l’on doit celebrer la Feſte de Jeux Pythiens, regalent à l’envy une jeune Princeſſe & ſa Mere, de toutes les garanteries dont ns le peuvent aviſer.	et pour embrasser cette vaste Idée, et enchaîner ensemble tant de choses diverses, SA MAJESTÉ a choisi pour sujet deux Princes Rivaux, qui dans le champêtre séjour de la Vallée de Tempé, où l'on doit célébrer la Fête de Jeux Pynthiens, régalent à l'envi une jeune Princesse et sa Mère, de toutes les garanteries dont ns le peuvent aviser.
PREMIER INTERMEDE.	PREMIER INTERMÈDE.
E Theatre s’ouvre à l’agreable bruit de quantité d’inſtrumens, & d’abord il offre aux yeux une vaſte Mer, bordée de chaque coſté de quatre grands Rochers, dont le ſommet porte chacun un Fleuve, accoudé ſur les marques de ces ſortes de Deïtez.	 Theatre s'ouvre à l'agréable bruit de quantité d'instruments, et d'abord il offre aux yeux une vaste Mer, bordée de chaque côté de quatre grands Rochers, dont le sommet porte chacun un Ève, accoudé sur les marques de ces sortes de Deïtez.
Au pied de ces Rochers ſont douze Tritons de chaque coſté, & dans le milieu de la Mer quatre Amours montez ſur des Dauphins, & derriere eux le Dieu Hole élevé au deſſus des Ondes ſur un petit nüage.	Au pied de ces Rochers sont douze Tritons de chaque côté, et dans le milieu de la Mer quatre Amours montez sur des Dauphins, et derrière eux le Dieu Hole élevé au dessus des Ondes sur un petit nuage.
Role commande aux Vents de ſe retirer, & tandis que quatre Amours, douze Tritons, & huit Fleuves luy repondent, la Mer ſe calme, & du milieu des Ondes on voit s’éleverune Iſle.	Role commande aux Vents de se retirer, et tandis que quatre Amours, douze Tritons, et huit Fleuves lui répondent, la Mer se calme, et du milieu des Ondes on voit s'éleverune Isle.
Huit peſcheurs ſortent du fond dela Mer avec des nacres de Perles, & des branches de Corail, & aprés une Dance agreable vont ſe placer chacun ſur un rocher au deſſous d’un Fleuve.	Huit pêcheurs sortent du fond déla Mer avec des nacres de Perles, et des branches de Corail, et après une Dé agréable vont se placer un sur un rocher au dessous d'un Fleuve.
Le Chœur de la Muſique annonce la venuë de Neptune, & tandis que ce Dieu dance avec ſa ſuite, les Peſcheurs, les Tritons, & ies Fieuves accompagnent ſes pas de geſtes differents, & de bruit de conques de Perles.	Le Chœur de la Musique annonce la venue de Neptune, et tandis que ce Dieu dance avec sa suite, les Pêcheurs, les Tritons, et et Jieuves accompagnent ses pas de gestes différents, et de bruit de conques de Perles.
Tout ce Spectacle eſt une Magnifique Galanterie, dont l’un des rimees legale lui la Mer la plomenade des Princeſſes.	Tout ce Spectacle est une Magnifique Galanterie, dont l'un des rimées légale lui la Mer la plomenade des Princesses.
PREMIERE ENTRE’E DE BALLET.	PREMIÈRE ENTRE DE DE BALLET.
NEPTUNE, & ſix Dieux Marins.	NEPTUNE, et six Dieux Marins.
DEURIEME ENTREE DE BALLET Huit Peſcheurs de Corail.	DEURIEME ENTRE DE BALLET Huit Pêcheurs de Corail.
RECIT D’ÆOLE.	RÉCIT D'OLE.
U Ents, qui troublez les plus beaux jours, Rentrez dans vos grotes profondes;	V Ents, qui troublez les plus beaux jours, Rentrez dans vos grotes profondes;
Ei laiſſez regner ſur les ondes Les Zephirs & les Amours.	Éi laissez régner sur les ondes Les Zéphirs et les Amours.
Un Triton.	Un Triton.
Quels beaux yeux ont percé nos demeures humides?	Quels beaux yeux ont percé nos demeures humides?
Venez, venez Tritons, cachez-vous Nereides.	Venez, venez Tritons, cachez-vous Nérides.
Tous les Tritons.	Tous les Tritons.
Allons tous au devant de ces Divinitez, Et rendeus par nos chants hommage à leurs beautez	Allons tous au devant de ces Divinités, Et rendeus par nos chants hommage à leurs beautés
Un Amour.	Un Amour.
Ah que ces Princeſſes ſont belles?	Ah que ces Princesses sont belles?
Quels ſont les cœurs qui ne s'y rendroient pas?	Quels sont les cœurs qui ne s'y rendraient pas?
Un Autre Amour.	Un Autre Amour.
La plus belle des immortelles, Nôtre Mere, à bien moins d’appas.	La plus belle des immortelles, Notre Mère, à bien moins d'appas.
Chœur.	Chœur.
Auums tuus un devant ur tel Hramnitez, Et rendons par nos chants hommage à leurs beautez.	Auums tuus un devant ur tel Hramnités, Et rendons par nos chants hommage à leurs beautés.
Un Triton.	Un Triton.
Quel noble ſpectacle s'avance!	Quel noble spectacle s'avance!
Neptune le grand Dieu, Neptune avec ſa Cour Vient honorer ce beau jour De ſon Auguſte preſence.	Neptune le grand Dieu, Neptune avec sa Cour Vient honorer ce beau jour De son Auguste présence.
Chœur.	Chœur.
Redoublons nos Concerts, Et faiſons retentir dans le vague des Airs Noſtre rejouiſſance.	Redoublons nos Concerts, Et faisons retentir dans le vague des Airs Notre réjouissance.
POUR LE ROY, repreſentant	POUR LE ROY, représentant
TUNE.	TUNE.
E Ciel entre les Dieux les plus conſiderez.	E Ciel entre les Dieux les plus considérez.
Me donne pour partage un rang conſiderable, Et me faiſant regner ſur les flots azurez, Rend à tout l'Vaivers mon pouvoir redoutable.	Me donne pour partage un rang considérable, Et me faisant régner sur les flots azurez, Rend à tout l'Vaivers mon pouvoir redoutable.
Il n’eſt aucune terre à me bien ręgarder Qui ne doive trembler que je ne m’y répande;	Il n'est aucune terre à me bien ręgarder Qui ne doive trembler que je ne m'y répande;
