PREFACE.	PRÉFACE.
Eſt vne choſe eſtrange, qu'on imprime les Gens, malgré eux.	Est une chose étrange, qu'on imprime les Gens, malgré eux.
Ie ne vois rien dé ſi iniuſte, & ie pardonnerois toute autre violence, pluſtoſt que celle-là.	Je ne vois rien de si injuste, et ainsi pardonnerais toute autre violence, plutôt que celle-là.
Ce n’eſt pas que ie veüille faire icy l’autheur modeſte, & mepriſer par honneur ma.	Ce n'est pas que ici veuille faire ici l'auteur modeste, et mépriser par honneur ma.
Comedie.	Comédie.
I’offenſerois mal à propos tout Paris, ſi ie l’accuſois d’auoir pû applaudir à vne ſottiſe, comme le public eſt le Iuge abſolu de ces ſortes d’ouurages, il y auroit de l’impertinence à moy, de le démentir, & quand i’aurois eu la plus mauuaiſe opinion du monde de mes Precieuſes Ridicules, auant leur repreſentation, ie dois croire maintenant, qu’elles valent quelque choſe, puiſque tant de gens enſemble en ont dit du bien:	J'offenserais mal à propos tout Paris, si ici l'accusais d'avoir pu applaudir à une sottise, comme le public est le Juge absolu de ces sortes d'ouvrages, il y aurait de l'impertinence à moi, de le démentir, et quand j'aurais eu la plus mauvaise opinion du monde de mes Précieuses Ridicules, avant leur représentation, je dois croire maintenant, qu'elles valent quelque chose, puisque tant de gens en en ont dit du bien:
mais comme vne grande partie des graces, qu’on y a trouuées, dépendent de l’action, & du ton de voix, il m'importoit, qu’on ne les dépoüillaſt pas de ces ornemens, & ie trouuois que le ſuccés, qu’elles auoient eû dans la repreſentation, eſtoit aſſez beau, pour en demeurer là.	mais comme une grande partie des grâces, qu'on y a trouvées, dépendent de l'action, et du ton de voix, il m'importait, qu'on ne les dépouillât pas de ces ornements, et Seigneur trouvais que le succès, qu'elles avaient eu dans la représentation, était assez beau, pour en demeurer là.
I’auois réſolu, dis-ie, de ne les faire voir, qu’à la chandelle, pour ne point donner lieu à quelqu'vn, de dire le Prouerbe;	J'avais résolu, dis-je, de ne les faire voir, qu'à la chandelle, pour ne point donner lieu à quelqu'H, de dire le Prouerbe;
& ie ne voulois pas qu’elles ſautaſſent du Theatre de Bourbon, dans la Galerie du Palais.	et petit ne voulais pas qu'elles sautassent du Théâtre de Bourbon, dans la Galerie du Palais.
Cependant ie n’ay pû l’éviter, & ie ſuis tombé dans la diſgrace de voir vne copie dérobée de ma piece, entre les mains des Libraires, accomgnée d’vn Priuilege obtenu par ſurpriſe.	Cependant ici n'ai pu l'éviter, et votre suis tombé dans la disgrâce de voir une copie dérobée de ma pièce, entre les mains des Libraires, accomgnée d'un Privilège obtenu par prise.
I’ay eu beau crier, ô temps!	J'ai eu beau crier, ô temps!
ô mœurs!	ô mœurs!
on m'a fait voir vne nęceſsité pour moy d’eſtre imprimé, ou d’auoir vn procés, & le dernier mal eſt encore pire, que le premier.	on m'a fait voir une nécessité pour moi d'être imprimé, ou d'avoir un procès, et le dernier mal est encore pire, que le premier.
Il faut donc ſe laiſſer aller à la deſtinée, & conſentir à vne choſe, qu’on ne laiſſeroit pas de faire ſans moy.	Il faut donc se laisser aller à la destinée, et consentir à une chose, qu'on ne laisserait pas de faire sans moi.
Mon Dieu, l’étrange embarras, qu’vn Liure à mettre au iour!	Mon Dieu, l'étrange embarras, qu'un Livre à mettre au jour!
& qu’vn Autheur eſt neuf, la premiere fois qu’on l’imprime!	et qu'un Auteur est neuf, la première fois qu'on l'imprime!
encore ſi l’on m’auoit donné du temps, i’aurois pû mieux ſonger à moy, & i’aurois pris toutes les precautions, que Meſsieurs les Autheurs, à preſent mes confreres, ont couſtume de prendre en ſemblables occaſions.	encore si l'on m'avait donné du temps, j'aurais pu mieux songer à moi, et j'aurais pris toutes les précautions, que Messieurs les Auteurs, à présent mes confrères, ont coutume de prendre en semblables occasions.
