A PARIS, Chez GABRIEL QVINET, au Palais, dans la Galerie des Priſonmer à l’Ange Gardien.	À PARIS, Chez GABRIEL QUINET, au Palais, dans la Galerie des Prisonmer à l'Ange Gardien.
A MONSIEVR MONSIEVR HOVRLIER ESCVYER SIEVR DE Mericourt, Conſeiller du Roy, Lieutenant General Ciuil & Criminel au Baillage du Palais à Paris.	À MONSIEUR MONSIEUR HOURLIÈR ÉCUYER SIEUR DE Mericourt, Conseiller du Roi, Lieutenant Général Civil et Criminel au Baillage du Palais à Paris.
re, ie ne prendrois pas la liberté de vous l’offrir.	re, Seigneur ne prendrais pas la liberté de vous l'offrir.
Il y a long-temps que i’auois reſolu de vous preſenter quelque choſe qui vous marquaſt mes respects, Mais ne trouuant rien qui fuſt digne de vous eſtre offert, & qui fuſt proportionné à vos merites, i’auois touſiours differé le iuſte & respectueux hommage que ie m’étois proposé de vous rendre;	Il y a longtemps que j'avais résolu de vous présenter quelque chose qui vous marquât mes respects, Mais ne trouvant rien qui fût digne de vous être offert, et qui fût proportionné à vos mérites, j'avais toujours différé le juste et respectueux hommage que deux m'étais proposé de vous rendre;
& i’euſſe peut-eſtre encore tardé long-temps à le faire, ſi le DEPIT A MOVREVY de l’Autheur le plus approuue de ce ſiecle ne me fuſt tombé entre les mains.	et j'eusse peut-être encore tardé longtemps à le faire, si le DÉPIT A MOUREUY de l'Auteur le plus approuve de ce siècle ne me fût tombé entre les mains.
I’ay crû, Monſieur, que ie ne deuois pas laiſſer échapper cette occaſion de ſatisfaire aux loix que ie m’étois imposées, & que tous les gens d’esprit demandans tous les iours cette piece, pour auoir le plaiſir de la lecture, comme ils ont eu celuy de la repreſentation, ils ſeroient bien aiſes de rencontrer vôtre nom à la teste.	J'ai cru, Monsieur, que je ne devais pas laisser échapper cette occasion de satisfaire aux lois que je m'étais imposées, et que tous les gens d'esprit demandants tous les jours cette pièce, pour avoir le plaisir de la lecture, comme ils ont eu celui de la représentation, ils seraient bien aises de rencontrer votre nom à la tête.
Pour moy, Monſieur, ma ioye ſera tout à fait grande de le voir paſſer, non ſeulement dans pluſieurs mains, mais encor dans la bouche des plus charmantes perſonnes du monde;	Pour moi, Monsieur, ma joie sera tout à fait grande de le voir passer, non seulement dans plusieurs mains, mais encor dans la bouche des plus charmantes personnes du monde;
c’eſt alors que chacun ſe ſouuiendra de toutes les belles & auantageuſes qualitez que vous poſſedez, que les vns loueront voſtre Prudence, les autres vostre esprit, les autres voſtre Iustice, les autres la douceur qui eſt inſeparable de tout ce que vous faites, & qui eſt ſi viuement dépeinte ſur vostre viſage, qu’il n’eſt perſonne qui puiſſe douter que vos actions n’en ſoient remplies.	c'est alors que chacun se souviendra de toutes les belles et avantageuses qualités que vous possédez, que les uns loueront était Prudence, les autres votre esprit, les autres votre Justice, les autres la douceur qui est inséparable de tout ce que vous faites, et qui est si vivement dépeinte sur votre visage, qu'il n'est personne qui puisse douter que vos actions n'en soient remplies.
Iugez, Monſieur, quelle ſatisfaction i’auray de ſçauoir que l’ox rendra à vostre merite ce qui luy eſt deu, que l’on vous donnera des loüanges que vous auez ſi legitimement meritées, que l’on m’estimera d’auoir fait vn ſi iuste choix, & ſi glorieux pour moy, & que l’on loüera le Zele & le repect auec lequel ie ſuis,	Jugez, Monsieur, quelle satisfaction j'aurai de savoir que l'ox rendra à votre mérite ce qui lui est dev, que l'on vous donnera des louanges que vous avez si légitimement méritées, que l'on m'estimera d'avoir fait un si juste choix, et si glorieux pour moi, et que l'on louera le Zèle et le repect avec lequel ie fois,
MONSIEVR,	MONSIEUR,
