dMmMlM dHO.	dMmlM dHO.
DOM GARCIE, Prince de Navarre, Amant d’Eluire.	DOM GARCIE, Prince de Navarre, Amant d'Elvire.
ELUIRE, Princeſſe de Leon.	ÉLUIRE, Princesse de Léon.
ELISE, Confidente d’Eluire.	ELISE, Confidente d'Elvire.
DOM ALPRONCE, riinte de Leon, crû Prince de Caſtille, ſous le nom de Dom s ylve.	DOM ALPRONCE, riinte de Léon, crû Prince de Castille, sous le nom de Dom s ylve.
TGNES, Comteſſe, Amante de Dom Sylve, aimée par Mauregat, Uſurpateur de l’Eſtat de Leon.	TGNES, Comtesse, Amante de Dom Sylve, aimée par Mauregat, Usurpateur de l'État de Léon.
Di HEVAR, Condent de D.	Dis HÉVAR, Condent de D.
Garcie, Amant d’Eliſe.	Garcie, Amant d'Élise.
D.	D.
LOPE, aurre Confdent de D.	LOPE, aurre Confdent de D.
Garcie, Amant rebuté d’Eliſe.	Garcie, Amant rebuté d'Élise.
D.	D.
PEDRE, Eſcuyer d’Ignes.	PÉDRE, Escuyer d'Ignès.
La Scene eſt dans Aſtorgue, Ville d’Eſpagne, dans le Royaume de Leon.	La Scène est dans Astorgue, Ville d'Espagne, dans le Royaume de Léon.
DOM GARCIE DE NAVARRE, LE PRINCE JALOUX, COMEDIE.	DOM GARCIE DE NAVARRE, LE PRINCE JALOUX, COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
D.	D.
ELUIRE, ELISE.	ÉLUIRE, ÉLISE.
D.	D.
ELUIRE.	ÉLUIRE.
On, ce n’eſt point un choix, qui pour ces deux Amans, Sceut regler de mon cœur les ſecrets ſentimens;	On, ce n'est point un choix, qui pour ces deux Amants, Sut régler de mon cœur les secrets sentiments;
Et le Prince n’a point dans tout ce qu’il peut eſtre, Ce qui fit preferer l’amour qu’il fait paroiſtre.	Et le Prince n'a point dans tout ce qu'il peut être, Ce qui fit préférer l'amour qu'il fait paraître.
D.	D.
Sylve comme luy fit briller à mes yeux Toutes les qualitez d’un Heros glorieux;	Sylve comme lui fit briller à mes yeux Toutes les qualités d'un Héros glorieux;
Meſme éclat de vertus, joint à meſme naiſſance, Me parloit en tous deux pour cette preference;	Même éclat de vertus, joint à même naissance, Me parlait en tous deux pour cette préférence;
Et je ſerois encor à nommer le vainqueur, Si le merite ſeul prenoit droit ſur un cœur.	Et je serais encore à nommer le vainqueur, Si le mérite seul prenait droit sur un cœur.
Mais ces chaiſnes du Ciel, qui tombent ſur nos ames, Deciderent en moy le deſtin de leurs flâmes;	Mais ces chaînes du Ciel, qui tombent sur nos âmes, Décidèrent en moi le destin de leurs flammes;
Et toute mon eſtime égale entre les deux, Laiſſa vers D.	Et toute mon estime égale entre les deux, Laissa vers D.
Garcie entraiſner tous mes vœux.	Garcie entraîner tous mes vœux.
ELISE.	ÉLISE.
Cet amour que pour luy voſtre aſtre vous inſpire, N'a ſur vos actions pris que bien peu d’empire;	Cet amour que pour venir votre astre vous inspire, N'a sur vos actions pris que bien peu d'empire;
Puiſque nos yeux, Madame, ont pû long temps douter Qui de ces deux Amans vous vouliez mieux traiter.	Puisque nos yeux, Madame, ont pu long temps douter Qui de ces deux Amants vous vouliez mieux traiter.
D.	D.
ELUIRE.	ÉLUIRE.
De ces nobles Rivaux l’amoureuſe pourſuite, A de fâcheux combats, Eliſe, m’a reduite.	De ces nobles Rivaux l'amoureuse poursuite, A de fâcheux combats, Élise, m'a réduite.
Quand je regardois l’un, rien ne me reprochoit Le tendre mouvement où mon ame panchoit;	Quand je regardais l'un, rien ne me reprochait Le tendre mouvement où mon âme penchait;
Mais je me l’imputois à beaucoup d’injaſtice, Quand de l’autre à mes yeux s’offroit le ſacrifice.	Mais je me l'imputais à beaucoup d'injastice, Quand de l'autre à mes yeux s'offrait le sacrifice.
Et Dom Sylve, aprés tout, dans ſes ſoins amoureux Me ſembloit meriter un deſtin plus heureux.	Et Dom Sylve, après tout, dans ses soins amoureux Me semblait mériter un destin plus heureux.
Ie m’oppoſois encor, ce qu’au ſang de Caſtille, Du feu Roy de Leon, ſemble devoir la Fille;	Je m'opposais encor, ce qu'au sang de Castille, Du feu Roi de Léon, semble devoir la Fille;
Et la longue amitié, qui d’un eſtroit lien Joignit les intereſts, de ſon Pere & du mien.	Et la longue amitié, qui d'un étroit lien Joignit les intérêts, de son Père et du mien.
Ainſi plus dans mon ame un autre prenoit place.	Ainsi plus dans mon âme un autre prenait place.
Aiuls de tous les leipecis je plaignois la diſgrace:	Ajuls de tous les lipecis je plaignais la disgrâce:
Ma pitié complaiſante à ſes brulans ſoûpirs, D'un dehors ſavorable amuſoit ſes deſirs;	Ma pitié complaisante à ses brûlants soupirs, D'un dehors savorable amusait ses désirs;
Et vouloit reparer par ce foible avantage, Ce qu’aufond de mon cœur je luy faiſois d’outrage.	Et voulait réparer par ce faible avantage, Ce qu'aufond de mon cœur je lui faisais d'outrage.
ELISE.	ÉLISE.
Mais ſon premier amour que vous avez apris, Doit de cette contrainte affranchir vos eſprits.	Mais son premier amour que vous avez apris, Doit de cette contrainte affranchir vos esprits.
Et puis qu’avant ſes ſoins, où pourvous il s’engage, Done Ignes de ſon cœur avoit receu l’hommage;	Et puis qu'avant ses soins, où pourvous il s'engage, Done Ignès de son cœur avait reçu l'hommage;
Et que par des lieno uun serines iue douxL’amiL’amitié vous unit cette Comteſſe & vous.	Et que par des lien ouvun serines jue douxL'amiL'amitié vous unit cette Comtesse et vous.
Son ſecret revelé vous eſt une matiere A donnner à vos vœux liberté toute entiere;	Son secret revelé vous est une matière A donner à vos vœux liberté toute entière;
Et vous pouvez ſans crainte à cet Amant confus D’un devoir d’amitié couvrir tous vos refus.	Et vous pouvez sans crainte à cet Amant confus D'un devoir d'amitié couvrir tous vos refus.
D.	D.
ELUIRE.	ÉLUIRE.
Il eſt vray que j’ay lieu de cherir la nouvelle, Qui m’apprit que D.	Il est vrai que j'ai lieu de chérir la nouvelle, Qui m'apprit que D.
Sylve eſtoit un infidelle;	Sylve était un infidèle;
Puiſque par ſes ardeurs mon cœur tyranniſé Contre elles à preſent ſe voit authoriſé.	Puisque par ses ardeurs mon cœur tyrannisé Contre elles à présent se voit autorisé.
Qu’il en peut juſtement combatre les hommages, Et ſans ſcrupule ailleurs donner tous ſes ſuffrages.	Qu'il en peut justement combattre les hommages, Et sans scrupule ailleurs donner tous ses suffrages.
Mais enfin quelle joye en peut prendre ce cœur, Si d’une autre contrainte il ſouffre la rigueur?	Mais enfin quelle joie en peut prendre ce cœur, Si d'une autre contrainte il souffre la rigueur?
Si d’un Prince jaloux l’eternelle foibleſſe, Reçoit indignement les ſoins de ma tendreſſe :	Si d'un Prince jaloux l'éternelle faiblesse, Reçoit indignement les soins de ma tendresse :
Et ſemble preparer dans mon juſte couroux Un eclat à briſer tout commerce entre nous?	Et semble préparer dans mon juste courroux Un éclat à briser tout commerce entre nous?
ELISE.	ÉLISE.
Aruioi de poitre bouene il il a pomt ſeeu la gloire, Eſt-ce crime pour luy que de n’oſer la croire?	Aruioi de paître bouène il il a pompt seeu la gloire, Est-ce crime pour quelque que de n'oser la croire?
Et ce qui d’un rival a pû flatter les feux, L’authoriſe-t-il pas à douter de vos vœux?	Et ce qui d'un rival a pu flatter les feux, L'autorise-t-il pas à douter de vos vœux?
D.	D.
ELUIRE.	ÉLUIRE.
Non, non, de cette ſombre, & lâche jalouſie Rien ne peut excuſer l’etrange freneſie;	Non, non, de cette sombre, et lâche jalousie Rien ne peut excuser l'étrange frénésie;
Et par mes actions je l’ay trop informé, Qu’il peut bien ſe flatter du bonheur d’eſtre aimé.	Et par mes actions je l'ai trop informé, Qu'il peut bien se flatter du bonheur d'être aimé.
Sans employer la langue, il eſt des interpretes Qui parlent clairement des atteintes ſecretes.	Sans employer la langue, il est des interprètes Qui parlent clairement des atteintes secrètes.
Un ſoûpir, un regard, une ſimple rougeur, Un ſilence eſt aſſez pour expliquer un cœur.	Un soupir, un regard, une simple rougeur, Un silence est assez pour expliquer un cœur.
Tout parle dans l’amfour, & ſur cette matiere Le moindre jour doit eſtre une grande lumiere;	Tout parle dans l'amfour, et sur cette matière Le moindre jour doit être une grande lumière;
