A R 1.	À R 1.
MTRE ’ajoûte une Scene à la Comedie, & c’eſt une eſpece de Fâcheux aßez inſupportable, qu’un homme qui dedie un Livre.	MTRE 'ajoute une Scène à la Comédie, et c'est une espèce de Fâcheux assez insupportable, qu'un homme qui dédie un Livre.
VOSRE MAJESTE’ en ſçait des nouvelles plus que perſonne de ſon Royaume, & ce n’eſt pas d’aujourd’hui qu’elle ſe voit en bute à la furie des Epitres dedicatoires.	VOSRE MAJESTÉ en sait des nouvelles plus que personne de son Royaume, et ce n'est pas d'aujourd'hui qu'elle se voit en bute à la furie des Épîtres dédicatoires.
Mais bien que je ſuive l’exemple des autres, & me mette moimême au rang de ceux que j’at joüez, j’oſe dire toutefois à VoTRE MAJESTE', que ce que j’en ai fait, n’eſt pas tant pour lui preſenter un Livre, que pour avoir lieu de lui rendre grace du ſuccés de cette Comedie.	Mais bien que je suive l'exemple des autres, et me mette moimême au rang de ceux que j'at joüez, 'ose dire toutefois à VoTRE MAJESTÉ, que ce que j'en ai fait, n'est pas tant pour lui présenter un Livre, que pour avoir lieu de lui rendre grâce du succès de cette Comédie.
Je le dois, SIRE, ce ſuccés, qui a paßé mon attente, non ſeulement à cette glorieuſe approbation, dont VOTRE MAESTE' honnora d’abord la Piece, & qui a entraine ſi hautement celle de tout le monde;	Je le dois, SIRE, ce succès, qui a passé mon attente, non seulement à cette glorieuse approbation, dont VOTRE MAESTE honora d'abord la Pièce, et qui a entraine si hautement celle de tout le monde;
mais encore à l’ordre qu’elle me donna d’y ajoûter un caraclere de Fâcheux, dont elle eut la bonté de m’ouvrir les idées elle-même, & qui a été trouvée par tout le plus beau morceau de l’ouvrage.	mais encore à l'ordre qu'elle me donna d'y ajouter un caracle de Fâcheux, dont elle eut la bonté de m'ouvrir les idées elle-même, et qui a été trouvée par tout le plus beau morceau de l'ouvrage.
Il faut avouër, SIRE, que je n'ai jamais rien fait avec tant de facilité, ni ſi promptement, que cet endroir, OùVOTRE MAJESTÉ me commanda de travailler.	Il faut avouer, SIRE, que je n'ai jamais rien fait avec tant de facilité, ni si promptement, que cet endroir, OùVOTRE MAJEST me commanda de travailler.
J’avois une joye à lui obeïr, qui me valoit bien mieux qu’Apollon, & toutes les Muſes;	J'avais une joie à lui obéir, qui me valait bien mieux qu'Apollon, et toutes les Muses;
Et je conçois par là ce que je ſerois capable d’executer pour une Comedie entiere, ſi j’étois inſpiré par de pareils commandemens.	Et je conçois par là ce que je serais capable d'exécuter pour une Comédie entière, si j'étais inspiré par de pare commandements.
Ceux qui ſont nez en un rang elevé, peuvent ſe propoſer l’honneur de ſervir VOTRE MAJESTE' dans les grans emplois;	Ceux qui sont nés en un rang élevé, peuvent se proposer l'honneur de servir VOTRE MAJESTÉ dans l' eau emplois;
mais pour moi, toute la gloire où je puis aſpirer, c’eſt de la réjouir.	mais pour moi, toute la gloire où je puis aspirer, c'est de la réjouir.
