TIISCIIDVII COMEDIE.	TIISCIIDVI COMÉDIE.
De I.	De I.
B.	B.
P.	P.
MOLIFRE.	MOLIFRE.
Repreſentée ſur le Theatre du Palais Royal.	Représentée sur le Théâtre du Palais Royal.
IXV IRE, R( T I’ajoûte vne Scene à la Comedie, & c’eſt vne eſpece de Faſcheux aſſez inſupportable, qu’vn homme qui dedie vn Livre.	IXV IRE, REIN( T 'ajoute une Scène à la Comédie, et c'est une espèce de Fâcheux assez insupportable, qu'un homme qui dedie un Livre.
VosTRE MAJESTE en ſçait des nouvelles plus que perſonne de ſon Royaume, & ce n’eſt pas d’aujourd’huy qu’elle ſe voit en Bute à la furie des Epiſtres dedicatoires.	VosTRE MAJESTÉ en sait des nouvelles plus que personne de son Royaume, et ce n'est pas d'aujourd'hui qu'elle se voit en Bute à la furie des Épîtres dédicatoires.
Mais bien que ie ſuive l'exemple des autres, & me mette moy-meſme au rang de ceux que i’ay iouez, j’oſe dire toutefois à V.	Mais bien que ici suive l'exemple des autres, et me mette moi-même au rang de ceux que j'ai jouez, j'ose dire toutefois à V.
M.	M.
que ce que i’en ay fait, n'eſt pas tant pour luy preſenter vn Livre, que pour avoir lieu de luy rendre grace du ſuccez de cette Comedie.	que ce que j'en ai fait, n'est pas tant pour lui présenter un Livre, que pour avoir lieu de lui rendre grâce du succès de cette Comédie.
Ie le dois, SIRE, ce ſuccez, qui a paſſé mon attente.	Je le dois, SIRE, ce succès, qui a passé mon attente.
non ſeulement à cette glorieuſe approbation, dont V.	non seulement à cette glorieuse approbation, dont V.
M.	M.
honnora d’abord la Piece, & qui a entraîné ſi bautement celle de tout le monde;	honora d'abord la Pièce, et qui a entraîné si bautement celle de tout le monde;
mais encore à l’ordre qu’elle me donna d’y adiouſter vn caractere de Faſcheux, dont elle eut la bonté de m’ouvrir les idées ellemeſme, & qui uejeo troune par tout le plus beau morceau de l’Ouque ie n’ay iamais rien fait avec tant de facilité, ny ſi promptement, que cét endroit, où V.	mais encore à l'ordre qu'elle me donna d'y ajouter un caractère de Fâcheux, dont elle eut la bonté de m'ouvrir les idées ellemesme, et qui uejeo ne par tout le plus beau morceau de l'Ouque sans n'ai jamais rien fait avec tant de facilité, ni si promptement, que cet endroit, où V.
M.	M.
me commanda de travailler.	me commanda de travailler.
I’avòis vne joye à luy obeïr, qui me valoit bien mieux qu’Apollon, & toutes les Muſes;	J'avis une joie à Seigneur obéir, qui me valait bien mieux qu'Apollon, et toutes les Muses;
Et ie conçois par là ce que ie ſerois capable d’executer pour vne Comedie entiere, ſi j’eſtois inſpiré par de pareils commandemens.	Et ici conçois par là ce que femme serais capable d'exécuter pour une Comédie entière, si j'étais inspiré par de pare commandements.
Ceux qui ſont nez en vn rang éleve, peuuent ſe propoſer l’honneur dé ſervir V.	Ceux qui sont nés en un rang élève, peuvent se proposer l'honneur de servir V.
M.	M.
dans les grands emplois;	dans les grands emplois;
mais pour moy, toute la gloire ou ie puis aspirer, c’eſt de la réiouïr.	mais pour moi, toute la gloire ou ainsi puis aspirer, c'est de la réjouir.
Ie borne là l’ambit ion de mes ſouhaits;	Je borne là l'ambit ion de mes souhaits;
& ie croy qu'en quelque façon ce n'eſt pas eſtre inutile à la France, au divertiſſement de ſon Roy.	et deux crois qu'en quelque façon ce n'est pas être inutile à la France, au divertissement de son Roi.
Quand ie n’y réuſſiray pas, ce ne ſera iamais par vn defaut de zele, ny d’eſtude;	Quand notre n'y réussirai pas, ce ne sera jamais par un défaut de zèle, ni d'étude;
mais ſeulement par vn mau vais deſtin, qui ſuit aſſez ſouvent les meilleures intentions, qui ſans doute affligeroit ſenſiblement,	mais seulement par un mau vais destin, qui suit assez souvent les meilleures intentions, qui sans doute affligerait sensiblement,
IRE,	IRE,
De Voſtre Majeſté,	De Votre Majesté,
Le tres-humble, tres-obeïſſant, & tres-fidele ſerviteur & ſujet,	Le très-humble, très-obeïssant, et très-fidèle serviteur et sujet,
AVLECIEVN	AULECIEUN
AMAIS entrepriſe auTheatre ne fut ſi precipitée que celle-cy, & c’eſt vne choſe, ie croy, oute nouvelle, qu vne Comedie at eſté conceuë, faite, appriſe, & repreſentée en quinze iours.	AMAIS entreprise auThéâtre ne fut si précipitée que celle-cy, et c'est quelque chose, venir crois, oute nouvelle, qu' autre Comédie at te conceuë, faite, apprise, et représentée en quinze jours.
E ne dis pas cela pour me picquer de l’impromptu, & en preiendre de la gloire;	E ne dis pas cela pour me piquer de l'impromptu, et en préiendre de la gloire;
mais ſeulement pour prévenir certaines gens, qui pourroient trouver à redire, que ie n’aye pas mis icy toutes les eſpeces de Faſcheux, qui ſe trouvent.	mais seulement pour prévenir certes gens, qui pourraient trouver à redire, que ie j'aie pas mis ici toutes les espèces de Fâcheux, qui se trouvent.
Ie ſçay que le nombre en eſt grand, & à la Cour & dans la Ville, & que ſans Epiſodes, i’euſſe bien pû en compoſer vne Comedie de cinq Actes bien fournis, & avoir encor de la matiere de reſte.	Je sais que le nombre en est grand, et à la Cour et dans la Ville, et que sans Épisodes, j'eusse bien pu en composer une Comédie de cinq Actes bien fournis, et avoir encor de la matière de reste.
Mais dans le peu de temps qui me fut donné, il m’eſtoit impoſſible de faire vn grand deſſein, & de réver beaucoup ſur le choix de mes Perſonnages, & ſur la diſpoſition de mon ſujet.	Mais dans le peu de temps qui me fut donné, il m'était impossible de faire un grand dessein, et de rêver beaucoup sur le choix de mes Personnages, et sur la disposition de mon sujet.
Ie me reduiſis donc à ne toucher qu’vn petit nombre d’Importuns;	Je me réduis donc à ne toucher qu'un petit nombre d'Importuns;
& ie pris ceux qui s’offrirent d’abord à mon eſprit, & que ie creus les plus propres à réjoüir les Auguſtes perſonnes devant qui i’avos à paroiſtre;	et rendre pris ceux qui s'offrirent d'abord à mon esprit, et que je crus les plus propres à réjouir les Augustes personnes devant qui j'avos à paraître;
& pour lier promptement toutes ces choſes enſemble, ie me ſervis du premier nœud que ie pûs trouver.	et pour lier promptement toutes ces choses ensemble, Elle me servis du premier nœud que ie pûs trouver.
Ce n’eſt pas mon deſſein d’examiner maintenant ſi tout cela pouvoit eſtre mieux, & ſi tous ceux qui s’y ſont divertis, ont ry ſelon les regles:	Ce n'est pas mon dessein d'examiner maintenant si tout cela pouvait été mieux, et si tous ceux qui s'y sont divertis, ont ri selon les règles:
Le temps viendra de faire imprimer mes remarques ſur les Pieces que i’auray faites;	Le temps viendra de faire imprimer mes remarques sur les Pièces que j'aurai faites;
& ie ne deſeſpere pas de faire voir vn iour, en grand Autheur, que ie puis citer Ariſtote, & Horace:	et personne ne désespère pas de faire voir un jour, en grand Auteur, que je puis citer Aristote, et Horace:
En attendant cét Examen, qui peuteſtre ne viendra point, ie m’en remets aſſez aux deciſions de la multitude;	En attendant cet Examen, qui peutestre ne viendra point, tu m'en remets assez aux décisions de la multitude;
& ie tiens auſſi difficile de combattre vn Ouvrage que le public approuve, que d’en deffendre vn qu’il condamne.	et ton tiens aussi difficile de combattre un Ouvrage que le public approuve, que d'en défendre un qu'il condamne.
Il n’y a perſonne qui ne ſçache pour quelle réjoüiſſance la Piece fut compoſée, & cette feſte a fait vn tel éclat, qu’il n’eſt pas neceſſaire d’en parler;	Il n'y a personne qui ne sache pour quelle réjoüissance la Pièce fut composée, et cette fête a fait tel éclat, qu'il n'est pas nécessaire d'en parler;
mais il ne ſera pas hors de propos de dire deux paroles des ornemens qu’on a meſlez avec la Comedie.	mais il ne sera pas hors de propos de dire deux paroles des ornements qu'on a mêlez avec la Comédie.
Le deſſein eſtoit de donner vn Ballet auſſi;	Le dessein était de donner un Ballet aussi;
& comme il n’y avoit qu’vn AV LECIEVA qu’vn petit nombre choiſi de Danceurs excellens, on fut contraint de ſeparer les Entrées de ce Ballet, & l’advis fut de les ietter dans les Entre Actes de la Comedie, afin que ces intervalles donnaſſent temps aux meſmes Baladins de revenir ſous d’autres habits.	et comme il n'y avait qu'un AU LECIEVA qu'un petit nombre choisi de Danceurs excellents, on fut contraint de séparer les Entrées de ce Ballet, et l'avis fut de les jeter dans les Entre Actes de la Comédie, afin que ces intervalles donnassent temps aux mêmes Badins de revenir sous d'autres habits.
De ſorte, que pour ne point rompre auſſi le fil de la Piece, par ces manieres d’Intermedes, on s’aviſa de les coudre au ſujet du mieux que l’on pût, & de ne faire qu’vne ſeule choſe du Ballet, & de la Comedie:	De sorte, que pour ne point rompre aussi le fil de la Pièce, par ces manières d'Intermèdes, on s'avisa de les coudre au sujet du mieux que l'on pût, et de ne faire qu'une seule chose du Ballet, et de la Comédie:
mais comme le temps eſtoit fort precipité, & que tout cela ne fut pas reglé entierement par vne meſme teſte, on trouvera peut-eſtre quelques endroits du Ballet, qui n’entrent pas dans la Coffiédie atin fattirellement que d’autres.	mais comme le temps était fort précipité, et que tout cela ne fut pas réglé entièrement par une même tête, on trouvera peut-être quelques endroits du Ballet, qui n'entrent pas dans la Coffiédie atin fattirellement que d'autres.
Quoy qui eſt nouveau pour nos Theatres, & dont on pourroit chercher queques authoritez dans l’Antiquité, & comme tout le monde l’a trouvé agreable, il peut ſervir d’idée à d’autres choſes qui pourroient eſtre meditées avec plus de loiſir.	Quoi qui est nouveau pour nos Théatres, et dont on pourrait chercher que autorités dans l'Antiquité, et comme tout le monde l'a trouvé agréable, il peut servir d'idée à d'autres choses qui pourraient être méditées avec plus de loisir.
D’abord que la toile fut levée, vn des Acteurs, comme vous pourriez dire, moy, parut ſur le Theatre en habit de Ville, & s’adreſſant au Roy avec le viſage d’vn homme ſurpris, fit des excuſes en deſordre ſur ce qu’il ſe trouvoit là ſeul, & manquoit de temps & d’Acteurs pour donner à ſa Majeſté le divertiſſement qu’elle ſembloit attendre.	D'abord que la toile fut levée, un des Acteurs, comme vous pourriez dire, moi, parut sur le Théâtre en habit de Ville, et s'adressant au Roi avec le visage d'un homme surpris, fit des excuses en désordre sur ce qu'il se trouvait là seul, et manquait de temps et d'Acteurs pour donner à sa Majesté le divertissement qu'elle semblait attendre.
En meſme temps, au milieu de vingt jets d’eau naturels, s’ouvrit cette coquille, que tout le monde a veuë;	En même temps, au milieu de vingt jets d'eau naturels, s'ouvrit cette coquille, que tout le monde a vue;
& l’agreable Nayade qui parut dedans s’avança au bord du Theatre, & d’vn air heroïque I prononça les Vers, que Monſieur eliſſon avoit faits, & qui ſervent de Prologue.	et l'agréable Nade qui parut dedans s'avança au bord du Théâtre, et d'un air héroïque I prononça les Vers, que Monsieur elle a faits, et qui servent de Prologue.
RO	RO
PICONOUVL	PICONOUL
Our voir en ces beaux lieux le plus grand Roy du monde, Mortels, ie viens à vous de ma grotte profonde.	Our voir en ces beaux lieux le plus grand Roi du monde, Mortels, tu viens à vous de ma grotte profonde.
Faut-il en ſa faveur, que la Terre ou que l’Eau Produiſent à vos yeux vn ſpectacle nouveau?	Faut-il en sa faveur, que la Terre ou que l'Eau Produisent à vos yeux un spectacle nouveau?
Qu'il parle, ou qu’il ſouhaitte, il n’eſt rien d’impoſſible:	Qu'il parle, ou qu'il souhaite, il n'est rien d'impossible:
Luy-meſme n’eſt-il pas vn miracle viſible?	Lui-même n'est-il pas un miracle visible?
Son regne ſi fertile en miracles divers, N’en demande-il pas à tout cét Vnivers?	Son règne si fertile en miracles divers, N'en demande-il pas à tout cet Univers?
Ieune, Victorieux, Sage, Vaillant, Auguſte, Auſſi doux que ſevere, auſſi puiſſant que iuſte, Reigler, & ſes Eſtats, & ſes propres deſirs, Ioindre aux nobles travaux les plus nobles plaiſirs, En ſes iuſtes projets iamais ne ſe méprendre, Agir inceſſamment, tout voir, & tout entendre;	Jeune, Victorieux, Sage, Vaillant, Auguste, Aussi doux que sévère, aussi puissant que juste, Reigler, et ses États, et ses propres désirs, Joindre aux nobles travaux les plus nobles plaisirs, En ses justes projets jamais ne se méprendre, Agir incessamment, tout voir, et tout entendre;
Et le Ciel à ſes vœux ne peut rien refuſer.	Et le Ciel à ses vœux ne peut rien refuser.
Ces Termes marcheront, & ſi Louïs l’ordonne Ces arbres parleront mieux que ceux de Dodone:	Ces Termes marcheront, et si Louis l'ordonne Ces arbres parleront mieux que ceux de Dodone:
