A MADAME ADAME,	À MADAME ADAME,
LIN Ie ſuis le plus embarraßé homme du monde, lors qu’il me faut dédier vn Liure, & ie me trouue ſi peu fait au ſtyle d’Epiſtre Dedicatoire, que ie ne ſçay par où ſortir de celle-cy.	LIN Je suis le plus embarrassé homme du monde, lors qu'il me faut dédier un Livre, et toute me trouve si peu fait au style d'Épître Dédicatoire, que je ne sais par où sortir de celle-cy.
Vn autre Autheur, qui ſeroit en ma place, trouueroit d’abord cent belles choſes à dire de VOSTRE ALTESSE - iij ROYALE, ſur le titre de L’ESCOLE DES FEMMES, & l’offre qu’il vous en feroit Mais pour moy, MADAME, ie vous auoue mon foible.	Un autre Auteur, qui serait en ma place, trouverait d'abord cent belles choses à dire de VÔTRE ALTESSE - Âce ROYALE, sur le titre de L'ÉCOLE DES FEMMES, et l'offre qu'il vous en ferait Mais pour moi, MADAME, ie elle avoue mon faible.
Ie ne ſçay point cét art de trouuer des rapports entre des choſes ſi peu proportionnées;	Je ne sais point cet art de trouver des rapports entre des choses si peu proportionnées;
& quelques belles lumieres, que mes Confreres les Autheurs me donnent tous les iours ſur de pareils ſujets, ie ne voy point ce que VOSTRE ALTESSE ROYALE pourroit auoir à démeſler auec la Comedie que ie luy preſente.	et quelques belles lumières, que mes Confrères les Auteurs me donnent tous les jours sur de pareils sujets, notre ne vois point ce que VOTRE ALTESSE ROYALE pourrait avoir à démêler avec la Comédie que de lui presente.
On n'eſt pas en peine, ſans doute, comment il faut faire pour vous loüer.	On n'est pas en peine, sans doute, comment il faut faire pour vous louer.
La matiere, MADAME, ne ſaute que trop aux yeux, & de quelque coſté qu'on vous regarde, on rencontre Gloire ſur Gloire, & qualitez ſur qualitez.	La matière, MADAME, ne saute que trop aux yeux, et de quelque côté qu'on vous regarde, on rencontre Gloire sur Gloire, et qualités sur qualités.
Vous en auez, MADAME, du coſté du rang, & de la naiſſance, qui vous font reſpecter de toute la terre.	Vous en avez, MADAME, du côté du rang, et de la naissance, qui vous font respecter de toute la terre.
Vous en auez du coſté des Graces, & de l’Eſprit, & du Corps, qui vous font admirer de toutes les perſonnes, qui vous voyent.	Vous en avez du côté des Grâces, et de l'Esprit, et du Corps, qui vous font admirer de toutes les personnes, qui vous voient.
Vous en auez du coſté de l’ame, qui, ſi l’on oſe parler ainſi, vous font aymer de tous ceux qui ont l’honneur d’approcher de vous:	Vous en avez du côté de l'âme, qui, si l'on ose parler ainsi, vous font aimer de tous ceux qui ont l'honneur d'approcher de vous:
Ie veux dire cette douceur pleine de Charmes, dont vous daignez temperer la fierté des grands titres que vous porteZ;	Je veux dire cette douceur pleine de Charmes, dont vous daignez tempérer la fierté des grands titres que vous portez;
cette bonté toute obligeante;	cette bonté toute obligeante;
cette affabilité genereuſe, que vous faites paroiſtre pour tout le monde:	cette affabilité généreux, que vous faites paraître pour tout le monde:
Et ce ſont particulierement ces dernieres pour qui ie ſuis, & dont ie ſens fort bien que ie ne me pourray taire quelque iour.	Et ce sont particulièrement ces dernières pour qui ie suis, et dont tu sens fort bien que personne ne me pourrai taire quelque jour.
Mais encore vne fois, MADAME, ie ne ſçay point le biais de faire entrer icy des veritez ſi éclatantes, & ce ſont choſes, à mon aduis, & d’vne trop vaſte eſtenduë, & d’vn merite trop releuë, pour les vouloir renfermer dans vne Epiſtre, & les meſler auec des bagatelles.	Mais encore quelque fois, MADAME, on ne sais point le biais de faire entrer ici des vérités si éclatantes, et ce sont choses, à mon avis, et d'une trop vaste étendue, et d'un mérite trop relue, pour les vouloir renfermer dans une Épître, et les mêler avec des bagatelles.
Tout bien conſideré, MADAME, Ie ne voy rien à faire icy pour moy, que de vous Dédier ſimplement ma Comedie, & de vous aſſeurer auec tout le reſpect, qu’il m'eſt poſſible, que ie ſuis de VOSTRE ALTESSE	Tout bien considéré, MADAME, Je ne vois rien à faire ici pour moi, que de vous Dédier simplement ma Comédie, et de vous assurer auec tout le respect, qu'il m'est possible, que je suis de VÔTRE ALTESSE
MADAME, *4.	MADAME, *4.
Le tres-humble, tres obeïſſant, & tres obligé ſeruiteur,	Le très-humble, très obéissant, et très obligé serviteur,
LCETAOM.	LCTAM.
IEN des gens ont frondé d’abord cette Comedie:	JEN des gens ont frondé d'abord cette Comédie:
mais les rieurs ont eſté pour elle, & tout le mal qu’on en a pû dire, n’a pû faire qu’elle n’ait eu vn ſuccez, dont ie me contente.	mais les rieurs ont été pour elle, et tout le mal qu'on en a pu dire, n'a pu faire qu'elle n'ait eu un succès, dont je me contente.
Ie ſçay qu’on attend de moy, dans cette impreſſion, quelque Preface, qui réponde aux cenſeurs, & rende raiſon de mon Ouurage;	Je sais qu'on attend de moi, dans cette impression, quelque Préface, qui réponde aux censeurs, et rende raison de mon Ouvrage;
& ſans doute que ie ſuis aſſez redeuable à toutes les perſonnes qui luy ont donné leur approbation, pour me croire obligé de deffendre leur iugement, contre celuy des autres:	et sans doute que on suis assez redevable à toutes les personnes qui luitaît donné leur approbation, pour me croire obligé de défendre leur jugement, contre celui des autres:
mais il ſe trouue qu’vne grande partie des choſes que i’aurois à dire ſur ce ſujet, eſt déja dans vne Diſſertation que i’ay faite en Dialogue, & dont ie ne ſçay encore ce que ie feray.	mais il se trouve qu'une grande partie des choses que j'aurais à dire sur ce sujet, est déjà dans une Dissertation que j'ai faite en Dialogue, et dont toutes ne sais encore ce que je ferai.
L’idée de ce Dialogue, ou ſi l’on veut, de cette petite Comedie, me vint aprés les deux ou trois premieres repreſentations de ma Piece.	L'idée de ce Dialogue, ou si l'on veut, de cette petite Comédie, me vint après les deux ou trois premières représentations de ma Pièce.
Ie la dis cette idée dans vne maiſon où ie me trouuay vn ſoir, & d’abord vne perſonne de qualité, dont l’eſprit eſt aſſez connû dans le monde, & qui me fait l’honneur de m’aymer, trouua Ie projet aſſez à ſon gré, non ſeulement pour me ſolliciter d’y mettre la main, mais encore pour l’y mettre luy- meſme;	Je la dis cette idée dans une maison où tu me trouvai un soir, et d'abord une personne de qualité, dont l'esprit est assez connu dans le monde, et qui me fait l'honneur de m'aimer, trouva Je projet assez à son gré, non seulement pour me solliciter d'y mettre la main, mais encore pour l'y mettre h- mesme;
