R IRE, Y.	 IRE, Y.
J’ajoute une Scene à la Comedie, & c’eſt une eſpece de Fâcheux aſſez inſuportable, qu’un homme qui dedie un Livre.	J'ajoute une Scène à la Comédie, et c'est une espèce de Fâcheux assez insuportable, qu'un homme qui dédie un Livre.
VOSTRE MAJESTE en ſçait des nouvelles plus que perſonne de ſon Royaume, & ce n’eſt pas d’aujourd’huy qu’elle ſe voit en Bute à la furie des Epiſtres dedicatoires.	VÔTRE MAJESTÉ en sait des nouvelles plus que personne de son Royaume, et ce n'est pas d'aujourd'hui qu'elle se voit en Bute à la furie des Épîtres dédicatoires.
Mais bien que je ſuive l’exemple des autres, & me mette moy	Mais bien que je suive l'exemple des autres, et me mette moi
A U même au rang de ceux que j’ay joüez, j'oſe dire toutefois à VOSTRE MAJESTE, que ce que j'en ay fait, n'eſt pas tant pour luy preſenter un Livre, que pour avoir lieu de luy rendre grace du ſuccés de cette Comedie.	A V même au rang de ceux que j'ai j'ai j'ose dire toutefois à VÔTRE MAJESTÉ, que ce que j'en ai fait, n'est pas tant pour lui présenter un Livre, que pour avoir lieu de lui rendre grâce du succès de cette Comédie.
Je le dois, SIRE, ce ſuccés, qui a paſſé mon attente, non ſeulement à cette glorieuſe approbation, dont VOSTRE MAESTE honnora d’abord la Piece, & qui a entraiſné ſi hautement celle de tout le monde;	Je le dois, SIRE, ce succès, qui a passé mon attente, non seulement à cette glorieuse approbation, dont VÔTRE MAETE honora d'abord la Pièce, et qui a entraîné si hautement celle de tout le monde;
mais encore à l’ordre qu’elle me donna d’y ajoû̈ter un caractere de Faſcheux, dont elle eut la bonté de m’ouvrir les idées elle-même, & qui a eſté trouvé par tout le plus beau morceau de l’Ouvrage.	mais encore à l'ordre qu'elle me donna d'y ajouter un caractère de Fâcheux, dont elle eut la bonté de m'ouvrir les idées elle-même, et qui a été trouvé par tout le plus beau morceau de l'Ouvrage.
Il faut avouër, SIRE, que je n'ay jamais rien fait aves tant de fachité, ny ſi promptement, que cet endroit, où VOSTRE MAJESTE me commanda de travailler.	Il faut avouer, SIRE, que je n'ai jamais rien fait aves tant de fâchité, ni si promptement, que cet endroit, où VOTRE MAJESTÉ me commanda de travailler.
J’avois une joye à luy obeir, qui me valoit bien mieux qu'Apollon, & toutes les Muſes;	J'avais une joie à ainsi obéir, qui me valait bien mieux qu'Apollon, et toutes les Muses;
Et je conçois par là ce que je ſerois capable d’executer pour une Comedie entiere, ſi j'eſtois inſpiré par de pareils commandemens.	Et je conçois par là ce que je serais capable d'exécuter pour une Comédie entière, si j'étais inspiré par de pare commandements.
Ceux qui ſont nez en un rang elevé, peuvent ſe propoſer l'honneur de ſervir VOSTRE MAJESTE' dans les grans emplois;	Ceux qui sont nés en un rang élevé, peuvent se proposer l'honneur de servir VÔTRE MAJESTÉ dans les grans emplois;
