M.	M.
DC.	DC.
LXVIII.	LXVIII.
LES PLAISIRS LIDDE ENCHANTEE.	LES PLAISIRS LIDE ENCHANTE.
COVRSE DE BAGVE, Collation ornée de Machines, Comedie de Moliere, Intitulée La Princeſſe d’Elide, meslée de Danſe & de Muſique, Ballet du Palais d’Alcine, Feu d’Artifice:	COURSE DE BAGUE, Collation ornée de Machines, Comédie de Molière, Intitulée La Princesse d'Élide, mêlée de Danse et de Musique, Ballet du Palais d'Alcine, Feu d'Artifice:
Et autres Feſtes galantes & magnifiques, faites par le Roy à Uerſailles, le 7.	Et autres Fêtes galantes et magnifiques, faites par le Roi à Uersailles, le 7.
May 1664.	May 1664.
& continuées pluſieurs autres iours.	et continuées plusieurs autres jours.
eſtenduë qui ſe remarque en quelques autres Palais de ſa Majeſté:	étendue qui se remarque en quelques autres Palais de sa Majesté:
toutes choſes y ſont polies, ſi bien entenduës & ſi achevées, que rien ne les peut égaler.	toutes choses y sont polies, si bien entendues et si achevées, que rien ne les peut égaler.
Sa Symetrie, la richeſſe de ſes meubles, la beauté de ſes promenades, & le nombre infini de ſes fleurs, comme de ſes Orengers, rendent les environs de ce lieu dignes de ſa rareté ſinguliere:	Sa Symettrie, la richesse de ses meubles, la beauté de ses promenades, et le nombre infini de ses fleurs, comme de ses Orengers, rendent les environs de ce lieu dignes de sa rareté singulière:
La diverſité des beſtes contenuës dans les deux parcs, & dans la Ménagerie, où pluſieurs courts en Eſtoilles ſont accompagnées de Viviers pour les animaux aquatiques, avec de grands baſtimens, ioignent le plaiſir avec la magnificence, & en font vne maiſon accomplie.	La diversité des bêtes contenues dans les deux parcs, et dans la Ménagerie, où plusieurs courts en Étoilles sont accompagnées de Viviers pour les animaux aquatiques, avec de grands bâtiments, joignent le plaisir avec la magnificence, et en font une maison accomplie.
Ce fut en ce beau lieu où toute la Cour ſe rendit le 5.	Ce fut en ce beau lieu où toute la Cour se rendit le 5.
May, que le Roy traitta plus de ſix cens perſonnes iuſques au 14.	Mais, que le Roi traita plus de six cens personnes jusques au 14.
outre vne infinité de gens neceſſuires a la danſe & à la Comedie, & d’Artiſans de toutes ſortes venus de Paris;	outre une infinité de gens nécessuires a la danse et à la Comédie, et d'Artisans de toutes sortes venus de Paris;
ſi bien que cela paroiſſoit vne petite armée.	si bien que cela paraissait une petite armée.
Le Ciel meſme ſembla favoriſer les deſſeins de ſa Majeſté, puis qu’en vne ſaiſon preſque toûjours pluvieuſe on en fut quitte pour vn peu de vent, qui ſembla n’avoir augmenté, qu’afin de faire voir que la prévoyance & la puiſſance du Roy eſtoient à l’épreuve des plus grandes incommoditez;	Le Ciel même sembla favoriser les desseins de sa Majesté, puis qu'en une saison presque toujours pluvieuse on en fut quitte pour un peu de vent, qui sembla n'avoir augmenté, qu'afin de faire voir que la prévoyance et la puissance du Roi étaient à l'épreuve des plus grandes incommodités;
de hautes toilles, des baſtimens de bois faits preſque en vn inſtant, & vn nombre prodigieux de flambeaux de cire blanche, pour ſuppléer à plus de quatre mille bougies chaque journée, reſiſterent à ce vent;	de hautes toilles, des bâtiments de bois faits presque en un instant, et un nombre prodigieux de flambeaux de cire blanche, pour suppléer à plus de quatre mille bougies chaque journée, résistèrent à ce vent;
qui par tout ailleurs euſt rendu ces divertiſſemens comme impoſſibles à achever.	qui par tout ailleurs eût rendu ces divertissements comme impossibles à achever.
Monſieur de Vigarini, Gontil-homme Modenois.	Monsieur de Vigarini, Gontilhomme Modenais.
fort ſçavant en toutes ees choſes, inventa & propoſa celles-cy;	fort sçavant en toutes ces choses, inventa et proposa celles-cy;
& le Roy commanda au Duc de S.	et le Roi commanda au Duc de S.
Aignan, qui ſe trouva lors en fonction de premier Gentil-homme de ſa Chambre, & qui avoit deſia donné oluſieurs ſujets de Ballers fors agraahla¬.	Aignan, qui se trouva lors en fonction de premier Gentilhomme de sa Chambre, et qui avait déjà donné olusieurs sujets de Ballers fors agraahla¬.
1.	1.
deſſein où elles fuſſent toutes compriſes avec liaiſon & avec ordre;	dessein où elles fussent toutes comprises avec liaison et avec ordre;
de ſorte qu’elles ne pouvoient manquer de bien reuſſir.	de sorte qu'elles ne pouvaient manquer de bien réussir.
Il prit pour ſujet le Palais d’Alcine, qui donna lieu au Tiltre des Plaiſirs de l’Iſle Enchantée;	Il prit pour sujet le Palais d'Alcine, qui donna lieu au Titre des Plaisirs de l'Île Enchantée;
puis que ſelon l’Arioſte, le brave Roger & pluſieurs autres bons Chevaliers y furent retenus par les doubles charmes de la beauté, quoy qu’empruntée, & du ſçavoir de cette Magicienne, & en furent delivrez apres beaucoup de temps conſommé dans les delices, par la bague qui détruiſoit les enchantemens:	puis que selon l'Arioste, le brave Roger et plusieurs autres bons Chevaliers y furent retenus par les doubles charmes de la beauté, quoi qu’empruntée, et du savoir de cette Magicienne, et en furent délivres après beaucoup de temps consommé dans les délices, par la bague qui détruisait les enchantements:
C’eſtoit celle d’Angelique que Meliſſe ſous la forme du vieux Atlas, mit enfin au doigt de Roger.	C'était celle d'Angélique que Mélisse sous la forme du vieux Atlas, mit enfin au doigt de Roger.
On fit donc en peu de iours orner vn Rond, où quatre grandes allées aboutiſſent entre de hautes paliſſades;	On fit donc en peu de jours orner un Rond, où quatre grandes allées aboutissent entre de hautes palissades;
de quatre Portiques de trente-cinq pieds d’élevation, & de vingt-deux en quarré d’ouverture;	de quatre Portiques de trente-cinq pieds d'élévation, et de vingt-deux en quarré d'ouverture;
de pluſieurs feſtons enrichis d’or, & de diverſes.	de plusieurs festons enrichis d'or, et de diverses.
peintures avec les armes de ſa Majeſté.	peintures avec les armes de sa Majesté.
Toute la Cour s’y eſtant placée le ſeptiéme, il entra dans la place iul les iix ireures du ion vi Herauc d’Armes, repreſenté par Mi des Bardins, veſtu d’vn habit à l’antique couleur de feu, en broderie d’argent, & fort bien monté.	Toute la Cour s'y étant placée le septième, il entra dans la place jul les jix ireures du ion vi Hérauc d'Armes, représenté par Mi des Bardins, vêtu d'un habit à l'antique couleur de feu, en broderie d'argent, et fort bien monté.
Il eſtoit ſuiuy de trois Pages:	Il était suivi de trois Pages:
celuy du Roy, Mr.	celui du Roi, Mr.
d’Artagnan, marchoit à la teſte des deux autres, fort richement habillé de couleur de feu, livrée de ſa Majeſté, portant ſa Lance & ſon Eſcu, dans lequel brilloit vn ſoleil de pierreries, avec ces mots;	d'Artagnan, marchait à la tête des deux autres, fort richement habillé de couleur de feu, livrée de sa Majesté, portant sa Lance et son Écu, dans lequel brillait un soleil de pierreries, avec ces mots;
Nec Ceſſo, nec Erro.	Nec Cesso, ne Ero.
Faiſant alluſion à l’attachement de ſa Majeſté aux affaires de ſon Eſtat, & la maniere avec laquelle il agit;	Faisant allusion à l'attachement de sa Majesté aux affaires de son État, et la manière avec laquelle il agit;
ce qui eſtoit encore repreſenté par ces quatre vers du Preſident de Perigny, autheur de la meſme Deviſe.	ce qui était encore représenté par ces quatre vers du President de Perigny, auteur de la même Devise.
E n’eſt pas ſans raiſon que la terre & les Cieux, (IOnt tant d’eſtonnement pour vn Objet ſi rare;	E n'est pas sans raison que la terre et les Cieux, (IOnt tant d'étonnement pour un Objet si rare;
Qui dans ſon cours penible autant que glorieux Iamais ne ſe repoſe, & iamais ne s’égare.	Qui dans son cours pénible autant que glorieux Jamais ne se repose, et jamais ne s'égare.
MADRIGAL.	MADRIGAL.
Es combats que i’ay faits en l’Iſte dangereuſe, TQuãd de tant de guerriers ie demeuray vainaueur Suivis d’vne épreu ve amoureuſe, Ont ſignalé ma force auſſi bien que mon cœur.	Es combats que j'ai faits en l'Iste dangereuse, TQuand de tant de guerriers Seigneur demeurai vainaveur Suivis d'une épreu ve amoureuse, Ont signalé ma force aussi bien que mon cœur.
La vigueur qui fait mon eſtime, soit qu’elle embraſſe vn party legitime, Ou qu’elle vienne à s’é happer, Fait dire, pour ma gloire, aux deux bouts de la terre, be u duneeus peum autoune g nerre, Ny plus ſouvent ny mieux frapper.	La vigueur qui fait mon estime, soit qu'elle embrasse un parti légitime, Ou qu'elle vienne à s'é happer, Fait dire, pour ma gloire, aux deux bouts de la terre, be u duneeus peum autoune g erre, Ni plus souvent ni mieux frapper.
Pour le meſme.	Pour le même.
Eul contre dix Guerriers, ſeul contre dix pucelles, DC’eſt auoir ſur les bras deux eſtranges querelle,, Qui ſort à ſon honneur de ce double combat Doit eſtre, ce me ſemble, vn terrible ſoldat.	Eul contre dix Guerriers, seul contre dix pucelles, DC'est avoir sur les bras deux étranges querelle, Qui sort à son honneur de ce double combat Doit été, ce me semble, un terrible soldat.
Tiuici Trompeites de deda aſinbariersy veſtus comme les premiers, marchoient apres le Mareſchal de Camp.	Tiuici Trompeites de da asinbariersi vêtus comme les premiers, marchaient après le Maréchal de Camp.
L'E ROY repreſentant Roger les ſuivoit, montant vn des plus beaux chevaux du monde, dont le harnois couleur de feu éclatoit d’or, d’argent & de pierreries:	L'E ROY représentant Roger les suivait, montant un des plus beaux chevaux du monde, dont le harnais couleur de feu éclatait d'or, d'argent et de pierreries:
Sa Majeſte eſtoit armée à la façon des Grecs cõme tous ceux de ſa Quadrille, & portoit vne cuiraſſe de lame d’argent, couverte d’vne riche brederie d’or & de diamans.	Sa Majeste était armée à la façon des Grecs comme tous ceux de sa Quadrille, et portait une cuirasse de lame d'argent, couverte d'une riche brederie d'or et de diamants.
Son port & toute ſon action eltoient dignes de ſon rang;	Son port et toute son action eltoient dignes de son rang;
ſon Caique tout couvert de plumes, couleur de feu, avoit vne grace incomparable;	son Caique tout couvert de plumes, couleur de feu, avait grâce incomparable;
