A PARIS, Chez HENRY LOYSON, au Palais, dans la Salle Dauphine, du coſté de Saint Barthelemy, à la Croix d’Ora	À PARIS, Chez HENRY LOISON, au Palais, dans la Salle Dauphine, du côté de Saint Barthèlemi, à la Croix d'Ora
EATRAIT DV PRIVILEGE AIROE 0	EATRAIT DU PRIVILÈGE AIROE 0
DAR Grace & Privilege du Roy, donné T à S.	DAR Grâce et Privilège du Roi, donné T à S.
Germain en Laye le 18.	Germain en Laye le 18.
jour de Mars 1671.	jour de Mars 1671.
Signé, Par le Roy en ſon Conſeil, D’ALENCE':	Signé, Par le Roi en son Conseil, D'ALENCE':
Il eſt permis à I.	Il est permis à I.
B.	B.
P.	P.
DE MOLIERE, l’un de nos Comediens, de faire réimprimer, vendre & debiter toutes les Pieces de Theatre par luy compoſées juſques à preſent, leſquelles ont eſté repreſentées, & ce conjointement ou ſeparément, en un ou pluſieurs Volumes, en telle marge & caractere, & autant de fois que bon luy ſemblera, par tel Imprimeur ou Libraire qu’il voudra choiſir, pendant le temps de neuf années accomplies, à compter du jour que chaque Piece ou Volume ſera achevé d’imprimer pour la premiere fois, en vertu des Preſentes:	DE MOLIÈRE, l'un de nos Comédiens, de faire réimprimer, vendre et débiter toutes les Pièces de Théâtre par lui mie jusques à présent, lesquelles ont été représentées, et ce conjointement ou séparément, en un ou plusieurs Volumes, en telle marge et caractère, et autant de fois que bon lui semblera, par tel Imprimeur ou Libraire qu'il voudra choisir, pendant le temps de neuf années accomplies, à compter du jour que chaque Pièce ou Volume sera achevé d'imprimer pour la première fois, en vertu des Pentes:
Et defenſes ſont faites à toutes Perſonnes, de quelque qualité & condition qu’elles ſoient, d’en faire imprimer, vendre, ny debiter d’autre Edition que celle de l’Expoſant, ou de ceux qui auront droit d' luy, à peine de dix mille livres d’amende, payable ſans deport par chacun des contrevenans, confiſcation des Exemplaires contrefaits, & de tous deſpens, dommages & intereſts:	Et défenses sont faites à toutes Personnes, de quelque qualité et condition qu'elles soient, d'en faire imprimer, vendre, ni débiter d'autre Édition que celle de l'Exposant, ou de ceux qui auront droit d' lui, à peine de dix mille livres d'amende, payable sans déport par chacun des contrevenants, confiscation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts:
Outre les ſuſdites peines, tous Libraires, Imprimeurs, & Relieurs, qui ſe trouveront ſaiſis d’aucuns Exemplaires contrefaits, ſeront privez & ſequeſtrez du Corps de la Librairie, ſans pouvoir à l’avenir s’en meſler en aucune maniere, ainſi qu’il eſt porté par leſdites Lettres de Privilege.	Outre les susdites peines, tous Libraires, Imprimeurs, et Relieurs, qui se trouveront saisis d'aucuns Exemplaires contrefaits, seront privez et séquestrez du Corps de la Librairie, sans pouvoir à l'avenir s'en mêler en aucune manière, ainsi qu'il est porté par lesdites Lettres de Privilège.
ET AV DOS ESTECRIT.	ET AU DOS ESTECRIT.
L’an mil ſix cens ſoixante & onze, le 14.	L'an mil six cens soixante et onze, le 14.
jour d’Aouſt, à la requeſte de I.	jour d'Aoust, à la requête de I.
B.	B.
P.	P.
de Moliere;	de Molière;
Nous Huiſſier ordinaire du Roy en ſes Conſeils, ſous-ſigné, continuant la requiſition d’enregiſtrer le Privilege cydeſſus, a eſté ſignifié aux fins y contenuës, & baillé copie, & fait les defenſes y portées ſur leſdites peines, à la Communauté des Marchands Libraires de cette Ville de Paris, au domicile de M.	Nous Huissier ordinaire du Roi en ses Conseils, sous-signé, continuant la réquisition d'enregistrer le Privilège cydessus, a été signifié aux fins y contenues, et baillé copie, et fait les défenses y portées sur lesdites peines, à la Communauté des Marchands Libraires de cette Ville de Paris, au domicile de M.
Seveſtre Syndic de ladite Communauté, tant pour luy que pour les autres Syndics deſdits Marchands Libraires, en parlant à ſa perſonne en cette Ville de Paris, à ce qu’ils ayent preſentement à faire l’enregiſtrement dudit Privilege;	Sevestre Syndic de ladite Communauté, tant pour lui que pour les autres Syndics dédits Marchands Libraires, en parlant à sa personne en cette Ville de Paris, à ce qu'ils aient présentement à faire l'enregistrement dudit Privilège;
ſinon & à faute de ce faire, que la preſente Signification vaudra Enregiſtrement, à ce que tant luy que ladite Comiitiiiatite des muarchands Libraires n’en ignorent.	sinon et à faute de ce faire, que la présente Signification vaudra Enregistrement, à ce que tant autre que ladite Comiitiitiatite des muarchands Libraires n'en ignorent.
Signé, OLIVIER	Signé, OLIVIER
6 ACTEURS lli de an Ll la 3a 1 1n 10821 SGANARELLE, Mary de Martine.	6 ACTEURS li de an Ll la 3a 1 n 10821 SGANARELLE, Mari de Martine.
2 E lllal iu.	2 E lllal ju.
a j Ll f .	à j l f .
l MARTINE, Femme de Sganarelle.	 MARTINE, Femme de Séganarelle.
M.	M.
ROBERT, Voiſin de Sganarelle.	ROBERT, Voisin de Séganarelle.
VALERE, Domeſtique de Geronte.	VALÈRE, Domestique de Géronte.
LUCAS, Mary de Iacqueline.	LUCAS, Mari de Jacqueline.
GERONTE, Pere de Lucinde.	GÉRONTE, Père de Lucinde.
CQUELINE, Nourrice chez Geronte, & Femme de Lucas.	CQUELINE, Nourrice chez Géronte, et Femme de Lucas.
LUCINDE, Fille de Geronte.	LUCINDE, Fille de Géronte.
LEANDRE, Amant de Lucinde.	LÉANDRE, Amant de Lucinde.
THIBAUT, Pere de Perrin.	THIBAT, Père de Perrin.
PERRIN, Fils de Thibaut, (Païſan.	PERRIN, Fils de Thibaut, (Païsan.
LE MEDECIN MALGRE' LVY COMEDIE.	LE MÉDECIN MALGRÉ LUI COMÉDIE.
4	4
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SGANARELLE, MARTINE, en ſe querellant.	SGANARELLE, MARTINE, en se querellant.
S einlellleir msa ON, je te dis que je n’en veux rien faire, & que c’eſt à moy de parler, & d’eſtre le Maiſtre.	S einlellleir msa ON, je te dis que je n'en veux rien faire, et que c'est à moi de parler, et d'être le Maître.
M MARTINE.	M MARTINE.
Et je te dis, moy, que je veux que tu vives à ma fantaiſie, & que je ne me ſuis point mariée avec toy pour ſouffrir tes fredaines.	Et je te dis, moi, que je veux que tu vives à ma fantaisie, et que je ne me suis point mariée avec toi pour souffrir tes fredaines.
SGANARELLE.	SGANARELLE.
O la grande fatigue que d’avoir une Famme!	Ô la grande fatigue que d'avoir une Famme!
& qu’Ariſtote a bien raiſon, quaiiu nuit qu'une Pemme els pare qu'un Démon!	et qu'Aristote a bien raison, quaiiu nuit qu'une Pemme els pare qu'un Démon!
MARTINE.	MARTINE.
Voyez un peu l’habile Homme, avec ſon beneſt d’Ariſtote.	Voyez un peu l'habile Homme, avec son benêt d'Aristote.
SGANARELLE.	SGANARELLE.
Oüy habile Homme.	Oui habile Homme.
Trouve moy un faiſeur de Fagots qui ſçache, comme moy, raitonner des choles;	Trouve -moi un faiseur de Fagots qui sache, comme moi, raitonner des choles;
qui ait ſervy ſix ans un fameux Medecin;	qui ait servi six ans un fameux Médecin;
& qui ait ſçeu dans ſon jeune âge ſon Rudiment par cœur.	et qui ait su dans son jeune âge son Rudiment par cœur.
MARTINE.	MARTINE.
Peſte du Fou fieffé.	Peste du Fou fieffé.
SGANARELLE.	SGANARELLE.
Peite de la Carogne.	Péite de la Carogne.
MARTINE.	MARTINE.
Que maudit ſoit l’heure & le jour, où je m’aviſay d’aller dire oüy!	Que maudit soit l'heure et le jour, où je m'avisai d'aller dire oui!
SGANARELLE.	SGANARELLE.
Que maudit ſoit le Bec-cornu de Notaire qui me fit ſigner ma ruine!	Que maudit soit le Beccornu de Notaire qui me fit signer ma ruine!
MARTINE.	MARTINE.
C’eſt bien à toy, vrayment, à te plaindre de cette affaire.	C'est bien à toi, vraiment, à te plaindre de cette affaire.
Devrois-tu eſtre un ſeul moment ſans rendre graces au Ciel de ui ar en pour ta Femme?	Devrais-tu être un seul moment sans rendre grâces au Ciel de ui ar en pour ta Femme?
& meritois-tu d’épouſer une Perſonne comme moy?	et méritais-tu d'épouser une Personne comme moi?
SGANARELLE.	SGANARELLE.
Il eſt vray que tu me fis trop d’honneur, & que j’eus lieu de me loüer la premiere nuit de nos Nopces.	Il est vrai que tu me fis trop d'honneur, et que j'eus lieu de me louer la première nuit de nos Noces.
Hé, morbleu, ne me fais point parler là-deſſus;	Hé, morbleu, ne me fais point parler là-dessus;
je dirois de certainea mchaat.	je dirais de certainea méchaat.
MARTINE.	MARTINE.
Quoy, que dirois-tu?	Quoi, que dirais-tu?
SGANARELLE.	SGANARELLE.
Baſte.	Bâte.
Laiſſons-là ce Chapitre, il ſuffit que nous ſçavons ce que nous ſçavons, & que tu fus bien-heureuſe de me trouver.	Laissons-là ce Chapitre, il suffit que nous savons ce que nous savons, et que tu fus bienheureuse de me trouver.
MARTINE.	MARTINE.
Qu'appelies-tu bien-neureuſe de te trouver?	Qu'appeliez-tu bien-neureuse de te trouver?
Un Homme qui me réduit à l’Hoſpital, un Débauché, un Traiſtre quì	Un Homme qui me réduit à l'Hôpital, un Débauché, un Traître qu'
SGANARELLE.	SGANARELLE.
Tu as menty, j’en boy une partie.	Tu as menti, j'en boy une partie.
MARTINE.	MARTINE.
Qui me vend, piece-à-piece, tout ce qui eſt dans le Logis.	Qui me vend, pièce-à-pièce, tout ce qui est dans le Logis.
SGANARELLE.	SGANARELLE.
C’eſt vivre de Ménage.	C'est vivre de Ménage.
MARTINE.	MARTINE.
Qui m’a oſté juſqu’au Lit que j’avois.	Qui m'a ôté jusqu'au Lit que j'avais.
BGANARELLE.	BGANARELLE.
Tu t’en leveras plus matin.	Tu t'en lèveras plus matin.
MARTINE.	MARTINE.
Enfin, qui ne laiſſe aucun Meuble dans poute la Maiſon.	Enfin, qui ne laisse aucun Meuble dans poute la Maison.
SGANARELLE.	SGANARELLE.
On en déménage plus aiſément.	On en déménage plus aisément.
MARIINE.	MARIINE.
Et qui du matin juſqu’au ſoir ne fait que joüer & que boire.	Et qui du matin jusqu'au soir ne fait que jouer et que boire.
SGANARELLE.	SGANARELLE.
C ert pour ne me pont ennuyer.	Ç Cert pour ne me pont ennuyer.
MARTINE.	MARTINE.
Et que veux-tu, pendalit ce temps, que je faſſe avec ma Famille?	Et que veux-tu, pendal ce temps, que je fasse avec ma Famille?
SGANARELLE Tout ce qu’il te plaira.	SGANARELLE Tout ce qu'il te plaira.
MARTINE.	MARTINE.
J’ay quatre pauvres petits Enfans ſur les bras.	J'ai quatre pauvres petits Enfants sur les bras.
mi „(aduT	mi „ TraduT
SGANARELLE.	SGANARELLE.
Mets les à terre.	Mets les à terre.
MARTINE.	MARTINE.
Qui me demandent à toute heure du pdin,	Qui me demandent à toute heure du pdin,
SGANARELLE.	SGANARELLE.
3 Donne leur le foüet.	3 Donne leur le fouet.
Quand j’ay bien uu & bien mange, ſe veux que tout ſe monde ſoit ſaoul dans ma Maiſon.	Quand j'ai bien ouv et bien mange, se veux que tout se monde soit saoul dans ma Maison.
MARTINE.	MARTINE.
Et tu pretens, Yvrogne, que les choſes aillent toûjours de meſme?	Et tu prétends, Yvrogne, que les choses aillent toujours de même?
SGANARELLE.	SGANARELLE.
Ma Femme, allons tout doucement, s’il vous plaiſt.	Ma Femme, allons tout doucement, s'il vous plaît.
MARIINL.	MARINL.
Que j’endure éternellement tes inſolences & tes débauches?	Que j'endure éternellement tes insolences et tes débauches?
SGANARELLE.	SGANARELLE.
2 Ne nous emporcons pomt, ma Pemme,	2 Ne nous emporcons pompt, ma Pemme,
MARTINE.	MARTINE.
Et que je ne ſçache pas trouver le moyen de te ranger à ton devoir?	Et que je ne sache pas trouver le moyen de te ranger à ton devoir?
SGANARELLE.	SGANARELLE.
Ma Femme, vous ſçavez que je n’ay pas l’ame endurante, & que j’ay le bras aſſez bon.	Ma Femme, vous savez que je n'ai pas l'âme endurante, et que j'ai le bras assez bon.
MARTINE.	MARTINE.
Je me moque de tes menaces.	Je me moque de tes menaces.
SGANARELLE.	SGANARELLE.
Mi petite Femme, ma Mie, voſtre peau vous demange, à voſtre ordinaire.	Mi petite Femme, ma Mie, votre peau vous demange, à votre ordinaire.
MARTINE.	MARTINE.
Je te montreray bien que je ne te crains nullement.	Je te montrerai bien que je ne te crains nullement.
SGANARELLE.	SGANARELLE.
Ma chere Moitié, vous avez envie de me dérober quelque choſe.	Ma chère Moitié, vous avez envie de me dérober quelque chose.
MARTINE.	MARTINE.
Crois-tu que je m’épouvante de tes paroles?	Crois-tu que je m'épouvante de tes paroles?
SGANARELLE.	SGANARELLE.
Doux Objet de mes vœux, je vous froteray les oreilles.	Doux Objet de mes vœux, je vous frotterai les oreilles.
MARTINE.	MARTINE.
Yvrogne que tu es.	Yvrogne que tu es.
C23 SGANARELLE.	C23 SGANARELLE.
Je vous battray.	Je vous battrai.
MARTINE.	MARTINE.
Sac a-vin.	Sac a-vin.
SGANARELLE.	SGANARELLE.
Je vous roſſeray.	Je vous rosserai.
d Infame.	d Infâme.
MARTINE.	MARTINE.
SGANARELLE.	SGANARELLE.
Je vous étrilleray.	Je vous étrillerai.
MARTINE.	MARTINE.
Traiſtre, Inſolent, Trompeur, Lâche, Coquns, rendurt, queun, mammis Fripon, Maraut, Voleur.	Traître, Insolent, Trompeur, Lâche, Coqueuns, rendurt, queun, mammys Fripon, Maraut, Voleur.
SGANARELLE prend un Baſton, & luy en donne.	SGANARELLE prend un Bâton, et lui en donne.
Ah, vous en voulez donc?	Ah, vou en lez donc?
MARTINE.	MARTINE.
Ah, ah, ah, ah.	Ah, ah, ah, ah.
SGANARELLE.	SGANARELLE.
Voila le vray moyen de vous appaiſer.	Voilà le vrai moyen de vous apaiser.
SCENE II.	SCÈNE II.
MONSIEUR ROBERT,	MONSIEUR ROBERT,
M.	M.
ROBERT.	ROBERT.
Ola, hola, hola;	Ola, holà, holà;
Fy.	Fi.
Qu’eſt-ce-cy?	Qu'est-ce-cy?
IIQuelle infamie!	IIQuelle infamie!
Peſte ſoit le Coquin, de battre ainſi ſa Femme.	Peste soit le Coquin, de battre ainsi sa Femme.
MARTINE les mains ſur les coſtez lu parle en le faiſant reculer, & à la fin luy donne un ſouflet.	MARTINE les mains sur les côtés lu parle en le faisant reculer, et à la fin lui donne un soufflet.
Et je veux qu’il me batte, moy.	Et je veux qu'il me batte, moi.
1	1
M.	M.
ROBERT.	ROBERT.
Ah, j’y conſens de tout mon cœur.	Ah, j'y consens de tout mon cœur.
MARTINE.	MARTINE.
Dequoy vous meſlez-vous?	Dequoy vous mêlez-vous?
M.	M.
RCOBERT.	RCOBERT.
J’ay tort.	J'ai tort.
MARTINE.	MARTINE.
Eſt-ce là voſtre affaire?	Est-ce là votre affaire?
M.	M.
ROBERE.	ROBERE.
Vous avez raiſon.	Vous avez raison.
MARTINE.	MARTINE.
voyen un peu cet raipertinent, qui veut empeſcher les Marys de battre leurs FemMes.	voyen un peu cet raipertinent, qui veut empêcher les Maris de battre leurs FemMes.
M.	M.
ROBERT.	ROBERT.
Je me retracte.	Je me rétracte.
MARTINE.	MARTINE.
Qu’avez-vous à voir la-deſſus?	Qu'avez-vous à voir la-dessus?
Rien.	Rien.
M.	M.
RODERT,	RODERT,
MARTINE.	MARTINE.
Eſt-ce à vous d’y mettre le nezz	Est-ce à vous d'y mettre le nez
Non.	Non.
M.	M.
ROBERT.	ROBERT.
MARTINE.	MARTINE.
Meſlez-vous de vos affaires.	Meslez-vous de vos affaires.
M.	M.
ROBERT.	ROBERT.
Je ne dis plus mot.	Je ne dis plus mot.
MARTINE.	MARTINE.
Il me plaiſt d’eſtre battuë.	Il me plaît d'être battue.
M.	M.
RCODART.	RCODART.
D’accord.	D'accord.
MARTINE.	MARTINE.
Ce n’eſt pas à vos deſpens.	Ce n'est pas à vos dépens.
M.	M.
ROBERT.	ROBERT.
Il eſtvray.	Il estvrai.
MARTINE.	MARTINE.
Et vous eſtes un Sot, de venir vous four, rer où vous n’avez quefaire.	Et vous êtes un Sot, de venir vous four, rer où vous n'avez quefaire.
M.	M.
ROBERT paſſe en ſuite vers le Mary, qui pareillement luy parle toûjours en le faiſant reculer, le frape avec le meſme Baſton, le met en fuite, & dit à la fin.	ROBERT passe en suite vers le Mari, qui pareillement était parle toujours en le faisant reculer, le frappe avec le même Bâton, le met en fuite, et dit à la fin.
Coiipere, je vous demande pardon de tout mon cœur.	Coiipère, je vous demande pardon de tout mon cœur.
Faites, roſſez, battez comme il faut voſtre Femme;	Faites, rossés, battez comme il faut votre Femme;
je vous aideray ſi vous le voulez.	je vous aiderai si vous le voulez.
SGANARELLE.	SGANARELLE.
Il ne me plaiſt pas, moy.	Il ne me plaît pas, moi.
M.	M.
ROBERT.	ROBERT.
Ah, c’eſt une autre choſe!	Ah, c'est une autre chose!
SGANARELLE.	SGANARELLE.
Je la veux battre, ſi je le veux;	Je la veux battre, si je le veux;
& ne la veux pas battre ſi je ne le veux pas.	et ne la veux pas battre si je ne le veux pas.
M.	M.
ROBERT.	ROBERT.
Fort bien.	Fort bien.
SUANARELLE.	SUANARELLE.
C’eſt ma Femme, & non pas la voſtre.	C'est ma Femme, et non pas la vôtre.
M.	M.
KOBERI.	OBERI.
Sans doute.	Sans doute.
SGANARELLE.	SGANARELLE.
y quo luven lienumaſcommander,	y quo luven lienumascommander,
M.	M.
ROBERT.	ROBERT.
D dccoid.	D occoid.
SGANARELLE.	SGANARELLE.
Je n’ay que faire de voſtre aide.	Je n'ai que faire de votre aide.
M.	M.
ROBERT.	ROBERT.
Tres.	Très.
volontiers.	volontiers.
SGANARELLE.	SGANARELLE.
Et vous eſtes un Impertinent, de vous ingerer des affaires d’autruy.	Et vous êtes un Impertinent, de vous ingérer des affaires d'autrui.
