TAVTE DETI MERMET	TAUTE DETI MERMET
Ar l li R To, Chez IEAN RIBCV, au Palais, vis Pol l Porte de l’Egliſe, de la Sainte Chapelras à l’Image Sain* Louis.	Ar l li R ô, Chez IEAN RIBCU, au Palais, vis Pol l Porte de 'Église, de la Sainte Chapelras à l'Image Sain* Louis.
M.	M.
DC.	DC.
LXVII.	LXVII.
AVEC PRIVILEGE DV ROT.	AVEC PRIVILÈGE DU ROT.
LE LIBRAIRE AV LECIEVN.	LE LIBRAIRE AU LECIEUN.
E Miſantrope, dés ſa premiere Repreſentation, ayant receu au Theatré, l’approbation que le Lecteur ne luy pourra refuſer, & la Cour eſtant à Fontainebleau, lors qu’il parut;	E Misantrope, dès sa première Représentation, ayant reçu au Théatré, l'approbation que le Lecteur ne lui pourra refuser, et la Cour étant à Fontainebleau, lors qu'il parut;
i'ay crû que ie ne pouuois rien faire de plus agreable pour le Public, que de luy faire part de cette Lettre, qui fut écrite, vn iour apres, à vne Perſonne de Qualité, Sur le Sujet de cette Comedie.	j'ai cru que Dieu ne pouvais rien faire de plus agréable pour le Public, que de lui faire part de cette Lettre, qui fut écrite, un jour après, à une Personne de Qualité, Sur le Sujet de cette Comédie.
Celuy qui l’écriuit eſtant vn Homme dont le merite & l’eſprit eſt fort conu, ſa Lettre fut veuë de la meilleure partie de la Cour, e trouuée ſi iuſte parmy tout ce qu’il y a de Gens les plus éclairez en ces matieres, que ie me ſuis persuadé qu’apres leur auoir plû, le Lecteur me ſeroit obligé du ſoin que i'auois pris d’en chercher vne Copie pour la luy donner, & qu’il luy rendra la iuſtice que tant de Perſonne de la plus haute Naiſſence luy ont accordée.	Celui qui l'écrivit étant un Homme dont le mérite et l'esprit est fort conv, sa Lettre fut vue de la meilleure partie de la Cour, e trouuée si juste parmi tout ce qu'il y a de Gens les plus éclairez en ces matières, que sans me suis persuadé qu'après leur avoir plu, le Lect me serait obligé du soin que j'avais pris d’en chercher une Copie pour la lui donner, et qu'il lui rendra la justice que tant de Personne de la plus haute Naissence lui ont accordée.
LETTRE ECRITE SVR LA COMEDIE DV MISANTROPE ONSIEVR,	LETTRE ÉCRITE SUR LA COMÉDIE DU MISANTROPE ONSIEUR,
Il eſt à propos, auant que de parler à fonds de cette Comedie, de voir quel a eſté le bût de l’Aucheur;	Il est à propos, avant que de parler à fond de cette Comédie, de voir quel a été le but de l'Aucheur;
& ie croy qu’il merite des Loüanges, s’il eſt venus à bout de ce qu’il s’eſt propoſé;	et deux crois qu'il mérite des Loüanges, s'il est venus à bout de ce qu'il s'est proposé;
& c’eſt la premiere choſe qu’il faut examiner.	et c'est la première chose qu'il faut examiner.
Ie pourrois vous dire en deux mots, ſi ie voulois m’exempter de faire vn grand Diſcours, qu’il a pû, & que ſon intention eſtant de plaire, les Critiques ne peuuent pas dire qu’il ait mal fait, puis qu’en faiſant mieux I ſi toutesfois il eſt poiſſble y Ion Deneii ſl’auroit peut-eſtre, pas ſi bien reüſſy,	Je pourrais vous dire en deux mots, si on voulais m'exempter de faire un grand Discours, qu'il a pu, et que son intention étant de plaire, les Critiques ne peuvent pas dire qu'il ait mal fait, puis qu'en faisant mieux I si toutefois il est poissble y Ion Denéi sl'aurait peut-être, pas si bien reüssy,
Examinons, donc, les Endroits par où il a plû;	Examinons, donc, les Endroits par où il a plus;
& voyons qu’elle a eſté la fin de ſon Ouurage.	et voyons qu'elle a été la fin de son Ouvrage.
