Iouxte la copie Imgrlede	Jette la copie Imgrède
ACTEVRS.	ACTEURS.
GEORGE DANDIN, riche Payſan, Mary d’Angelique.	GEORGE DANDIN, riche Paysan, Mari d'Angélique.
ANGELIQVE, Femme je George Dandin, & Fille de Mr de Sotenville.	ANGELIQUE, Femme je George Dandin, et Fille de Mr de Sotenville.
Mr DE SOTENVILLE, Gentilhomme Campagnard, Pere d’Angelique.	Mr DE SOTENVILLE, Gentilhomme Campagnard, Père d'Angélique.
Ale An GOlEViDEE la Rime.	Ale An GOlEUiDE la Rime.
CLITANDRE, Amoureux d’Angelique.	CLITANDRE, Amoureux d'Angélique.
CLAVDINE, Suiuante d’Ange lique.	CLAUDINE, Suivante d'Ange lique.
Dandin.	Dandin.
DANDIN OV LE P MART CONFONDV.	DANDIN OU LE P ART CONFONDV.
ACTE I.	ACTE I.
SCENE PREMIERE	SCÈNE PREMIÈRE
GEORGE BANDIE H!	GEORGE BANDIE H!
qu’vneem 0 Lge affaire jau mon mariage eſt vos A A çon bien parlante à tous les payſans qai veulent s’éleuer au deſſis de leur condition, & s’allier, comme i’ay fait, a Maiſon d’vn Gentil homme.	qu'vneem 0 Lé affaire jau mon mariage est vos A A çon bien parlante à tous les paysans q veulent s'élever au dessis de leur condition, et s'allier, comme j'ai fait, à Maison d'un Gentil homme.
La Nobleſſe de ſoy eſt bonne;	La Noblesse de soi est bonne;
c’eſt vne choſe conſi derable aſſurément mais elle eſt accompagnée de tant de mauuaiſes circonſtances qu’il eſt tres-bon de ne s’y point froter.	c'est assez chose consi derable assurément mais elle est accompagnée de tant de mauvaises circonstances qu'il est très-bon de ne s'y point frotter.
Ie ſuis deuenu là-deſſus ſçauant à mes dépens & connois le ſtyle des Nobles lors qu’ils nous font nous autres entrer dans leut famille.	Je suis devenu là-dessus savant à mes dépens et connais le style des Nobles lors qu'ils nous font nous autres entrer dans lut famille.
L’alliance qu’lls font eſt petite auec nos perſonnes.	L'alliance qu'lls font est petite avec nos personnes.
C’eſt noſtre bien ſeul qu’ils épouſent, & i’aurois bien mieux fait tout riche que ie ſuis, de m’allier en bonne & franche payſanerie, que de prendre vne femme qui ſe tient au deſſus de moy, s’offenſe de porter mon nom & penſe qu’auec tout mon bien, ie	C'est notre bien seul qu'ils épousent, et j'aurais bien mieux fait tout riche que sans suis, de m'allier en bonne et franche paysannerie, que de prendre une femme qui se tient au dessus de moi, s'offense de porter mon nom et pense qu'avec tout mon bien, elle
n’ay pas aſſez acheté la qualité de ſon mary George Dandin George Dandin, George Dandin, vous auez fait vne ſotiſe la plus grande du monde.	n'ai pas assez acheté la qualité de son mari George Dandin George Dandin, George Dandin, vous avez fait une sottise la plus grande du monde.
