L’IMPOSTEUR,	L'IMPOSTEUR,
DU LE TARTUFFE,	DU LE -TARTUFFE,
ORGON, Mary d’Elmire.	ORGON, Mari d'Élmire.
DAMIS, Fils d’Orgon.	DAMIS, Fils d'Orgon.
MIRIANE, Fille d’Orgon, & Amantede (Valere.	MIRIANE, Fille d'Orgon, et Amante (Ualère.
VALERE, Amant de Mariane.	VALÈRE, Amant de Mariane.
CLEANTE, Beaufrere d’Orgon.	CLÉANTE, Beauffre d'Orgon.
TARTOTNE, PauaDeuoc.	TARTOTNE, PavaDeuoc.
DORINE, Suivante de Mariane.	DORINE, Suivante de Mariane.
MONSIEUR LOYAL, Sergent.	MONSIEUR LOYAL, Sergent.
UN EXEMPT.	UN EXEMPT.
La Scene eſt à Paris.	La Scène est à Paris.
FLIPOTE, Servante de Madame Pernelle	FLIPOTE, Servante de Madame Pernelle
L’IMPOSTEUR, OMEDIE.	L'IMPOSTEUR, OMEDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MADAME PERNELLE, & FLI POTE ſa Servante, ELMIRE, MARIANE, DORINE, DAMIS, CLEANTE.	MADAME PERNELLE, et SLY POTE sa Servante, ELMIRE, MARIANE, DORINE, DAMIS, CLÉANTE.
M.	M.
PERNELLE.	PERNELLE.
LLONS, Flipote, aſlons;	LLONS, Flipote, aslons;
que d’eux je me déliure.	que d'eux je me délivre.
ELMIRE.	ÉLMIRE.
ous marchez d’un tel pas, qu’on a peine à vous ſuiure.	ous marchez d'un tel pas, qu'on a peine à vous suivre.
M.	M.
TERNELLE.	TERNELLE.
Laiſſez, ma Bru, laiſſez;	Laissez, ma Bru, laissez;
ne venez pas plus loin;	ne venez pas plus loin;
Ce ſont toutes façons, dont je n’ay pas beſoin.	Ce sont toutes façons, dont je n'ai pas besoin.
ELMIRE.	ÉLMIRE.
De ce que l'on vous doit, envers vous on s’acquitte Mais, Ma Mere, d’où vient que vous ſortez ſi viſte?	De ce que l'on vous doit, envers vous on s'acquitte Mais, Ma Mère, d'où vient que vous sortez si vite?
M.	M.
PERNELLE.	PERNELLE.
C’eſt que je ne puis voir tout ce ménage-cy, Et que de me complaire, on ne prend nul ſoucy.	C'est que je ne puis voir tout ce ménage-cy, Et que de me complaire, on ne prend nul souci.
Ouy, ie ſors de chez vous fort mal édifiée;	Oui, Seigneur sors de chez vous fort mal édifiée;
Dans toutes mes leçons, i’y ſuis contrariée;	Dans toutes mes leçons, j'y suis contrariée;
Onfy feipeete fen, chacun y parle haut, Et c'eſt, tout juſtement, la Cour du Roy Petaut	Onfi feipedée sen, chacun y parle haut, Et c'est, tout justement, la Cour du Roi Pet
Si.	Si.
DORIRE.	DORIRE.
M.	M.
PERNELLE.	PERNELLE.
Vous eſtes, Mamie, une Fille Suivante Vn peu trop forte en gueule, & fort impertinente:	Vous êtes, Mamie, une Fille Suivante Un peu trop forte en gueule, et fort impertinente:
vous vous menenlur tout de dne vonie auis.	vous vous menlur tout de dne vonie avis.
Mais.	Mais.
DAMIS.	DAMIS.
M.	M.
PERNELLE.	PERNELLE.
Vous eſtes un ſot en trois lettres, mon Fils;	Vous êtes un sot en trois lettres, mon Fils;
C’eſt moy qui vous le dis, qui ſuis voſtre Grand- Mere;	C'est moi qui vous le dis, qui suis votre Grand- Mère;
Et fay preuit cent iois a mhon Fils, voſtre Pere, Que vous preniez tout l’air d’un mé chant Garnement, Et ne luy donneriez jamais que du tourment.	Et fais preuit cent jois a mhon Fils, votre Père, Que vous preniez tout l'air d'un mé chant Garnement, Et ne lui donneriez jamais que du tourment.
Ie croy.	Je crois.
MARIANE.	MARIANE.
M.	M.
PERRELLE.	PERRELLE.
Mon Dieu, ſa Sœur, vous faites la diſcrette, Et vous n’y touchez pas, tant vous ſemblez doucette :	Mon Dieu, sa Sœur, vous faites la discrète, Et vous n'y touchez pas, tant vous semblez doucette :
Mais il n’eſt, comme on dit, pire eau, que l’eau qui dort, Et vous menez ſous-chape, un train que je hais fort.	Mais il n'est, comme on dit, pire eau, que l'eau qui dort, Et vous menez sous-chape, un train que je hais fort.
Mais, ma Mere.	Mais, ma Mère.
ELMIRE.	ÉLMIRE.
M.	M.
PERNELLE.	PERNELLE.
Ma Bru, qu’il ne vous en déplaiſe, Voſtre conduite en tout, eſt tout-a-fait mauuaiſe:	Ma Bru, qu'il ne vous en déplaise, Votre conduite en tout, est tout-fait mauvaise:
Vous déuriez leur mettre un bon exemple aux yeux, Et leur défunte Mere en uſoit beaucoup mieux.	Vous devriez leur mettre un bon exemple aux yeux, Et leur défunte Mère en usait beaucoup mieux.
Vous Vous eſtes dépenciere, & cet eſtat me bleſſe, Que vous alliez veſtuë ainſi qu’une Princeſſe.	Vous Vous êtes dépenciere, et cet état me blesse, Que vous alliez venue ainsi qu'une Princesse.
Quiconque a ſon Mary vout prulroreurement, Ma Bru, n’a pas beſoin de tant d’ajuſtement,	Quiconque à son Mari vout prulroreurement, Ma Bru, n'a pas besoin de tant d'ajustement,
CELARIE.	CELARIE.
Mais, Madame, apres tout.	Mais, Madame, après tout.
M.	M.
PERNELLE.	PERNELLE.
Pour vous, Monſieur ſon Frere, Ie vous eſtime fort, vous aime, & vous réuere:	Pour vous, Monsieur son Frère, Je vous estime fort, vous aime, et vous révère:
Mais enfin, ſi i’eſtois de mon Fils ſon Epous, Ie vous priërois bien fort, de n’entrer point chez nous.	Mais enfin, si j'étais de mon Fils son Épous, Je vous prierais bien fort, de n'entrer point chez nous.
Sans ceſſe vous preſchez des Maximes de viure, Qui par d’honneſtes Gens ne ſe doiuent point ſuiure:	Sans cesse vous prêchez des Maximes de vivre, Qui par d'honnêtes Gens ne se doivent point suivre:
Ie vous parle un peu franc, mais c’eſt là mon humeur, nt le ne mache pomt ce que ray lur lecœur.	Je vous parle un peu franc, mais c'est là mon humeur, naît le ne mache pompt ce que ray lur lecœur.
DAMIS.	DAMIS.
Voſtre Monſieur Tartuffe eſt Bienheureux ſans doute.	Votre Monsieur Tartuffe est Bienheureux sans doute.
M.	M.
PERNELLE.	PERNELLE.
C’eſt un Homme de bien, qu’il faut que l’on écoute;	C'est un Homme de bien, qu'il faut que l'on écoute;
Et je ne puis ſouffrir, ſans me mettre en courrous, De le voir querellé par un Fou comme vous.	Et je ne puis souffrir, sans me mettre en courrous, De le voir querellé par un Fouir comme vous.
DAMIS.	DAMIS.
Quoy!	Quoi!
ie ſouffriray, moy, qu’un Cagot de Critique, Vienne uſurper ceans un pouuoir tyrannique?	Les souffrirai, moi, qu'un Cagot de Critique, Vienne usurper céans un pouvoir tyrannique?
Et que nous ne puiſſions à rien nous diuertir, Si ce beau Monſieur-la n’y daigne conſentir?	Et que nous ne puissions à rien nous divertir, Si ce beau Monsieur-la n'y daigne consentir?
DORINE.	DORINE.
S’il le faut écouter, & croire à ſes Maximes, On ne peut faire rien, qu’on ne faſſe des crimes, Car il contrôle tout, cc Critique zelé.	S'il le faut écouter, et croire à ses Maximes, On ne peut faire rien, qu'on ne fasse des crimes, Car il contrôle tout, cc Critique zélé.
M.	M.
PERNELLE.	PERNELLE.
Et tout ce qu’il contrôle, eſt fort bien contrôlé, C’eſt au chemin duCiel qu’il prétend vous conduire!	Et tout ce qu'il contrôle, est fort bien contrôlé, C'est au chemin duCiel qu'il prétend vous conduire!
Et mon Fils, à l’aimer, vous deuroit tous induire.	Et mon Fils, à l'aimer, vous devrait tous induire.
DAMIS.	DAMIS.
Non, voyez-vous, ma Mere, il n'eſt Pere, ny rien, Qui me puiſſe obliger à luy vouloir du bien.	Non, voyez-vous, ma Mère, il n'est Père, ni rien, Qui me puisse obliger à M vouloir du bien.
Je trahirois mon cœur, de parler d’autre ſorte, Sur ſes façons de faire, à tous coups je m'emporte;	Je trahirais mon cœur, de parler d'autre sorte, Sur ses façons de faire, à tous coups je m'emporte;
j’en prevois une ruite, & qu’avec ce lie-plat.	j'en prévois une ruite, et qu'avec ce lie-plat.
Il faudra que j’en vienne à quelque grand é clat.	Il faudra que j'en vienne à quelque grand é lat.
DORINE.	DORINE.
Certes, c’eſt une choſe auſſi qui ſcandaliſe, De voir qu’vn Inconnu ceans s’impatroniſe;	Certes, c'est une chose aussi qui scandalise, De voir qu'un Inconnu ce s'impatronise;
Qu’vn Gueux qui, quand il vint, n’avoit pas des Souliers.	Qu'un Gueux qui, quand il vint, n'avait pas des Souliers.
Et dont l’habit entier valoit bien ſix deniers, En vienne juſques-là, que de ſe méconnoiſtre, De contrarier tout, & de faire le Maiſtre.	Et dont l'habit entier valait bien six deniers, En vienne jusques-là, que de se méconnaître, De contrarier tout, et de faire le Maître.
M.	M.
PERNELLE.	PERNELLE.
Hé, mercy de ma vie il en iroit bien mieux, Si tout ſe gouvernoit par ſes ordres pieux.	Hé, merci de ma vie il en irait bien mieux, Si tout se gouvernait par ses ordres pieux.
DONINE.	DONINE.
Il paſſe pour un Saint dans voſtre fantaiſie;	Il passe pour un Saint dans votre fantaisie;
Tout ſon fait, croyez-moy, n’eſt rien qu’hypôcriſie.	Tout son fait, croyez-moi, n'est rien qu'hypôcrisie.
M.	M.
PERNELLE.	PERNELLE.
Voyez la langue!	Voyez la langue!
DORINE.	DORINE.
A luy, non plus qu’à ſon Laurent, Je ne me firois, moy, que ſur un bon Garant.	A lui, non plus qu'à son Laurent, Je ne me firais, moi, que sur un bon Garant.
M.	M.
PERNELLE.	PERNELLE.
J’ignore ce qu’au fond le Serviteur peut eſtre;	J'ignore ce qu'au fond le Serviteur peut être;
Mais pour Homme de bien, je garantis le Maiſtre.	Mais pour Homme de bien, je garantis le Maître.
Vous ne luy voulez mal, & ne le rebutez, Qu’à cauſe qu’il vous dit à tous vos veritez.	Vous ne notre voulez mal, et ne le rebutez, Qu'à cause qu'il vous dit à tous vos vérités.
C’eſt contrẽ le Peché que ſon cœur ſe courrouce, Et l’intereſt du Ciel eſt tout ce qui le pouſſe.	C'est contrẽ le Péché que son cœur se courrouce, Et l'intérêt du Ciel est tout ce qui le pousse.
DORINE.	DORINE.
oüy;	oui;
mais Pourquoy ſur tout, depuis un certain temps, Ne ſçauroit-il ſouffrir qu’aucun hante ceans?	mais Pourquoi sur tout, depuis un certain temps, Ne saurait-il souffrir qu'aucun hante céans?
En quoy bleſſe le Ciel une viſite honneſte, Pour Pour en faire un vacarme à nous rompre la teſte?	En quoi blesse le Ciel une visite honnête, Pour Pour en faire un vacarme à nous rompre la tête?
Veut-on que là deſſus je m’explique entre nous?	Veut-on que là dessus je m'explique entre nous?
Ie croy que de Madame il eſt, ma foy, jalous.	Je crois que de Madame il est, ma foi, jalous.
M.	M.
PERNELLE.	PERNELLE.
Taiſez-vous, & ſongez aux choſes que vous dites.	Taisez-vous, et songez aux choses que vous dites.
Ce n’eſt pas luy tout ſeul qui blâme ces viſites;	Ce n'est pas homme tout seul qui blâme ces visites;
Tout ce tracas qui ſuit les Gens que vous hantez, Ces Caroſſes ſans ceſſe à la Porte plantez, Et de tant de Laquais le bruyant aſſemblage, ront ut ceit iueneux dans tout le voiſinage.	Tout ce tracas qui suit les Gens que vous hantez, Ces Carosses sans cesse à la Porte plantez, Et de tant de Laquais le bruyant assemblage, ront ut cit jueneux dans tout le voisinage.
Je veux croire qu’au fond il ne ſe paſſe rien;	Je veux croire qu'au fond il ne se passe rien;
Mais enfin on en parle, & cela n’eſt pas bien.	Mais enfin on en parle, et cela n'est pas bien.
CLEANTE.	CLÉANTE.
Hé, voulez-vous, Madame, empeſcher qu’on ne cauſe;	Hé, voulez-vous, Madame, empêcher qu'on ne cause;
