M DC LXIX.	M MC LXIX.
tomus ue cor Ameſunuſpeuuua la Critique des Ennemis d’une Comedie.	tomus ue cor Amesunuspeuuua la Critique des Ennemis d'une Comédie.
Ce n’eſt pas, MONSEIGNEUR, que la glorieuſe approbation de V.	Ce n'est pas, MONSEIGNEUR, que la glorieuse approbation de V.
A.	A.
S.	S.
ne fuſt une puiſ.	ne fût une puis.
ſante protection pour toutes ces ſortes d’Ouvra.	santé protection pour toutes ces sortes d'Ouvra.
ges, & qu’on ne ſoit perſuadé des lumieres de voſtre Eſprit, autant que de l’intrepidité de vôtre Cœur, & de la grandeur de voſtre Ame.	gez, et qu'on ne soit persuadé des lumières de votre Esprit, autant que de l'intrépidité de votre Cœur, et de la grandeur de votre Âme.
On ſçait par toute la Terre, que l’éclat de voſtre Merite n’eſt point renfermé dans les bornes de cette Valeur indomptable, qui ſe fait des Adorateurs chez ceux même qu’Elle ſurmonte;	On sais par toute la Terre, que l'éclat de votre Mérite n'est point renfermé dans les bornes de cette Valeur indomptable, qui se fait des Adorateurs chez ceux -même qu'Elle surmonte;
qu’il s'étend, ce Merite, juſques aux connoiſſances les plus fines & les plus relevées;	qu'il s'étend, ce Mérite, jusques aux connaissances les plus fines et les plus relevées;
& que les deciſions de voſtre jugement ſur tous les Ouvrages d’eſprit, ne manquent point d’eſtre ſuivies par le ſentiment des plus delicats.	et que les décisions de votre jugement sur tous les Ouvrages d'esprit, ne manquent point d'être suivies par le sentiment des plus délicats.
Mais on ſçait auſſi, MONSEIGNEUR, que toutes ces glorieuſe.	Mais on sait aussi, MONSEIGNEUR, que toutes ces glorieuse.
approbations dont nous nous vantons au Public.	approbations dont nous nous vantons au Public.
ne nous coûtent rien à faire imprimer, & que ce ſont des choſes dont nous diſpoſons comme nous voulons.	ne nous coûtent rien à faire imprimer, et que ce sont des choses dont nous disposons comme nous voulons.
On ſçait, dis-je, qu’une Epiſtre Dedicatoire dit tout ce qu’il luy plaiſt;	On sais, dis-je, qu'une Épître Dédicatoire dit tout ce qu'il lui plaît;
& qu’un Autheur eſt en pouvoir d’aller ſaiſir les Perſonnes les plus auguſtes, & de parer de leurs grands Nom les premiers feüillets de ſon Livre;	et qu'un Auteur est en pouvoir d'aller saisir les Personnes les plus augustes, et de parer de leurs grands Nom les premiers feuillets de son Livre;
qu’il a la liberté de s’y donner autant qu’il veut l’honneur de leur eſtime, & de ſe faire des Protecteurs qu n'ont jamais ſongé à l’eſtre.	qu'il a la liberté de s'y donner autant qu'il veut l'honneur de leur estime, et de se faire des Protecteurs qu 'ont jamais songé à l'être.
Je n’abuſeray, MONSEIGNEUR, ny de voſtre Nom, ny de vos bontez, pour combattre les Cenſeurs de l’Amphitryon, & m’attribuër une gloire, que je n’ay pas peut-eſtre meritée;	Je n'abuserai, MONSEIGNEUR, ni de votre Nom, ni de vos bontés, pour combattre les Censeurs de l'Amphitryon, et m'attribuer une gloire, que je n'ai pas peut-être méritée;
& je ne prens la liberté de vous offrir ma Comedie, que pour avoir lieu de vous dire que je regarde inceſſamment avec une profonde veneration, les grandes Qualitez que vous joignez au Sang auguſte dont vous tenez le jour, & que je ſuis, MONSEIGNEUR, avec tout le reſpect poſſible, & tout le zele imaginable,	et je ne prends la liberté de vous offrir ma Comédie, que pour avoir lieu de vous dire que je regarde incessamment avec une profonde vénération, les grandes Qualités que vous joignez au Sang auguste dont vous tenez le jour, et que je suis, MONSEIGNEUR, avec tout le respect possible, et tout le zele imaginable,
Le tres-humble, tres-obeïſſant, & tres-obligé Serviteur,	Le très-humble, très-obeïssant, et très-obligé Serviteur,
MOLIERE.	MOLIÈRE.
AMPHITRYON, General des Thebains.	AMPHITRYON, Général des Thébains.
LCMENE, Femme d’Amphitryon.	LCMENE, Femme d'Amphitryon.
LEANTHIS, Suivante d’Alcméne, & Femme de sonle.	LEANTHIS, Suivante d'Alcméne, et Femme de sonle.
SOSIE, Valet d’Amphitryon.	SOSIE, Valet d'Amphitryon.
