JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
NERINE, Femme d’intrigue.	NERINE, Femme d'intrigue.
d e an lra, lelnte aaiconne.	d e an lra, lelnte aïconne.
ERASIE, AMant de julie.	ERASIE, AMant de julie.
SBRTGANI, Napontain, Homme d’intrigue.	SBRTGANI, Napontain, Homme d'intrigue.
PREMTERMEDECIN.	PREMTERMEDECIN.
SECOND MEDECIN.	SECOND MÉDECIN.
DHPOTQVAIRE.	DHPOTQUAIRE.
UN PAYSAN.	UN PAYSAN.
e ly E l an le M lena	Je li E l an le M lena
TREMTER MOSICIEN.	TREMTER MOSICIEN.
SECOND MUSICIEN.	SECOND MUSICIEN.
PREMIER AVOCAT.	PREMIER AVOCAT.
SECOND AVOCAT.	SECOND AVOCAT.
PREMIER SUISSE.	PREMIER SUISSE.
SECOND SUISSE.	SECOND SUISSE.
UN EXEMPT.	UN EXEMPT.
DEUXARCHERS.	DEUXARCHÉRS.
PLUSIEURS MUSICIENS, JOUEURS D’INSTRUMENS, & DANCEURS.	PLUSIEURS MUSICIENS, JOURS D'INSTRUMENS, et DANCEURS.
La Scene eſt à Paris.	La Scène est à Paris.
’Ouverture ſe fait par Eraſte, qui conduit Lun grand Concert de Voix & d’Inſtrumens, pour une Serenade, dont les Paroles chantées par trois Voix en maniere de Dialogue, ſont faites ſur le Sujet de la Comedie, & expriment les ſentimens de deux Amans, qui eſtant bien enſemble, ſont traverſez par le caprice des Palella.	Ouverture , pour une Eraste, qui conduit Lun grand Concert de Voix et d'Instruments, pour une Sérenade, dont les Paroles chantées par trois Voix en manière de Dialogue, sont faites sur le Sujet de la Comédie, et expriment les sentiments de deux Amants, qui étant bien ensemble, sont traversez par le caprice des Palella.
Premiere Voix.	Première Voix.
Répans, charmante nuit, répans ſur tous les yeux, De tes pavots la douce violence, Et ne laiſſe veiller en ces aimables lieux Que les cœurs que l’Amour ſoûmet à ſa puiſſance.	Répans, charmante nuit, répans sur tous les yeux, De tes pavots la douce violence, Et ne laisse veiller en ces aimables lieux Que les cœurs que l'Amour soumet à sa puissance.
Tes ombres & ton ſilence Plus beau que le plus beau jour, Offrent de doux momens à ſoûpirer d’amour.	Tes ombres et ton silence Plus beau que le plus beau jour, Offrent de doux moments à soupirer d'amour.
Deuxiême Voix.	Deuxiême Voix.
Que ſoûpirer d’amour Eſt une douce choſe, Quand rien à nos vœux ne s’oppoſe!	Que soupirer d'amour Est une douce chose, Quand rien à nos vœux ne s'oppose!
A d’aimables penchans noſtre cœur nous diſpoſe, Mais on a des Tyrans à qui l’on doit le jour:	À d'aimables penchants notre cœur nous dispose, Mais on a des Tyrans à qui l'on doit le jour:
Que ſoûpirer d’amour Eſt une douce choſe, Quand rien à nos vœux ne s’oppoſe!	Que soupirer d'amour Est une douce chose, Quand rien à nos vœux ne s'oppose!
Troi	Trois
Tout ce qu’à nos vœux on oppoſe, Contre un parfait amour ne gagne jamais rien;	Tout ce qu'à nos vœux on oppose, Contre un parfait amour ne gagne jamais rien;
Et pour vaincre toute choſe, Il ne faut que s’aimer bien.	Et pour vaincre toute chose, Il ne faut que s'aimer bien.
Les troix Voix enſemble.	Les trois Voix ensemble.
Aimons-nous donc d’une ardeur eternelle, Les rigueurs des Parens, la contrainte cruelle, L’abſence, les travaux, la fortune rebelle, Ne font que redoubler une amitié fidelle:	Aimons-nous donc d'une ardeur éternelle, Les rigueurs des Parents, la contrainte cruelle, L'absence, les travaux, la fortune rebelle, Ne font que redoubler une amitié fidèle:
Aimons-nous donc d’une ardeur eternelle.	Aimons-nous donc d'une ardeur éternelle.
Quanii deha teurs s uiment vien, Tout le reſte n’eſt rien.	Quani deha teurs s uiment viens, Tout le reste n'est rien.
La Serenade eſt ſuivie d’une Dance de deux » Pages, pendant laquelle quatre Curieux de Spectacles ayant pris querelle enſemble, mettent Pepceu la ihain.	La Serenade est suivie d'une Dance de deux " Pages, pendant laquelle quatre Curieux de Spectacles ayant pris querelle ensemble, mettent Pepceu la ihain.
Aprés un aſſez agreable Combat, ils ſont ſeparez par deux Suiſſes, qui les ayant mis d’accord dancent avec eux, au ſon de tous les Inſtrumens.	Après un assez agréable Combat, ils sont séparés par deux Suisses, qui les ayant mis d'accord dancent avec eux, au son de tous les Intruments.
MONSIEUR DE POURCEAUGNAC.	MONSIEUR DE POURCEAUGNAC.
COMEDIE.	COMÉDIE.
ACTE I.	ACTE I.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ULIE, ERASTE, NERINE.	ULIE, ERASTE, NERINE.
U L.	V L.
IE.	JE.
On Dieu, Elaite, gartions d'eſtre ſurpris;	On Dieu, Élaite, gartions d'être surpris;
je tremble qu’on ne nous voye enſemble;	Je tremble qu'on ne nous voit ensemble;
& tout ſeroit perdu, aprés la defenſe que l’on m’a faité.	et tout serait perdu, après la défense que l'on m'a faité.
n’apperçoy rien.	n'aperçois rien.
ERASTE.	ERASTE.
je fegurue de tous côtez, & je	je fégure de tous côtés, et je
ULIE.	ULIE.
Aye auſſi l’œil au guet, Nerine, & plens bien garde qu’il ne vienne perſonne.	Aye aussi l'œil au guet, Nerine, et plends bien garde qu'il ne vienne personne.
NERINE.	NERINE.
Repoſez-vous ſur moy, & dites hardiment ce que vous avez à vous dire.	Reposez-vous sur moi, et dites hardiment ce que vous avez à vous dire.
ULIE.	ULIE.
Avez-vous imagine pour noitre anane quelque choſe de favorable?	Avez-vous imagine pour naître ane quelque chose de favorable?
& croyez-vous, Eraſte, pouvoir A 3 venir venir à bout de détourner ce fâcheux Mariage que mon Peré s’eſt mis en teſté:	et croyez-vous, Erâte, pouvoir A 3 venir venir à bout de détourner ce fâcheux Mariage que mon Péré s'est mis en testé:
ERASTE.	ERASTE.
Au moins y travaillons-nous fortement;	Au moins y travaillons-nous fortement;
& déja he ue avons preparé un bon nombre de Batteries pour renverſer ce deſſein ridicule.	et déjà hé ue avons préparé un bon nombre de Batteries pour renverser ce dessein ridicule.
MBRINE.	MBRINE.
Par ma foy, voila voſtre Pere!	Par ma foi, voilà votre Père!
dLIE.	dLIE.
Ah ſeparons-nous viſte.	Ah séparons-nous vite.
NERINE.	NERINE.
Non, non, non, ne bougez, je m’eſtois trompée.	Non, non, non, ne bougez, je m'étais trompée.
d AlEs Mon Dieu, Nerine, que tu es ſotte, de nous donner de ces frayeurs!	d AlEs Mon Dieu, Nerine, que tu es sotte, de nous donner de ces frayeurs!
ERASTE.	ERASTE.
Ouy, belle Julie, nous avons dreſſé pour cela quantité de Machines, & nous ne feignons point de mettre tout en uſage, ſur la permiſſion que vous m’avez donnée.	Oui, belle Julie, nous avons dressé pour cela quantité de Machines, et nous ne feignons point de mettre tout en usage, sur la permission que vous m'avez donnée.
Ne nous demandez point tous les reſſorts que nous ferons joüer, vous en aurez le divertiſſement;	Ne nous demandez point tous les ressorts que nous ferons jouer, vous en aurez le divertissement;
& comme aux Comedies, il eſt bon de vous laiſſer le plaiſir de la ſurpriſe, & de ne vous avertir point de tout ce qu’on vous fera voir, c’eſt aſſez de vous dire que nous avons en main divers ſtratagémes tous preſts à produire dans l’occaſion, & que l’ingenieuſe Nerine & l’adroit Sbrigani entreprennent l’affaire.	et comme aux Comédies, il est bon de vous laisser le plaisir de la surprise, et de ne vous avertir point de tout ce qu'on vous fera voir, c'est assez de vous dire que nous avons en main divers stratagèmes tous prêts à produire dans l'occasion, et que l'ingénieuse Et que l'adroit Srigani entreprennent l'affaire.
NERINE.	NERINE.
Affurément.	Affurément.
Voſtre Pere ſe moque-t-il, de vouloir vous anger de ſon Avocat de Limoges Monſieur de Pourceaugnac, qu’il n’a veu de ſa vie, & qui vient par le Coche vous enlever à noſtre barbe?	Votre Père se montre-t-il, de vouloir vous anger de son Avocat de Limoges Monsieur de Pourceaugnac, qu'il n'a vu de sa vie, et qui vient par le Coche vous enlever à notre barbe?
Faut-il que trois ou quatre mille écus de plus, ſur la parole de voſtre Oncle, luy faſſent rejetter un Amant qui vous agrée?	Faut-il que trois ou quatre mille écus de plus, sur la parole de votre Oncle, te fassent rejeter un Amant qui vous agrée?
& une Perſonne comme vous, eſt-elle faite pour un Limoſin?	et une Personne comme vous, est-elle faite pour un Limosin?
s’il a envie de de ſe marier, que ne prend-il une Limoſine, & ne laiſſe-t-il en repos les Chreſtiens?	s'il a envie de de se marier, que ne prend-il une Limine, et ne laisse-t-il en repos les Chrétiens?
Le ſeul nom de Monſieur de Pourceaugnac m’a mis dans une colert effroyable.	Le seul nom de Monsieur de Pourceaugnac m'a mis dans une colert effroyable.
J’enrage de Monſieur de Pourceaugnac Quand il n’y auroit que ce nom-là Monſieur de Pourceaugnac, j’y bruleray mes Livres, ou je rom pray ce Mariage, & vous ne ſerez point Madame di Pourceaugnac.	J'enrage de Monsieur de Pourceaugnac Quand il n'y aurait que ce nom-là Monsieur de Pourceaugnac, j'y brûlerai mes Livres, ou je rom ai ce Mariage, et vous ne serez point Madame di Pourceaugnac.
Pourceaugnac!	Pourceaugnac!
cela ſe peut-il ſouf frir?	cela se peut-il sous frir?
Non, Pourceaugnac eſt une choſe que je n ſçaurois ſuporter, & nous luy joüerons tant de pie ces, nous luy ferons tant de niches ſur niches, qu nous renvoyerons à Limoges Monſieur de Pour ceaugnac.	Non, Pourceaugnac est une chose que je n aurais supporter, et nous nous joüerons tant de pie ces, nous lui ferons tant de niches sur niches, quoi nous renvoyerons à Limoges Monsieur de Pour ceaugnac.
ERASTE.	ERASTE.
Voicy noitre lubtil Napontam, qui nous dira de nouvelles.	Voici naître lubtil Napontam, qui nous dira de nouvelles.
SCENE II.	SCÈNE II.
SBRIGANI, JULIE, ERASTE, NERINE.	SBRIGANI, JULIE, ERASTE, NERINE.
SERIGANI.	SERIGANI.
Onſieur, voſtre Homme arrive, je l’ay veu?	Onsieur, votre Homme arrive, je l'ai vu?
M trois lieuës d’icy, où a couché le Coche;	M Mois lieues d'ici, où a couché le Coche;
& dan la Cuiſine où il eſt deſcendu pour déjeuner, je l’ay étudié une bonne groſſe demie heure, & je le ſçay déja par cœur.	et dan la Cuisine où il est descendu pour déjeuner, je l'ai étudié une bonne grosse demie heure, et je le sais déjà par cœur.
Pour ſa figure, je ne veux point vous en parler, vous verrez de quel air la Nature l’a deſſei gnée, & ſi l’ajuſtement qui l’accompagne y réponc comme il faut:	Pour sa figure, je ne veux point vous en parler, vous verrez de quel air la Nature l'a dessei gnée, et si l'ajustement qui l'accompagne y réponc comme il faut:
mais pour ſon Eſprit, je vous avertis par avance qu’il eſt des plus épais qui ſe faſſent que hous trouvons en luy une matiere tout-à-fait diſpoſée pour ce que nous voulons, & qu’il eſt Homme enfin à donner dans tous les paneaux qu’on luy preſentera.	mais pour son Esprit, je vous avertis par avance qu'il est des plus épais qui se fassent que hous trouvons en lui une matière tout-à-fait disposée pour ce que nous voulons, et qu'il est Homme enfin à donner dans tous les peneaux qu'on nous présentera.
ERASTE.	ERASTE.
Nous dis-tu vray?	Nous dis-tu vrai?
SBRI	SBRI
BRIGANI.	BRIGANI.
duy, nje me connols en Gens.	dui, nje me connols en Gens.
NERINE.	NERINE.
Madame, voila un Illuſtre, voſtre affaire ne pouvoit eſtre miſe en de meilleures mains, & c’eſt le Heros de noſtre Siecle pour les exploits dont il s’agit:	Madame, voilà un Illustre, votre affaire ne pouvait être mise en de meilleures mains, et c'est le Héros de notre Siècle pour les exploits dont il s'agit:
Un Homme qui vingt fois en ſa vie pour ſervir ſes Amis, à genereuſement affronté les Galeres;	Un Homme qui vingt fois en sa vie pour servir ses Amis, à généreusement affronté les Galères;
qui au péril de ſes bras & de ſes épaules, ſçait mettre noblement à fin les avantures les plus difficiles;	qui au péril de ses bras et de ses épaules, sait mettre noblement à fin les aventures les plus difficiles;
& qui, tel que vous le voyez, eſt exilé de ſon Païs pour je ne ſçay combien d’actions honorables qu’il a genereuſement entrepriſes.	et qui, tel que vous le voyez, est exilé de son Pays pour je ne sais combien d'actions honorables qu'il a généreusement entreprises.
S BRIGANI.	 SRIGANI.
Je ſuis confus des loüanges dont vous m’honorez, & je pourois vous en donner avec plus de juſtice ſur les merveilles de voſtre vie;	Je suis confus des louanges dont vous m'honorez, et je pourrais vous en donner avec plus de justice sur les merveilles de votre vie;
& principalement ſur la gloire que vous acquiſtes, lors qu’avec tant d’honneſteté vous pipâtes au jeu, pour douze mille écus, ce jeune Seigneur étranger que l’on mena chez vous;	et principalement sur la gloire que vous acquîtes, lors qu'avec tant d'honnêteté vous pipâtes au jeu, pour douze mille écus, ce jeune Seigneur étranger que l'on mena chez vous,
lors que vous fites galamment ce faux Contract qui ruïna toute une Famille;	lors que vous fîtes galamment ce faux Contrat qui ruina toute une Famille;
lors qu’avec tant de grandeur d’ame vous ſçeûtes nier le dépoſt qu’on vous avoit confié;	lors qu'avec tant de grandeur d'âme vous sûtes nier le dépôt qu'on vous avait confié;
& que ſi genereuſement on vous vit preſter voſtre témoignage à faire pendre ces deux Perſonnes qui ne l’avoient pas merité.	et que si généreusement on vous vit prêter votre témoignage à faire pendre ces deux Personnes qui ne l'avaient pas mérité.
NERINE.	NERINE.
Ce ſont petites bagatelles qui ne valent pas qu’on en parle, & vos éloges me font rougir.	Ce sont petites bagatelles qui ne valent pas qu'on en parle, et vos éloges me font rougir.
BRIGANI.	BRIGANI.
Je veux bien épargner voſtre modeſtie;	Je veux bien épargner votre modestie;
laiſſons cela;	laissons cela;
& pour commencer noſtre affaire, allons viſte joindre noſtre Provincial, tandis que de voſtre côté vous nous tiendrez preſts au beſoin les autres Acteurs de la Comedie.	et pour commencer notre affaire, allons vite joindre notre Provincial, tandis que de votre côté vous nous tiendrez prêts au besoin les autres Acteurs de la Comédie.
ERASTE.	ERASTE.
Au moins, Madame, ſouvenez-vous de voſtre Rolle;	Au moins, Madame, souvenez-vous de votre Rolle;
& pour mieux couvrir noſtre jeu, feignez, comme on vous a dit, d’eſtre la plus contente du monde des reſolutions de voſtre Pere.	et pour mieux couvrir notre jeu, feignez, comme on vous a dit, d'être la plus contente du monde des résolutions de votre Père.
ULIE.	ULIE.
S’il ne tient qu’à cela, les choſes iront à merveille.	S'il ne tient qu'à cela, les choses iront à merveille.
ERASTE.	ERASTE.
Mais, belle juſle, il toutes los Maenines venoient à ne pas reüſſir?	Mais, belle jusle, il toutes los Maenines venaient à ne pas réussir?
ULIE.	ULIE.
Je declareray à mon Pere mes veritables ſentimens.	Je déclarerai à mon Père mes véritables sentiments.
HRACTE.	HRACTE.
Et ſi contre vos ſentimens il s’obſtinoit à ſon deſlein?	Et si contre vos sentiments il s'obstinait à son délein?
ULIE.	ULIE.
Je le menacerois de me jetter dans un Convent.	Je le menacerais de me jeter dans un Convent.
ERASTE.	ERASTE.
Mdio ii ifiaigle tout cela il vouloit vous forcer à ce Mariage?	Médio ji jiaigle tout cela il voulait vous forcer à ce Mariage?
ULIE.	ULIE.
Que voulez-vous que je vous diſe?	Que voulez-vous que je vous dise?
ERASTE.	ERASTE.
Ce que je veux que vous me diſiez?	Ce que je veux que vous me disiez?
Cuy?	Cuy?
ULIE.	ULIE.
ERASTE.	ERASTE.
Ce qu’on dit quand on aime bien.	Ce qu'on dit quand on aime bien.
Mais quoy?	Mais quoi?
ULIE.	ULIE.
ERASTE.	ERASTE.
Que rien ne pourra vous contraindre, & que malgré tous les efforts d’un Pere, vous me promettez d’eſtre à moy.	Que rien ne pourra vous contraindre, et que malgré tous les efforts d'un Père, vous me promettez d'être à moi.
ULIE.	ULIE.
Mon Dieu, Eraſte, contentez-vous de ce que	Mon Dieu, Éraste, contentez-vous de ce que
AS je je fais maintenant, & n’allez point tenter ſur l’avenir les reſolutions de mon cœur:	AS je je fais maintenant, et n'allez point tenter sur l'avenir les résolutions de mon cœur:
ne fatiguez point mon devoir par les propoſitions d’une fâcheuſe extremité dont peut-eſtre n’aurons-nous pas beſoin;	ne fatiguez point mon devoir par les propositions d'une fâcheuse extrémité dont peut-être n'aurons-nous pas besoin;
& s’il y faut venir, ſouffrez au moins que j’y ſois entraînée par la ſuite des choſes.	et s'il y faut venir, souffrez au moins que j'y sois entraînée par la suite des choses.
Eh bien.	Eh bien.
A a lo lna	À a lo la
SBRTGANI.	SBRTGANI.
Ma foy, voicy noſtre Homme, ſongeons à nous.	Ma foi, voici notre Homme, songeons à nous.
NERINE.	NERINE.
Ah comme il eſt baſti?	Ah comme il est bâti?
SCENE III.	SCÈNE III.
M.	M.
DE POURCEAUGNAC ſe tourne du coſté d’où il vient, comme parlant à des Gens qui le ſuivent, SBRIGANI.	DE POURCEAUGNAC se tourne du côté d'où il vient, comme parlant à des Gens qui le suivent, SBRIGANI.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
IE bien, quoy?	JE bien, quoi?
qu’eſt-ce?	qu'est-ce?
qu’y a-t-il?	qu'y a-t-il?
Au IT diantre ſoit la ſotte Ville, & les ſottes Gens qui y ſont:	Au IT diantre soit la sotte Ville, et les sottes Gens qui y sont:
ne pouvoir faire un pas ſans trouver des Nigauds qui vous regardent, & ſe mettent à rire!	ne pouvoir faire un pas sans trouver des Nigauds qui vous regardent, et se mettent à rire!
Eh, Meſſieurs les Badauts, faites vos affaires, & laiſſez paſſer les Perſonnes ſans leur rire au nez.	Eh, Messieurs les Badauts, faites vos affaires, et laissez passer les Personnes sans leur rire au nez.
Je me donne au Diable, ſi je ne baille un coup de poing au premier que je venuy Mre	Je me donne au Diable, si je ne baille un coup de poing au premier que je venui Mre
BRIGANI.	BRIGANI.
Qu’eſt-ce que ceit, Memeuis?	Qu'est-ce que ceit, Memeuis?
que veut dire cela?	que veut dire cela?
à qui en avez-vous?	à qui en avez-vous?
faut-il ſe moquer ainſi des honneſtes Etrangers qui arrivent icy?	faut-il se moquer ainsi des honnêtes Étrangers qui arrivent ici?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila un Homme raiſonnable celuy-là.	Voilà un Homme raisonnable celui-là.
SBRIGANI.	SBRIGANI.
Quel procedé eſt le voſtre?	Quel procédé est le vôtre?
& qu’avez-vous à rire?	et qu'avez-vous à rire?
M.	M.
Pour	Pour
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
rort blen.	rort blen.
BRIGANI.	BRIGANI.
Monſieur a-t-il quelque chole de ridicule en ſoy?	Monsieur a-t-il quelque colle de ridicule en soi?
Ouy.	Oui.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
o mifoni I.	ô mifoni I.
Eſt-il autrement que les autres?	Est-il autrement que les autres?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Suis-je tortu, ou boſſu?	Suis-je tortu, ou bossu?
BRIGANI.	BRIGANI.
fipprvnez à connoiſtre les Gens.	fipprunez à connaître les Gens.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Cetbieneit.	Cetbieneit.
BRIGANI.	BRIGANI.
Monſieur eſt d’une mine a ſeſpecter.	Monsieur est d'une mine à sespecter.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Cela eſt vray.	Cela est vrai.
BRIGANI.	BRIGANI.
Perſonne de condition.	Personne de condition.
M.	M.
Po dNenhdGNAC.	Po dNenhdGNAC.
Ouy, Gentilhomme Limoſin.	Oui, Gentilhomme Limosin.
BRIGANI.	BRIGANI.
Homme d’eſprit.	Homme d'esprit.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qui a étudié en Droict.	Qui a étudié en Droit.
RIGANI.	RIGANI.
Il vous fait trop d’honneur, de venir dans voſtre Ville.	Il vous fait trop d'honneur, de venir dans votre Ville.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Sans doute.	Sans doute.
BRIGANI.	BRIGANI.
Monſieur n’eſt point une Perſonne à faire rire.	Monsieur n'est point une Personne à faire rire.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Aſſurément.	Assurément.
SBRIGANI.	SBRIGANI.
Et quiconque rira de luy, aura affaire à moy.	Et quiconque rira de jours, aura affaire à moi.
A 6 M.	A 6 M.
Pour.	Pour.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mioiieul, je vous luis ſmimiens ooiige,	Mioiieul, je vous luis smimiens ooiige,
SBRIGANI.	SBRIGANI.
Je ſuis fâché, Monſieur, de voir recevoir de la ſorte une Perſonne comme vous, & je vous demande pardon pour la Ville.	Je suis fâché, Monsieur, de voir recevoir de la sorte une Personne comme vous, et je vous demande pardon pour la Ville.
ni PouRenadonAc.	ni PouRenadonAc.
Je ſuis voſtre ſerviteur.	Je suis votre serviteur.
s BRIGANI.	s BRIGANI.
Je vous ay veu ce matin, Monſieur, avec le Coche, lors que vous avez déjeuné;	Je vous ai vu ce matin, Monsieur, avec le Coche, lors que vous avez déjeuné;
& la grace avec laquelle vous mangiez voſtre pain, m’a fait naiſtre d’abord de l’amitié pour vous:	et la grâce avec laquelle vous mangiez votre pain, m'a fait naître d'abord de l'amitié pour vous:
Et comme je ſçay que vous n’eſtes jamais venu en ce Païs, & que vous y eſtes tout neuf, je ſuis bien-aiſe de vous avoir trouvé pour vous offrir mon ſervice à cette arrivée, & vous aider à vous conduire parmy ce Peuple, qui n’a pas parfois pour les honneſtes Gens toute la conſideration qu’il faudroit.	Et comme je sais que vous n'êtes jamais venu en ce Pays, et que vous y êtes tout neuf, je suis bienaise de vous avoir trouvé pour vous offrir mon service à cette arrivée, et vous aider à vous conduire parmi ce Peuple, qui n'a pas parfois pour les honnêtes Gens toute la considération qu'il faudrait.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ceit tiop de giuee que tous me faites.	Ceit tiop de give que tous me faites.
BRIGANI.	BRIGANI.
je vous l’ay deja dit;	je vous l'ai déjà dit;
du moment que je vous ay veu, je me ſuis ſenti pour vous de l’inclination.	du moment que je vous ai vu, je me suis senti pour vous de l'inclination.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
urcuotuls obligé.	urcuots obligé.
SBRIGANI.	SBRIGANI.
voltle pilionoime ma plar	voltle pilionoime ma plar
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ce m'eſt beaucoup d’honneur.	Ce m'est beaucoup d'honneur.
BRIGANI.	BRIGANI.
J’y ay veu quelque choſe d’honneſte,	J'y ai vu quelque chose d'honnête,
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je ſuis voſtre ſerviteur.	Je suis votre serviteur.
BRIGANI, Quelque choſe d’aimable.	BRIGANI, Quelque chose d'aimable.
Ah, anM.	Ah, anM.
POURCEAUGNAC.	POURCEAUGNAC.
SBRIGANI.	SBRIGANI.
De gracieux.	De gracieux.
Ah, ahi.	Ah, ahi.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
De doux.	De doux.
d n de Mo ni I.	d n de Mo ni I.
Ah, ah.	Ah, ah.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
BRIGANI.	BRIGANI.
De majeſtueux.	De majestueux.
din, aii.	din, aii.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
De ſianc.	De sianc.
SBRIGANI.	SBRIGANI.
Ah, ah.	Ah, ah.
M.	M.
