M BimN	M MimN
A Trouppe de Moliere ayant voulu borner la gloire de cét illuſtre Auteur, & la ſatisfaction du public dans la ſeule repreſentation du Malade Imaginaire, ſans en laiſſer imprimer la coppie, quelques gens ſe ſont adviſez de compoſer une piece à laquelle ils ont donné le meſme titre dont on a fait pluſieurs impreſſions, tant dedans que dehors le Royaume, qui ont eſté de bitées, & ont bien abuſé du monde:	À Troupe de Molière ayant voulu borner la gloire de cet illustre Auteur, et la satisfaction du public dans la seule représentation du Malade Imaginaire, sans en laisser imprimer la copie, quelques gens se sont advisez de composer une pièce à laquelle ils ont donné le même titre dont on a fait plusieurs impressions, tant dedans que dehors le Royaume, qui ont été de bité, et ont bien abusé du monde:
Mais les memoires ſur leſquels ces genslà avoient travaillé, ou l’idée qu’ils croioyent avoir conſervé de la, Piece;	Mais les mémoires sur lesquels ces genslà avaient travaillé, ou l'idée qu'ils croient avoir conservé de la, Pièce;
lors qu’ils l’avoient veu repreſenter, ſe ſont trouvez ſi éloignez de la conduite de l’Original, & du ſujet meſme, qu’au lieu de plaire, ils n’ont fait qu’inspirer des deſirs plus preſſans de voir celle de Moliere imprimée;	lors qu'ils l'avaient vu représenter, se sont trouvez si éloignez de la conduite de l'Original, et du sujet même, qu'au lieu de plaire, ils n'ont fait qu'inspirer des désirs plus pressants de voir celle de Molière imprimée;
Cette impreſſion que je donne aupurd’huy ſatisfera à cét empreſſement, & *- quoy qu’elle ne ſoit qu’un effort de la memoire d’une perſonne qui en a veu pluſieurs repreſentations, elle n’en eſt pas moins correcte, & les Scenes en ont eſté tranſcriptes avec tant d’exactitude, & le jeu obſervé ſi regulierement où il est neceſſaire, que l’on ne trouvera pas un mot obmis ny transpoſé, & que je ſuis perſuadé que ceux qui liront cette copie, avoüeront à la gloire de Moliere, qu’il avoit trouvé l’art de plaire auſſi bien ſur le papier que fur le Theâtre.	Cette impression que je donne aupurd'hui satisfera à cet empressement, et *- quoi 'elle ne soit qu'un effort de la mémoire d'une personne qui en a vu plusieurs représentations, elle n'en est pas moins correcte, et les Scène en ont été transcriptes avec tant d'exactitude, et le jeu observé si régulièrement où il est nécessaire, que l'on ne trouvera pas un mot obmis ni transposé, et que je suis persuadé que ceux qui liront cette copie, avoueront à la gloire de Molière, qu'il avait trouvé l'art de plaire aussi bien sur le Thé que fur le Theâtre.
LE MALADE IMAGINAIRE, Comedie, MESLE’E DE MUSIQUE ETDE DANCE.	LE MALADE IMAGINAIRE, Comédie, MESLE’ DE MUSIQUE ETDE DANCE.
LE PROLOGVE.	LE PROLOGUE.
PRES les glorieuſes fatigues, & les Exploits victorieux de noſtre Auguſte MoA Lnarque:	PRÈS les glorieuses fatigues, et les Exploits victorieux de notre Auguste MoA Lnarque:
Il eſt bien juſte que tous ceux qui ſe meſlent d’écrire, travaillent ou à ſes Loüanges, ou à ſon Divertiſſement.	Il est bien juste que tous ceux qui se mêlent d'écrire, travaillent ou à ses Louanges, ou à son Divertissement.
C’eſt ce qu’icy l’on a voulu faire, & ce Prologue eſt un eſſay des Loüanges de ce grand Prince, qui donne Entrée à la Comedie du Malade Imaginaire, dont le projet a eſté fait pour le délaſſer de ſes nobles travaux.	C'est ce qu'ici l'on a voulu faire, et ce Prologue est un essai des Louanges de ce grand Prince, qui donne Entrée à la Comédie du Malade Imaginaire, dont le projet a été fait pour le délasser de ses nobles travaux.
La Decoration repreſente un Lieu Champeſtre fort agreable.	La Décoration représente un Lieu Champêtre fort agréable.
EGLOGUE En Muſique, & en Dance.	ÉGLOGUE En Musique, et en Dance.
FLORE, PAN, CLIMENE, DAPHNE', TIRCIS;	FLORE, PAN, CLIMENE, DAPHNE', TIRCIS;
DORILAS, DEux LEPHIRS, TROUPE DE BERGERES, ET DE BERGERS.	DORILAS, DEux LEPHIRS, TROUPE DE BERGERES, ET DE BERGERS.
FLORE.	FLORE.
Vittez, quittez vos Troupeaux,  Venez Bergers, venez Bergeres, Accourez, accourez ſous ces tendres Ormeaux;	Vittez, quittez vos Troupeaux, Venez Bergers, venez Bergères, Accourez, accourez sous ces tendres Ormeaux;
Ie viens vous annoncer des nouvelles bien cheres, Et rejoüir tous ces Hameaux?	Je viens vous annoncer des nouvelles bien chères, Et réjouir tous ces Hameaux?
Quittez, quittez vos Troupeaux, Venez Bergers, venez Bergeres, Acbourez, attourez, joas tes tenurts Ormeaux.	Quittez, quittez vos Troupeaux, Venez Bergers, venez Bergères, Acourez, attourez, joas tes tenurts Ormeaux.
CLIMENE, ET DAPHNE', Berger laiſsons-la tes feux, Voila Flore qui nous appelle.	CLIMENE, ET DAPHNE, Berger laissons-la tes feux, Voilà Flore qui nous appelle.
TIRCIS, ET DORILAS.	TIRCIS, ET DORILAS.
Mais au moins dy-moy, cruelle,	Mais au moins dis-moi, cruelle,
I S.	I S.
&i a uin fen a umtlie lu pajeras mes vana.	eti a uin sen a umtlie lu pajeras mes vana.
ORILAS.	ORILAS.
Si tu ſeras ſenſible à mon ardeur fidelle.	Si tu seras sensible à mon ardeur fidèle.
CLIMENE, ET DAPHNE'.	CLIMENE, ET DAPHNE.
Voila Flore qui nous appelle.	Voilà Flore qui nous appelle.
TIRCIS, ET DORILAS.	TIRCIS, ET DORILAS.
Ce n’eſt qu’un mot, un mot, un ſeul mot que je veux.	Ce n'est qu'un mot, un mot, un seul mot que je veux.
S Languiray-je toûjours dans ma peine mortelle.	 Sanguirai-je toujours dans ma peine mortelle.
Puis-je eſperer qu’un jour tu ine rendrus heureux	Puis-je espérer qu'un jour tu ine rendr heureux
CLIMENE, ET DAPHNE'.	CLIMENE, ET DAPHNE.
Voila Flore qui nous appelle.	Voilà Flore qui nous appelle.
ENTRE’E DE BALLET.	ENTRE DE BALLET.
Toute la I’roupe des bergers & des Bergeres, va ſe placer en cadence autour de Flore.	Toute la J'roupe des bergers et des Bergères, va se placer en cadence autour de Flore.
CLIMENE.	CLIMENE.
Quelle nouvelle parmy nous, Déeeſſe, doit jetter tant de réjoüiſſance?	Quelle nouvelle parmi nous, Déesse, doit jeter tant de réjouissance?
41 PIICM.	41 PICM.
Nous brûlons d’apprendre de vous Cette nouveue à imporiance.	Nous brûlons d'apprendre de vous Cette nouve à imporiance.
DORILAS.	DORILAS.
D’ardeur nous en ſoûpirons tous.	D'ardeur nous en soupirons tous.
S.	S.
Nous en mourons d’impatience.	Nous en mourons d'impatience.
LORE.	LORE.
La voicy, ſilence, ſilence.	La voici, silence, silence.
Vos vœux ſont exaucez, LOVIS eſt de retour, Il ramene en ces lieux les Plaiſirs & l’Amour, Et vous voyez finir vos mortelles alarmes, Par ſes vaſtes Exploits ſon bras voit tout ſoûmis, Il quitte les armes Faute d’ennemis.	Vos vœux sont exaucez, LOUIS est de retour, Il ramène en ces lieux les Plaisirs et l'Amour, Et vous voyez finir vos mortelles alarmes, Par ses vastes Exploits son bras voit tout soumis, Il quitte les armes Faute d'ennemis.
Ah quelle douce nouvelle!	Ah quelle douce nouvelle!
Q'elle eſt grande!	QU'elle est grande!
qu’elle eſt belle!	qu'elle est belle!
Que de plaiſirs!	Que de plaisirs!
que de ris!	que de ris!
que de jeux!	que de jeux!
Que de ſuccez heureux!	Que de succès heureux!
Et que le Ciel a bien remply nos vœux.	Et que le Ciel a bien rempli nos vœux.
Ah quelle douce nouvelle!	Ah quelle douce nouvelle!
Qu'elle eſt grande!	Qu'elle est grande!
qu'elle eſt belle?	qu'elle est belle?
Tous les Bergers & Bergeres, expriment par des Dances les tranſports de leur joye.	Tous les Bergers et Bergères, expriment par des Dances les transports de leur joie.
ORE.	ORE.
De vos Flutes bocageres Réveillez les plus beaux ſons;	De vos Flutes bocagères Réveillez les plus beaux sons;
LOVIS offre à vos Chanſons La plus belle des matieres, Apres cent combats, Où cüeille ſon bras Vne ample victoire:	LOUIS offre à vos Chansons La plus belle des matières, Après cent combats, Où cueille son bras Âme ample victoire:
Rormita ende cen Cent combats plus doux, Pour chanter ſa gloire.	Rormita ende cen Cent combats plus doux, Pour chanter sa gloire.
Formons entre-nous S.	Formons entrenous S.
Cent combats plus doux, Pour chanter ſa gloire.	Cent combats plus doux, Pour chanter sa gloire.
ORE.	ORE.
Mon jeune Amant dans ce bois, Des preſens de mon empire Prepare un prix à la voix, Qui ſçaura le mieux nous dire Les vertus & les Exploits Du plus Auguſte des Rois.	Mon jeune Amant dans ce bois, Des prés de mon empire Prepare un prix à la voix, Qui saura le mieux nous dire Les vertus et les Exploits Du plus Auguste des Rois.
CLIMENE.	CLIMENE.
52 Pirtis a i'avantage.	52 Pirtis a j'avantage.
APHNE', Si Dorilas eſt vainqueur,	APHNE -, Si Dorilas est vainqueur,
LIMENE.	LIMENE.
A le cherir je m’engage.	À le chérir je m'engage.
I IE’.	I IE’.
Ie me donne à ſon ardeur.	Je me donne à son ardeur.
IRCIS.	JRCIS.
O trop chere eſperance!	Ô trop chère espérance!
I ORILAS.	I ORILAS.
O mot plein de douceur!	Ô mot plein de douceur!
DUS-DEUX.	DUS-DEUX.
Plus beau ſujet, plus belle récompence Peuvent-ils animer un cœur.	Plus beau sujet, plus belle récompense Peuvent-ils animer un cœur.
Les Violons joüent un Air pour animer les deux Bergers au combat, tandis que Flore comme Juge va ſe placer au pied de l’arbre levee deun nepiis, & que le reſte comme Spectateurs va occuper les deux coins du Theâtre.	Les Violons joüent que Air comme Spectateurs les deux Bergers au combat, tandis que Flore comme Juge va se placer au pied de l'arbre le deun nepiis, et que le reste comme Spectateurs va occuper les deux coins du Théâtre.
IRCIS.	JRCIS.
Quand la neige fonduë enfle un torrent fameux, Contre l’effort ſoudain de ſes flots écumeux Il n’eſt rien d’aſſez ſolide;	Quand la neige fondue enfle un torrent fameux, Contre l'effort soudain de ses flots écumeux Il n'est rien d'assez solide;
Digues, Chaſteaux, Villes, & Bois, Hommes, & Troupeaux à la fois, Tout cede din tourunt qui te giute.	Digues, Châteaux, Villes, et Bois, Hommes, et Troupeaux à la fois, Tout cède din tourunt qui te givte.
Tel, & plus fier & plus rapide, Marche LOVIS, dans ſes Exploits.	Tel, et plus fier et plus rapide, Marche LOUIS, dans ses Exploits.
BALLET.	BALLET.
Les Bergers & Bergeres de ſon coſté dançent autour de luy ſur une Ritornelle, pour exprimer leurs applaudiſſemens.	Les Bergers et Bergères de son côté dançent autour de parler sur une Ritornelle, pour exprimer leurs applaudissements.
DORILAS.	DORILAS.
Le foudre menaçant qui perce avec fureur L’affreuſe obſcurité de la nuë enflammée, Fait d’épouvante & d’horreur Trembler le plus ferme cœur:	Le foudre menaçant qui perce avec fureur L'affreuse obscurité de la nue enflammée, Fait d'épouvante et d'horreur Trembler le plus ferme cœur:
Mais à la teſte d’une armée LOVIS jette plus de terreur.	Mais à la tête d'une armée LOUIS jette plus de terreur.
de vs	de vs
BALLET.	BALLET.
Les Bergers & Bergeres de ſon coſté, font de meſme que les autres.	Les Bergers et Bergères de son côté, font de même que les autres.
TIS.	TIS.
