M.	M.
DC.	DC.
LXXIII.	LXXIII.
AVEC PRIVILEGE DV ROI.	AVEC PRIVILÈGE DU ROI.
]	]
LDcrldlro MC	LDcrédlro MC
ordonné.	ordonné.
8 ET Ouvrage n’eſt pas tout d’une main.	8 ET Ouvrage n'est pas tout d'une main.
M.	M.
Quinault a fait les Paroles qui s’y chantent MM en Muſique, à la reſerve de la Plainte Italienne.	Quinault a fait les Paroles qui s'y chantent MM en Musique, à la réserve de la Plainte Italienne.
M.	M.
Moliere a dreßé le Plan de la Piece, & reglé la diſpoſition, où il s’eſt plus attaché aux beautez & à la pompe du Spectacle, qu’à l’exacte regularité.	Molière a dresié le Plan de la Pièce, et règlé la disposition, où il s'est plus attaché aux beautés et à la pompe du Spectacle, qu'à l'exacte régularité.
Quant à la Verſification, il n’a pas eu le loiſir de la faire entiere.	Quant à la Versification, il n'a pas eu le loisir de la faire entière.
Le Carnaval approchoit, & les Ordres preſſans du Roy, qui ſe vouloit donner ce magnifique Divertiſſement pluſieurs fois avant le Careſme, l’ont mis dans la neceſſité de ſouffrir un peu de ſecours.	Le Carnaval approchait, et les Ordres pressants du Roi, qui se voulait donner ce magnifique Divertissement plusieurs fois avant le Carésame, l'ont mis dans la nécessité de souffrir un peu de secours.
Ainſi il n’y a que le Prologue, le Premier Acte, la premiere Scene du Second, & la premiere du Troiſiéme, dont les Vers ſoient de luy.	Ainsi il n'y a que le Prologue, le Premier Acte, la première Scène du Second, et la première du Troisième, dont les Vers soient de grands.
M.	M.
Corneille a employé une quinzaine au reſte;	Corneille a employé une quinzaine au reste;
& par ce moyen Sa Majeſté s’eſt trouvée ſervie dans le temps qu'elle l’avoit	et par ce moyen Sa Majesté s'est trouvée servie dans le temps qu'elle l'avait
L’AMOUR.	L'AMOUR.
ÆGIALE.	ÆGIALE.
PHAENE.	PHANE.
Graces.	Grâces.
PSICHE'.	PSICHÉE.
LE ROY, Pere de Pſiché.	LE ROY, Père de Psiché.
LE ZEPHIRE, LYCAS, LE DIEU D'UN FLEUVE.	LE ZEPHIRE, LYCAS, LE DIEU D'UN FLEUVE.
PSICHE TRAGEDIE-BALLET.	PSYCHE -TRAGÉDIE-BALLET.
PROLOGUE.	PROLOGUE.
8 34 Scene repreſente ſur le devant uu Lieu champeſtre, & dans l’enfoncement un Rocher percé à jour, à travers duquel u M on voit la Mer en éloignement.	8 34 Scène représente sur le devant u Lieu champêtre, et dans l'enfoncement un Rocher percé à jour, à travers duquel è M on voit la Mer en éloignement.
Ehm Flore paroiſt au milieu du Théatre, accompagnée de Vertumne Dieu des Arbres & des Fruits, & de Palamon Dieu des Eaux.	Ehm Flore paraît au milieu du Théâtre, accompagnée de Vertumne Dieu des Arbres et des Fruits, et de Palamon Dieu des Eaux.
Chacun do ces Dieux conduit une Troupe de Divinitez:	Chacun do ces Dieux conduit une Troupe de Divinités:
l’un mene à ſa ſuite des Dryades & des Sylvains;	l'un mène à sa suite des Dryades et des Sylvains;
& l'autre des Dieux, des Fleuves & des Nayades.	et l'autre des Dieux, des Fleuves et des Naïades.
Flora chante ce Recit pour inviter Venus à deſcendre en Terre.	Flora chante ce Recit pour inviter Venus à descendre en Terre.
E n’eſt plus le temps de la Guerre, CLe plus puiſſant des Rois Interrompt ſes Explois Pour donner la Paix à la Terre.	E n'est plus le temps de la Guerre, CLe plus puissant des Rois Interrompt ses Explois Pour donner la Paix à la Terre.
Beiconuuns Merddes Amours, Venez nous donner de beaux jours.	Beiconuuns Merdes Amours, Venez nous donner de beaux jours.
Vertumne & Palamon, avec les Divinitez qui les accompagnent, joignent leurs voix à celle de Flore, & chantent ces paroles.	Vertumne et Palamon, avec les Divinités qui les accompagnent, joignent leurs voix à celle de Flore, et chantent ces paroles.
CHOEUR DE TOUTES LES Divinitez de la Terre & des Eaux.	CHOEUR DE TOUTES LES Divinités de la Terre et des Eaux.
Compoſé de Flore, Nymphes, Palæmon, Vertumne, Sylvains, Faunes, Dryades & Nayades.	Composé de Flore, Nymphes, Palæmon, Vertne, Sylvains, Faunes, Dryades et Nayades.
Ous gouſtons une Paix profonde, NLes plus doux Jeux ſont icy bas;	Ous goûtons une Paix profonde, NLes plus doux Jeux sont ici bas;
On doit ce repos plein d’appas Au plus Grand Roy du Monde.	On doit ce repos plein d'appas Au plus Grand Roi du Monde.
Deſcendez, Mere des Amours, Venez nous donner de beaux jours.	Descendez, Mère des Amours, Venez nous donner de beaux jours.
Il ſe fatt en fuite une Entrée de Ballet, compoſée de deux Dryades, quatre Sylvains, deux Fleuves, & deux Nayades.	Il se fatt en fuite une Entrée de Ballet, composée de deux Dryades, quatre Sylvains, deux Fleuves, et deux Naïades.
Apres laquelle, Vertumne & Palamou chantent ée Dialogne.	Après laquelle, Vertumne et Pamou chantent ée Dialogne.
VERTUMNE.	VERTUMNE.
Endez-vous, Beautez cruelles, N Soûpirez à voſtre tour.	Endez-vous, Beautés cruelles, N Soûpirez à votre tour.
PALÆMON.	PALÆMON.
Voicy la Reyne des Belles, Qui vient inſpiter l’amour.	Voici la Reine des Belles, Qui vient inspiter l'amour.
VERTUMNE.	VERTUMNE.
Un bel Objet toûjours ſevere Ne ſe fait jamais bien aimer.	Un bel Objet toujours sévère Ne se fait jamais bien aimer.
PALÆMON.	PALÆMON.
C’eſt la beauté qui commence de plaire, Mais la douceur acheve de charner.	C'est la beauté qui commence de plaire, Mais la douceur achève de charner.
Ils repetent enſemble ces derniers Vers.	Ils répètent ensemble ces derniers Vers.
