ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
LE LIBRAIRE AU LECTEUR.	LE LIBRAIRE AU LECTEUR.
d’une main.	d'une main.
M.	M.
Quinault à fait les Paroles qui s’y chantent en Muſique, a la reſerve de la Plaintes Italienne.	Quinault à fait les Paroles qui s'y chantent en Musique, a la réserve de la Plaintes Italienne.
M.	M.
Moliere a dreſſé le Plan de la Piece, & reglé la diſpoſition, où il s’eſt plus attaché au beautez & à la pompe du Spectacle, qu’à l’exacte regularité.	Molière a dressé le Plan de la Pièce, et réglé la disposition, où il s'est plus attaché au beautés et à la pompe du Spectacle, qu'à l'exacte régularité.
Quant à la Verſification, il n’a pas eu le loiſir de la faire entiere.	Quant à la Versification, il n'a pas eu le loisir de la faire entière.
Le Carnaval approchoit, & les Ordres preſſans du Roy, qui ſe vouloit donner ce magnifiqne Divertißement pluſieurs fois avant le Carême, l'ont mis dans la neceſſité de ſouffrir un peu de ſecours.	Le Carnaval approchait, et les Ordres pressants du Roi, qui se voulait donner ce magnifique Divertissement plusieurs fois avant le Carême, l'ont mis dans la nécessité de souffrir un peu de secours.
Ainſi il n’y a que le Prologue, le Premier Acte, la premiere Scene du Second, & la premiere du Troiſiéme, dont les Vers ſoient de luy.	Ainsi il n'y a que le Prologue, le Premier Acte, la première Scène du Second, et la première du Troisième, dont les Vers soient de grands.
M.	M.
Corneille a employé une quinzaine au reſte;	Corneille a employé une quinzaine au reste;
& par ce moyen Sa Majeſté s’eſt trouvée ſervie dans le temps qu’elle l'avoit ordonné.	et par ce moyen Sa Majesté s'est trouvée servie dans le temps qu'elle l'avait ordonné.
ÆGIA 14 14 L L E Graces.	ÉGIA 14 14 L Y Grâces.
LE ROY, Pere de Pſiché.	LE ROY, Père de Psiché.
AGLA I U oteurs de rſiché.	AGLA I V oteurs de riché.
Re	Re
LE ZEI H LE DIEU I L R UN FLEUVI	LE ZEI H LE DIEU I L R UN FLEUI
TV I TAT TRAGEDIE -BALLET.	TU I TAT TRAGÉDIE -BALLET.
PROLOGUE.	PROLOGUE.
A Scene repreſente ſur le devant un Lieu champeſtre, & dans l’enfoncement un Rocher percé à jour, à travers duquel on voit la Mer en éloiment.	À Scène représente sur le devant un Lieu champêtre, et dans l'enfoncement un Rocher percé à jour, à travers duquel on voit la Mer en éloiment.
Flore paroit au milieu du Théatre, accompagnée de Vertumne Dieu des Arbres & des Fruits, & de Palemon Dieu des Eaux.	Flore parait au milieu du Théâtre, accompagnée de Vertne Dieu des Arbres et des Fruits, et de Palemon Dieu des Eaux.
Chacun de ces Dieux conduit une troupe de Divinitez:	Chacun de ces Dieux conduit une troupe de Divinités:
l’un mene à ſa ſuite des Dryades & des Sylvains;	l'un mène à sa suite des Dryades et des Sylvains;
& l’autre des Dieux, des Fleuves & des Nayades.	et l'autre des Dieux, des Fleuves et des Naïades.
Flore chante ee Recit pour inviter Venus à deſcendre en Terre.	Flore chante ce Recit pour inviter Venus à descendre en Terre.
E n’eſt plus le tems de la Guerre, C Le plus puiſſant des Rois Interrompt ſes Exploits Pour donner la Paix à la Terre.	E n'est plus le temps de la Guerre, Ç Le plus puissant des Rois Interrompt ses Exploits Pour donner la Paix à la Terre.
Deſcendez, Mere des Amours, Venez nous donner de beaux jours.	Descendez, Mère des Amours, Venez nous donner de beaux jours.
Vertumne & Pelemon, avec les Divinitez qui les acco mpagnent, joignent leurs voix à celle de Flore, & chantent ces paroles.	Vertumne et Pèlemon, avec les Divinités qui les acco magnent, joignent leurs voix à celle de Flore, et chantent ces paroles.
CHOEUR DE TOUTES LES Divinitez de la Terre & des Eaux.	CHOEUR DE TOUTES LES Divinités de la Terre et des Eaux.
Compoſé de Flore, Nymphes, Palemon, Vertumne, Sylvains, Faunes, Dryades & Nayades.	Composé de Flore, Nymphes, Palemon, Vertne, Sylvains, Faunes, Dryades et Nayades.
Ous gouſtons une Paix proſonde;	Ous goûtons une Paix prosonde;
N Les plus doux Jeux font ici bas?	N Les plus doux Jeux font ici bas?
On doit ce repos plein d’appas Au plus Grand Roy du Monde.	On doit ce repos plein d'appas Au plus Grand Roi du Monde.
Deſcendez;	Descendez;
Mere des Amours, Venez nous donner de beaux jours.	Mère des Amours, Venez nous donner de beaux jours.
