ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
ANDIS que la Peſte dépeuploit miſerablement les troupeaux des vallées de Tempé en Theſſalie, & qu’on attendoit impatiament la réponſe de l’Oracle qu’on avoit envoyé conſulter, pour tâcher d’apprendre le moyen de faire ceſſer ce malheur, Meliſſe Bergere de ce canton eſtoit paßionnément amoureuſe d’Alexis, jeune Berger du meſme pais, mais qui faiſoit gloire de fuir toute ſorte d’engagement, & qui n’aimoit que la chaſſe, & les foreſts.	ANDIS que la Peste dépeuplait misérablement les troupeaux des vallées de Tempé en Thessalie, et qu'on attendait impatiament la réponse de l'Oracle qu'on avait envoyé consulter, pour tâcher d'apprendre le moyen de faire cesser ce malheur, Melisse Bergère de ce canton était passionnément amoureuse d'Alexis, jeune Berger du même pais, mais qui faisait gloire de fuir toute sorte d'engagement, et qui n'aimait que la chasse, et les forêts.
Cette Bergere tourmentée de ſa paßion, ſort de grand matin du hameau, & va entretenir ſes penſées amoureuſes ſur le bord du fleuve Penée, où elle eſt rencontrée par Orante ſon amie particuliere, à qui elle declare l’origine de ſon amour:	Cette Bergère tourmentée de sa passion, sort de grand matin du hameau, et va entretenir ses pensées amoureuses sur le bord du fleuve Penée, où elle est rencontrée par Orante son amie particulière, à qui elle déclare l'origine de son amour:
Comme elles diſcourent, elles apperçoivent Alexis endormi au pied d’vn arbre, & en meſme temps vn ſanglier furieux s’approche du Berger pour le déchirer.	Comme elles discourent, elles aperçoivent Alexis endormi au pied d'un arbre, et en même temps un sanglier furieux s'approche du Berger pour le déchirer.
Meliſſe prend l’épieu d’Alexis, combat Ia beſte, & la contraint à s’enfuir.	Mélisse prend l'épieu d'Alexis, combat Ia bête, et la contraint à s'enfuir.
Alexis ſe réveille, & Philene, autre Berger éperdument amoureux de Meliſſe, eſtant arrivé, ils prennent tous deux reſolution de pourſuivre la beſte, pour la punir de l’inſolence qu’elle a euë d’attaquer cette Bergere.	Alexis se résolut, et Philène, autre Berger éperdument amoureux de Melisse, étant arrivé, ils prennent tous deux résolution de poursuivre la bête, pour la punir de l'insolence qu'elle a eue d'attaquer cette Bergère.
Meliſſe taſche à détourner Alexis de cette reſolution;	Mélisse tâche à détourner Alexis de cette résolution;
mais elle n’en peut venir à bout, & les deux Bergers vont à la chaſſe du ſanglier.	mais elle n'en peut venir à bout, et les deux Bergers vont à la chasse du sanglier.
Cependant Philene ayant eu quelque ſoupçon que Meliſſe aimaſt Alexis, tâche à s’en éclaircir, & pour cét effet il feint qu’Alexis ait peri à la chaſſe, & qu’il ait eſté déchiré par le ſanglier.	Cependant Philène ayant eu quelque soupçon que Mélisse aimât Alexis, tâche à s'en éclaircir, et pour cet effet il feint qu'Alexis ait péri à la chasse, et qu'il ait été déchiré par le sanglier.
Meliſſe fait alors de grandes plaintes, & découvre l’amour qu’elle a pour ce Berger:	Mélisse fait alors de grandes plaintes, et découvre l'amour qu'elle a pour ce Berger:
Dans ce meſme moment Alexis revient de la chaſſe;	Dans ce même moment Alexis revient de la chasse;
elle le prend pour ſon ombre, & n’eſt qu’à peine deſabusée par Philene, qui luy fait mille reproches, & luy avouë qu’il luy a joüé cette piece pour découvrir ſi elle aimoit Alexis.	elle le prend pour son ombre, et n'est qu'à peine désabusée par Philène, qui avait fait mille reproches, et avait avoue qu'il lui a joué cette pièce pour découvrir si elle aimait Alexis.
