A M.	À M.
M.	M.
M.	M.
M.	M.
B ADAME, C'eſt vous rendre vn hommage bien ſecret, que de vous le rendre ainſi, & ie m’aſſeure que vous aurez de la peine vous meſme à recognoiſtre que c’eſt vous à qui ie dedie cet Ouurage.	 BDAME, C'est vous rendre un hommage bien secret, que de vous le rendre ainsi, et toujours m'assure que vous aurez de la peine vous rendre à reconnaître que c'est vous à qui Elle dédie cet Ouvrage.
Ces quatre lettres Hieroglifiques vous embaraſſeront auſſi-bien que les autres, & vous ne vous apperceurez iamais qu’elles parlent de vous iuſqu’à ce que ie vous les explique.	Ces quatre lettres Hieroglifiques vous embarrasseront aussi-bien que les autres, et vous ne vous apercurez jamais qu'elles parlent de vous jusqu'à ce que je vous les explique.
Alors vous m’auoüerez ſans doute que ie ſuis fort exact à ma parole, & fort punctuel à l'execution de vos commandemens.	Alors vous m'auoüerez sans doute que je suis fort exact à ma parole, et fort ponctuel à l'exécution de vos commandements.
Vous l’auez voulu, & i’obeys, ie vous l’ay promis, & ie m’acquite.	Vous l'avez voulu, et j'obéis, Elle vous l'ai promis, et notre m'acquite.
C’eſt peut-eſtre vous en dire trop pour vn homme qui ſe veut cacher quelque temps à vous-meſme, & pour peu que vous faciez de reflexion ſur mes dernieres viſites, vous deuinerez à demy que c’eſt à vous que ce compliment s’adreſſe.	C'est peut-être vous en dire trop pour un homme qui se veut cacher quelque temps à vous-même, et pour peu que vous fassiez de réflexion sur mes dernières visites, vous devinerez à demi que c'est à vous que ce compliment s'adresse.
N’acheuez pas ie vous prie, & laiſſez-moy la ioye de vous ſurprendre par la confidence que ie vous en doibs.	N'achevez pas ici vous prie, et laissez-moi la joie de vous surprendre par la confidence que enfin vous en doibs.
Ie vous en conjure par tout le merite de mon obeyſſance, & ne vous dy point en quoy les belles qualitez d’Andromede approchent de vos perfections, ny quel rapport ſes aduantures ont auec les voſtres;	Je vous en conjure par tout le mérite de mon obéissance, et ne vous dis point en quoi les belles qualités d'Andromède approchent de vos perfections, Seigneur quel rapport ses aventures ont avec les vôtres;
ce ſeroit vous faire vn miroir, où vous vous verriez trop aiſément, & vous ne pourriez plus rien ignorer de ce que i’ay à vous dire.	ce serait vous faire un miroir, où vous vous erriez trop aisément, et vous ne pourriez plus rien ignorer de ce que j'ai à vous dire.
Preparez-vous ſeulement à la receuoir, non pas tant comme vn des plus beaux ſpectacles que la France ait veus, que comme vne marque reſpectueuſe de l’attachement inuiolable à voſtre ſeruice, dont fait vœu,	Préparez-vous seulement à la recevoir, non pas tant comme un des plus beaux spectacles que la France ait vus, que comme une marque respectueuse de l'attachement inviolable à votre service, dont fait vœu,
MADAME,	MADAME,
Voſtre tres-humble, tres-obeïſſant, & tres-obligé ſeruiteur,	Votre très-humble, très-obeïssant, et très-obligé serviteur,
CORNEILLE.	CORNEILLE.
AR.	AR.
Tiré du quatriéme & cinquiéme Liure des Metamorphoſes d’Ouide.	Tiré du quatrième et cinquième Livre des Métamorphoses d'Ouide.
Aſſiope ſemme de Cephée Roy d’Ethiopie fut ſi vaine de ſa beauté, qu’elle oſa la préferer à celle des Nereides, dont ces Nymphes irritées firent ſortir de la Mer vn Monſtre, qui fit de ſi eſtranges rauages ſur les terres de l’obeïſſance du Roy ſon mary, que les forces humaines ne pouuant donner aucun remede à des miſeres ſi grandes, on recourut à l’Oracle de Iuppiter Ammon.	Assiope semme de Cephée Roi d'Ethiopie fut si vaine de sa beauté, qu'elle osa la préférer à celle des Nereides, dont ces Nymphes irrité firent sortir de la Mer un Monstre, qui fit de si étranges ravages sur les terres de l'obéissance du Roy son mari, que les forces humes ne pouvant donner aucun remède à des misères si grandes, on recourut à l'Oracle de Juppiter Amon.
La reſponſe qu’en receurent ces malheureux Princes fut vn commandement d’expoſer à ce Monſtre Andromede leur fille vnique, pour en eſtre deuorée.	La réponse qu'en recevrent ces malheureux Princes fut un commandement d'exposer à ce Montre Andromede leur fille unique, pour en être dévorée.
Il fallut executer ce triſte Arreſt, & cette illuſtre victime fut attachée à vn rocher, où elle n’attendoit que la mort, lors que Perſée fils de Iuppiter & de Danaë paſſant par hazard, jetta les yeux ſur elle.	Il fallut exécuter ce triste Arrêt, et cette illustre victime fut attachée à un rocher, où elle n'attendait que la mort, lors que Persée fils de Juppiter et de Dane passant par hasard, jeta les yeux sur elle.
