Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
A MONSEIGNEUR LE CARDINAL MAZARIN.	À MONSEIGNEUR LE CARDINAL MAZARIN.
ONSEIGNEUR, Quelque indigne que ſoit STILICON, de paroiſtre devant VOSTRE EMINENCE, j'oſe abuſer des approbations que le Public luy a données, pour chercer à rougir moins de la liberté que je prens de vous l’offrir.	ONSEIGNEUR, Quelque indigne que soit STILICON, de paraître devant VÔTRE ÉMINENCE, j'ose abuser des approbations que le Public lui a données, pour chercer à rougir moins de la liberté que je prends de vous l'offrir.
l'Hiſtoire le marque pour vn des plus Grands Hommes de ſon Siecle;	l'Histoire le marque pour un des plus Grands Hommes de son Siècle;
dans les divers honneurs que ſes longs ſervices luy firent obtenir, il merita que l’Empereur Theodoſe le laiſſaſt pour Tuteur à Honorius, qui daigna depuis ſe faire ſon Gendre, & il n’y auroit peut eſtre rien eu juſques à luy de plus éclatant que ſa vie, s'il n’euſt pas laiſſé ſurprendre ſon devoir aux tendreſſes inconſiderées de la Nature, & oublié ce qu’il devoit à ſon Maiſtre, pour rendre ce qu’il ne devoit pas à ſon Fils.	dans les divers honneurs que ses longs services avoir firent obtenir, il mérita que l'Empereur Théodose le laissât pour Tuteur à Honorius, qui daigna depuis se faire son Gendre, et il n'y aurait peut -être rien eu jusqu' à Mde plus éclatant que sa vie, s'il n'eût pas laissé surprendre son devoir aux tendresses inconsidérées de la Nature, et oublié ce qu'il devait à son Maître, pour rendre ce qu'il ne devait pas à son Fils.
Mais, MONSEIGNEUR, c’eſt une tache qu’il auroit ſans doute épargnée à ſa gloire, s’il avoit eſté aſſe	Mais, MONSEIGNEUR, c'est une tache qu'il aurait sans doute épargnée à sa gloire, s'il avait été asse
heureux pour eſtre reſervé à naiſtre dans le temps où je me ſuis efforcé de le faire revivre, Il ne trouvoit rien alors qui luy offriſt l’image parfaite de cette fermeté heroique, qui ſoûmet à une belle ame l’empire de ſes paſſions;	heureux pour être réservé à naître dans le temps où je me suis efforcé de le faire revivre, Il ne trouvait rien alors qui lui offrît l'image parfaite de cette fermeté héroïque, qui soumet à une belle âme l'empire de ses passions;
& ſes propres mouvemens eſtant ce qu’il avoit de plus illuſtre à conſulter pour regles de ſa conduite, ils ne luy ſuffiſoient pas à luy faire acquerir cette pleine & inebranlable vertu, dont il ne voyoit point d’exemples.	et ses propres mouvements étant ce qu'il avait de plus illustre à consulter pour règles de sa conduite, ils neeste suffisaient pas à lui faire acquérir cette pleine et inébranlable vertu, dont il ne voyait point d'exemples.
Mais aujourd’huy, MONSEIGNEUR, qu’il auroit eu celuy de VOSTRE EMINENCE, & que ces hautes qualitez, qui vous aſſeurent l’admiration de toute la Terre, auroient fortifié les favorables diſpoſitions qu’il avoit aux grands ſentimiens, il y a lieu de croire que l’ardeur de vous imiter l’euſt garanty des ſurpriſes d’une ambition qui l’a mis dans le précipice, & que par cet heureux ſecours il ſe ſeroit dégagé de cette dangereuſe ſoibleſſe, qui l’a enfin abandonné au plus criminel emportement.	Mais aujourd'hui, MONSEIGNEUR, qu'il aurait eu celui de VÔTRE ÉMINENCE, et que ces hautes qualités, qui vous assurent l'admiration de toute la Terre, auraient fortifié les favorables dispositions qu'il avait aux grands sentimiens, il y a lieu de croire que l'ardeur de vous imiter l'eût garanti des surprises d'une ambition qui l'a mis dans le précipice, et que par cet heureux secours il se serait dégagé de cette dangereuse soiblesse, qui l'a enfin abandonné au plus criminel emportement.
En eſſet, MONEMINENCE, De tous ceux que nous vante l’Antiquité, aucun ne nous en feurnit un caradere ſi ſolide, & vous nous ſaites voir en vous ce qui hors de là ſemble ne pouvoir eſtre que la vaine idée d’une belle reſcerie, & l’inutile efort d’une agreable imagination Il s'en trosre qui ſelon leurs diverſes inclnations	En esset, MONEMINENCE, De tous ceux que nous vante l'Antiquité, aucun ne nous en feurnit un caradere si solide, et vous nous saites voir en vous ce qui hors de là semble ne pouvoir être que la vaine idée d'une belle réscérie, et l'inutile éfort d'une agréable imagination Il s'en trosre qui selon leurs diverses inclations
SEIGNEUR, pour trouver un veritable Heros, il le faut chercher dans VOSTRE	SEIGNEUR, faut trouver un véritable Héros, il le faut chercher dans VÔTRE
nous ont laiſſé des traits aſſez achevez de prudence, d'équité, de moderation, de conſtance ci de generoſité:	nous ont laissé des traits assez achevez de prudence, d'équité, de modération, de constance cy de générosité:
mais toutes ces diſſerentes vertus n’ont jamais eſté qu’une imparfaite éb.	mais toutes ces dissèrentes vertus n'ont jamais été qu'une imparfaite éb.
iuche de celles que vous nous avez fait paroiſtre, & à bien examiner le Principe dont elles ſont parties, ils les ont peut-eſtre poſſedées trop paiſiblement, pour ne ſembler pas avoir pluſtoſt cedé à la pante naturelle qu’ils y ont euë, que d’avoir eu beſoin de triompher d’eux-meſmes pour s’y affermir.	juche de celles que vous nous avez fait paraître, et à bien examiner le Principe dont elles sont parties, ils les ont peut-être possédées trop paisiblement, pour ne sembler pas avoir plutôt cédé à la pante naturelle qu'ils y ont eue, que d'avoir eu besoin de triompher d'eux-mêmes pour s'y affermir.
Cependant on peut dire qu’il y a ce ſerupule dans l'exacte vertu, que tant qu’elle n’a pas eſté fortement combatuë, elle ne merite point cette veritable eſtime qui en fait le plus noble prix.	Cependant on peut dire qu'il y a ce serupule dans l'exacte vertu, que tant qu'elle n'a pas été fortement combattue, elle ne mérite point cette véritable estime qui en fait le plus noble prix.
Il faut que les grandes épreuves ſervent à la juſtifier;	Il faut que les grandes épreuves servent à la justifier;
& c’eſt par là, MONSEIGNEUR, que tout le cours de voſtre vie a quelque choſe de ſi extraordinaire, que nous tâchons inutilement de comprendre ce que nous ne nous laſſons point d’admirer.	et c'est par là, MONSEIGNEUR, que tout le cours de votre vie a quelque chose de si extraordinaire, que nous tâchons inutilement de comprendre ce que nous ne nous lassons point d'admirer.
Si nous vous conſiderons dans ces temps difficiles, où noſtre malheur ne nous laiſſa point de plus redoutables Ennemis que nous meſmes, y a-t’il rien de ſi ſurprenant que cette tranquille & incomparable ſageſſe, que les plus violens orages ne pûrent émouvoir?	Si nous vous considérons dans ces temps difficiles, où notre malheur ne nous laissa point de plus redoutables Ennemis que nous mêmes, y a-t-il rien de si surprenant que cette tranquille et incomparable sagesse, que les plus violents orages ne pûrent émouvoir?
Si nous vous regardons dans ce glorieux retour, qui a eſté ſuivy des acclamations de tous les Peuples, que trouveront-nous qui ſoit plus au deſſues	Si nous vous regardons dans ce glorieux retour, qui a été suivi des acclamations de tous les Peuples, que trouveront-nous qui soit plus au dessues
de l’homme que cette haute moderation avee laquelle vous vous eſtes ſervy de cet avantage?	de l'homme que cette haute modération avée laquelle vous vous êtes servi de cet avantage?
En verité, MONSEIGNEUR, il eſt bien malaiſe, que VOSTRE EMINENCE ait refusé de s’applaudir ſouvent en ſecret ſur cette merveilleuſe égalité, où vous avez ſçeu maintenir voſtre grande Ame dans des revolutions ſi impréveitès, & des changemens ſi peu attendus.	En vérité, MONSEIGNEUR, il est bien malaise, que VÔTRE ÉMINENCE ait refusé de s'applaudir souvent en secret sur cette merveilleuse égalité, où vous avez su maintenir votre grande Âme dans des révolutions si impréveitès, et des changements si peu attendus.
Comme l'élevation du rang, où la ſeule force du vray merite vous a fait arriver, n’avoit eu des charmezaſſez forts pour vous éblouir, vous avez montré qu’il n’y avoit point de revers capable de vous abatre;	Comme l'élévation du rang, où la seule force du vrai mérite vous a fait arriver, n'avait eu des charmésassez forts pour vous éblouir, vous avez montré qu'il n'y avait point de revers capable de vous abattre;
& n’ayant jamais fait vanité de tirer voſtre plus éminente Grandeur que de celle de vos ſentimens, vous eſtes touſiours demeuré maiſtre de vôtre fortune, parce que vous eſtes touſiours demeuré maiſtre de vous meſme.	et n'ayant jamais fait vanité de tirer votre plus éminente Grandeur que de celle de vos sentiments, vous êtes toujours demeuré maître de votre fortune, parce que vous êtes toujours demeuré maître de vous même.
Auſſe, MONSEIGNEUR, il ſemble que les outrages les plus injuſtes qu’on ait oſſayé de vous faire, vous ayent tenu lieu de ſervices conſiderables, & que ne les regardãt que comme des acheminemens à vous mettre dans vn plus ſublime degré de gloire, vous ayez dedaigne de penetrer l’intention par l’aſſeurance que vous aviez de l’effet.	Ausse, MONSEIGNEUR, il semble que les outrages les plus injustes qu'on ait ossayé de vous faire, vous aient tenu lieu de services considérables, et que ne les regardant que comme dé cheminements à vous mettre dans un plus sublime degré de gloire, vous ayez dédaigne de pénétrer l'intention par l'assurance que vous aviez de l'effet.
La France n’en pouvoit eſtre plus avantageuſement convaincuë.	La France n'en pouvait être plus avantageusement convainue.
C’eſt ſeulement en redoublant l’infatigable ardeur qui vous faiſoit travailler pour ſon repos, que vous vous eſtes vangé des efforts qu’elle a veu faire pour troubler	C'est seulement en redoublant l'infatigable ardeur qui vous faisait travailler pour son repos, que vous vous êtes vengé des efforts qu'elle a vu faire pour troubler
Ie voſtre, & vous ne vous eſtes point ſouffert de relâche, que par vos ſages Conſeils vous n’ayez porté noſtre GRAND ROY à luy accorder un bien qu’elle n’oſoit plus ſe promettre, cette PAIX pour laquelle on luy avoit entendu pouſſer de ſi longs ſoúpirs.	Je votre, et vous ne vous êtes point souffert de relâche, que par vos sages Conseils vous n'ayez porté notre GRAND ROY à lui accorder un bien qu'elle n'osait plus se promettre, cette PAIX pour laquelle on luitaît entendu pousser de si longs soupirs.
Il falloit, MONSEIGNEUR, vn zele pareil à celuy de VOSTRE EMINENCE, pour venir à bout d’une ſi difficile entrepriſe.	Il fallait, MONSEIGNEUR, un zèle pareil à celui de VÔTRE ÉMINENCE, pour venir à bout d'une si difficile entreprise.
Les obſtacles invincibles qui s’y eſtoient touſiours rencontrez avoient beau confondre nos vœux, & repouſſer nos eſperances;	Les obstacles invincibles qui s'y étaient toujours rencontrez avaient beau confondre nos vœux, et repousser nos espérances;
nous ne pouvions douter d’un ſuccez, dont vous nous aviez déja reſpondu.	nous ne pouvions douter d'un succès, dont vous nous aviez déjà répondu.
Nous en avions un grand infaillible dans cette miraculeuſe vivacite de Génie, qui vous avoit fait autrefois appaiſer la fureur de deux Armées preſtes à venir aux mains, & il ne nous eſtoit pas permis d’attendre une moindre merveille de vos ſoins, dans l’important & fameux accord de deux Couronnes, dont les intereſts enfermoient ceux de toute l’Europe.	Nous en avions un grand infaillible dans cette miraculeuse vivacité de Génie, qui vous avait fait autrefois apaiser la fureur de deux Armées prêtes à venir aux mains, et il ne nous était pas permis d'attendre une moindre merveille de vos soins, dans l'important et fameux accord de deux Couronnes, dont les intérêts enfermaient ceux de toute l'Europe.
C’eſt, MONSEIGNEUR, de vos Conferences qu’elle tient l’heureux calme dont elle joüit, & nous la goûtons avec d’autant plus de joye, que Vivez, MONSEIGNEUR, & vivez avec cet avantage que pour offrir en vous trop	C'est, MONSEIGNEUR, de vos Conférences qu'elle tient l'heureux calme dont elle jouit, et nous la goûtons avec d'autant plus de joie, que Vivez, MONSEIGNEUR, et vivez avec cet avantage que pour offrir en vous trop
le GAGE AUGUSTE que l'Eſpagne nous a donné de ſa durée, eſt le Couronnement illuſtre de vos penibles travaux.	le GAGE AUGUSTE que l'Espagne nous a donné de sa durée, est le Couronnement illustre de vos pénibles travaux.
