DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
L I SCENE PREMIERE.	 I SCÈNE PREMIÈRE.
B THESEE, PYRITOVS.	 THESEE, PYRITOUS.
Ty, cher amy, puis que l’Armée des Amazones, qui plante des pauillons L.	Ty, cher ami, puis que l'Armée des Amazones, qui plante des pavillons .
.	.
autour de la ville d’Athenes, n'a pu nous en empeſcher l’entrée;	autour de la ville d'Athènes, n'a pu nous en empêcher l'entrée;
nous auons ſujet de croire qu’elle ne pourra nous forcer d’en ſortir, & que la poſterité verra quelque iour leurs dépouilles parmy nos trophées.	nous avons sujet de croire qu'elle ne pourra nous forcer d'en sortir, et que la postérité verra quelque jour leurs dépouilles parmi nos trophées.
PYRITHOVS.	PYRITHOUS.
La parfaite connoiſſance que i’ay de voſtre valeur & de voſtre fortune, ne m’a pas laiſſé douter du ſuccez de cette entrepriſe;	La parfaite connaissance que j'ai de votre valeur et de votre fortune, ne m'a pas laissé douter du succès de cette entreprise;
i’ay crû que la ville d’Athenes eſtoit ſecouruë des auſſi toſt que vous auez eu fait deſſein de la ſecourir, mais ie ne vous celeray point que i’ay douté ſi vous deuez prendre cette reſolution, & ſi vous pouuiez honneſtement preferer l’amitié d’vn vieil Roy à l’amour d’vne ieune Reyne:	j'ai cru que la ville d'Athène était secourue des aussi tôt que vous avez eu fait dessein de la secourir, mais ainsi ne vous cèlerai point que j'ai douté si vous devez prendre cette résolution, et si vous pouviez honnêtement préférer l'amitié d'un vieil Roi à l'amour d'une jeune Reine:
enfin prendre les armes pour Egée, pour vn Prince que vous ne connoiſſez point, & contre Antiope, contre vne Reyne qui vous a ſi fauorablement receu dans ſes Eſtats.	enfin prendre les armes pour Egée, pour un Prince que vous ne connaissez point, et contre Antiope, contre une Reine qui vous a si favorablement reçu dans ses États.
EAIEOLE.	EAIEOLE.
Quoy, cher amy, penſez-vous qu’il ſoit temps de former des doutes lors qu’on eſt en preſence du pere?	Quoi, cher ami, pensez-vous qu'il soit temps de former des doutes lors qu'on est en présence du père?
PYRITHOVS.	PYRITHOUS.
Celle que ie vous propoſe ne s’offre point à mon eſprit à l’objet du danger preſent;	Celle que je vous propose ne s'offre point à mon esprit à l'objet du danger présent;
elle y 2 * 3 fut portée par vn ſentiment plus genereux dés linſtant que vous me découuriſtes la penſée que vous auiez de deliurer Athenes, & ie m’en fuſſe expliqué, ſi vous ne m’euſſiez à meſme temps fait connoiſtre que vous deſiriez que i’euſſe quelque part à la gloire de cette entrepriſe:	elle y 2 * 3 fut portée par un sentiment plus généreux dès linstant que vous me découvrîtes la pensée que vous aviez de délivrer Athène, et ainsi m'en fusse expliqué, si vous ne m'eussiez à même temps fait connaître que vous désiriez que j'eusse quelque part à la gloire de cette entreprise:
Mais dés ce moment ie fis deſſein de ne vous en parler qu’apres auoir paſſé les plus grands dangers, afin de ne vous pas donner occaſion de croire que ie vouluſſe vous arrete, pour n’eſtre pas obligé de vous ſuiure.	Mais dès ce moment vertu fis dessein de ne vous en parler qu'après avoir passé les plus grands dangers, afin de ne vous pas donner occasion de croire que je voulusse vous arrête, pour n'être pas obligé de vous suivre.
THESEE.	THESEE.
Voſtre propre vertu, voſtre renommée, & mon amitié vous ont depuis long temps mis à couuert de ces injuſtes ſoupcons, vous pouuez tout dire, & vous ne deuiez rien craindre.	Votre propre vertu, votre renommée, et mon amitié vous ont depuis long temps mis à couvert de ces injustes soupçons, vous pouvez tout dire, et vous ne deviez rien craindre.
Mais, cher amy, mon amitié ſe plaint dequoy vous auez eſté ſi long temps à me demander vn éclairciſſement que vous iugiez neceſſaire à l’eſtime que vous faites de moy:	Mais, cher ami, mon amitié se plaint dequoy vous avez été si long temps à me demander un éclaircissement que vous jugiez nécessaire à l'estime que vous faites de moi:
& ie ne puis me conioier ioioque ratnug me quimaut neceſſalrement que vous ne m’ayez point aimé tout autant de temps que vous m’auez creũ capable d’vnſentiment contraire à voſtre penſée.	et petit ne puis me conjoyer ioioque ratnug me quimaut nécessalrement que vous ne m'ayez point aimé tout autant de temps que vous m'avez créun capable d'vnsentiment contraire à votre pensée.
PYRITHOVS.	PYRITHOUS.
