LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
inl naobe  Dedié à Monſeigneur le Duc d’Aluyn.	inl naobe Dédié à Monseigneur le Duc d'Alvin.
A PARIS;	À PARIS;
Chez IACQVES QVE'SNEL, ruë S.	Chez IACQUES QUE'SNEL, rue S.
Iacques.	Jacques.
aux Colombes, pres e:	aux Colombes, pres e:
nenont, ERl.	nenont, ERl.
A MONSEIGNEVR & te LE DVC D’ALVYN.	À MONSEIGNEUR et te LE DUC D'ALVIN.
A ONSEIGNEVR, Je ne doute point que la meſme perfection ne ſe trouuaſt aſſez empeſchée, s’il luy falloit aſſortir quelque preſent à l’infiny de vos merites, le mien paſſe auec l’humilité, comme le moindre hommage que les Muſes doiuent à vos heroiques & incomparables vertus:	À ONSEIGNEUR, Je ne doute point que la même perfection ne se trouvât assez empêchée, s'il lui fallait assortir quelque présent à l'infini de vos mérites, le mien passe avec l'humilité, comme le moindre hommage que les Mérites doivent à vos héroïques et incomparables vertus:
Ce n'eſt qu'vn Bouquet bigarré de ſix fleurs vieillies depuis le temps d’vne jeuneſſe qui me les a produites:	Ce n'est qu'un Bouquet bigarré de six fleurs vieillies depuis le temps d'une jeunesse qui me les a produites:
deſquelles toutesfois l’injure –---- - ã ij des ans n'a peu totallement effacer le teint et l’odeur.	desquelles toutefois l'injure - - des ans n'a peu totallement effacer le teint et odeur.
Choſe dõt ie feray iuges ceux qui les verront autrement que par les yeux de l’enuie, laquelle en guiſe de Singe, ne trouue aucune beauté chez autruy comparable à la monſtrueuſe deformité de ſes petits.	Chose donneront assez ferai juges ceux qui les verront autrement que par les yeux de l'envie, laquelle en guise de Singe, ne trouve aucune beauté chez autrui comparable à la monstrueuse déformité de ses petits.
Vous pouuez Monſeigneur) ainſi qu’arbitre trop capable ſous vn ſimple aueu fermer la bouche à la calomnie, & ſuppleant aux defauts de ce petit ouurage, obliger à quelque choſe de mieux l’Autheur qui borne le plus de ſon ambition à ſe pouuoir dire	Vous pouvez Monseigneur) ainsi qu'arbitre trop capable sous un simple aveu fermer la bouche à la calomnie, et suppléant aux défauts de ce petit ouvrage, obliger à quelque chose de mieux l'Auteur qui borne le plus de son ambition à se pouvoir dire
Voſtre plus humble & affectionne ſeruiteur HARDY, A verité plus que la vanité m’oblige à t’auertir, amy Lecteur, que l’auarice de certains Libraires fait couler ſous mon nom vne rapſodie de Poëmes intitulez le Theatre François, que ie ne deſauoüe par meſpris, & ne puis auoüer pour mon honneur:	Votre plus humble et affectionne serviteur HARDY, À vérité plus que la vanité m'oblige à t'avertir, ami Lecteur, que l'avarice de certains Libraires fait couler sous mon nom une rapsodie de Poèmes intitulez le Théâtre Français, que je ne désavoue par mépris, et ne puis auoüer pour mon honneur:
ton jugement ſuſceptible de plus grandes difficultez en ſçaura faire la diſtinction, & ce mot d’auis m’acquittera vers le public.	ton jugement susceptible de plus grandes difficultés en saura faire la distinction, et ce mot d'avis m'acquittera vers le public.
SVR LE THEATRE DE MONSIEVR HARDY.	SUR LE -THÉÂTRE DE MONSIEUR HARDY.
d Pl e de dl ava do ARDY, la Muſe dans ton liure ITEst le Demon qui fait reuiure Ce qu'aux Latins la Grece apprit, Et la veine en eſt ſi rapide, Qu'elle vient r'animer l’eſprit Et de Sophocle, & d’Euripide.	 Dès lors de dûreva do ARDY, la Muse dans ton livre ITEst le Démon qui fait revivre Ce qu'aux Latins la Grèce apprit, Et la veine en est si rapide, Qu'elle vient ranimer l'esprit Et de Sophocle, et d'Euripide.
Car de tes ouurages diuers, Dont le Parnaſſe eſt le Theuis, Apollon compoſe les vers, Et luy-meſme en eſt idolatre.	Car de tes ouvrages divers, Dont le Parnasse est le Theuis, Apollon compose les vers, Et autre-même en est idolâtre.
I.	I.
BAVDGIN.	BAUDGIN.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
Ay veu le Tyran forcené, TN’auoir autre loy que ſa rage, Et tenir vn peuple enchaiſné Sous le faix d’vn cruel ſeruage, Mille peines & mille ſoins Occupoient ſon ame agitée, Et de ceux qu’il redoutoit moins, La mort luy eſtoit appreſtée.	Ai vu le Tyran forcené, TN'avoir autre loi que sa rage, Et tenir un peuple enchaîné Sous le faix d'H cruel servage, Mille peines et mille soins Occupaient son âme agitée, Et de ceux qu'il redoutait moins, La mort lui était apprêtée.
I’ay veu l’Amoureux inſenſé Priſer ce feu qui nous deuore, Et ſans regret du temps paßé Se reſoudre d’en perdre encore:	J'ai vu l'Amoureux insensé Priser ce feu qui nous dévore, Et sans regret du temps passé Se résoudre d'en perdre encore:
L'ardeur ſujette à s’alentir, Alors que l’âge nous accable, Ne luy laiſſoit qu'vn repentir, Foible recours d’vn miſerable.	L'ardeur sujet à s'alentir, Alors que l'âge nous accable, Ne lui aissait qu'un repentir, Foible recours d'un misérable.
I’ay veu le fol ambitieux, Chercher ſa mort dedans la preſſe, Suiuant vn deſir furieux.	J'ai vu le fol ambitieux, Chercher sa mort dedans la presse, Suivant un désir furieux.
Qui ne luy donnoit point de ceſſe:	Qui ne lui donnait point de cesse:
Ainſi qu’il auient dans la nuit,	Ainsi qu'il avient dans la nuit,
Lors que les ardentes lumieres Entrainent celuy qui les ſuit, Aux Gouffres des creuſes riuieres.	Lors que les ardentes lumières Entrainent celui qui les suit, Aux Gouffres des creuses rivières.
I’ay veu ces eſprits de Metal, Dans les tourmens, dans les detreſſes, Forger vn crime capital En l’vſage de leurs richeſſes;	J'ai vu ces esprits de Métal, Dans les tourments, dans les détresses, Forger un crime capital En l'usage de leurs richesses;
Touſiours languiſſans, ſouffreteux, Eſclaues de la défiance, Et d’autant plus neceſſiteux, Qu'ils auoient plus grande abondance.	Toujours languissants, souffreteux, Esclaves de la défiance, Et d'autant plus nécessiteux, Qu'ils avaient plus grande abondance.
En fin i'ay veu ces actions Les plus frequentes de la vie, I'ay veu toutes ces paſſions Dont ſouuent elle eſt aſſeruie:	En fin j'ai vu ces actions Les plus fréquentes de la vie, J'ai vu toutes ces passions Dont souvent elle est asservie:
Elles ſont tellement dépeintes Par les traits hardis de tes vers, Que l’on ne les tiendroit pour feintes.	Elles sont tellement dépeintes Par les traits hardis de tes vers, Que l'on ne les tiendrait pour feintes.
