MONSEIGNEVR,	MONSEIGNEUR,
Le plus humble & le plus obeïſſant, VGET DE LA SERRE.	Le plus humble et le plus obéissant, VGET DE LA SERE.
THOMAS MORVS.	THOMAS MORUS.
LETRIOMPHE DE LAFOY, ET DE LA CONSTANCE, TKAGEDIE.	LETRIOMPHE DE LAFOY, ET DE LA CONSTANCE, TAGEDIE.
ACTE PREMIER.	ACTE PREMIER.
SCEIE IRLMIERE.	SCIE IRLMIÈRE.
AITOMAS MORVS, ET LE DVC DE SOFOC.	AITOMAS MORUS, ET LE DUC DE SOFOC.
LE DVC DE SOFOC.	LE DUC DE SOFOC.
ONSIEVR, pourquoy reſiſtez vous aux volontez du Roy?	ONSIEUR, pourquoi résistez -vous aux volontés du Roi?
THOMAS MORVS.	THOMAS MORUS.
Ie ne ſçaurois eſtre complaiſant à ſon crime:	Je ne saurais être complaisant à son crime:
il veut repudier la Reine ſans ſujet:	il veut répudier la Reine sans sujet:
Il veut changer de Religion, pour authoriſer d’vn pouuoir abſolu ſes ſecondes Nopces;	Il veut changer de Religion, pour autoriser d'un pouuoir absolu ses secondes Noces;
& ie donneray des loüanges à ſes pernicieux deſſeins?	et ici donnerai des louanges à ses pernicieux desseins?
Non, non, Monſieur, ie n’ay pas aſſez de laſcheté, pour appuyer de mes conſeils vne ſi funeſte entrepriſe.	Non, non, Monsieur, je n'ai pas assez de lâcheté, pour appuyer de mes conseils une si funeste entreprise.
LE DVC.	LE DUC.
On ne raiſonne iamais auec ſon Souuerain.	On ne raisonne jamais avec son Souverain.
THOMAS MORVS.	THOMAS MORUS.
A quoy nous ſert donc la Raiſon!	À quoi nous sert donc la Raison!
LE D'VC.	LE D'UC.
A luy obeïr quand il commande.	À deux obéir quand il commande.
THOMAS MORVS.	THOMAS MORUS.
Encore que ie ſois né ſon ſubiet, ie ne veux pas mourir ſon eſclaue:	Encore que je sois né son sujet, je ne veux pas mourir son esclave:
Si i’ay vne vie à perdre, i’ay vne Ame à ſauuer.	Si j'ai une vie à perdre, j'ai une Âme à sauver.
LE DVC.	LE DUC.
Ne ſçauez vous pas que celuy qui fait les Loix eſt au deſſus d’elles?	Ne savez -vous pas que celui qui fait les Lois est au dessus d'elles?
THOMAS MORVS.	THOMAS MORUS.
Ie ſçay bien que les hommes qui font les Loix les peuuent violer quandil leur plaiſt:	Je sais bien que les hommes qui font les Lois les peuvent violer quandil leur plaît:
mais celles de noſtre Religion Chreſtienne & Catholique ne ſont pas de leur inſtitution.	mais celles de notre Religion Chrétienne et Catholique ne sont pas de leur institution.
Dieu les a eſcrites de ſon Sang & de ſa main;	Dieu les a écrites de son Sang et de sa main;
celle de ſa Maieſté n’a pas le pouuoir d’en effacer les characteres.	celle de sa Majesté n'a pas le pouvoir d'en effacer les charactères.
LE DVC.	LE DUC.
Les Sages du Siecle n’ont point d’autre modelle en toutes leurs actions, que celuy de leurs Princes;	Les Sages du Siècle n'ont point d'autre modèle en toutes leurs actions, que celui de leurs Princes;
ils ſuiuent aueuglément leurs ſentimens, ſans murmurer, & ſans ſe plaindre.	ils suivent aveuglément leurs sentiments, sans murmurer, et sans se plaindre.
THOMAS MORVS.	THOMAS MORUS.
La Sageiſe du monde eit vne Folie deuant Dieu:	La Sageise du monde eit une Folie devant Dieu:
ie ne ſuis point aueugle, pour ſuiure aueuglément les volontez du Roy:	Madame ne suis point aveugle, pour suivre aveuglément les volontés du Roi:
Les maximes de ma conſcience me ſeront touſiours plus conſiderables que celles de l’Eſtat.	Les maximes de ma conscience me seront toujours plus considérables que celles de l'État.
LE DVC.	LE DUC.
Ce ſont des diſcours d’vn mauuais Politique.	Ce sont des discours d'un mauvais Politique.
THOMAS MORVS.	THOMAS MORUS.
Ce ſont des raiſons d’vn bon Chreſtien.	Ce sont des raisons d'un bon Chrétien.
LE DVC.	LE DUC.
Croyez vous reſiſter tout ſeul à vne Puiſſance abſoluë?	Croyez -vous résister tout seul à une Puissance absolue?
A ij	À ij
THOMAS MORVS.	THOMAS MORUS.
Vous imaginez vous que tout le monde enſemble me puiſſe faire changer de Foy?	Vous imaginez -vous que tout le monde ensemble me puisse faire changer de Foi?
LE DVC.	LE DUC.
La Raiſon obeît, quand la Force commande.	La Raison obeît, quand la Force commande.
THOMAS MORVS.	THOMAS MORUS.
Le Tonnerre ſe fait oüir, quand la Tyrannie veut regner.	Le Tonnerre se fait ouïr, quand la Tyrannie veut régner.
LE DVC.	LE DUC.
La cholere des Rois eſt auſſi redoutable que la foudre du Ciel.	La cholère des Rois est aussi redoutable que la foudre du Ciel.
THOMAS MORVS.	THOMAS MORUS.
Ie ne crains ny l’vne ny l’autre dans mon innocence.	Je ne crains ici l'une ni l'autre dans mon innocence.
LE DVC.	LE DUC.
Eſtes vous innocent de deſobeïr à voſtre Prince?	Êtes -vous innocent de désobéir à votre Prince?
THOMAS MORVS.	THOMAS MORUS.
Oüy, puiſque mon obeïſſance ſeule me peut rendre criminel.	Oui, puisque mon obéissance seule me peut rendre criminel.
LE DVC.	LE DUC.
nabibe puoiedeuoit de voitre charge d’authoriſer ce que le Roy deſire?	nabe puoiedevait de voitre charge d'autoriser ce que le Roi désire?
THOMAS MORVS.	THOMAS MORUS.
Mon ſerment ne m’oblige d’aprouuer que ce qui eſt iuſte & raiſonnable.	Mon serment ne m'oblige d'approuver que ce qui est juste et raisonnable.
LE DVC.	LE DUC.
Le Roy ne vous a donc fait ſon Chancelier que pour luy contredire.	Le Roi ne vous a donc fait son Chancelier que pour lui contredire.
THOMAS MORVS.	THOMAS MORUS.
Sa Majeſte iira lis vne partie de ſon authorité entre les mains, pour en vſer comme ie doy.	Sa Majeste jira lis une partie de son autorité entre les mains, pour en user comme ie doy.
LE DVC.	LE DUC.
Ie n’euſſe iamais crû qu’vn homme de voſtre âge euſt raiſonné ſi mal.	Je n'eusse jamais cru qu'un homme de votre âge eût raisonné si mal.
THOMAS MORVS.	THOMAS MORUS.
Ie n’euſſe iamais penſé qu’vne perſonne de voſtre condition m’euſt tenu ce langage.	Je n'eusse jamais pensé qu'une personne de votre condition m'eût tenu ce langage.
LE DVC.	LE DUC.
Ie vous ay dit la Verité.	Je vous ai dit la Vérité.
THOMAS MORVS.	THOMAS MORUS.
Ie vous ay fait connoiſtre la Raiſon.	Je vous ai fait connaître la Raison.
A iij	À jijà
LE DVC.	LE DUC.
La Raiſon a deux viſages;	La Raison a deux visages;
chacun la regarde de ſon coſté.	chacun la regarde de son côté.
THOMAS MORVS.	THOMAS MORUS.
Ie la conſidere touſiours du coſté droit.	Je la considère toujours du côté droit.
LE DVC.	LE DUC.
Ceſt voſtre opinion,	Cest votre opinion,
THOMAS MORVS.	THOMAS MORUS.
Ce ſera celle des plus ſages.	Ce sera celle des plus sages.
LE DVC.	LE DUC.
Chacun abonde en ſon ſens.	Chacun abonde en son sens.
THOMAS MORVS.	THOMAS MORUS.
Le mien ne me ſçauroit tromper dans le chemin que ie tiens:	Le mien ne me saurait tromper dans le chemin que ici tiens:
bon ſoir, Monſieur.	bon soir, Monsieur.
LE DVC ſeul.	LE DUC seul.
Le Roy n’en eſt pas là où il penſe:	Le Roi n'en est pas là où il pense:
ce vieux Politique en s’oppoſant à ſes deſſeins, en retardera le ſuccés:	ce vieux Politique en s'opposant à ses desseins, en retardera le succès:
mais ſi ſa Maieſté ſuit mon conſeil, elle iettera de nouueaux fondemens de ſon authorité ſur les cendres de ce Rebelle.	mais si sa Majesté suit mon conseil, elle jetera de nouveaux fondements de son autorité sur les cendres de ce Rebelle.
Elle a beau chercher ſon contentement;	Elle a beau chercher son contentement;
elle ne le trounoru lailai que danlo le comndead de ce Chancelier.	elle ne le trounoru lailai que danlo le comndead de ce Chancelier.
SAVMEE LAREINE ET CLEONICE ſa parente.	SAUME LAREINE ET CLEONICE sa parente.
LA REINE.	LA REINE.
& HERE Couſine, as-tu iamais vû vne Prin ceſſe plus mal-heureuſe que moy?	et HÈRE Cousine, as-tu jamais vu une Prin cesse plus malheureuse que moi?
Que me ſert-il de commander à vn nombre infiny de ſubiets, ſi le plus miſerable de tous eſt encore aſſez heureux pour me donner de l’enuie?	Que me sert-il de commander à un nombre infini de sujets, si le plus misérable de tous est encore assez heureux pour me donner de l'envie?
La gloire de mon berçeau, & la grandeur de ma Fortune ne me ſeruent qu’à meſurer la profondeur des abyſmes, où ie ſeray bien toſt precipitée.	La gloire de mon berceau, et la grandeur de ma Fortune ne me servent qu'à mesurer la profondeur des abîmes, où je serai bien tôt précipitée.
Le Roy me hait auec excés, parce que ie l’aime extrémement;	Le Roi me hait avec excès, parce que sans l'aime extrêmement;
& apres m’auoir oſté ſon cœur, il l’a donné à vne autre, auec cette eſperance de porter bien toſt la qualité de Reine.	et après m'avoir ôté son cœur, il l'a donné à une autre, avec cette espérance de porter bien tôt la qualité de Reine.
Mais quoy que ſon mépris me pourſuiue iuſques à la mort, ma douleur ſera touſiours muette;	Mais quoi que son mépris me poursuive jusques à la mort, ma douleur sera toujours muette;
puiſque ſon ſilence accourcira mes iours, ſans troubler le repos des ſiens.	puisque son silence accourcira mes jours, sans troubler le repos des siens.
CLEONICE.	CLÉONICE.
Iln’y apoint d’apparence, Madame, que le Roy ſe porte à vne extremité où il y va de ſon honneur, auſſi bien que de voſtre dommage.	Iln'y apoint d'apparence, Madame, que le Roi se porte à une extrémité où il y va de son honneur, aussi bien que de votre dommage.
LA REINE.	LA REINE.
Dequoy n’eſt point capable vn Amoureux, durãt le regne de ſapaſſion, quand elle eſt accompagnée d’vne Puiſſance abſoluë!	Dequoy n'est point capable un Amoureux, durant le règne de sapassion, quand elle est accompagnée d'une Puissance absolue!
Tu ne le cognois pas:	Tu ne le connais pas:
le feu qui le deuore eſt ſon ſeul Element:	le feu qui le dévore est son seul Élément:
il preuort foit ſhar neur.	il prévort soit shar neur.
Hrecog noit ſa faute:	Hrecog naît sa faute:
mais ſon mal-heur luy plaiſt auſſi bien que ſon crime;	mais son malheur te plaît aussi bien que son crime;
& tous les deux enſemble preparent mon Tombeau.	et tous les deux ensemble préparent mon Tombeau.
CLEONICE.	CLÉONICE.
Voudroit-il ſe ſeruir de ſon pouuoir abſolu, pour ſe ruiner ſoy-meſme?	Voudrait-il se servir de son pouvoir absolu, pour se ruiner soi-même?
Bil nu lids De l’humeur qu’il eſt, tout luy eſt indifferant, pouruû qu’il ſe contente:	Bil nu lids De l'humeur qu'il est, tout deux est indifférant, pourvu qu'il se contente:
ſes paſſions regnent également auec luy:	ses passions règnent également auec pass:
ſi le mal-heur qui panche ſur ſa teſte n’y tombe à meſme temps, il n’en craint plus le coup, & ſe mocque de la menace.	si le malheur qui penche sur sa tête n'y tombe à même temps, il n'en craint plus le coup, et se moque de la menace.
CLEONICE.	CLÉONICE.
Quand il auroit le deſſein de repudier V.	Quand il aurait le dessein de répudier V.
M.	M.
ſa puiſſance ne s’eſtend pas iuſques là:	sa puissance ne s'étend pas jusques -là:
il faut de neceſſité qu’il conſuſte l’Oracle de l’Egliſe,	il faut de nécessité qu'il consuste l'Oracle de l'Église,
LA	LA
LA REINE.	LA REINE.
Il l’a deſia fait par compliment;	Il l'a déjà fait par compliment;
mais au refus de le contenter, il ſe diſpenſera luy meſme:	mais au refus de le contenter, il se dispensera luiprendre:
ſes volontez ſont ſes raiſons.	ses volontés sont ses raisons.
CLEONICE.	CLÉONICE.
Il changera donc de Religion?	Il changera donc de Religion?
EAREINE.	EAREINE.
MMIOC Il n’aura pas beaucoup de peine, s’il ne reconlont mannellalit autie Dieu, que l’Amour.	MMIOC Il n'aura pas beaucoup de peine, s'il ne réponlont mannellalit autie Dieu, que l'Amour.
19 Ioo Go CLEONICE.	19 Io Go CLEONICE.
