MARQUIS LO DE DIS ſur la ſellette, CRIMINEL examiné en jugement par L’EUROPE & ſes filles, ſes interrogats, ſes reponſes, & enfin ſa Sentence portée par l’Europe.	MARQUIS LO DE DIS sur la sellette, CRIMINEL examiné en jugement par L'EUROPE et ses filles, ses interrogats, ses réponses, et enfin sa Sentence portée par l'Europe.
Louvois à l’inſtant de ſa mort.	Louvais à l'instant de sa mort.
A 2 Les ordres n’eſtoient rien ſi je n’euſ ſe dit ouy Où ſont donc mes laquais?	A 2 Les ordres n'étaient rien si je n'eus se dit ou Iù sont donc mes laquais?
mes pages mes flatteurs?	mes pages mes flatteurs?
Hola?	Holà?
où étes-vous tous mes adorateurs?	où êtes-vous tous mes adorateurs?
12 Caron au bord du Stix, Tout beau, qui étes vous Monſicu le fanfaron?	12 Caron au bord du Stix, Tout beau, qui êtes vous Monsicu le fanfaron?
11001 Je vous apprendrai bien à reſpecte Caron.	11001 Je vous apprendrai bien à respecte Caron.
On ne trouve icy bas ny pages n Laquais, ll a Ia D’abord qu’on y eſt entré l'on n'er ſort jamais.	On ne trouve ici bas ni ages n Laquais, ll a y EST entré l'on y est entré l'on n'er sort jamais.
Icy tout eſt egal, le berger, le Mo narque Entre famlereniiene, ſe premie dans ma barque.	Ici tout est égal, le berger, le Mo narque Entre famlereniène, se premie dans ma barque.
Parle donc, mon amy, ſans tarde davantage.	Parle donc, mon ami, sans tarde davantage.
Dy moy?	Dis -moi?
quel eſt ton nom, qu 21 eſt ton perſonnage?	quel est ton nom, qu' 21 est ton personnage?
C’eſt Louvois qui te parle, & ce ſeul nom ſuffit, De ma condition tu es aſſez inſtruit.	C'est Louvais qui te parle, et ce seul nom suffit, De ma condition tu es assez instruit.
VIVII * Caron.	VIVII * Caron.
I¶103 Ouy de par Pluton on te connoit icy.	J103 Oui de par Pluton on te connaît ici.
ein o La flue mognan Dame Europe t’attend avec un  grand ſoucy;	ein ô La flue mognan Dame Europe t'attend avec un grand souci;
Et ſelon que j’apprens ſes filles avec 91elle, iaomil Iegom  T’ont icy preparé une groſſe queelle n iO Elle a fait un recueil, dit on, en a bregé, De tes concuſſions le tout para, b, c.	Et selon que j'apprends ses filles avec 91elle, jaomil Iegom T'ont ici préparé une grosse queelle n' Ô Elle a fait un recueil, dit on, en a brégé, De tes concussions le tout para, b, ç.
comment juſtifier toutes tes incendies ?	comment justifier toutes tes incendies ?
n aal Je quel voile couvrir toutes tes perfidies?	 nal Je quel voile couvrir toutes tes perfidies?
i devois amener le Parlement de Mets ouhoih 10	j' ai amener le Parlement de Mets ouhoih 10
Si fertile en raiſons ſi fecond en arreſts, Prenant ta cauſe en main, l’Europe avec ſes filles Ne pouvoient alleguer que raiſons inutilles.	Si fertile en raisons si fécond en arrêts, Prenant ta cause en main, l'Europe avec ses filles Ne pouvaient alléguer que raisons inutilles.
D'un parfait ſcelerat & d’un vra turbulent Il eût icy prouvé que tu es innocent Meſme il euſt pû te faire eriger des autels;	D'un parfait scélérat et d'un vra turbulent Il eût ici prouvé que tu es innocent Même il eût pu te faire ériger des autels;
Te mettre dans le rang des homme immortels.	Te mettre dans le rang des homme immortels.
Ce fameux Parlement, ces Illuſtre perſonnes, Qui decident en chef des Roys & des Couronnes, Qui ſans rompre une treve ont trouvé le ſecret De prendre impunément les villes, les foreſts, Auroient facilement entrepris t deffenſe, Couvert tes trahiſons du nom de bienſeance.	Ce fameux Parlement, ces Illustre personnes, Qui décident en chef des Rois et des Couronnes, Qui sans rompre une treve ont trouvé le secret De prendre impunément les villes, les forêts, Auraient facilement entrepris t' défense, Couvert tes trahisons du nom de bienséance.
41 Ah!	41 Ah!
que tu vas ſouffrir un jugement terrible!	que tu vas souffrir un jugement terrible!
Tu paſſeras, Marquis, bientôt de crible en crible.	Tu passeras, Marquis, bientôt de crible en crible.
A propos les voicy, car le bruit de ta mort Eſt arrivé déja ſans doute à l’autre bord.	À propos les voici, car le bruit de ta mort Est arrivé déjà sans doute à l'autre bord.
Allons done, approchons, vîte ſur la ſellette:	Allons donce, approchons, vite sur la sellette:
C’eſt enmi ou n'iaut que ta grandeur ſe mette.	C'est enmi ou n'iaut que ta grandeur se mette.
Europe toute dechirée.	Europe toute déchirée.
Caron?	Caron?
Caron.	Caron.
Madame?	Madame?
Europe.	Europe.
& bien, as-tu ſuivi mes ordres?	et bien, as-tu suivi mes ordres?
10177 As-tu bien garrotté ce metteur de deſordres?	10177 As-tu bien garrotté ce metteur de désordres?
Caron.	Caron.
Madame, le voicy, il ne peut Dnmomaper.	Madame, le voici, il ne peut Dnmomaper.
3414IE Europe à ſes filles.	3414IE Europe à ses filles.
Que chacune, à ſon tour, ſe diſpoſe à parler.	Que chacune, à son tour, se dispose à parler.
Europe à Caron.	Europe à Caron.
Donne ordre cependant à Cerbere ton Chien Qu’il arrête ſans bruit pour un tems ce qui vient	Donne ordre cependant à Cerbère ton Chien Qu'il arrête sans bruit pour un temps ce qui vient
Europe à Louvois.	Europe à Louvais.
Te voila donc!	Te voilà donc!
aproche, infame  Boutefeu.	approche, infâme Boutefeu.
Me reconnois-tu bien?	Me reconnais-tu bien?
quoy, tu fais le honteux!	quoi, tu fais le honteux!
Apres avoir reduit les miens à la beſace, tu Tu n’oſes, ſcelerat, me regarder en face.	Après avoir réduit les miens à la besace, tu Tu n'oses, scélérat, me regarder en face.
20H190 Ob cron Vois-tu bien mes habits;	20H190 Ob cron Vois-tu bien mes habits;
tous ces mechans haillons q 20 ſont les triſtes effets de tes corruptions.	tous ces méchants haillons q 20 sont les tristes effets de tes corruptions.
ibdoi on	ibdoi on
Europe à ſes filles.	Europe à ses filles.
erbodlem eoy 9b voiois Ca, mes filles, venez, quand je vous conſidere, Je doute en verité ſi je ſuis vôtre merc.	erbodém oi 9b voiois Ca, mes filles, venez, quand je vous considère, Je doute en vérité si je suis votre merc.
