A TARIS, Chez C.	À TARIS, Chez Ç.
Blageart, Court-neuve du Palais, au Dauphin.	Blageart, Court-neuve du Palais, au Dauphin.
M.	M.
DC.	DC.
LXXXIV.	LXXXIV.
AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
M ONSIEUR, Quand on a eu la penſée de faire imprimer cette Comédie, j'ay ſongé à meſme temps à vous la dédier,	M ONSIEUR, Quand on a eu la pensée de faire imprimer cette Comédie, j'ai songé à même temps à vous la dédier,
GRAPINIAN A M ** FAMEUX PROCUREUR.	GRAPINIAN À M * FAMEUX PROCUREUR.
ne pouvant paroiſtre en public avec une protection plus illuſtre que la vostre.	ne pouvant paraître en public avec une protection plus illustre que la vôtre.
e ſçay bien que ſi je vous euſſe conſulté ſur cette petite Piece, vous y auriez, ajoüté des traits ſinguliers.	Je sais bien que si je vous eusse consulté sur cette petite Pièce, vous y auriez, ajouté des traits singuliers.
qui luy auroient fait atteindre ce point de perfection, ſi defficile a trouver en toutes choſes.	qui était auraient fait atteindre ce point de perfection, si déficile à trouver en toutes choses.
Je connois voſtre grand talent dans les Affaires, & la penétration que vous avez dans toutes les Procédures, qui ſont néceſſaires poun empeſ cher qu'elles ne finiſſent.	Je connais votre grand talent dans les Affaires, et la pénétration que vous avez dans toutes les Procédures, qui sont nécessaires poun empes cher qu'elles ne finissent.
Une longue ſuite d’années vous a découvert des biais, que le Public admire, & dont ceux de nos Confreres, qui exercent la Profeß on avec honneur, vous ſeront eternellement obligez;	Une longue suite d'années vous a découvert des biais, que le Public admire, et dont ceux de nos Confrères, qui exercent la Profess on avec honneur, vous seront éternellement obligez;
car non ſeulement vous nous avez, appris à tirer les Pieces des Sacs de nos Parties, pour les remettre à leurs Adverſaimoomrrun pouvonnen Oyits nous avez donné d’utiles Lecons ſur les adreſſes dont nous devons nous ſervir pour les engager dans de mauvais Procés;	car non seulement vous nous avez, appris à tirer les Pièces des Sacs de nos Parties, pour les remettre à leurs Adversaimoomrun pouvonnen Ois nous avez donné d'utiles Lecons sur les adresses dont nous devons nous servir pour les engager dans de mauvais Procès;
mais encore, nous ſçavons par vous les moyens de les ſurprendre par des Projets captieux, & par des Accommodemens ſimulez, en leur faiſant ſigner des Articles, qui dans la ſuite ſont la cauſe de leur ruine.	mais encore, nous savons par vous les moyens de les surprendre par des Projets captieux, et par des Accommodements simulez, en leur faisant signer des Articles, qui dans la suite sont la cause de leur ruine.
Enfin tout ce qu’il y a de plus ſubtil dans l’Art lucratif des Fripohreriis yueſt à vos lumieres que nous le devons.	Enfin tout ce qu'il y a de plus subtil dans l'Art lucratif des Fripohriis yvest à vos lumières que nous le devons.
Je ne parle point de toutes vos délicateſſes à bien ménager les fauſſetez.	Je ne parle point de toutes vos délicatesses à bien ménager les faussetés.
le ne dis rien des dépoſts que vous avez niez, des dates de Contracts que vous avez changées des noms veritables que vous avez, trouvé moyen d’effacer, pour y écrire celuy de quelques Perſonnes ſages, qui en vous ouvrant leur Bource, vous engageoient à les protéger.	le ne dis rien des dépôts que vous avez niez, des dates de Contrats que vous avez changées des noms véritables que vous avez, trouvé moyen d'effacer, pour y écrire celui de quelques Personnes sages, qui en vous ouvrant leur Bource, vous engageaient à les protéger.
Ce n'eſt pas par des louanges ſi peu conſidérables, que je veux faire éclater voſtre gloire.	Ce n'est pas par des louanges si peu considérables, que je veux faire éclater votre gloire.
Elle a des endroits plus ſolides pour ſe ſoütenir elle-meſme;	Elle a des endroits plus solides pour se sourtenir elle-même;
& cette quantité de Cliens, que vous avez, mis en chemiſe, prennent ſoin de la publier tous les jours.	et cette quantité de Cliens, que vous avez, mis en chemise, prennent soin de la publier tous les jours.
Ce qui me touche ſenſiblement, c'eſt qu’on vous ait oſté les moyens de continuer l’exercice de ce talent admirable, que vous faiſiez valoir depuis tant d’années;	Ce qui me touche sensiblement, c'est qu'on vous ait ôté les moyens de continuer l'exercice de ce talent admirable, que vous faisiez valoir depuis tant d'années;
mais, MONSIEUR, telle eſt l’ingratitude du Siecle, & l’inustice des Hommes, qui perſécutent le mérité, qui ne peuvent ſoufrir la vertu.	mais, MONSIEUR, telle est l'ingratitude du Siècle, et l'intice des Hommes, qui persécutent le mérité, qui ne peuvent soufrir la vertu.
Dißipez, vostre chagrin par la lecturé de mes Galanteries;	Dissipez, votre chagrin par la lecturé de mes Galanteries;
je vais paroiſtre dans mon Etude, comme vous eſtiez dans la voſtre;	je vais paraître dans mon Étude, comme vous étiez dans la vôtre;
& le manége que  feray avec mes Parties, vous divertira peut-eſtre par le ſouvenir de ce que vous faïſiez autrefois.	et le manège que ferai avec mes Parties, vous divertira peut-être par le souvenir de ce que vous faïsiez autrefois.
Je m'eſt meray heureux, ſi ayant déja réjouy tant de Plaideurs, qui, comme vous ſçavez, rient à leurs dépens, je puis deſennuyer un Homme außi illustre que vous, dont l’eſtime me ſera plus glorieuſe, que celle que j'ay acquiſe dans tout le Royaume.	Je m'est merai heureux, si ayant déjà réjoui tant de Plaideurs, qui, comme vous savez, rient à leurs dépens, je puis désennuyer un Homme aussi illustre que vous, dont l'estime me sera plus glorieuse, que celle que j'ai acquise dans tout le Royaume.
C’eſt le deſſein que je me propoſe pour vous témoigner que je ſuis de tout mon cœur,	C'est le dessein que je me propose pour vous témoigner que je suis de tout mon cœur,
MONSIEUR,	MONSIEUR,
Voſtre tres-humble & tres;	Votre très-humble et très;
obeïſſant Serviteur,	obéissant Serviteur,
GRAPINIA	GRAPINIA
UN PLAIDEUR Alo un alleleo	UN PLAIDEUR Alo un allèleo
Ib pn L'y a environ un an & demy que les Comédiens Italiens repréſenterent une Piece intitulée, La Matrone d'Epheſe, ou Arlequin Procureur.	Ib pen L'y a environ un an et demi que les Comédiens Italiens représentèrent une Pièce intitulée, La Matrone d'Éphèse, ou Arlequin Procureur.
Comme le ſuccés en fut fortgrand, ils la joüerent pres de trois mois, & le bruit qu’elle fit alla ſi loin, que mes Amis de la Province m’écrivirent pluſieurs fois pour me prier de la leur envoyer, ſi elle eſtoit imprimée.	Comme le succès en fut fortgrand, ils la jouèrent pres de trois mois, et le bruit qu'elle fit alla si loin, que mes Amis de la Province m'écrivirent plusieurs fois pour me prier de la leur envoyer, si elle était imprimée.
L’utilité que le Public en peut tirer, me fit employer toute ſorte de moyens pour l’avoir.	L'utilité que le Public en peut tirer, me fit employer toute sorte de moyens pour l'avoir.
