I ARGVMENT.	I JRGUMENT.
& Ronte aimoit Calirie dés le be ceau, eſgalement aimé d’elle, d rant la force, de leur affectic Alidor ſon nepueu reuient d’A gleterre, où il auoit eſté long temps, & d bord qu’il voit Calirie en deuient amo reux, ſans ſe ſouuenir, ny de l’amitié que ſe oncle luy portoit, ny des obligations qu luy auoit, ſa paſſion vint à tel poinct, que i l’oſant deſcouurir, de peur d’offenſer ſo oncle, ſon mal caché ſe rendant plus vie lent, il tombe malade, Oronte qui aimoit nepueu, comme ſi c’euſt eſté ſon fils, en ploye toute la medecine pour ſa guariſoi & voyant que c’eſtoit inutilement, il en pa le à vn Medecin de ſes amis, auec de ſi grai s marques de ſon deſplaiſir, que l’autre blige à deſcouurir le ſujet du mal d’Alior à cét effet, il ſe tient deux ou trois iours iprés du malade, & faiſant des obſeruaons particulieres de l’extraordinaire mouement du pouls, & des changemens dũ vige d’Alidor, lors que Calirie entroit dans chambre, ibcreut que l’amour de Calirie rendoit malade, cette croyance l’oblige e dire à Oronte, que s’il vouloit conſeruer on nepueu, il luy falloit donner Calirie, ce iſcours eſtonne Oronte, & toutesfois l’aaitié qu’il auoit pour ſon nepueu le fait paſr pardeſſus toutes les conſiderations de l’anour de Calirie, & ſe reſout de luy ſauuer a vie, en ſe priuant de ce qu’il auoit de plus her, & pour n’y perdre point de temps, il oit Calirie, la prie de viſiter ſouuent ſon iepueu, & de le careſſer,& cependant il va thez Larinthe, luy propoſe les aduantages lu mariage deſon nepueu & de ſa fille, & paſſe iuſqu’à la concluſion, il porte ces nouuelles à Alidor, qui viſité ſouuent de Calirie.	et Ronte aimoit Calirie dés le ceau, également aimé elle, rant la force, de leur affectic Alidor son nepueu reuient A gleterre, il auoit esté long temps, et bord il voit Calirie en dévient reux, sans se souuenir, ni de amitié que se oncle lui portoit, ni des obligations lui auoit, sa passion vint tel poinct, que y osant descouurir, de peur offenser oncle, son mal caché se rendant plus vie lent, il tombe malade, Oronte qui aimoit nepueu, comme si eût esté son fils, en ploye toute la médecine pour sa guarisoi et voyant que estoit inutilement, il en le Medecin de ses amis, auec de si gray marques de son déplaisir, que autre blige descouurir le sujet du mal Alior cét effet, il se tient deux ou et iours iprés a malade, et que le obseruaons particulières à son bodu pouls, et des changemens t aimé d'Elle, d' elle Ra entroit la force, de que leur de Calirie rendoit malade, cette son noblige dire ouOronte, que d'A vouloit err on nepueu, il où il a Vay, ce iscours été Longtemps, et dès çaaitié qu'il voit pourson nepueu le fait pasr ie en de vien de amour de Calirie, et se ans se lui sauuer a nir, en se ni de ce l' amit de que se, et pour nyclé était de temps, il oit Ait, la ni des visiter souuent qu' y, avait , sa caresseron vint il à tel Put, que j' os aduantages lu mariage deson nepueu et de sa fille, de peur d'ossen la conclusion, et de l' nouuelles Alidor, qui il tombe de Malade,
commençoit à ſe remettre, ce qui le remit tout à fait ſur pied:	commençait à se remettre, ce qui le remit tout à fait sur pied:
durant que cela ſe paſſe, Cintille qui aimoit Alidor, & qui en auoit eſté aimée en Angleterre, preſſee de ſa paſſion, & aydee de la reſſemblance qu’elle auoit à ſon frere Alcandre, auoit pris des habits d’homme, & eſtoit venuë en France, où ne pouuant voir Alidor, à cauſe de ſon mal, elle fit cognoiſſance auec vn ieune Gentilhomme François nommé Florintor, amoureux de Meliſſee, & qui pour diuertir, le feint Alcandre l’auoit ſouuent conduit chez ſa Maiſtreſſe Meliſſee, qui n’ayant peu reſiſter à la force des yeux de cette fille deſguiſee en deuient amoureuſe, la croyant Alcandre, & pour l’obliger, parce qu’elle l’en auoit priée, fait bonne mine à Florintor, non pas ſans donner des teſmoignages à Cintille de ſa paſſion, mais cette fille qui n’auoit que l’aH 10 AROVMEICT.	durant que cela se passe, Cintille qui aimait Alidor, et qui en avait été aimée en Angleterre, pressée de sa passion, et aidée de la ressemblance qu'elle avait à son frère Alcandre, avait pris des habits d'homme, et était venue en France, où ne pouvant voir Alidor, à cause de son mal, elle fit connaissance avec un jeune Gentilhomme François nommé Florintor, amoureux de Melisse, et qui pour divertir, le feint Alcandre l'avait souuent conduit chez sa Maîtresse Melisse, qui n'ayant peu résister à la force des yeux de cette fille desguisee en dévient amoureuse, la croyant Alcandre, et pour obliger, parce elle en auoit priée, fait bonne mine Florintor, non pas sans donner des témoignages Cintille de sa passion, mais cette fille qui auoit que aH 10 AROVMEICT.
mour d’Alidor dans l’eſprit ſe feint, attendant l’occaſion de voir ſon Amant, elle le voit en fin, mais en eſt receuë, comme ſi veritablement elle euſt eſté ſon frere Alcandre, ſans que parmy leurs diſcours Alidor nommaſt iamais Cintille, ce qui la picqua ſi fort, qu’elle le quitte tout en cholere, & prend reſolution de retourner dans vne ſollitude où elle auoit eſté quelque temps:	mour d'Alidor dans l'esprit se feint, attendant l'occasion de voir son Amant, elle le voit en fin, mais en est reçue, comme si véritablement elle eût été son frère Alcandre, sans que parmi leurs discours Alidor mât jamais Cintille, ce qui la piqua si fort, qu'elle le quitte tout en cholere, et prend résolution de retourner dans une sollitude où elle avait été quelque temps:
Auparauant que de partir elle donne chargea Orcan vieux Gentil-homme qu’elle auoſt emmene, de ſçauoir ce qui pouuoit obliger Alidor à la traicter de la ſorte, Orcan prend ce ſoin auec affection, & faict ſi bien qu’il apprend que Calirie eſtoit l’object des paſſions d’Alidor, que ſon oncle auoit traicté leur mariage auec la mere de la fille, & que toutesfois Oronte ayant veu que ſon nepueu ſans mourir auoit ſouffert le refus de Calirie, faiſoit ſon poſſible pour ſe remettre bien auec elle, & que lors qu’il eſtoit ſur le --- poinct d’obtenir le pardon de ſa faute, Alidor eſtoit ſuruenu, qui ſe voyant mal traicté de ſa Maiſtreſſe, & trompé par ſon oncle, fit quelques reproches à tous les deux, & fait effort de ſe tuer, Calirie l’en empeſche, & promet à l’vn & à l’autre de les contenter le lendemain, ce qu’Orcan ayant rapporté à Cintille, elle ſe reſout de quitter ſa ſolitude, reuient à la Cour, croit Meliſſee, qui luy deſcouure ouuertement ſon amour, qu’elle rejette le plus honneſtement qu’elle peut, s'excuſant ſur l’affection qu’elle auoit pour Doris, & luy parle pour Florintor, Meliſſee faſchee la quitte, rencontre Florintor, & le traicte plus mal qu’elle n’auoit iamais faict, luy diſant qu’elle ne l’auoit ſoüffert que pour obliger Alcandre, & non luy, Florintor tout eſtonné ſe retire, & va faire ce diſcours à Cintille, qui luy confeſſe qu’il eſtoit vray que Meliſſee luy auoit teſmoigné de l’amour, mais que cela nele deuoit pas troubler, puis qu’il eſtoit impoſſible qu’elle la contentaſt, Florintor aucunement ſatisfait, laiſſe Cintille, qui le prie pourtant de la ſuiurę bien toſt chez Meliſſee où elle alloit, & que de là tous trois enſemble ſe rendroient chez Calirie, où ſe deuoit vuider ce iour-là la querelle de l’oncle & du nepueu, Calirie cependant qui n’auoit point repoſé, ſongeant aux moyens de contenter Oronte ſans faſcher Alidor, prend vne eſtrange reſolûtion, & d’vne poincte de diamant gaſte tous les beaux traits de ſon viſage, ſa mere arrſua ſur ce poinct, qui la voyant toute en ſang s’eſcrie, Cintille, Meliſſee, & Florintor ſuruiennent, qui eſtonnez d’vn accident ſi cruel s’informent du nom du barbare qui auoit oſéruiner tant de beautez, Calirie ſans s’eſmouuoir leur dit, que ç’auoit eſté Oronte & Alidor, Oronte arriue là deſſus, & faiſant la méme demande que les autres, apprend par la bouche de Calirie, quecenoie luy e ſon 13 nepueu qui l’auoit miſe en ſi mauuais eſtat, Alidor qui auoit eu la nouuelle de l’accidẽt de Calirie, vient tout en fureur, prot eſtant d’oſter la vie à celuy qui auoit oſé mettre la main ſur ſa Maiſtreſſe, mais il n’euſt pas plus toſt veu ce viſage tout en ſang, qu’il détourne ailleurs ſa veuë, ce que Calirie ayant apperceu, prend occaſion de luy dire qu’elle auoit touſiours creu qu’il n’auoit aimé que ſa beauté exterieure, que pour cette raiſon elle l’auoit voulu perdre, & que ſans doute Oronte l’en aimeroit dauantage, puis qu’elle ne l’auoit perduë que pour ſe conſeruer à luy ſeul, toute l’aſſiſtãce admire cette action genereuſe, & lors qu’Alidor ſe veut ietter à genoux pour leur demander pardon, il eſt interrõpu par Cintille, qu’il croit touſiours eſtre Alcandre, ce qui le fait reſſouuenir du tort qu’elle auoit fait à Cintille, c’eſt pourquoy il la prie de le vouloir remettre en grace auprés de ſaſœur, Cintille qui le voit repentant, luy fait perdre cet te croyance, & ſe fait cognoiſtre pour ce qu’elle eſtoit, ce nouuel accident donne autant d’eſtonnement à toute la compagnie, que l’action de Calirie leur auoit donné de l’admiration, & principalement à Meliſſee, qui hõteuſe d’auoir aimé vne fille, & preſſee par elle-meſme de recognoiſtre l’amour de Florintor, promet de l’aimer, Cintille pardonne à Alidor, Calirie eſt extrémement contente d’eſtre auſeul Dronte, & de voir Alidor ſatisfait, la mere qui craignoit que le mal de ſa fille ne s’enuenimaſt, les oblige de ſe retirer, & prie Cintille & Meliſſee de prendre ſa maiſon, en attendant que la gueriſon de ſa fille leur permit de receuoir les plaiſirs qu’elles attendoient de leur amour, par le mariage de toutes trois, auec les perſonnes ay	Auparauant que de partir elle donne chargea Orcan vieux Gentil-homme elle auost emmene, de sçauoir ce qui pouuoit obliger Alidor la traicter de la sorte, Orcan prend ce soin auec affection, et faict si bien il apprend que Calirie estoit object des passions Alidor, que son oncle auoit traicté leur mariage auec la mere de la fille, et que toutesfois Oronte ayant que son nepueu sans mourir auoit souffert le refus de Calirie, faisoit son possible pour se remettre bien auec elle, et que lors il estoit sur le -- poinct obtenir le pardon de sa faute, Alidor estoit survenu, qui se voyant mal traicté de sa Maistresse, et trompé par son oncle, fit quelques reproches tous les deux, et fait effort de se tuer, Calirie en empêche, et promet et autre de les contenter le lendemain, ce Orcan ayant rapporté Cintille, elle se résout de quitter sa solitude, reuient la Cour, croit Melissee, qui lui descouure ouuertement son amour, elle rejette le plus honnêtement elle peut, s'excusant sur affection elle auoit pour Doris, et lui parle pour Florintor, Melissee fâchée la quitte, rencontre Florintor, et le traicte plus mal elle auoit iamais faict, lui disant elle ne auoit soüffert que pour obliger Alcandre, et non lui, Florintor tout estonné se retire, et va faire ce discours Cintille, qui lui confesse il estoit vrai que Melissee lui auoit tesmoigné de amour, mais que cela nele deuoit pas troubler, puis il estoit impossible elle la contentât, Florintor aucunement satisfait, laisse Cintille, qui le prie pourtant de la suiurę bien tôt chez Melissee elle alloit, et que de tous trois ensemble se rendroient chez Calirie, se deuoit vider ce iour-là la querelle de oncle et du nepueu, Calirie cependant qui auoit point reposé, songeant aux moyens de contenter Oronte sans fâcher Alidor, prend étrange resolûtion, et poincte de diamant gâte tous les beaux traits de son visage, sa mere arrsua sur ce poinct, qui la voyant toute en sang écrie, Cintille, Melissee, et Florintor surviennent, qui étonnez accident si cruel informent du nom du barbare qui auoit oséruiner tant de beauté, Calirie sans esmouuoir leur dit, que auoit esté Oronte et Alidor, Oronte arriue dessus, et faisant la méme demande que les autres, apprend par la bouche de Calirie, quecenoie lui son 13 nepueu qui auoit mise en si mauuais estat, Alidor qui auoit eu la nouuelle de accidẽt de Calirie, vient tout en fureur, prot estant ôter la vie celui qui auoit osé mettre la main sur sa Maistresse, mais il eût pas plus tôt ce visage tout en sang, il détourne ailleurs sa veuë, ce que Calirie ayant apperceu, prend occasion de lui dire elle auoit tousiours creu il auoit aimé que sa beauté extérieure, que pour cette raison elle auoit voulu perdre, et que sans doute Oronte en aimeroit dauantage, puis elle ne auoit perduë que pour se conserver lui seul, toute assistãce admire cette action généreuse, et lors Alidor se veut ietter genoux pour leur demander pardon, il est interrõpu par Cintille, il croit tousiours être Alcandre, ce qui le fait ressouuenir du tort elle auoit fait Cintille, est pourquoi il la prie de le vouloir remettre en grace à sa vie, Et qui de voit sang lui a réscet te ion, et et que ces pour ce elle -moi, ce qu' elle ne la rétonnement toute la compagnie, de Saction de Calirie ce qui se de nait, et principalement A Le, qui hõteuse auoir aimé fille, à la par ellement de recognoistre la de Sorte, Or de a, Cintille pardonne Alidor, Ce est soin contente auêtre asse Dronte, et et voir Ait si, la mere qui en que ' il de sa fille ne menvenimât, les oblige de se étai, l' prie Cintille et Des de passions d' maison, que son onclé avait de ra fille leur mariage avec les a mellesdite de la jalousie, et que mariage de toutefois trois, ayant vu que son
I P R( ET 21 L0 TL TRAGI-COMEDIE.	I PUIS R( ET 21 0 TL TRAGI-COMÉDIE.
ACTE PREMIER SCENE I.	ACTE PREMIER SCÈNE I.
ORONTE ſeul.	ORONTE seul.
P Ieux, de qui tous les iours i’approche les Autels!	 Peux, de qui tous les jours j'approche les Autels!
ie ie ſuis malheureux entre tous les mortels;	ie Ne suis malheureux entre tous les mortels;
