M.	M.
DC.	DC.
LXII.	LXII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
ſerieuje, toutefois ſi vous daignez vous ſouuenir qu'elle ne vous a pas dépleu dans ſa repreſentation:	sérieuje, toutefois si vous daignez vous souvenir qu'elle ne vous a pas déplu dans sa représentation:
Et que meſme elle a eu aſſés de bon heur pour vous faire diſſiper vn peu de chagrin, ie m'imagine que vous pardonneres facilement à la temerite qui ma pouſſé à vous la donuer, & que malgré ces deffauts, vous aurés encor aſſés de bonté pour la regarder auec quelque ſorte d’indulgence, pour peu que vous veüilliés conſiderer que ce n'eſt que la grandeur de mon zele qui ma oblige à vous la preſenter, ioint que vous eſtes trop aimable pour haïr le procedé de celuy qui ne recherche autre choſe, qu'à vous témoigner par toutes les actions de ſa vie qu'il deſire eſtre eternellement,	Et que même elle a eu assez de bon heur pour vous faire dissiper un peu de chagrin, ie s'imagine que vous pardonnerez facilement à la témérité qui ma poussé à vous la donuer, et que malgré ces défauts, vous aurez encor assez de bonté pour la regarder avec quelque sorte d'indulgence, pour peu que vous veuilliez considérer que ce n'est que la grandeur de mon zèle qui ma oblige à vous la présenter, joint que vous êtes trop aimable pour haïr le procédé de celui qui ne recherche autre chose, qu'à vous témoigner par toutes les actions de sa vie qu'il desire être éternellement,
BELLE IRIS,	BELLE IRIS,
Voſtre tres-humble & tres- obeïſſant ſeruiteur, CHEVALIER.	Votre très-humble et très- obéissant serviteur, CHEVALIER.
A IRIS.	À IRIS.
Iuin charme de l’vniuers DIe vous auois promis des vers, Mais comment tenir ma promeſſe Vous eſtes toute de beauté Ma muſe eſt toute de foibleſſe, Que faire en cette extremité.	Juin charme de l'Hivers DIe vous avais promis des vers, Mais comment tenir ma promesse Vous êtes toute de beauté Ma muse est toute de faiblesse, Que faire en cette extrémité.
Qe, U Si i’entreprens de vous loüer Vous allés m’en deſauoüer, Par ce que i’en ſuis incapable Ioint que les termes les plus doux N’ont rien d’aſſés conſi derable, Alors qu’il lut parler de vous.	Que, V Si j'entreprends de vous louer Vous allez m'en desauoüer, Par ce que j'en suis incapable Joint que les termes les plus doux N'ont rien d'assès consi derable, Alors qu'il lut parler de vous.
C 1.	Ç 1.
5.	5.
x3 Pourtant obiet rare & charmant Ce que l’on peut humainement, Ie m’en vay tâcher de le faire Et ſi ie n’y reüſſi pas Ne me croyés point temeraire, N’en accuſés que vos apas.	>x3 Pourtant objet rare et charmant Ce que l'on peut humainement, Je m'en vais tâcher de le faire Et si grande n'y réussi pas Ne me croyez point téméraire, N'en accusez que vos appas.
cxU Quand on vault ce que vous valés Qu’on parle comme vous parlés, Qu’on eſt belle comme vous eſtes Qu’on à l’air comme vous l’aués Qu’on fait tout bien comme vous faites, Se ſont chef-d’œuures acheués.	cxU Quand on vault ce que vous valés Qu'on parle comme vous parlez, Qu'on est belle comme vous êtes Qu'on à l'air comme vous l'avez Qu'on fait tout bien comme vous faites, Se sont chef-d'œuvres achevez.
21 Ainſi voſtre diuin aſpect Imprime par tout le reſpect, Voyant cent miracles enſemble Vos merueilleuſes qualités Font que noſtre liberté tremble, Au moindre éclat de vos beautẽs,	21 Ainsi votre divin aspect Imprime par tout le respect, Voyant cent miracles ensemble Vos merveilleuses qualités Font que notre liberté tremble, Au moindre éclat de vos beauts,
Qe cd Pardonnés moy dans mes ardeurs Si de tous vos adorateurs, I’oſe icy me mettre du nombre Mes feus ſont pour vous ſi puiſſans Que l’amour meſme n’eſt que l’ombre De celuy que pour vous ie ſens.	Que cd Pardonnez moi dans mes ardeurs Si de tous vos adorateurs, J'ose ici me mettre du nombre Mes feus sont pour vous si puissants Que l'amour même n'est que l'ombre De celui que pour vous seul sens.
24 I’aurois bien voulu le cacher Mais quoy, ie n’ay pû m’empécher, Aimable Iris de vous le dire Quand i’aurois paru plus diſcret Ie ſouffrois vn ſi grand martire, Qu’on auroit connu mon ſecret.	24 J'aurais bien voulu le cacher Mais quoi, je n'ai pu m'empêcher, Aimable Iris de vous le dire Quand j'aurais paru plus discret Je souffrais un si grand martyre, Qu'on aurait connu mon secret.
Permettés donc que dans ce iour Ie vous declare mon amour, Par mes petis vers plain de zele Et pour vous le bien exprimer Ie ſuis homme, & vous eſtes belle, Iugés ſi ie vous dois aimer.	Permettez donc que dans ce jour Je vous déclare mon amour, Par mes petis vers plain de zèle Et pour vous le bien exprimer Je suis homme, et vous êtes belle, Jugez si grands vous dois aimer.
La eν Davο Oüy ie vous aime belle Iris Et ie veux que dans mes écris, On voye éclatter voſtre gloire Afin cher obiet mon vainqueur rue voſtre adorable memoire;	La eν Davο Oui ici vous aime belle Iris Et ie veux que dans mes écris, On voie éclater votre gloire Afin cher objet mon vainqueur rue votre adorable mémoire;
Soit par tout comme dans mon cœur.	Soit par tout comme dans mon cœur.
LA DISGRACE DES DOMESTIQVES.	LA DISGRACE DES DOMESTIQUÊ.
COMEDIE REPRESENTEE ſur le Theatre Royal tan daurais	COMÉDIE REPRÉSENTÉE sur le Théâtre Royal tan daurais
SCENNE I.	SCÈNE I.
GVILLOI, joue tenaut vn por en ſa main dans lequel il vient de tirer du vin.	GUILOI, joue tenaut un por en sa main dans lequel il vient de tirer du vin.
Ependant que le Sieur Fabrice Fait l’amoureux & le iocrice.	Ependant que le Sieur Fabrice Fait l'amoureux et le jocrice.
Aupres d’Engelique aux yeux doux, le vay boire cinq ou ſix coups, Mais qui diable vois ie paroiſtre C’eſt noſtre vieil marſoin de Maiſtre.	Auprès d'Engélique aux yeux doux, le vais boire -là ou six coups, Mais qui diable vois ie paraître C'est notre vieil marsoin de Maître.
Me ttons noſtre pot dans ce coin Nous le reprendrons au beſoin, Car me trouuant vuidant la peinte Il me donneroit quelque atainte, Il ſe cache.	Me tons notre pot dans ce coin Nous le reprendrons au besoin, Car me trouvant vidant la peinte Il me donnerait quelque atainte, Il se cache.
SCENNE II POLICARPE.	SCÈNE II POLICARPE.
MlaREEB.	MlaREB.
POLICARPE.	POLICARPE.
J Ite ſortés d’icy faquin V Comment vous faites le bouquin, Le godelureau, l’agreable Le doucereux, le beau, l’afable.	 Jette sortés d'ici faquin V Comment vous faites le bouquin, Le godelureau, l'agréable Le doucereux, le beau, l'afable.
Le dolent, l’amoureux tranſi Encor vn coup ſortés d’icy, Et ſans plus mugueter mes filles Prenés voſtre ſac & vos quilles, Mais deſpechés de détaller Sinon ie vay vous eſtrangler.	Le dolent, l'amoureux transi Encor un coup sortés d'ici, Et sans plus mugueter mes filles Prenés votre sac et vos quilles, Mais despechés de détaller Sinon ie tai vous étrangler.
	
FABRICE.	FABRICE.
FABRICE.	FABRICE.
Monnem quene laute ay le raite	Monnem quène laute ai le raite
POLICARPE.	POLICARPE.
Deſlogés viſte & ſans trompete, Autrement vous vertés ſur vous Tomber vne greſle de coups, Vous ſçaués que les coups de gaulles Sont entipodes des eſpaulles, Songes donc à vous cuader Ou ie vay vous entipoder.	Deslogés vite et sans trompeté, Autrement vous vertez sur vous Tomber une grêle de coups, Vous savez que les coups de gaulles Sont entipes des épaulles, Songes donc à vous cuader Ou vez vay vous entipoder.
PABRICE.	PABRICE.
Mais pourquoy faut il que ie ſorte	Mais pourquoi faut -il que ainsi sorte
POLICARPE.	POLICARPE.
Sans plus iaſer gagnés la porte, Promptement vous dis ie, ſinon Ie vous vays à coups de baſton D’vne fureur eſpouuantable Enuoyer lu leruene au Miavles	Sans plus jaser gagnés la porte, Promptement vous dissix, sinon Je vous ais à coups de bâton D'une fureur épouvantable Envoyer lu leruene au Miavles
SCENNE II.	SCÈNE II.
FABRICE, ſeul.	FABRICE, seul.
Elasquel deſtin eſt le mien L I Faut il abandonner mon bien, Faut il par vn malheur extreme Quitter Engelique que i’aime, Mais s’il eſt ordonné du ſort Perdant ce bien cherchons la mort, Oüy, oüy, mourons .	Élasquel destin est le mien L I Faut il abandonner mon bien, Faut il par un malheur extrême Quitter Engélique que j'aime, Mais s'il est ordonné du sort Perdant ce bien cherchons la mort, Oui, oui, mourons .
SCENNE III.	SCÈNE III.
FABRICE, GVILLOT.	FABRICE, GUILLOT.
