A MADMOISELLE M.	À MADMOISELLE M.
M.	M.
ADMOISELLE, doute quelque choſe de plus particulier, n'ayant rien en vous que de fort extraordinaire, eſtant incomparable en tout comme vous eſtes:	ADMOISELLE, doute quelque chose de plus particulier, n'ayant rien en vous que de fort extraordinaire, étant incomparable en tout comme vous êtes:
Cependant ie me trouue contraints de faire comme les plus grands hommes ont fait, qui faiſant imprimer leurs eſcrits, ce qui les rends communs à tous, ſe ſont touſiours Jeruy des termes de, ie vous les offre, ie vous les donne, ie vous les dedie, ie vous les conſacre, comme ſi ne les euſut donnés qu'à vne ſeule perſonne, &r pourtant vous voyés que c'eſt en faire vn preſent a toute la nature, c'eſt pourquoy i'aurois bien voulu trouuer quelque autre moyen, afin que cette Comedie puteſtre a vous ſeule:	Cependant ie me trouve contraints de faire comme les plus grands hommes ont fait, qui faisant imprimer leurs écrits, ce qui les rends communs à tous, se sont toujours Jérui des termes de, Seigneur vous les offre, je vous les donne, ie vous les dédie, je vous les consacre, comme si ne les eusut donnés qu'à seule personne, et pourtant vous voyez que c'est en faire un présent a toute la nature, c'est pourquoi j'aurais bien voulu trouver quelque autre moyen, afin que cette Comédie putestre à vous seule:
Outre que t'aurois eu bien de la ioye qu'il n'y eut eu que vous à vous railler de moy & de mes ouurages, ſans eſtre encor expoſé à la cenſure de tout le monde, mais ce qui me conſole en cecy eſt, que ie me ſuis raillé de moy-meſme le premier, ainſi cela ne me ſurprendra point;	Outre que t'aurais eu bien de la joie qu'il n'y eut eu que vous à vous railler de moi et de mes ouvrages, sans être encor exposé à la censure de tout le monde, mais ce qui me console en ceci est, que je me suis raillé de moi-même le premier, ainsi cela ne me surprendra point;
peut-eſtre me dire;	peut-être me dire;
vous que ce que ie dis eſt ridicule i'en demeureray d’acord, --- ----- & comme ma piece ſe nomme les Galans Ridicules, ie pretends que tout s'enſuiue, et que l’Eſpitre ne déroge point à l'ouurage;	vous que ce que ie dis est ridicule j'en demeurerai d'acord, -à-dire -- et comme ma pièce se nomme les Galants Ridicules, je prétends que tout s'ensuive, et que l'Espitre ne déroge point à l'ouvroge;
Au reſte ſi les Comedies ſont bonnes quand elles font rire, ie puis dire que celle-cy n'eſt pas mauuaiſe:	Au reste si les Comédies sont bonnes quand elles font rire, je puis dire que celle-cy n'est pas mauvaise:
mais comme quelquefois ces ſortes de choſes excitent à rire a force d’eſtre meſchantes, ie ne ſçay ce que t'en dois croire, quoy qu'il en ſoit, ie vous la donne comme ſi elle eſtoit meilleu11, vous aſſeurant que ſi i'euſſe pù faire vn chef-d’œuure il vous euſt eſté preſente auec autant de zele g 8 d’affection que cette petite piece vous eſt offerte par	mais comme quelquefois ces sortes de choses excitent à rire a force d'être méchantes, toujours ne sais ce que t'en dois croire, quoi qu'il en soit, je vous la donne comme si elle était meilleu1, vous assurant que si j'eusse pù faire un chef-d'œuvre il vous eût été présente avec autant de zèle g 8 d'affection que cette petite pièce vous est offerte par
Voſtre tres-humble, & tres obeïſſant ſe uiteur, ALII	Votre très-humble, et très obéissant se uiteur, ALII
LES GALANS RIDICVLES, DE ou les Amours GVILLOT Comedie repreſentée ſur le Theatre Royal du Marais.	LES GALANS RIDICULES, DE ou les Amours GUILLOT Comédie représentée sur le Théâtre Royal du Marais.
