MONSIEVR	MONSIEUR
Voſtre tres-humble, & tres obeïſſant ſeruiteur,	Votre très-humble, et très obéissant serviteur,
CHEVALIER.	CHEVALIER.
A MONSIEVR DE LA MARLIERE.	À MONSIEUR DE LA MARLIÈRE.
SONNET.	SONNET.
JOvs voyãt poſſeder des talens merueilleux, V Ie brûle de vanter voſtre Valeur extrêmes Mais ne ſçachãt pas faire vn Vers miraculeux, Comment exalteray-je vn merite ſuprême?	JOus voyant posséder des taliens merveilleux, V Je brûle de vanter votre Valeur extrêmes Mais ne sachant pas faire un Vers miraculeux, Comment exalterai-je mérite suprême?
Il faudroit exceller en langage des Dieux, Pour loüer vn Guerrier, qu’on reuere, qu’on ayme, Dont les fameux exploits font qu'on dit en tous lieux, Qu'on ne void rien que luy de ſemblable à luy-meſme.	Il faudrait exceller en langage des Dieux, Pour louer un Guerrier, qu'on révère, qu'on aime, Dont les fameux exploits font qu'on dit en tous lieux, Qu'on ne voit rien que lui de semblable à Ma-même.
Ma Muſe, quoy que foible, efforce icy ta voix, Et fais, ſi tu le peux, connoiſtre à cette fois, Que d'vne noble ardeur, tu te ſens animée;	Ma Muse, quoi que faible, efforce ici ta voix, Et fais, si tu le peux, connaître à cette fois, Que d'une noble ardeur, tu te sens animée;
Mais comme il a le cœur plus grand que l'Vniuers, Vn rayon de ſa Renommée, Fait cent fois plus de bruit qu'vn million de Vers.	Mais comme il a le cœur plus grand que l'Univers, Un rayon de sa Renommée, Fait cent fois plus de bruit qu'un million de Vers.
CHEVALIER.	CHEVALIER.
1 t RI R · IE PRIVILEGE DV ROY.	1 t RI R · JE PRIVILÈGE DU ROY.
OVYS PAR LA CRACE DE DIEV DROY DE FRANCE ET DE NAVARRE, A nos amez & feaux Conſeillers, les gens tenans nos Cours de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Sene ſchaux, Preuoſts, leurs Lieutenans & tous autres nos Iuſticiers & Officiers qu’il appartiendra, Salut.	OUÏS PAR LA CRACE DE DIEU DROY DE FRANCE ET DE NAUARRE, A nos âmez et féaux Conseillers, les gens tenants nos Cours de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Séné chaux, Preuosts, leurs Lieutenants et tous autres nos Justiciers et Officiers qu'il appartiendra, Salut.
Noſtre cher & bien amé GVILLAVME DE LVYNE, Marchand LibraireIuré en noſtre bonne Ville de Paris;	Notre cher et bien amé GUILLAUME DE LUYNE, Marchand LibraireIuré en notre bonne Ville de Paris;
Nous a fait remonſtrer, qu’il auroit depuis peu recouuré vne Piece de Theatre, intitulé:	Nous a fait remontrer, qu'il aurait depuis peu recouvré une Pièce de Théâtre, intitulé:
Les Barbons Amoureux, qu’il deſireroit faire imprimer;	Les Barbons Amoureux, qu'il désirerait faire imprimer;
mais craignant que quelqu’vn ne voulut contrefaire ſon impreſſion, & par ce moyen, il ne ſoit priué du fruit qu’il en pourroit retirer.	mais craignant que quelqu'une ne voulut contrefaire son impression, et par ce moyen, il ne soit privé du fruit qu'il en pourrait retirer.
Il nous auroit ſupplié treshumblement luy octroyer nos Lettres, auec les deffences ſur ce neceſſaires.	Il nous aurait supplié treshumblement lui octroyer nos Lettres, avec les défenses sur ce nécessaires.
