M.	M.
DC.	DC.
LXXXVIII.	LXXVIII.
Ac 1 TeS DU PROLOGUE ERTUMNE, Dieu des Jardins.	Ac 1 -TS DU PROLOGUE ERTUMNE, Dieu des Jardins.
ALE’S, Déeſſe des Bergers.	ALÉS, Déesse des Bergers.
Troupe des ſuivans de Vertumne.	Troupe des suivants de Vertumne.
Troupe de Bergers & de Bergeres.	Troupe de Bergers et de Bergères.
UN ZEPHIR.	UN ZEPHYR.
TEOLOCUE Le Theatre repreſente le nouveau Palais de Trianon, avec ſes Jardins.	TEOLOCUE Le Théâtre représente le nouveau Palais de Trianon, avec ses Jardins.
VERTUMNE.	VERTUMNE.
Aiſſez pour quelque temps le ſoin de ces fardins, Divinitez, qui marchez à ma ſuite.	Aissez pour quelque temps le soin de ces fardins, Divinités, qui marchez à ma suite.
L.	L.
ALES.	ALES.
Accourez, des hameaux voiſins, Bergers ſoümis a ma conduite.	Accourez, des hameaux voisins, Bergers sourmis à ma conduite.
ERTUMNE.	ERTUMNE.
Laiſſez pour quelque temps le ſoin de ces Jardins.	Laissez pour quelque temps le soin de ces Jardins.
PALE'S.	PALÉT.
Accourez des hameaux voiſins.	Accourez des hameaux voisins.
A ij Marche des ſuivans de Vertumne, avec des Bergers & leurs Bergeres.	A ij Arche des suivants de Vertumne, avec des Bergers et leurs Bergères.
VERTUMNE.	VERTUMNE.
Venez me montrer voſtre zele, Prenez part à l’éclat de ma gloire nouvelle.	Venez me montrer votre zèle, Prenez part à l'éclat de ma gloire nouvelle.
Dans ces Jardins delicieux Où toûjours mes ſoins curieux, Secondent ſi bien ceux de Flore:	Dans ces Jardins délicieux Où toujours mes soins curieux, Secondent si bien ceux de Flore:
Que je ſuis content en ce jour De voir ce beau Palais devenir le ſéjour D’un Roy que l'Univers adore.	Que je suis content en ce jour De voir ce beau Palais devenir le séjour D'un Roi que l'Univers adore.
Ces gaſons et ces fleurs dont je fais mes plaiſirs, Offriront quelque-fois des momens agreables A jes novles ioiſrs;	Ces gazons et ces fleurs dont je fais mes plaisirs, Offriront quelque-fois des moments agréables A jes novles ioisrs;
Quels ſuccez plus favorables Pouvoient flatter mes deſirs?	Quels succès plus favorables Pouvaient flatter mes désirs?
VERTUMNE & PALE'S Quels ſuccez plus favorables	VERTUMNE et PALE'S Quels succès plus favorables
VERTUMNE V mes Pouvoient flatter y PALE’S.	VERTUMNE V mes Pouvaient flatter y PALE'S.
vos deſirs?	vos désirs?
CHOEUR.	CHOEUR.
Quels ſucceZ plus favorables Pouvoient flatter mes deſirs?	Quels succès plus favorables Pouvaient flatter mes désirs?
Quorquormnuts deui Troupes expriment leur joye par des danſes.	Quorquormnuts de Troupes expriment leur joie par des danses.
PALE'S.	PALÉT.
Charmant Printemps, haſtez-vous de renaiſtre.	Charmant Printemps, hâtez-vous de renaître.
