AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
Repreſentée pour la premtere fois, le quatriéme Février 1661.	Représentée pour la premtère fois, le quatrième Février 1661.
ſur le Theaſtre de la Salle du Palais Royal.	sur le Théâtre de la Salle du Palais Royal.
Par la Trouppe de MONSIEUR, Frere unique du Roy.	Par la Trouppe de MONSIEUR, Frère unique du Roi.
A iij	À jijà
DOM OARETE, Prince de Navarre, Amant d’Eluire.	DOM ORETTE, Prince de Navarre, Amant d'Elvire.
ELUIRE, Princeſſe de Leon.	ÉLUIRE, Princesse de Léon.
PERSONNAGES.	PERSONNAGES.
ELISE, Confidente d’Eluire.	ELISE, Confidente d'Elvire.
DOM ALPHONCE, Prince de Leon, crû Prince de Caſtille, ſous le nom de Dom Sylve.	DOM ALPHONCE, Prince de Léon, crû Prince de Castille, sous le nom de Dom Sylve.
IGNES, Comteſſe, Amante de Doin Sylve, aimée par Mauregat, Uſurpateur de l’Eſtat de Leolr	IGNÉS, Comtesse, Amante de Doin Sylve, aimée par Mauregat, Usurpateur de l'État de Lolr
D.	D.
ALVAR, Confident de D.	ALVAR, Confident de D.
Garcie, Amant dElile.	Garcie, Amant dÉlyle.
D.	D.
LOPES, autre Confident de D.	LOPES, autre Confident de D.
Garcie, Amant rebuté d’Eliſe.	Garcie, Amant rebuté d'Élise.
D.	D.
PEDRE, Eſcuyer d’Ignes.	PÉDRE, Escuyer d'Ignès.
La Scene eſt dans Aſtorgue, ville d’Eſpagne, dans le Royaume de Leon.	La Scène est dans Astorgue, ville d'Espagne, dans le Royaume de Léon.
pnez DOM GARCIE DE NAVARRE, T LE PRINCE JALOUX, 2 COMEDAD.	pnez DOM GARCIE DE NAVARE, T LE PRINCE JALOUX, 2 COMEDAD.
adan	adán
ACTE PREMIER.	ACTE PREMIER.
2120 SCENE PREMTERE.	2120 SCÈNE PREMTERE.
D n E .	D n E .
CIHCI D.	CIHCI D.
ELUIRE, ELISE.	ÉLUIRE, ÉLISE.
1	1
D.	D.
ELUIRE.	ÉLUIRE.
ON, ce n’eſt point un choix, qui pour ces deux Amans, Sceut regler de mon cœur les ſeocrets ſentimens;	ON, ce n'est point un choix, qui pour ces deux Amants, Sut régler de mon cœur les seocrets sentiments;
Et le riiliee l'a point dans tout ce qu’il peut eſtre, Ce qui fit preferer l’amour qu’il fait paroiſtre.	Et le riilie l'a point dans tout ce qu'il peut être, Ce qui fit préférer l'amour qu'il fait paraître.
D.	D.
Sylve comme luy fit briller à mes yeux Toutes les qualitez d’un Heros glorieux;	Sylve comme lui fit briller à mes yeux Toutes les qualités d'un Héros glorieux;
Meſme éclat de vertus, joint à meſme naiſſance Me parloit en tous deux pour cette préference;	Même éclat de vertus, joint à même naissance Me parlait en tous deux pour cette préférence;
Et je ſerois encor à nommer le vainqueur, Si le merite ſeul prenoit droit ſur un cœur.	Et je serais encore à nommer le vainqueur, Si le mérite seul prenait droit sur un cœur.
Mais ces chaiſnes du Ciel, qui tombent ſur nos ames, Deciderent en moy le deſtin de leurs flâmes;	Mais ces chaînes du Ciel, qui tombent sur nos âmes, Décidèrent en moi le destin de leurs flammes;
metouee mon eſtiine eg ale entre ſes deux, Laiſſa vers D.	métoue mon étiine ég le entre ses deux, Laissa vers D.
Garcie entraiſner tous mes vœux.	Garcie entraîner tous mes vœux.
ELISSE.	ÉLISE.
Cet amour que pour luy voſtre aſtre vous inſpire, N’a ſur vos actions pris que bien peu d’empire;	Cet amour que pour venir votre astre vous inspire, N'a sur vos actions pris que bien peu d'empire;
Puiſque nos yeux, Madame, ont pa long-temps douter P ter.	Puisque nos yeux, Madame, ont pa longtemps douter P ter.
Qui de ces deux Amans vous vouliez mieux trai	Qui de ces deux Amants vous vouliez mieux trai
D.	D.
ELUIRE.	ÉLUIRE.
De ces nobles Rivaux l’amoureuſe pourſuite, A de facheux combats, Eliſe, m’a reduite.	De ces nobles Rivaux l'amoureuse poursuite, A de fâcheux combats, Élise, m'a réduite.
Quand je regardois l’un, rien ne me reprochoit Le tendre mouvement où mon ame panchoit;	Quand je regardais l'un, rien ne me reprochait Le tendre mouvement où mon âme penchait;
Mais je me l’imputois à beaucoup d’injuſtice, Quand de l’autre à mes yeux s’offroit le ſacrifice.	Mais je me l'imputais à beaucoup d'injustice, Quand de l'autre à mes yeux s'offrait le sacrifice.
Et Dom Sylve, aprés tout, dans ſes ſoins amoureux Me ſembloit meriter un deſtin plus heureux.	Et Dom Sylve, après tout, dans ses soins amoureux Me semblait mériter un destin plus heureux.
Je m’oppoſois encor, ce qu’au ſang de Caſtille, Du feu Roy de Leon, ſemble devoir la Fille;	Je m'opposais encor, ce qu'au sang de Castille, Du feu Roi de Léon, semble devoir la Fille;
Et la longue amitié, qui d’un eſtroit lien Joignit les intereſts, de ſon Pere & du mien.	Et la longue amitié, qui d'un étroit lien Joignit les intérêts, de son Père et du mien.
Ainſi plus dans mon ame un autre prenoit place, Plus de tous ſes reſpects je plaignois la diſgrace;	Ainsi plus dans mon âme un autre prenait place, Plus de tous ses respects je plaignais la disgrâce;
Ma pitié complaiſante à ſes brûlans ſoûpirs, D’un dehors favorable amuſoit ſes deſirs;	Ma pitié complaisante à ses brûlants soupirs, D'un dehors favorable amusait ses désirs;
Et vouloit reparer par ce foible avantage, Ce qu’au fond de mon cœur je luy faiſois d’outrage.	Et voulait réparer par ce faible avantage, Ce qu'au fond de mon cœur je lui faisais d'outrage.
ELISE.	ÉLISE.
Mais ſon premier amour que vous avez apris, Doit de cette contrainte affranchir vos eſprits.	Mais son premier amour que vous avez apris, Doit de cette contrainte affranchir vos esprits.
Et puis qu’avant ſes ſoins, où pour vous il s’engage, Done Ignes de ſon cœur avoit receu l’hommage;	Et puis qu'avant ses soins, où pour vous il s'engage, Done Ignès de son cœur avait reçu l'hommage;
Et que par des liens auſſi fermes que doux L’amitié vous unit cette Comteſſe & vous.	Et que par des liens aussi fermes que doux L'amitié vous unit cette Comtesse et vous.
Son ſecret revelé vous eſt une matiere A donner à vos vœux liberté toute entiere;	Son secret revelé vous est une matière À donner à vos vœux liberté toute entière;
Et vous pouvez ſans crainte à cet Amant confus D’un devoir d’amitié couvrir tous vos reſus.	Et vous pouvez sans crainte à cet Amant confus D'un devoir d'amitié couvrir tous vos ressus.
D.	D.
ELUIRE.	ÉLUIRE.
Il eſt vray que j’ay lieu de cherir la nouvelle, Qui m’apprit que D.	Il est vrai que j'ai lieu de chérir la nouvelle, Qui m'apprit que D.
Sylve eſtoit un infidelle;	Sylve était un infidèle;
