NLELEEION DE LA FESTE DE VERSAILLES.	NLÉLEION DE LA FÊTE DE VERSAILLES.
Du dix-huit Iuillet mil ſix cens ſoixante-huit.	Du dix-huit Juillet mil six cens soixante-huit.
E Roy ayant accordé la Paix aux inſtances de ſes Alliez & aux vœux de toute l’Eürope, & donné des marques d’vne moderation & d’vne bonté ſans exemple, meſme dans le plus fort de ſes conqueſtes, ne penſoit plus qu’à s’appliquer aux affaires de ſon Royaume, lors que pour reparer en quelque ſorte ce que la Cour avoit perdu dans le Carnaval pendant A ij ſon abſence, il reſolut de faire vne Feſte dans les jardins de Verſailles où parmy les plaiſirs que l’on trouve dans vn ſejour ſi délicieux.	E Roi ayant accordé la Paix aux instances de ses Alliés et aux vœux de toute l'Eürope, et donné des marques d'une modération et d'une bonté sans exemple, même dans le plus fort de ses conquêtes, ne pensait plus qu'à s'appliquer aux affaires de son Royaume, lors que pour réparer en quelque sorte ce que la Cour avait perdu dans le Carnaval pendant A il résolut absence, une Fésolut de faire une Fête dans les jardins de Versailles où parmi les plaisirs que l'on trouve dans son séjour pour délicieux.
l’eſprit fuſt encore touché de ces beautez ſurprenantes & extraordinaires dont ce grand einiee rguit di nien aſſaiſonner tous ſes divertiſſemens.	l'esprit fût encore touché de ces beautés surprenantes et extraordinaires dont ce grand einiee rguit di yen assaisonner tous ses divertissements.
premier Maiſtre-d’Hoſtel du Roy prit le ſoin de la colation, du ſouper & de tout ce qui regardoit le ſervice des tables;	premier Maître-d’Hôtel du Roi prit le soin de la colation, du souper et de tout ce qui regardait le service des tables;
& Monſieur Colbert comme Sur-Intendant des Baſtimens fit conſtruire & embellir les divers lieux deſtinez à ce divertiſſement royal, & donna les ordres pour l’execution des feux d’artifices.	et Monsieur Colbert comme Sur-Intendant des Bastiments fit construire et embellir les divers lieux destinez à ce divertissement royal, et donna les ordres pour l'exécution des feux d'artifices.
Le ſieur Vigarani eut ordre de dreſſer le theatre pour la Comedie;	Le sieur Vigarani eut ordre de dresser le théâtre pour la Comédie;
le ſieur Giſſey d’accommoder vn endroit pour le ſouper;	le sieur Gissei d'accommoder un endroit pour le souper;
& le ſieur le Vau premier Architecte du Roy, vn autre pour le bal.	et le si le Vau premier Architecte du Roi, un autre pour le bal.
Le Mercredy 18.	Le Mercredi 18.
jour de Iuillet le Roy eſtant party de Saint Germain vint diſner à Verſailles avec la Reine, Monſeigneur le Dauphin, Monſieur & Madame;	jour de Juillet le Roi étant parti de Saint Germain vint dîner à Versailles avec la Reine, Monseigneur le Dauphin, Monsieur et Madame;
Le reſte de la Cour eſtant arrivé incontinent aprés midy, trouva des Officiers du Roy qui faiſoient les honneurs & recevoient tout le monde dans les ſalles du Chaſteau où il y avoit en pluſieurs endroits des tables dreſſées & dequoy ſe rafraiſchir;	Le reste de la Cour étant arrivé incontinent après midi, trouva des Officiers du Roi qui faisaient les honneurs et recevaient tout le monde dans les salles du Château où il y avait en plusieurs endroits des tables dressées et dequoy se rafraîchir;
les principales Dames furent conduites dans des chambres particulieres pour ſe repoſer.	les principales Dames furent conduites dans des chambres particulières pour se reposer.
Sur les ſix heures du ſoir le Roy ayant commandé au Marquis de Geſvres Capitaine de ſes Gardes de faire ouvrir toutes les portes afin qu’il n’y euſt perſonne qui ne priſt part au divertiſſeA iij ment, ſortit du Chaſteau avec la Reine & tout le reſte de la Cour pour prendre le plaiſir de la promenade.	Sur les six heures du soir le Roi ayant commandé au Marquis de Gesvres Capitaine de ses Gardes de faire ouvrir toutes les portes afin qu'il n'y eût personne qui ne prît part au divertisseA jij ment, sortit du Château avec la Reine et tout le reste de la Cour pour prendre le plaisir de la promenade.
Quand leurs Majeſtez eurent fait le tour du grand parterre, elles deſcendirent dans celuy de gazon qui eſt du coſté de la grotte, où aprés avoir conſideré les fontaines qui les embelliſſent, Elles s’arreſterent particulierement à regarder celle qui eſt au bas du petit parc du coſté de la pompe.	Quand leurs Majectés eurent fait le tour du grand parterre, elles descendirent dans celui de gazon qui est du côté de la grotte, où après avoir considéré les fontaines qui les embellissent, Elles s'arrêtèrent particulièrement à regarder celle qui est au bas du petit parc du côté de la pompe.
Dans le milieu de ſon baſſin l’on voit vn dragon de bronze, qui percé d’vne fléche ſemble vomir le ſang par la gueule, en pouſſant en l’air vn boüillon d’eau qui retombe en pluye, & couvre tout le baſſin.	Dans le milieu de son bassin l'on voit un dragon de bronze, qui percé d'une flèche semble vomir le sang par la gueule, en poussant en l'air un bouxillon d'eau qui retombe en pluie, et couvre tout le bassin.
Autour de ce dragon il y a quatre petits Amours ſur des cignes qui font chacun vn grand jet d’eau & qui nagent vers le bord comme pour ſe ſauver:	Autour de ce dragon il y a quatre petits Amours sur des cygnes qui font chacun un grand jet d'eau et qui nagent vers le bord comme pour se sauver:
Deux de ces Amours qui ſont en face du dragon, ſe cachent le viſage avec la main pour ne le pas voir, & ſur leur viſage l’on apperçoit toutes les marques de la crainte parfaitement exprimées.	Deux de ces Amours qui sont en face du dragon, se cachent le visage avec la main pour ne le pas voir, et sur leur visage l'on apperçoit toutes les marques de la crainte parfaitement exprimées.
Les deux autres plus hardis parce que le monſtre n’eſt pas tourné de leur coſté, l’attaquent de leurs armes.	Les deux autres plus hardis parce que le montre n'est pas tourné de leur côté, l'attaquent de leurs armes.
Entre ces Amours ſont des Dauphins de bronze dont la gueule ouverte pouſſe en l’air de gros boüillons d’eau.	Entre ces Amours sont des Dauphins de bronze dont la gueule ouverte pousse en l'air de gros bouillons d'eau.
Leurs Majeſtez allerent enſuite chercher le frais dans ces bocquets ſi délicieux où l’épaiſſeur des arbres empeſche que le ſoleil ne ſe faſſe ſentir.	Leurs Majectés allèrent ensuite chercher le frais dans ces bocets si délicieux où l'épaisseur des arbres empêche que le soleil ne se fasse sentir.
Lors qu’Elles furent dans celuy dont vn grand nombre d’agreables allées forme vne eſpece de labyrinte, Elles arriverent aprés pluſieurs détours dans vn cabinet de verdure pentagone où aboutiſſent cinq allées.	Lors qu'Elles furent dans celui dont un grand nombre d'agréables allées forme une espèce de labyrinte, Elles arrivèrent après plusieurs détours dans un cabinet de verdure pentagone où aboutissent cinq allées.
Au milieu de ce cabinet il y a vne fontaine dont le baſſin eſt bordé de gazon.	Au milieu de ce cabinet il y a une fontaine dont le bassin est bordé de gazon.
De ce baſſin ſorcoient emq cables enmaniere de purets, chargées de toutes les choſes qui peuvent compoſer vne colation magnifique.	De ce bassin sorcaient emq cables enmanière de purets, chargées de toutes les choses qui peuvent composer une colation magnifique.
L’vne de ces tables repreſentoit vne montagne, où dans pluſieurs eſpeces de cavernes on voyoit diverſes ſortes de viandes froides:	L'une de ces tables représentait une montagne, où dans plusieurs espèces de cavernes on voyait diverses sortes de viandes froides:
L’autre eſtoit comme la face d’vn Palais baſty de maſſepains & paſtes ſucrées.	L'autre était comme la face d'autre Palais bâti de massepains et pâtes sucrées.
Il y en avoit vne chargée de pyramides de confitures ſeiches;	Il y en avait été chargée de pyramides de confitures seiches;
vne autre d’vne infinité de vaſes remplis de toutes ſortes de liqueurs;	une autre d'une infinité de vases remplis de toutes sortes de liqueurs;
& la derniere eſtoit compoſée de Caramels.	et la dernière était composée de Caramels.
Toutes ces tables dont les plans eſtoient ingenieuſement formez en divers compartimens, eſtoient couvertes d’vne infinité de choſes delicates, & diſpoſées d’vne maniere toute nouvelle;	Toutes ces tables dont les plans étaient ingénieusement formés en divers compartiments, étaient couvertes d'une infinité de choses délicates, et disposées d'une manière toute nouvelle;
leurs pieds & leurs doſſiers eſtoient environnez de feüillages meſlez de feſtons de fleurs, dont vne partie eſtoit ſoûtenuë par des Bacchantes.	leurs pieds et leurs dossiers étaient environnés de feuillages mêlés de festons de fleurs, dont une partie était soutenue par des Bacchantes.
Il y avoit entre ces tables vne petite plouſe de mouſſe verte qui s’avançoit dans le baſſin, & ſur laquelle on voyoit dans vn grand vaſe vn oran.	Il y avait entre ces tables écl petite plouse de mousse verte qui s'avançait dans le bassin, et sur laquelle on voyait dans un grand vase un oran.
ger dont les fruits eſtoient confits:	ger dont les fruits étaient confits:
chacun de ces orangers avoit à coſté de luy deux autres arbres de différentes eipeces, dont les fruits eſtoient pareillement confits.	chacun de ces orangers avait à côté de même deux autres arbres de différentes éjpeces, dont les fruits étaient pareillement confits.
Du milieu de ces Tables s’élevoit vn jet d’eau de plus de trente pieds de haut, dont la chûte faiſoit vn bruit tres-agreable:	Du milieu de ces Tables s'élevait un jet d'eau de plus de trente pieds de haut, dont la chute faisait un bruit très-agréable:
Deſorte qu’en voyant tous ces bufets d’vne meſme hauteur joints les vns aux autres par les branches d’arbres & les fleurs dont ils eſtoient reveſtus, il ſembloit que ce fuſt vne petite montagne du haut de laquelle ſortiſt vne fontaine.	Desorte qu'en voyant tous ces buffets d'une femme hauteur joints les uns aux autres par les branches d'arbres et les fleurs dont ils étaient revêtus, il semblait que ce fût une petite montagne du hauteurs de laquelle sortît une fontaine.
La paliſſade qui fait l’enceinte de ce cabinet eſtoit diſpoſée d’vne maniere toute particuliere:	La palissade qui fait l'enceinte de ce cabinet était disposée d'une manière toute particulière:
Le Iardinier ayant employé ſon induſtrie à bien ployer les branches des arbres & à les lier enſemble en diverſes façons, en avoit formé vne eſpece d’architecture.	Le Jardinier ayant employé son industrie à bien ployer les branches des arbres et à les lier ensemble en diverses façons, en avait formé une espèce d'architecture.
Dans le milieu du couronnement on voyoit vn ſocle de verdure ſur lequel il y avoit vn dé qui portoit vn vaſe remply de fleurs.	Dans le milieu du couronnement on voyait un socle de verdure sur lequel il y avait un dé qui portait un vase rempli de fleurs.
Au coſté du dé & ſur le meſme ſocle eſtoiefit deux autres vaies de fleurs ſleurs, & en cet endroit le haut de la paliſſade venant doucement à s’arrondir en forme de galbe, ſe terminoit aux deux extrémitez par deux autres vaſes auſſi remplis de fleurs.	Au côté du dé et sur le même socle étoiefit deux autres vaises de fleurs sleurs, et en cet endroit le haut de la palissade venant doucement à s'arrondir en forme de galbe, se terminait aux deux extrémités par deux autres vases aussi remplis de fleurs.
Au lieu de ſieges de gazon il y avoit tout au tour du cabinet des couches de melons dont la quantité, la groſſeur & la bonté eſtoit ſurprenante pour la ſaiſon.	Au lieu de sièges de gazon il y avait tout au tour du cabinet des couches de melons dont la quantité, la grosseur et la bonté était surprenante pour la saison.
Ces couches eſtoient faites d’vne maniere toute extraordinaire, & à bien conſiderer la beauté de ce lieu l’on auroit pû dire autrefois que les hommes n’auroient point eu de part à vn ſi bel arangement, mais que quelques Divinitez de ces bois auroient employé leurs ſoins pour l’embellir de la ſorte.	Ces couches étaient faites d'une manière toute extraordinaire, et à bien considérer la beauté de ce lieu l'on aurait pu dire autrefois que les hommes n'auraient point eu de part à un si bel arangement, mais que quelques Divinités de ces bois auraient employé leurs soins pour l'embellir de la sorte.
Comme il y a cinq allées qui ſe terminent toutes dans ce cabinet & qui forment vne étoile, l’on trouvoit ces allées ornées de chacun coſté de vingt-ſix arcades de cyprés.	Comme il y a cinq allées qui se terminent toutes dans ce cabinet et qui forment une étoile, l'on trouvait ces allées ornées de chacun côté de vingt-six arcades de cyprés.
Sous chaque arcade & ſur des ſieges de gazon il y avoit de grands vaſes remplis de divers arbres chargez de leurs fruits.	Sous chaque arcade et sur des sièges de gazon il y avait de grands vases remplis de divers arbres chargés de leurs fruits.
Dans la premiere de ces allées il n’y avoit que des orangers de Portugal.	Dans la première de ces allées il n'y avait que des orangers de Portugal.
La ſeconde eſtoit toute de bigarottiers & de ceriſiers meſlez enſemble.	La seconde était toute de bigartiers et de cerisiers mêlez ensemble.
La troiſiéme eſtoit bordée d’abricottiers & de peſchers.	La troisième était bordée d'abricottiers et de pêchers.
La quatriéme de groiſilliers de Hollande.	La quatrième de groisilliers de Hollande.
Et dans la cinquiéme l'on ne voyoit que des poiriers de differente eſpece.	Et dans la cinquième l'on ne voyait que des poiriers de différente espèce.
Tous ces arbres faiſoient vn agreable objet à la veuë, à cauſe de leurs fruits qui paroiſſoient encore davantage contre l’épaiſſeur du bois.	Tous ces arbres faisaient un agréable objet à la vue, à cause de leurs fruits qui paraissaient encore davantage contre l'épaisseur du bois.
Au bout de ces cinq allées il y a cinq grandes niches de verdure que l’on voit toutes en face du milieu du cabinet.	Au bout de ces cinq allées il y a cinq grandes niches de verdure que l'on voit toutes en face du milieu du cabinet.
Ces niches eſtoiens cintrées;	Ces niches estoiens cintrées;
& ſur les pilaſtres des coſtez s’élevoient deux rouleaux qui s’alloient joindre à vn quarré qui eſtoit au milieu.	et sur les pilastres des côtés s'élevaient deux rouleaux qui s'allaient joindre à un quarré qui était au milieu.
Dans ce quarré l’on voyoit les chiffres du Roy compoſez de differentes fleurs, & des deux coſtez pendoient des feſtons qui s’attachoient à l’extrémité des rouleaux.	Dans ce quarré l'on voyait les chiffres du Roi composés de différentes fleurs, et des deux côtés pendaient des festons qui s'attachaient à l'extrémité des rouleaux.
A coſté de la niche il y avoit deux arcades auſſi de verdure avec leurs pilaſtres d’vn coſté & d’autre;	À côté de la niche il y avait deux arcades aussi de verdure avec leurs pilastres d'un côté et d'autre;
& tous ces pilaſtres étoient terminez par des vaſes remplis de fleurs.	et tous ces pilastres étaient terminés par des vases remplis de fleurs.
Dans l’vne de ces niches eſtoit la figure du Dieu Jan, qui ayant ſur le viſage toutes les marques de la joye, ſembloit prendre part a celle de toute l’aſſemblée.	Dans l'une de ces niches était la figure du Dieu Jan, qui ayant sur le visage toutes les marques de la joie, semblait prendre part à celle de toute l'assemblée.
Le Sculpteur l’avoit diſpoſé dans vne action qui faiſoit connoiſtre qu’il eſtoit mis là, comme la Divinité qui preſidoit dans ce lieu.	Le Sculpteur l'avait disposé dans une action qui faisait connaître qu'il était mis là, comme la Divinité qui présidait dans ce lieu.
Dans les quatre autres niches il y avoit quatre Satyres deux hommes de deux ſemmes, Au ſortir de ce lieu le Roy rentrant dans vne caleſche, la Reine dans ſa chaiſe, & tout le reſte de la Cour dans leurs caroſſes pourſuivirent leur promenade pour ſe rendre à la Comedie, & paſſant dans vne grande allée de quatre rangs de tilleuls, firent le tour du baſſin de la fontaine des cygnes, qui termine l’allée royale vis à vis du chaſteau.	Dans les quatre autres niches il y avait quatre Satyres deux hommes de deux semmes, Au sortir de ce lieu le Roy rentrant dans assez calèche, la Reine dans sa chaise, et tout le reste de la Cour dans leurs carosses poursuivirent leur promenade pour se rendre à la Comédie, et passant dans une grande allée de quatre rangs de tilleuls, firent le tour du bassin de la fontaine des connes, qui termine l'allée royale vis à vis du château.
Ce baſſin eſt vn quarré long finiſſant par deux demi-ronds;	Ce bassin est un quarré long finissant par deux demi-ronds;
Sa longueur eſt de ſoixante toiſes ſur quarante de large.	Sa longueur est de soixante toises sur quarante de large.
Dans ſon milieu il y a vne infinité de qui tous ſembloient danſer & témoigner le plaiſir qu’ils reſſentoient de ſe voir viſitez par vn ſi grand Monarque ſuivy d’vne ſi belle Cour.	Dans son milieu il y a une infinité de qui tous semblaient danser et témoigner le plaisir qu'ils ressentaient de se voir visitez par un si grand Monarque suivi d'une si belle Cour.
Toutes ces figures eſtoient dorées & faiſoient vn effet admirable contre le verd de ces paliſſades.	Toutes ces figures étaient dorées et faisaient un effet admirable contre le verd de ces palissades.
Aprés que leurs Majeſtez eurent eſté quelque temps dans cet endroit ſi charmant, & que les Dames eurent fait colation, le Roy abandonna les Tables au pillage des gens qui ſuivoient, & la deſtruction d’vn arrangement ſi beau ſervit encore d’vn divertiſſement agreable à toute la Cour, par l’empreſſement & la confuſion de ceux qui démoliſſoient ces châteaux de maſſepain & ces montagnes de confitures.	Après que leurs Majectés eurent été quelque temps dans cet endroit si charmant, et que les Dames eurent fait colation, le Roi abandonna les Tables au pillage des gens qui suivaient, et la destruction d'un arrangement si beau servit encore d'un divertissement agréable à toute la Cour, par l'empressement et la confusion de ceux qui démolissaient ces châteaux de massepain et ces montagnes de confitures.
la jets d’eau, qui réünis enſemble font vne gerbe d’vne hauteur & d’vne groſſeur extraordinaire.	la jets d'eau, qui réunis ensemble font une gerbe d'une hauteur et d'une grosseur extraordinaire.
A coſté de la grande allée royale il y en a deux autres qui en ſont éloignées d’environ deux cens pas.	À côté de la grande allée royale il y en a deux autres qui en sont éloignées d'environ deux cens pas.
Celle qui eſt à droit en montant vers le Chaſteau s’appelle l’allée du Roy & celle qui eſt à gauche l’allée des prez.	Celle qui est à droit en montant vers le Château s'appelle l'allée du Roi et celle qui est à gauche l'allée des près.
Ces trois allées ſont traverſées par vne autre qui ſe termine à deux grilles qui font la cloſture du petit parc.	Ces trois allées sont traversées par une autre qui se termine à deux grilles qui font la clôture du petit parc.
Ces deux allées des coſtez & celle qui les traverſe ont cinq toiſes de large;	Ces deux allées des côtés et celle qui les traverse ont cinq toises de large;
mais à l’endroit où elles ſe rencontrent elles forment vn grand eſpace qui a plus de treize toiſes en quarré.	mais à l'endroit où elles se rencontrent elles forment un grand espace qui a plus de treize toises en quarré.
C’eſt dans cet endroit de l’allée du Roy que le ſieur Vigarani avoit diſpoſé le lieu de la Comedie.	C'est dans cet endroit de l'allée du Roi que le sieur Vigarani avait disposé le lieu de la Comédie.
Le Theatre qui avançoit vn peu dans le quarré de la place s’enfonçoit de dix toiſes dans l’allée qui monte vers le Chaſteau, & laiſſoit pour la Salle vn eſpace de treize toiſes de face ſur neuf de large.	Le Théâtre qui avançait un peu dans le quarré de la place s'enfonçait de dix toises dans l'allée qui monte vers le Château, et laissait pour la Salle un espace de treize toises de face sur neuf de large.
L’exhauſſement de ce Salon eſtoit de trente pieds juſques à la corniche, d’où les coſtez du plat-fond s’élevoient encore de huit pieds juſques au dernier enfoncement.	L'exhaussement de ce Salon était de trente pieds jusqu' à la corniche, d'où les côtés du plaît-fond s'élevaient encore de huit pieds jusqu' au dernier enfoncement.
Ileſtoit couvert de feüillée par dehors, & par dedans paré de riches tapiſſeries que le ſieur du Mets Intendant des meubles de ia Coufonne avoit pris ſoin de faire diſpoſer de la maniere la plus belle & la plus convenable pour la decoration de ce lieu.	Ilestoit couvert de feuillée par dehors, et par dedans par de riches tapisseries que le sieur du Mets Intendant des meubles de ja Couffonne avait pris soin de faire disposer de la manière la plus belle et la plus convenable pour la décoration de ce lieu.
Du haut du plat-fond pendoient trente-deux chandeliers de cryſtal portant chacun dix bougies de cire blanche.	Du haut du plat-fond pendaient trente-deux chandeliers de crystal portant chacun dix bougies de cire blanche.
Autour de la Sale eſtoient pluſieurs ſieges diſpoſez en amphitheatre remplis de plus de douze cent perſonnes;	Autour de la Sale étaient plusieurs sièges disposez en amphithéâtre remplis de plus de douze cent personnes;
& dans le parterre il y avoit encore ſur des bancs vne plus grande quantité de monde.	et dans le parterre il y avait encore sur des bancs une plus grande quantité de monde.
Cette Sale eſtoit percée par deux grandes arcades dont l’vne eſtoit vis-à-vis du Theatre & l’autre du coſté qui va vers la grande allée.	Cette Sale était percée par deux grandes arcades dont l'une était vis-à-vis du Théâtre et l'autre du côté qui va vers la grande allée.
L’ouverture du Theatre eſtoit de trenteſix pieds, & de chaque coſté il y avoit deux grandes colomnes torſes de bronze & de lapis environnées de branches & de feüilles de vigne d’or:	L'ouverture du Théâtre était de trentesix pieds, et de chaque côté il y avait deux grandes colomnes torses de bronze et de lapis environnées de branches et de feuilles de vigne d'or:
Elles eſtoient poſées ſur des pieds d’eſtaux de marbre, & portoient vne grande corniche auſſi de marbre dans le milieu de laquelle on voyoit les armes du Roy ſur vn cartouche doré accompagné de trophées;	Elles étaient posées sur des pieds d'étaux de marbre, et portaient une grande corniche aussi de marbre dans le milieu de laquelle on voyait les armes du Roi sur un cartouche doré accompagné de trophées;
l’architecture eſtoit d’ordre Ionique.	l'architecture était d'ordre Ionique.
Entre chaque colomne il y avoit vne figure:	Entre chaque colomne il y avait ap figure:
Celle qui eſtoit à droit repreſentoit la Paix, & celle qui eſtoit à gauche figuroit la Victoire, pour monſtrer que ſa Majeſté eſt toûjours en eſtat de faire que ſes peuples joüiſſent d’vne paix heureuſe & pleiner B iij d’abondance, en établiſſant le repos dans l'Furope, Où d’vne victoire glorieuſe & remplie de joye, quand Elle eſt obligée de prendre les armes pour ſoûtenir ſes droits.	Celle qui était à droit représentait la Paix, et celle qui était à gauche figurait la Victoire, pour montrer que sa Majesté est toujours en état de faire que ses peuples jouissent d'une paix heureuse et pleiner BINER iij d'abondance, en établissant le repos dans l'Furope, Où d'une victoire glorieuse et remplie de joie, quand Elle est obligée de prendre les armes pour saurait ses droits.
Lors que leurs Majeſtez furent arrivées dance lieu dont la grandeur & la magnificence ſurprit toute la Cour;	Lors que leurs Majectés furent arrivées dance lieu dont la grandeur et la magnificence surprit toute la Cour;
& quand Elles eurent pris leurs places ſur le haut Dais qui eſtoit au milieu du parterre, on leva la toile qui cachoit la decoration du Theatre:	et quand Elles eurent pris leurs places sur le haut Dais qui était au milieu du parterre, on leva la toile qui cachait la décoration du Théâtre:
& alors les yeux ſe trouvant tout-à-fait trompez, l’on crut voir effectivement vn jardin d’vne beauté extraor.	et alors les yeux se trouvant tout-à-fait trompés, l'on crut voir effectivement un jardin d'une beauté extraor.
dinaire.	dinaire.
A l’entrée de ce jardin l’on découvroit deux paliſſades ſi ingenieuſement moulées qu’elles formoient vn ordre d’architecture, dont la corniche eſtoit ſoûtenuë par quatre termes qui repreſentoient des Satyres.	À l'entrée de ce jardin l'on découvrait deux palissades si ingénieusement moulées qu'elles formaient un ordre d'architecture, dont la corniche était soutenue par quatre termes qui représentaient des Satyres.
La partie d’en-bas de ces termes, & ce qu’on appelle guaine eſtoit de jaſpe & le reſte de bronze doré.	La partie d'en-bas de ces termes, et ce qu'on appelle guaine était de jaspe et le reste de bronze doré.
Ces Satyres portoient ſur leurs teſtes des corbeilles pleines de fleurs:	Ces Satyres portaient sur leurs têtes des corbeilles pleines de fleurs:
Et ſur les pieds d’eſtaux de marbre qui ſoûtenoient ces meſmes termes, il y avoit de grands vaſes dorez auſſi remplis de ſteurs.	Et sur les pieds d'étaux de marbre qui soutenaient ces mêmes termes, il y avait de grands vases dorés aussi remplis de steurs.
Vn peu plus loin paroiſſoient deux terraſſes reveſtuës de marbre blanc qui environnoient yn long canal.	Un peu plus loin paraissaient deux terrasses revêtues de marbre blanc qui environnaient in long canal.
Aux bords de ces terranes il y avon des Marques dorez qui vonmoient de	Aux bords de ces terranes il y avon des Marques dorés qui vonmaient de
l’eau dans le canal, & au deſſus de ces maſques on voyoit des vaſes de bronze doré d’où ſortoient auſſi autant de veritables jets d’eau.	l'eau dans le canal, et au dessus de ces masques on voyait des vases de bronze doré d'où sortaient aussi autant de véritables jets d'eau.
