Extrait du Privilege du Roy.	Extrait du Privilège du Roi.
DAR Grace & Privilege du Roy, donné à Paris T le 30.	DAR Grâce et Privilège du Roi, donné à Paris T le 30.
Janvier 1693.	Janvier 1693.
Signé, Par le Roy en ſon Conſeil, GAMART.	Signé, Par le Roi en son Conseil, GAMART.
Il eſt permis à THOMAS GUILLAIN de faire imprimer, vendre & debiter les Oeuvres de Theâtre du Sieur P** pendant le temps de ſix années, à compter du jour qu’elles ſeront imprimées pour la premiere fois, pendant lequel temps tres-expreſſes inhibitions & deffenſes ſont faites à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de faire imprimer, vendre ni debiter leſdites Pieces de Theâtre d’autre Edition que de celle de l’expoſant ou de ceux qui auront droit de lui, à peine de trois mille livres d’amende, de confiſcation des Exemplaires contrefaits, & de tous depens, dommages & intereſts, & autres peines portées plus au long par leſdites Lettres de Privilege.	Il est permis à THOMAS GUILLAIN de faire imprimer, vendre et débiter les Oeuvres de Théâtre du Sieur P* pendant le temps de six années, à compter du jour qu'elles seront imprimées pour la première fois, pendant lequel temps très-expresses inhibitions et défenses sont faites à toutes personnes de quelque qualité et condition qu'elles soient, de faire imprimer, vendre ni débiter lesdites Pièces de Théâtre d'autre Édition que de celle de l'exposant ou de ceux qui auront droit de lui, peine de trois mille livres amende, de confiscation des Exemplaires qui, et de au dépens, dommages et intérêts, et à peine de trois mil par le Livres d' Amen.
Regiſtré ſur le Livre de la Communauté des Libraires & Imprimeurs de Paris, le 4.	Registré sur le Livre de la Communauté des Libraires et Imprimeurs de Paris, le 4.
d’Avril 1693.	d'Avril 1693.
Signé, P.	Signé, P.
AUBOUYN, Syndic.	AUBOUYN, Syndic.
Achevé d’imprimer pour la premiere fois, le 27.	Achevé d'imprimer pour la première fois, le 27.
Juin 1694.	Juin 1694.
E DLLLEEE EXTRAVAGANT.	E DLLEE EXTRAVAGANT.
COMEDIE.	COMÉDIE.
SGENEAREMREACE.	SGENEAREMREACE.
ORONTE, CHRISALTE.	ORONTE, CHRISALTE.
ORONTE en habit d’Armenien.	ORONTE en habit d'Arménien.
N un mot, Monſieur mon cher Chriſalte, depuis deux ans que vous n’avez reçu de mes nouvelles, & que je paſſe pour mort dans ma Famille, l’entêtement que ma Femme a toujours eu pour les ſpectacles a dégeneré en folie.	N un mot, Monsieur mon cher Chrisalte, depuis deux ans que vous n'avez reçu de mes nouvelles, et que je passe pour mort dans ma Famille, l'entêtement que ma Femme a toujours eu pour les spectacles a dégénéré en folie.
CHRISALTE.	CHRISALTE.
Pourquoi donc la tant ménager?	Pourquoi donc la tant ménager?
pourquoi ce déguiſement, & que ne faitesvous l’éclat qu’elle merite?	pourquoi ce déguisement, et que ne faitesvous l'éclat qu'elle mérite?
ORONTE.	ORONTE.
Un éclat feroit évader ces deux favoris, dont elle eſt la vache à lait depuis longtemps, & dont je veux mé ſaiſir aujourd’hui, ſi je puis.	Un éclat ferait évader ces deux favoris, dont elle est la vache à lait depuis longtemps, et dont je veux mé saisir aujourd'hui, si je puis.
CHRISALTE.	CHRISALTE.
Et de quel droit vous en ſaiſir?	Et de quel droit vous en saisir?
ORONTE.	ORONTE.
Comment de quel droit?	Comment de quel droit?
il y a plus d’un mois qu’ils ſont logez & nourris ceans comme de grands Seigneurs pour leurs pretenduës qualitez, l’un de Maiſtre à danſer, l’autre de Muſicien & de Poëte.	il y a plus d'un mois qu'ils sont logés et nourris céans comme de grands Seigneurs pour leurs prétendues qualités, l'un de Maître à danser, l'autre de Musicien et de Poète.
CHRISALTE.	CHRISALTE.
Peut-être le ſont-ils veritablement.	Peut-être le sont-ils véritablement.
ORONTE.	ORONTE.
Point du tout.	Point du tout.
Il y en a un au contraire que l’on ſoupçonne de n’être qu’un miſerable valet de quelque malheureux Officier de Cavallerie, qui cherche peut-être des duppes pour faire ſa Compagnie, & vous voulez que je ſouffre que cette folle ruine mes filles.	Il y en a un au contraire que l'on soupçonne de n'être qu'un misérable valet de quelque malheureux Officier de Cavallerie, qui cherche peut-être des dupes pour faire sa Compagnie, et vous voulez que je souffre que cette folle ruine mes filles.
CHRISALTE.	CHRISALTE.
Eſt-ce les ruiner que de les faire bier clever, que de leur donner des Maiſtres.	Est-ce les ruiner que de les faire bier clever, que de leur donner des Maîtres.
ORONTE.	ORONTE.
Mais ces Maiſtres ſupoſez, luy ont mis.	Mais ces Maîtres suposés, lui ont mis.
dans la teſte d’entreprendre un Opera, pour l’aller promener dans les Provinces.	dans la tête d'entreprendre un Opera, pour l'aller promener dans les Provinces.
CHRISAEIE.	CHRISAEIE.
Ho certes.	Ho certes.
ORONTE.	ORONTE.
N’eſt-ce pas le grand chemin de diſſiper en moins d’une année le peu de bien que mes travaux & mes voyages m’ont fait amaſſer dans l’eſperance de marier avantageulement mes mies?	N'est-ce pas le grand chemin de dissiper en moins d'une année le peu de bien que mes travaux et mes voyages m'ont fait amasser dans l'espérance de marier avantageulement mes mies?
Helas!	Hélas!
vous connoiſſez la Famille de Clitandre & de Dorante.	vous connaissez la Famille de Clitandre et de Dorante.
CHRISALTE.	CHRISALTE.
Comme la vôtre, pourquoi?	Comme la vôtre, pourquoi?
ORONTE.	ORONTE.
Ils recherchoient mes filles, j’en étois ravi, & ſans mon malheureux voyage.	Ils recherchaient mes filles, j'en étais ravi, et sans mon malheureux voyage.
CHRISALTE.	CHRISALTE.
Je vois bien.	Je vois bien.
Mais vous voila de retour à propos, vous y ſerez encore en temps.	Mais vous voilà de retour à propos, vous y serez encore en temps.
ORONTE.	ORONTE.
Je ne ſçai.	Je ne sais.
CHRISALTE.	CHRISALTE.
Mais qui vous en a déja tant appris, & comment ſçavez-vous que vôtre femme fait des dépenſes & des diſſipations?	Mais qui vous en a déjà tant appris, et comment savez-vous que votre femme fait des dépenses et des dissipations?
ORONTE.	ORONTE.
