A PARIS.	À PARIS.
Par Claude Percheron, ruë Galende aux trois Chappelets.	Par Claude Percheron, rue Galende aux trois Chapelets.
1611.	1611.
Auec permiſion de la Cour.	Avec permision de la Cour.
A LANINE.	À LANINE.
2 MM Le Soſeil eſclattant de voſt Auguſte Majeſté, a tellemẽt rauy ſon amour vn chàcun de vos hũbles ſubjet.	2 MM Le Soseil esclattant de vost Auguste Majesté, a tellement ravi son amour un chacun de vos hôbles sujet.
qu’iceux eſtans du tout retenus ſoubs l’agre:	qu'iceux étant du tout retenus sous l'agre:
ble fardeau de vos loix ſe perſuadent fac lement qu’il n’y a rien tant difficile qu’ils n puiſſent ſurmonter ſoubs la faueur de voſti puiſſance:	blé fardeau de vos lois se persuadent fac lement qu'il n'y a rien tant difficile qu'ils n puissent surmonter sous la faveur de vosti puissance:
De ſorte que non ſeulement le Chefs plus remarquables de voſtre Royau me ont leur principal appuy ſur la fermeté d la grãdeur de voſtre courage plus que Roya?	De sorte que non seulement le Chefs plus remarquables de votre Royau me ont leur principal appui sur la fermeté d la grãdeur de votre courage plus que Roia?
Mais encore les plus baſſes perſonnes & d moindre qualité, volontiers ſe repoſent à l’õ rage de voſtre Majeſté, s’aſſeurant par le noyen d’icelle de vaincre toute rencontre ennemye tant au corps qu’à l’eſprit.	Mais encore les plus basses personnes et d oindre qualité, volontiers se reposent à l'ils rage de votre Majesté, s'assurant par le noyen d'icelle de vaincre toute rencontre ennemie tant au corps qu'à l'esprit.
Pour ceſte raiſon trois ieunes Paſteurs non moins ffectionnez au bon-heur de voſtre Royaune, que zelez au bien de leurs petits trouppeaux, eſtans outre meſure attriſtez ſur la mort de leur Maiſtre, & quaſi comme oublieux de leur condition, deſirẽt retenir auec voſtre conſtance vne bonne partie de leurs larmes, & temperer leurs regrets par la valeur de voſtre admirable vertu.	Pour cette raison trois jeunes Pasteurs non moins ffectionnez au bonheur de votre Royaune, que zélé au bien de leurs petits troupeaux, étant outre mesure attristez sur la mort de leur Maître, et quasi comme oublieux de leur condition, desirẽt retenir avec votre constance une bonne partie de leurs larmes, et tempérer leurs regrets par la valeur de votre admirable vertu.
La bien-vueillance accouſtumée de voſtre Majeſté ne leur promet autre choſe que toute douceur & bon accueil, ny moins à celuy qui eſt	La bienveillance accoutumée de votre Majesté ne leur promet autre chose que toute douceur et bon accueil, ni moins à celui qui est
Veſtre treſ-hamble, treſ-obey ſſant, & treſ-obligé ſubject,	Vêtre très-hamble, très-obéi ssant, et très-obligé sujet,
SE ne doubte point ( Amy Lecteur) que la morble) dente cenſure de certains critiques ne doibue ſindicquer noſtre trauail.	SE ne doute point ( Ami Lecteur) que la morble) denté censure de certains critiques ne doibue sindicquer notre travail.
Expoſant aux yeux de la France & luy rafraichiſſant la memoire de ce qu’il luy couſte ſi cher, donnant ceſt annuel à Dieu, aux cendres, & à la memoire de ce Monarque que la peſte de la France allaictee des mammelles de l’Enfer & nourrie en ſon giron nous a rauy, & que legitimement tu ne diſt auec raiſon Quis talia fando.	Exposant aux yeux de la France et ainsi rafraîchissant la mémoire de ce qu'il lui coûte si cher, donnant cette annuel à Dieu, aux cendres, et à la mémoire de ce Monarque que la peste de la France allaite des mamelle de l'Enfer et nourrie en son giron nous a ravi, et que légitimement tu ne dît toujours raison Quis talia fando.
Temperet à lach rymis?	Tempèret à léch rymis?
