SUJET GENERAL DES PYGMEES.	SUJET GÉNÉRAL DES PYGMÉS.
I le charme de la Nouveauté ſurpaſſe tous les autres, en toutes choſes;	I le charme de la Nouveauté surpasse tous les autres, en toutes choses;
je le puis bien dire apres Ovide, & toute la Terre en demeure d’accord) l’entrepriſe des Pygmées doit plaire à tout le monde, puis qu’on y trouvera non ſeulement la Nouveauté, mais encore tous les autres charmes qui ſervent à faire les plus agréables & les plus nobles plaiſirs du Siecle.	je le puis bien dire après Ovide, et toute la Terre en demeure d'accord) l'entreprise des Pygmées doit plaire à tout le monde, puis qu'on y trouvera non seulement la Nouveauté, mais encore tous les autres charmes qui servent à faire les plus agréables et les plus nobles plaisirs du Siècle.
La Comedie en est le fondement.	La Comédie en est le fondement.
L’Heroïque y eſt tres-bien ſouſtenu.	L'Héroïque y est très-bien soutenu.
Le Riſible n’en dément point la Majeſté par la baſſeſſe à laquelle on le voit ordinairement s’allier;	Le Risible n'en dément point la Majesté par la bassesse à laquelle on le voit ordinairement s'allier;
& le Galant, qui enchaiſne l’un & l’autre, fait de ces differens caracteres l’aſſemblage le plus charmant & le plus judicieux qu’on ait veu depuis long-temps.	et le Galant, qui enchaîne l'un et l'autre, fait de ces différents caractères l'assemblage le plus charmant et le plus judicieux qu'on ait vu depuis longtemps.
Ce ſont trois beautez en une;	Ce sont trois beautés en une;
la Greque, la Romaine & la Françoiſe.	la Greque, la Romaine et la Française.
Les Spectacles pompeux, les Machines toutes ſurprenantes, les Decorations magnifiques, les Habits extremement propres, les agrémens de Muſique & de Dances, autant qu’il y en doit avoir, en ſont les ſuperbes ornemens.	Les Spectacles pompeux, les Machines toutes surprenantes, les Décorations magnifiques, les Habits extrêmement propres, les agrémens de Musique et de Dances, autant qu'il y en doit avoir, en sont les superbes ornements.
Si des plus illuſtres Genies de l’Antiquité, Homere, Ariſtote, Strabon, Pline, & Olaus, n’ont pas dédaigné d’écrire l’Hiſtoire de ces Peuples, il n’eſt pas indigne d'un eſprit vif & brillant de ce Royaume, d’avoir déterré cette Nation des montagnes des Indes Orientales, pour la faire ſervir aux délaſſemens du plus grand Monarque qui ait jamais eſté, & aux plaiſirs innocens de ſes Sujets.	Si des plus illustres Génies de l'Antiquité, Homère, Aristote, Strabon, Pline, et Olaus, n'ont pas dédaigné d'écrire l'Histoire de ces Peuples, il n'est pas indigne d'un esprit vif et brillant de ce Royaume, d'avoir déterré cette Nation des montagnes des Indes Orientales, pour la faire servir aux délassements du plus grand Monarque qui ait jamais été, et aux plaisirs innocents de ses Sujets.
Que leur petiteſſe ne les faſſe point mépriſer, ils feront tout ce que des Geans feroient, & peut-estre avec meilleure grace.	Que leur petitesse ne les fasse point mépriser, ils feront tout ce que des Géants feraient, et peut-être avec meilleure grâce.
Jls ſouſtiendront außi bien leur merite contre les ignorans & les injuſtes critiques, qu’ils feront leur pays & leur liberté contre les Gruës, avec qui ils ont toûjours eû la guerre.	Ils soutiendront aussi bien leur mérite contre les ignorants et les injustes critiques, qu'ils feront leur pays et leur liberté contre les Grues, avec qui ils ont toujours eu la guerre.
On diroit à tort que nos Pygmées ſont des corps ſans ames;	On dirait à tort que nos Pygmées sont des corps sans âmes;
ils en ont trois pour une, & d’außi raiſonnables qu’il en faut pour ce qu’ils ont à faire.	ils en ont trois pour une, et d' aussi raisonnables qu'il en faut pour ce qu'ils ont à faire.
