mniluil du Prveuca duxcer.	mniluil du Préveuca duxcer.
DAR Grace & Privilege du Roy, donné à paTris le trentiéme jour de Janvier 1693.	DAR Grâce et Privilège du Roi, donné à payTris le trentième jour de Janvier 1693.
Signé, Par le Roy en ſon Conſeil, GAMART.	Signé, Par le Roi en son Conseil, GAMART.
Il eſt permis à THOMAS GUILLAIN de faire imprimer vendre & debiter les Oevres de Theatre du Sieuri P**.	Il est permis à THOMAS GUILLAIN de faire imprimer vendre et débiter les Oèvres de Théâtre du Sieur P*.
pendant le temps de ſix années, à compter du jour qu’elles ſeront imprimées pour la premiere fois, pendant lequel temps tres-expreſſes inhibitions & défenſes à toutes perſonnes de quelque qualité & condition qu’elles ſoient, de faire imprimer, vendre ny debiter leſdites Pieces de Theâtre d’autre Edition que celle de l’expoſant, ou de ceux qui auront droit de lui, à peine de trois mil livres d’amende, payable ſans déports par, chacun des contrevenans, de confiſcation des Exemplaires contrefaits, & de tous dépens, dommages & intereſts, & autres peines portées plus au long par leſdites Lettres de Privilege.	pendant le temps de six années, à compter du jour qu'elles seront imprimées pour la première fois, pendant lequel temps très-expresses inhibitions et défenses à toutes personnes de quelque qualité et condition qu'elles soient, de faire imprimer, vendre mieux débiter lesdites Pièces de Théâtre d'autre Édition que celle de l'exposant, ou de ceux qui auront droit de lui, à peine de trois mille livres d'amende, payable sans déports par, chacun des contrevenants, de confiscation des Exemplaires contrefaits, et de tous dépens, dommages et de, et autres dé portées et au long par lesdites Lettres , ô.
Regiſtre jur te Erbre ne ta Commnavie des Im primeurs & Libraires de la ville de Paris, le 4.	Registre jur te Erbre ne ta Commavie des Im primeurs et Libraires de la ville de Paris, le 4.
dAvril 1693.	dAvril 1693.
Signé P.	Signé P.
AUBOUIN, Syndic.	AUBOUIN, Syndic.
Achevé d’imprimer pour la premiere fois, le 23.	Achevé d'imprimer pour la première fois, le 23.
Decembre 1694.	Décembre 1694.
ACTEURS.	ACTEURS.
Mr GRIFON.	Mr GRISON.
Pere de Valere.	Père de Valère.
LEONORE.	LEONORE.
Mr MATHIEU.	Mr MATHIEU.
CAPIN, Valet de Valere.	CAPIN, Valet de Valère.
MARINE, Servante de Mad.	MARINE, Servante de Mad.
Argante.	Argante.
LA	LA
LA SERENADE, COMIEDIC.	LA SÉRÉNADE, COMIEDIC.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Mr MATHIEU, MARINE.	Mr MATHIEU, MARINE.
MARINE.	MARINE.
E vous dis encor une fois que Madame n’eſt pas au logis, & qu’il faut que vous reveniez ſi vous voulez luy parler.	E vous dis encor une fois que Madame n'est pas au logis, et qu'il faut que vous reveniez si vous voulez lui donc.
Mr MATHIEU.	Mr MATHIEU.
A la bonne heure, je reviendray.	À la bonne heure, je reviendrai.
Cependant Marine, dis luy que j’ay vendu un colier à la perſonne qui doit épouſer Mademoilelle ſa fille.	Cependant Marine, dis avait que j'ai vendu un collier à la personne qui doit épouser Mademoilelle sa fille.
MARINE.	MARINE.
Je voudrois, Monfieur Mathieu, que vous fuſſiez étranglé par voſtre gorge.	Je voudrais, Monfieur Mathieu, que vous fussiez étranglé par votre gorge.
avec voſtre diantre de colier.	avec votre diantre de collier.
C’eſt dont vous qui vous eſtes meſlé de cette affaire?	C'est dont vous qui vous êtes mêlé de cette affaire?
ne devriez-vous pas ſonger que les mariages legitimes ne ſont point de voſtre competence.	ne devriez-vous pas songer que les mariages légitimes ne sont point de votre compétence.
Un courtier d’uſure, comme vous, ne doit s’intriguer que d’affaires de contrebande, & laiſſer les honneſtes filles en repos.	Un courtier d'usure, comme vous, ne doit s'intriguer que d'affaires de contrebande, et laisser les honnêtes filles en repos.
Mr MATHIEU.	Mr MATHIEU.
A Dieu ne plaiſe, ma pauvre Marine, qu’on voye jamais aucun vray mariage de ma façon.	À Dieu ne plaise, ma pauvre Marine, qu'on voie jamais aucun vrai mariage de ma façon.
