RCIDVAS.	RCIDVAS.
ASTASE, Comte & Prefet de l’Empereur.	ASTASE, Comte et Préfet de l'Empereur.
FRITIGILE, Reyne des Marcomans, fille d’un Roy de Mauravie.	FRITIGILE, Reine des Marcomants, fille d'un Roi de Mauravie.
ERVAIJ PROTHAIS, Freres Chrétiens.	ERVAIJ PROTHAIS, Frères Chrétiens.
Hquauid Aſtaſe.	Hquavid Astase.
TYRIDATE, Confident d’Aſtaſe.	TYRIDATE, Confident d'Astase.
THRASEE, Capitaine des Romains, promis à la seur d’Aſtaic.	THRASE, Capitaine des Romains, promis à la sûr d'Astaic.
Troupes de Soldats.	Troupes de Soldats.
La SCENE eſt prés de Milan, dans le Camp d’Aſtaſe.	La SCÈNE est près de Milan, dans le Camp d'Astase.
LE	LE
LE MARTYRE DE SAINT GERVAIS POEME DRAMATIQVE.	LE MARTYRE DE SAINT GERVAIS POÈME DRAMATIQUE.
ACTE I.	ACTE I.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ASTASE, TYRIDATE.	ASTASE, TYRIDATE.
ASTASE.	ASTASE.
RUELLE ambition, qu’un vain eſpoir m’inſpire;	RUELLE ambition, qu'un vain espoir m'inspire;
Deſirs audacieux, d’uſurper un Empire, Où le ſang ne me donne aucun droit de regner;	Désirs audacieux, d'usurper un Empire, Où le sang ne me donne aucun droit de régner;
Faites que j’y renonce, ou pour le dédaigner, Cachez à mon orgueil qu’il a trop de foibleſſe, Pour m’élever au Trône où Ceſar s’intereſſe, Et que pour des raiſons, ou d’Amour ou d’Eſtat, Combatre injuſtement, c’eſt faire un attentat, Puiſqu’aufſi-bien les Dieux ont fait taire l’Oracle, Ie vois dans leur ſilence un invincible obſtacle Qui me dit que le Ciel, juſtement irrité;	Faites que j'y renonce, ou pour le dédaigner, Cachez à mon orgueil qu'il a trop de faiblesse, Pour m'élever au Trône où César s'intéresse, Et que pour des raisons, ou d'Amour ou d'État, Combatre injustement, c'est faire un attentat, Puisqu'aussi-bien les Dieux ont fait taire l'Oracle, Je vois dans leur silence un invincible obstacle Qui me dit que le Ciel, justement irrité;
Trouve dans mes projets trop de temerité?	Trouve dans mes projets trop de témérité?
Etouffe donc Orgueil tant de vaines idées,	Étouffe donc Orgueil tant de vaines idées,
Dont les Ames des Grands ſont toûjours poſſedées;	Dont les Âmes des Grands sont toujours possédées;
Dés que d’un vain eſpoir les boüillantes ardeurs Leur ouvrent vn paſſage au faiſte des Grandeurs;	Dès que d'un vain espoir les bouillantes ardeurs Leur ouvrent un passage au faîte des Grandeurs;
Qu'ay-je fait au deſtin pour m’eſtre inexorable, Luy, qui juſques icy me fut ſi tavorable?	Qu'ai-je fait au destin pour m'être inexorable, Lui, qui jusques ici me fut si tavorable?
Faut-il qu’en ſes rigueurs toûjours capricieux, Il me nie aujourd’huy le ſecours de nos Dieux;	Faut-il qu'en ses rigueurs toujours capricieux, Il me nie aujourd'hui le secours de nos Dieux;
Leurs ay-je refuſé de leur rendre l’hommage, Tel que ces De’̈tez veulent d’un grand courage;	Leurs ai-je refusé de leur rendre l'hommage, Tel que ces De ̈tez veulent d'un grand courage;
