AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
AR grace & Priuilege du Roy donné à Paris, le 8.	AR grâce et Privilège du Roi donné à Paris, le 8.
1 iour de Feurier 1639.	1 jour de Février 1639.
Signé par le Roy, en ſon Conſeil de Monçeaux.	Signé par le Roi, en son Conseil de Moneaux.
Il eſt permis à ANTOINE DE SOMMAVILLE, Marchand Libraire à Paris, d’Imprimer ou faire Imprimer, vendre & diſtribuer vne piece de Theatre Intitulee, Le Rauiſſement de Proſerpine, Tragedie, Par le Sieur de CLAVERET, durant le temps de cinq ans à compter du iour qu’elle ſera acheuee d’Imprimer?	Il est permis à ANTOINE DE SOMAUILLE, Marchand Libraire à Paris, d'Imprimer ou faire Imprimer, vendre et distribuer une pièce de Théâtre Intitulee, Le Ravissement de Proserpine, Tragédie, Par le Sieur de CLAUERÉT, durant le temps de cinq ans à compter du jour qu'elle sera achève d'Imprimer?
Et deffences ſont faictes à tous Imprimeurs, Libraires, & autres de contrefaire ladite piece, ny en vendre ou expoſer en vente de contrefaicte, à peine aux contreuenans de trois mille liures d’amendes, & de tous ſes deſpeſis, domifages de mtcrcits, amir qu’il eſt plus au long porté par leſdites lettres quiſont en vertu du preſent Extraict, tenuës pour bien & deuëment ſignifiees, à ce qu’aucun n’en pretende cauſe d’ignorance.	Et défenses sont faites à tous Imprimeurs, Libraires, et autres de contrefaire ladite pièce, une en vendre ou exposer en vente de contrefaite, à peine aux contrevenants de trois mille livres d'amendes, et de tous ses dépesis, domages de mcrits, amir qu'il est plus au long porté par lesdites lettres quisont en vertu du présent Extrait, tenues pour bien et deuëment signifie, à ce qu'aucun n'en prétende cause d'ignorance.
Acheué d'imprimer pour la premiere fois, le 12.	Achevé d'imprimer pour la première fois, le 12.
Feurier mil ſix cens trente neuf.	Février mil six cens trente neuf.
T	T
E L N.	ET L N.
ELECTRE.	ÉLECTRE.
La ſcene eſt au Ciel, en la Sicile & aux enfers, ou l'imagination du lecteur ſe peut repreſenter vne certaine eſpece d’vnité de lieu, les conceuant comme vne ligne perpendiculaire du ciel aux enfers.	La scène est au Ciel, en la Sicile et aux enfers, ou l'imagination du lecteur se peut représenter une certaine espèce d'vnité de lieu, les concevant comme une ligne perpendiculaire du ciel aux enfers.
A MONSEIGNEVR MESSIRE CLAVDE DE BVLLION, Cheualier, Conſeiller du Roy en ſes Conſeils, Preſident enſa Cour de Pailement, ſurIntendant des Finances, Mines, & Minieres de France, &c.	À MONSEIGNEUR MESSIRE CLAUDE DE BULLION, Chevalier, Conseiller du Roi en ses Conseils, President ensa Cour de Pailement, surIntendant des Finances, Mines, et Minières de France, etc.
