2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
al dn m Mo,	al dn m Mo,
LE Y.	LE Y.
56o41 Q O ROM V A TEMPS.	56o41 Q Ô ROM V A TEMPS.
Tragicomedſe.	Tragicomédse.
tN .	tN .
.	.
PAR LE S DE RICHEMCME Banchereeu;	PAR LE S DE RICHÉMCE Banchereeu;
Adnocas en Parlepiens.	Adnocas en Parlepiens.
21 PARIS, S 2 Chez CLAVDE CGLLET, au Palais, en la gailerie 2* des Driſan 2- A l'EA-H PE- 2hia	21 PARIS, S 2 Chez CLAUDE CGLET, au Palais, en la gagnerie 2* des Drisan 2- A l'EA-H É- 2hia
5 I Le courage qui m'eſt neceſſaire n en vous dédiant cét ouurage, n'eſt pas, à mon aduis, vne temerité, puiſque le Ciel eſt bien content des hommages de la terre, & ſi vous n'eſtiez vous-meſme voſtre renommee, neuf vierges ſi glorieuſes n’abandonneroient pas les careſſes d'vn dieu pour iouyr des voſtres.	5 I Le courage qui m'est nécessaire n' en st dédiant cet ouvrage, n'est pas, à mon avis, une témérité, puisque le Ciel est bien content des hommages de la terre, et si vous n'étiez vous-même vôtre renommée, neuf vierges si glorieuses n'abandonneraient pas les caresses d'un dieu pour jouir des vôtres.
Ie ſçay bien que ſi i'eſtois flateur, ie vous prendrois peut-eſtre pour tel, mais ie ſçay bien außi qu'apres vos faueurs ie pourrois encor esperer.	Je sais bien que si j'étais flatteur, je vous prendrais peut-être pour tel, mais apprendre sais bien aussi qu'après vos faveurs personne pourrais encor espérer.
Vn vertueux ſe mocque de tous ces efforts d’esprit, en ces chaleurs d’e	Un vertueux se moque de tous ces efforts d'esprit, en ces chaleurs d'e
A MONSEIGNEVR AVTONSLICNCEVN 1 LE CONTE DE FIASQVE.	À MONSEIGNEUR AVTONSLICNCEVN 1 LE CONTE DE FIASQUE.
ONSEIGNEVR, loquence, qui par leurs loüanges imaginaires offencent quaſi tout ce qu’ils ayment.	ONSEIGNEUR, loquence, qui par leurs langes imaginaires offensent quasi tout ce qu'ils aiment.
Les plus fameux eſcriuains ne font quaſt iamais bien que dans ce mal du temps, où les bons yeux veulent außi-bien eſtre aueugles, que les aueugles deſirent de voir.	Les plus fameux écrivains ne font quast jamais bien que dans ce mal du temps, où les bons yeux veulent aussi-bien être aveugles, que les aueugles désirent de voir.
Pour moy, quand ma naiſſance & mon humeur ne m'interdiroient pas les choſes baſſes, ie n'oſerois en penſant à vous tomber dans ces deffaux:	Pour moi, quand ma naissance et mon humeur ne m'interdiraient pas les choses basses, quelque n'oserais en pensant à vous tomber dans ces défauts:
& crois que ſi ie vous appellois HOMME, ma loüange vous ſeroit plus glorieuſe que tant de complaiſances ridicules, par où des hommes ſont nommez Dieux.	et crois que si je vous appelais HOMME, ma louange vous serait plus glorieuse que tant de complaisances ridicules, par où des hommes sont nommez Dieux.
Ie n'ay que faire d’animer les fables, puiſque ce beau naturel que la nature In à pas compoſé, deſcouure à tout le monde tant de belles veritez en l’honneur deſquelles, comme le Ciel ya intereſt, außi m’a-t’il donné le deſſein de vous faire des preſens vn peu plus hauts que les terreſtres, qui ne ſeroient pas pourtant d’vne qualité ſi noble, ſinon qu'ils ſeruent de prix a vn merite qui n’en a point.	Je n'ai que faire d'animer les fables, puisque ce beau naturel que la nature In a fin composé, découvre à tout le monde tant de belles vérités en l'honneur desquelles, comme le Ciel ya intérêt, aussi m'a-t-il donné le dessein de vous faire des présents un peu plus hauts que les terrestres, qui ne seraient pas pourtant d'une qualité si noble, sinon qu'ils servent de prix a témérite qui n'en a point.
Que ſi cette gloire eſt legitime, elle ne ſera pas Aſtres ſont offenſeZ par le croaſſement des grenoüilles.	Que si cette gloire est légitime, elle ne sera pas Astres sont offensez par le croassement des grenouilles.
Il eſt bien vray, MONSEIGNEVR, que n'ayant encor pour vous que la liberté des ſouhaits, te ſerois bien aize que vous ſceußieZ que, referuè l’honneur de voſtre bien-veillance, i'ay acquis tout ce qu’il faut pour vous faire voir par des vertus plus viues & des ſeruices plus genereux que ie meriteray quand il vous plaira l’eſtime que te fais d’eſtre,	Il est bien vrai, MONSEIGNEUR, que n'ayant encor pour vous que la liberté des souhaits, te serais bien aize que vous sceussieZ que, réservez l'honneur de votre bien -veillance, j'ai acquis tout ce qu'il faut pour vous faire voir par des vertus plus vives et des services plus généreux que ie meriteray quand il vous plaira l'estime que te fais d'être,
Voſtre, DE RICHEMONT BANCHEREAV.	Votre, DE RICHEMONT BANCHÉREAU.
nce	née
ADVERTISSEMENT AV LECTEVR.	ADVERTISSEMENT AU LECTEUR.
ECTEVR, ce n’eſt pas cecy l’effort que i’auois promis à ton eſprit:	ECTEUR, ce n'est pas ceci l'effort que j'avais promis à ton esprit:
Ie n’ay point ozé en faire de peur de deplaite à mon humeur, qui prefere naturellement le diuertiſſement à la peine;	Je n'ai point osé en faire de peur dé plaite à mon humeur, qui préfère naturellement le divertissement à la peine;
& n’ay pas encor reſolu de te faire paroiſtre ce que ie puis que dans vn troiſieſme ouurage de pieces vn peu choiſies, ſur lequel ſeulement i’eſtabliray le renom qu’on donne aux belles choſes quand elles ont l’honneur d’eſtre bonnes.	et n'ai pas encor résolu de te faire paraître ce queris puis que dans un troisième ouvrage de pièces un peu choisies, sur lequel seulement j'établirai le renom qu'on donne aux belles choses quand elles ont l'honneur d'être bonnes.
Cette piece a des deffaux que ie cognois, mais on les a trouuez auſſi beaux que celles que la gloire a receuës de ſes propres fauoris.	Cette pièce a des défauts que je connais, mais on les a trouvez aussi beaux que celles que la gloire a reçues de ses propres favoris.
Il eſt facile à voir dans ma compoſition que ma main ne veut trauailler que dans le repos de mon eſprit.	Il est facile à voir dans ma composition que ma main ne veut travailler que dans le repos de mon esprit.
