TRAGEDIE ORNEE DE MACHINES, & de Muſique.	TRAGÉDIE ORNÉE DE MACHINES, et de Musique.
Par T.	Par T.
CORNEILLE.	CORNEILLE.
Repreſentée par la Troupe du Ro établie au Fauxbourg S.	Représentée par la Troupe du Ro établie au Fauxbourg S.
Germain.	Germain.
ES grandes Conqueſtes du Roy, & les importantes Victoires qu’il a remportées ſur ſes Ennemis, ayant mis la gloire de la France au plus haut point où elle ait jamais eſté, tout le monde a tâché à l’envy d’en témoigner ſa joye en diférentes occaſions, ou par des Réjoüiſſances particulieres, ou par des Divertiſſemens publics.	ES grandes Conquêtes du Roi, et les importantes Victoires qu'il a remportées sur ses Ennemis, ayant mis la gloire de la France au plus haut point où elle ait jamais été, tout le monde a tâché à l'envi d'en témoigner sa joie en dierentes occasions, ou par des Réjouissances particulières, ou par des Divertissements publics.
C’eſt ce qui a donné lieu à ces admirables Feux d’Artifice qui ont atriré tout Paris les années dernieres;	C'est ce qui a donné lieu à ces admirables Feux d'Artifice qui ont atriré tout Paris les années dernières;
& c’eſt ce qui le donne encor aujourd’huy aux Comédiens de la Troupe du Roy, de tâcher à ſignaler leur zele par tout ce que la Scene eſt capable de produire de merveilleux.	et c'est ce qui le donne encor aujourd'hui aux Comédiens de la Troupe du Roi, de tâcher à signaler leur zèle par tout ce que la Scène est capable de produire de merveilleux.
L’honneur qu’il a plû à S.	L'honneur qu'il a plu à S.
M.	M.
de leur faire, en donnant ſes ordres pour leur rétabliſſement, les mettoit dans une continuelle impatience de faire voir qu’ils conſervent toûjours la meſme ardeur de pouvoir eſtre jugez dignes de contribuer à ſes plaiſirs;	de leur faire, en donnant ses ordres pour leur rétablissement, les mettait dans une continuelle impatience de faire voir qu'ils conservent toujours la même ardeur de pouvoir être jugez dignes de contribuer à ses plaisirs;
& c’eſt dans cette veuë qu’ils ont mis tous leurs ſoins à rendre Circé le Spéctacle le plus pompeux qui ait paru juſqu’icy ſur nos Théatres.	et c'est dans cette vue qu'ils ont mis tous leurs soins à rendre Circé le Spéctacle le plus pompeux qui ait paru jusqu'ici sur nos Théatres.
Tout y eſt grand, tout y eſt extraordinaire;	Tout y est grand, tout y est extraordinaire;
& ſi j’avois pû répondre par la force des Penſées & par la majeſté des Vers, aux ſuperbes ornemens qu’on m’a preſtez, je pourrois dire ſans trop de préſomption, qu’on n’auroit point encor veu d’Ouvrage plus achevé.	et si j'avais pu répondre par la force des Pensées et par la majesté des Vers, aux superbes ornements qu'on m'a prêtez, je pourrais dire sans trop de présomption, qu'on n'aurait point encor vu d'Ouvrage plus achevé.
La diverſité des Machines, & l’inconcevable mouvement des Vols qui ſe font dans tous les Actes, ont quelque choſe de ſi ſurprenant, qu’on ſera aiſément convaincu que l’exécution n’en peut partir que du plus ſublime Génie qui ſe ſoit jamais appliqué à ces ſortes de connoiſſances.	La diversité des Machines, et l'inconcevable mouvement des Vols qui se font dans tous les Actes, ont quelque chose de si surprenant, qu'on sera aisément convaincu que l'exécution n'en peut partir que du plus sublime Génie qui se soit jamais appliqué à ces sortes de connaissances.
Tout ce que j’en pourrois dire ſeroit tellement au deſſous de ce qu’on verra, que je ne diminuëray point le plaiſir de la ſurpriſe par l’inutile deſcription des Merveilles qui paroîtront dans ce magnifique Speceuele.	Tout ce que j'en pourrais dire serait tellement au dessous de ce qu'on verra, que je ne diminuerai point le plaisir de la surprise par l'inutile description des Merveilles qui paraîtront dans ce magnifique Speceuele.
On na fien epurgné pour le rendre tout-à-fait ſomptueux;	On na sien épurgné pour le rendre tout-à-fait somptueux;
& les riches Décorations qui l’accompagnent, feront voir par dix Changemens de Théatre.	et les riches Décorations qui l'accompagnent, feront voir par dix Changements de Théâtre.
la gloire que méritent Meſſieurs de la Hire, de Leſſos, & de S.	la gloire que méritent Messieurs de la Hire, de Lessos, et de S.
Martin, pour les embelliſſemens que leur Pinceau nous a fournis.	Martin, pour les embellissements que leur Pinceau nous a fournis.
Joignez à tant de beautez la délicateſſe de la Muſique, où Monſieur Charpentier, qui s’eſt déja fait admirer dans les Airs du Malade Imaginaire, s’eſt en quelque façon ſurpaſſe ſoy-meſme tant par l’agrément de la Symphonie, que par la noble maniere dont il a relevé toutes les Paroles qui ſe chantent.	Joignez à tant de beautés la délicatesse de la Musique, où Monsieur Charpentier, qui s'est déjà fait admirer dans les Airs du Malade Imaginaire, s'est en quelque façon surpasse soi-même tant par l'agrément de la Symphonie, que par la noble manière dont il a relevé toutes les Paroles qui se chantent.
Avec de ſi grands avantages, il eſt difficile que Circé n’en ait beaucoup à venir faire en France un nouvel eſſay de ſa Magie.	Avec de si grands avantages, il est difficile que Circé n'en ait beaucoup à venir faire en France un nouvel essay de sa Magie.
J’ay choiſy pour le Sujet de la Piece, ſes Amours avec Glaucus, telles que nous les dépeint Ovide dans le 14.	J'ai choisi pour le Sujet de la Pièce, ses Amours avec Glaucus, telles que nous les dépeint Ovide dans le 14.
Livre de ſes Métamorphoſes.	Livre de ses Métamorphoses.
Glaucus, de ſimple Peſcheur qu’il eſtoit, ayant eſté changé en Dieu Marin, devint éperduëment amoureux de Sylla Fille de Phorcus;	Glaucus, de simple Pêcheur qu'il était, ayant été changé en Dieu Marin, devint éperduement amoureux de Sylla Fille de Phorcus;
& ne pouvant toucher ſon cœur, il alla implorer le ſecours de Circé, qui prit le party pour elle, & employa tout le pouvoir de ſes Charmes pour s’en faire aimer.	et ne pouvant toucher son cœur, il alla implorer le secours de Circé, qui prit le parti pour elle, et employa tout le pouvoir de ses Charmes pour s'en faire aimer.
Le dépit de n’avoir pû en venir à bout, porta ſi loin ſon reſſentiment, que pour ſe vanger elle empoiſonna une Fontaine où Sylla avoit accoûtumé de s’aller baigner.	Le dépit de n'avoir pu en venir à bout, porta si loin son ressentiment, que pour se venger elle empoisonna une Fontaine où Sylla avait accoutumé de s'aller baigner.
