Source gallica.	Source galica.
bnf fr ( Bibliothèque nationale de France	bnf fr ( Bibliothèque nationale de France
LEGRANDET DERNIER S OE I M V V A M Iei LA MORI DE PTI A LJ ---------- S 8 DAAXEREAA TRAGEDIE.	LEGRANDET DERNIER S E I MA V V A M Iei LA MORY DE PTI À LJ -- S 8 DAAXEREAA TRAGÉDIE.
PAR MONSIEVR MAIRET Repreſenté par la troupe Royalle.	PAR MONSIEUR MAIRET Représenté par la troupe Royalle.
A PARIS, Chez AVGVSTIN COVRBE’, Libraire & Imprimeur ordinaire de Monſieur Freredu Roy, au Palais en la petite ſalle a la Palme.	À PARIS, Chez AUGUSTIN COURBE', Libraire et Imprimeur ordinaire de Monsieur Freredu Roi, au Palais en la petite salle à la Palme.
812x	812x
M.	M.
DC.	DC.
XXXIX.	XXXIX.
AVEC PRIVILEGE DV ROT.	AVEC PRIVILÈGE DU ROT.
A L TRESHAVTE TRES VER TVEVSE, ET TRES INCONSOLAble Princeſſe, Marie Felice des v111113, Muenele dte MOnc.	À L RESHAUTE -TRÈS VER TUEUSE, ET TRÈS INCONSOLAble Princesse, Marie Felice des v111113, Muenèle diste MOnc.
morchCy.	morchCi.
ADAME, Ie me declarerois tout à fait indigne de la nourriture que ie me glorifie d’auoir priſe aupres de voſtre Grandeur, & des incomparables bien-faits que i’ay receus de feu Monſeigneur de tres glorieuſe & tres pitoyable memoire tout enſemble:	ADAME, Je me déclarerais tout à fait indigne de la nourriture que Ne me glorifie d'avoir prise auprès de votre Grandeur, et des incomparables bien-faits que j'ai reçus de feu Monseigneur de très glorieuse et très pitoyable mémoire tout ensemble:
Stpour ſatisfaire à mon deuoir, ie ne tirois de temps en temps de mon eſtude & de ma plume, ainſi que ie fay tous les iours de mon cœur, & de ma bouche, des teſmoignages authentiques de ma recognoiſſan ce & de mon zele.	Stépour satisfaire à mon devoir, je ne tirais de temps en temps de mon étude et de ma plume, ainsi que je fais tous les jours de mon cœur, et de ma bouche, des témoignages authentiques de ma reconnaissan ce et de mon zèle.
C’eſt par cette puiſſante raiſon (MADAME) que n’ayant iamais eu cle plus forte ny plus legitime paſſion que celle de vous obeyr, & de vous plaire:	C'est par cette puissante raison (MADAME) que n'ayant jamais eu clé plus forte ni plus légitime passion que celle de vous obéir, et de vous plaire:
ie m’expoſe neantmoins au hazard de vous eſtre importun, en vous diuertiſſant pour quelque temps de la continuelle meditation des choſes du Ciel, & de voſtre malheur, hors de laquelle il ne ſemble pas que voſtre eſprit deſolé puiſſe trouuer aucun repos;	Ne m'expose néanmoins au hasard de vous être importun, en vous divertissant pour quelque temps de la continuelle méditation des choses du Ciel, et de votre malheur, hors de laquelle il ne semble pas que votre esprit désolé puisse trouver aucun repos;
Il eſt vray qu’ayant à vous demander vne ou deux heures pour la lecture de quelqu’vn de mes Poëmes, i’ay pour le moins apporté cette circonſpection à cettui-cy, que de ne le faire pas d’vne nature qui fut tant ſoit peu contraire à celle de voſtre humeur preſente, qui ne ſe plaiſt qu’aux choſes triſtes:	Il est vrai qu'ayant à vous demander une ou deux heures pour la lecture de quelqu'un de mes Poèmes, j'ai pour le moins apporté cette circonspection à celui-cy, que de ne le faire pas d'une nature qui fut tant soit pu contraire à celle de votre humeur présente, qui ne se plaît qu'aux choses tristes:
en effet, M ADAME, l’ineſtimable perte que ve auez faite auec toute la France, de l’vn des plus grands hommes qu’elle ait iamais portez, ne pouuoit eſtre bien teſmoignée quepar vn dueil pareil au voſtre, qui fait honte generalement à tout ce que la fable & l’hiſtoire nous racontent d’vne Porcie, d’vne Penthée, d’vne Alceſte, & d’vne Artemiſé;	en effet, M DAME, l'estimable perte que ve avez faite avec toute la France, de l'un des plus grands hommes qu'elle ait jamais portez, ne pouvait être bien témoignée que vn dueil pareil au vôtre, qui fait honte généralement à tout ce que la fable et l'histoire nous racontent d'une Porcie, d'une Penthée, d'une Alceste, et d'une Artemisé;
les plus fameux exemples que noue ayons de la douleur & de la foy des plus honneſtes femmes;	les plus fameux exemples que noue ayons de la douleur et de la foi des plus honnêtes femmes;
