M.	M.
DC.	DC.
LXVIII.	LXVIII.
AVEC PERMISSION.	AVEC PERMISSION.
temerité d’oſer conuier à la Tragedie vne Vierge Profeſſe d’vn Monaſtere tres-reformé, clos & grillé tres-exemplairement.	témérité d'oser convier à la Tragédie une Vierge Professe d' Hâte très -reformé, clos et grillé très-exemplairement.
La ſainteté de vostre diuine Retraite, I’auſterité de vos Vœux ſacrez, & la rigueur de voſtre Cloſture inuio!	La sainteté de votre divine Retraite, J'austérité de vos Vœux sacrés, et la rigueur de votre Closture invio!
able me pourroient reprocher vne derniere effionterie, ſi tignorois, MADAME, quel Theatre vous eſt odieux, quels Ieux vous dédaignez, quels ſpectacles vous ſont en horreur.	able me pourraient reprocher une dernière effionterie, si tignorais, MADAME, quel Théâtre vous est odieux, quels Ieux vous dédaignez, quels spectacles vous sont en horreur.
Il eſt vray que ie ſuis encor à deuiner les raiſons pour leſquelles autresfois les Eliens permettoient aux Vierges la veuë des Ieux Olimpiques, qu’ils defendoient à toutes les Matrones:	Il est vrai que je suis encor à deviner les raisons pour lesquelles autrefois les Éliens permettaient aux Vierges la vue des Jeux Olimpiques, qu'ils défendaient à toutes les Matrones:
car bien que ce ſpectacle ne fût que de diuers exercices de courage & de force, l’indécente posture des combatans deuoit abparemment en exclure auſſi-bien les vnes que les autres, & meſme encor plus raiſonnablement celles qu’on maintenoit dans cette liberté, que celles qu'on retenoit dans cet interdit.	car bien que ce spectacle ne fût que de divers exercices de courage et de force, l'indécente posture des combattants devait abparemment en exclure aussi-bien les unes que les autres, et même encor plus raisonnablement celles qu'on maintenait dans cette liberté, que celles qu'on retenait dans cet interdit.
Les Sages ſont d’accord, que l’Empereur Auguſte ſous pretexte d’honneur) traita honteuſement les anciennes Veſtales, qui eſtoient les Uierges Profeſſes de la Religion Payenne des Romains, pour leur auoir donné la liberté d’aſſiſler au Theatre commun, auec expreſſe aſſignat ton de places de ſeance:	Les Sages sont d'accord, que l'Empereur Auguste sous prétexte d'honneur) traita honteusement les anciennes Vestales, qui étaient les Uierges Professes de la Religion Pampenne des Romains, pour leur avoir donné la liberté d'assisler au Théâtre commun, avec expresse assignat ton de places de séance:
Auſſi eſt-ce bien mal honorer les Uierges que de les expoſer à la perte de ce qui les rend honorables, par l’aſſiſtance aux repreſentations laſciues & impures qui ſont ordinaires à ce lieu d’infamie.	Aussi est-ce bien mal honorer les Uierges que de les exposer à la perte de ce qui les rend honorables, par l'assistance aux représentations lasciues et impures qui sont ordinaires à ce lieu d'infamie.
Ie viens vous conuier, MADAME, au ſpectacle ſacré d’vn Theatre Chrẽtien, où vous pouuez donner vne aſſiſtance religieuſe ſans ſortir de voſtre Cellule, & ſans diſtraire vos plus denotes occupations des objets qui font voſtre Oratoire.	Je viens vous convier, MADAME, au spectacle sacré d'être Théâtre Chrentien, où vous pouvez donner une assistance religieuse sans sortir de votre Cellule, et sans distraire vos plus dotes occupations des objets qui font votre Oratoire.
Vous y verrez le vray Dieu reconnu, adoré, declaré, proteſté par les témoignages d’eſprit & de verité, qui doiuent lui eſtre déferez de tous ſes vrais adorateurs.	Vous y verrez le vrai Dieu reconnu, adoré, déclaré, protesté par les témoignages d'esprit et de vérité, qui doivent lui rendre déferez de tous ses vrais adorateurs.
Vous y reconnoïtrez vn IESVS-CHRIST hautement medité, ardemment deſiré, amoureuſement recherché, chaſtement & virginalement embraßé.	Vous y reconnaîtrez un JÉSUS-CHRIST hautement médité, ardemment désiré, amoureusement recherché, chastement et virginalement embrassez.
Vous y contemplere:	Vous y contemple:
les Saints courageuſement combatans, & glorieuſement triomphans.	les Saints courageusement combattants, et glorieusement triomphants.
Enfin vous n’y trouuterez que l’action d’vne Cellule animée, d’vn Oratoire viuant, d’vn Sanctuaire mouuant, ou voſtre ame pourra ſe contenter Chrétiennement;	Enfin vous n'y trouverez que l'action d'une Cellule animée, d'un Oratoire vivant, d'un Sanctuaire mouvant, ou votre âme pourra se contenter Chrétiennement;
voſtre vie ſe diuertir deuotement, & tous vos mouuemens ſe dreſſer & compaſſer religieuſement.	votre vie se divertir dévotement, et tous vos mouvements se dresser et compasser religieusement.
Mais ce qui m’a porté, MADAME, à vous adreſſer particulierement cette Piece de Tragedie, c’est que m’eſtant en elle proposé de tracer le Tableau Poëtique d’vne Princeſſe qui abhorre le monde, qui mepriſe la Cour, qui fuit tres-volontairement & courageuſement tous les attraits mondains d’vn Sang illuſtre, d’vne haute naiſſance, d’vne condition releuée en toutes les ctrconſtances qui peuuent rendre vne Fille de cette qualité tres-digne & meritante d’eſtre recherchée des plus hautes & conſiderables Alliances, laquelle conſacre ſa pure integrité au pur Epoux des Vierges, pour n’aimer plus que lui, ne penſer plus qu'à lui, ne viure & ne mourir qu'auec lui & pour lui.	Mais ce qui m'a porté, MADAME, à vous adresser particulièrement cette Pièce de Tragédie, c'est que m'étant en elle proposé de tracer le Tableau Poètique d'une Princesse qui abhorre le monde, qui meprise la Cour, qui fuit très-volontairement et courageusement tous les attraits mondains d'un Sang illustre, d'une haute naissance, d'une condition relevée en toutes les ctrconstances qui peuvent rendre une Fille de cette qualité très-digne et méritante d'être recherchée des plus hautes et considérables Alliances, laquelle consacre sa pure integrité au pur Epoux des Vierges, pour aimer plus que lui, ne penser plus qu' lui, ne viure et ne mourir qu'auec lui et pour lui.
Pour m'en former l’idée ie regardois en vous comme en ſa vraïe image, les traits plus vifs & naturels de ſes perfections;	Pour m'en former l'idée ainsi regardais en vous comme en sa vraie image, les traits plus vifs et naturels de ses perfections;
& c’eſt ce qui m’oblige à vous la rapporter, puis-que c’eſt proprement de vous que ie la tiens:	et c'est ce qui m'oblige à vous la rapporter, puis-que c'est proprement de vous que ie la tiens:
Car pour cette rencontre de rapport, ie puis dire que comme il n'y a qu’vn meſme mouuement de l’eſprit au Portrait & à l’Original, j’ay eu meſme pensée de vous & de la Sainte que i'ay repreſentée, d’autant plus que ſeruant de conduite & d’acheminement à cet Original, i'y préuois auec voſtre rapport, voſtre reduction, où doit enfin paroître en ſon entier, l’acheuement de vos merites couronnez.	Car pour cette rencontre de rapport, je puis dire que comme il n'y a qu'un même mouvement de l'esprit au Portrait et à l'Original, j'ai eu même pensée de vous et de la Sainte que j'ai représentée, d'autant plus que servant de conduite et d'acheminement à cet Original, j'y trouvais auec vôtre rapport, votre réduction, où doit enfin paraître en son entier, l'achèvement de vos mérites couronnés.
I’ajoûteray encor, MADAME, ſous voſtre bon plaiſir, que comme pour tirer à l’heureuſe conſideration de ma Sainte Princeſſe, vous aueZ des attraits rauiſſans d’adreſſe & de conduite;	J'ajouterai encor, MADAME, sous votre bon plaisir, que comme pour tirer à l'heureuse considération de ma Sainte Princesse, vous avez des attraits ravissants d'adresse et de conduite;
i’oſe eſperer que vous aureZ la bonté de conduire & releuer par vos fauorables entremiſes du ſpectacle de ſa vie militante à celui de ſa veuë triomphante.	j'ose espérer que vous aurez la bonté de conduire et relever par vos favorables entremises du spectacle de sa vie militante à celui de sa vue triomphante.
MADAME,	MADAME,
Voſtre tres-humble, tres-obeïſſant, & tres-obligé ſetuiteur, T.	Votre très-humble, très-obeïssant, et très-obligé setiteur, T.
D’AVRE, Pr.	D'AURE, Pr.
ind.	ind.
CENSVRE CHRESTIENNE du Theatre Moderne.	CENSURE CHRÉTIENNE du Théâtre Moderne.
’Action du Theatre paſſeroit librement parmi les gens d’eſprit pour vn T(des plus nobles & conſiderables Exercices de ceux qui portent titre de Liberaux, ſi la raiſon (qui en eſt la mere & doit en eſtre la maîtreſſe) prenoit le ſoin de ſa conduite dans les termes d’vn vſage legitime, par ſes dignes & deuës circonſtances.	Action ses Theatre passerait librement parmi les gens d'esprit pour un TE(des plus nobles et considérables Exercices de ceux qui portent titre de Libéraux, si la raison (qui en est la mère et doit en être la maîtresse) prenait le soin de sa conduite dans les termes d'un usage légitime, par ses dignes et devez circonstances.
Ie veux qu’elle trauaille à contenter, & qu'elle ſe pare des graces neceſſaires à l’agrément des Spectateurs, afin de les tirer plus efficacement à la fin que l’Art luy doit preſcrire:	Je veux qu'elle travaille à contenter, et qu'elle se pare des grâces nécessaires à l'agrément des Spectateurs, afin de les tirer plus efficacement à la fin que l'Art lui doit prescrire:
mais que le delectable (ainſi qu’on le figure) ſoit le but, ou l'vnique, ou meſme le principal de toutes ſes viſées;	mais que le délectable (ainsi qu'on le figure) soit le but, ou l'Unique, ou même le principal de toutes ses visées;
la raiſon me défend de l’auoüer, par la force inuincible des meſmes veritez qu’elle fournit à tous les Sages, pour combattre la ſecte-infame d’Epicure, en l'établiſſement de la volupté.	la raison me défend de l'avouer, par la force invincible des mêmes vérités qu'elle fournit à tous les Sages, pour combattre la secteinfâme d'Épicure, en l'établissement de la volupté.
pour fin des actions humaines, par la pure intention de ſes premiers Autheurs, qui ne l’ont inuentée que pour blâmer le vice & corriger les mœurs;	pour fin des actions humaines, par la pure intention de ses premiers Auteurs, qui ne l'ont inventée que pour blâmer le vice et corriger les mœurs;
& par le meur & ſolide jugement de la plus judicieuſe Republique qui ait paru dans tout le Paganiſme;	et par le meur et solide jugement de la plus judicieuse République qui ait paru dans tout le Paganisme;
laquelle m La-(au rapport de Plutarque) ne pût iamais ſouffrir les Poëtes écriuains des choſes delectables & non pas ſalutaires;	laquelle m La-grau rapport de Plutarque) ne put jamais souffrir les Poètes écrivains des choses délectables et non pas salutaires;
