LRAREE C2 DEGVISE TRAGI-COMEDIE.	LRARE C2 DÉGUISÉ -THRAGI-COMÉDIE.
PAR Di?	PAR Dis?
86 GAMONSIEVR DE SCVDERY.	86 GAMONSIEUR DE SCUDERY.
b4A PARIS, Chez AVGVSTIN COVRBE', Imprimeur & Libraire de Monſieur frerc durtey, dulis la petite Salle du Palais, à la Palme.	b4A PARIS, Chez AUGUSTIN COURBE', Imprimeur et Libraire de Monsieur frer durtey, dulis la petite Salle du Palais, à la Palme.
M.	M.
DC.	DC.
XXXVI.	XXXVI.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
A MADEMOISELLE, MADEMOISELLE DE BOVRBON.	À MADEMOISELLE, MADEMOISELLE DE BOURBON.
ADEMOISELlE, Si ie ne craignois de paſſer au delà des bornes ordinaires d’vne lettre, i’imiterois ce fameux Peintre, qui de toutes les beautez de la Grece, forma cette rare Venus, de qui l’eſtime dure encore en la memoire des hommes.	ADEMOISELE, Si je ne craignais de passer au delà des bornes ordinaires d'une lettre, j'imiterais ce fameux Peintre, qui de toutes les beautés de la Grèce, forma cette rare Venus, de qui l'estime dure encore en la mémoire des hommes.
Ie dià iij rois tout ce que les autres ont dit:	Je dià jij ois tout ce que les autres ont dit:
ie donnerois à voſtre gloire toutes les loüanges qu’ils ont données;	Ne donnerais à votre gloire toutes les louanges qu'ils ont données;
& ie vous ferois vne Couronne de toutes les belles fleurs que le Parnaſſe a produites.	et personne vous ferais sez Couronne de toutes les belles fleurs que le Parnasse a produites.
Et certes ce ne ſeroit pas ſans raiſon, puis que vous poſſedez ſeule ce que toutes les Beautez de la terre peuuent auoir d’excellent:	Et certes ce ne serait pas sans raison, puis que vous possédez seule ce que toutes les Beautez de la terre peuvent avoir d'excellent:
& qu’il en eſt peu qui puiſſent approcher de vous, ſans ſouffrir l’affront des Eſtoilles, quãd l’eſclat du Soleil paroiſt.	et qu'il en est peu qui puissent approcher de vous, sans souffrir l'affront des Étoilles, quand l'éclat du Soleil paraît.
Mais, MADEMOISELLE, il n’appartient qu’aux Aigles, de regarder fixement ce bel Aſtre:	Mais, MADEMOISELLE, il n'appartient qu'aux Aigles, de regarder fixement ce bel Astre:
& conmtit le nen ay ny l’œil ny la plume, il faut que ie regle mon vol & mes regards ſur ma foibleſſe, & que ie me contenté de dire ce que ie puis, ne pouuant dire ce que ie dois:	et conmit le nen ai ici l'œil ni la plume, il faut que personne règle mon vol et mes regards sur ma faiblesse, et que je me contenté de dire ce que je puis, ne pouvant dire ce que ie dois:
comme vous auez l’eſprit & la beauté d’vn Ange, vous en aurez encore la bõté:	comme vous avez l'esprit et la beauté d' Ange, vous en aurez encore la bon:
Et c’eſt d’elle que i’attends ma grace, apres le deſſein temeraire que ie prends de vous offrir mon PRINCE DE'GVISE.	Et c'est d'elle que j'attends ma grâce, après le dessein téméraire que ie prends de vous offrir mon PRINCE DÉGUISE.
Ie fis ce hardy projet, dés l’inſtant que i’eus l’honneur de baiſer la robe à Madame la Princeſſe, & à voſtre Grandeur;	Je fis ce hardi projet, dès l'instant que j'eus l'honneur de baiser la robe à Madame la Princesse, et à votre Grandeur;
Et i’eſpere meſme que le ſuccez ne m’en ſeroit pas mal-heureux, vous voyant eſcouter auec attention, vne choſe indigne de l’eſtre de vous, puis qu’elle partoit de moy.	Et j'espère même que le succès ne m'en serait pas malheureux, vous voyant écouter avec attention, une chose indigne de l'être de vous, puis qu'elle partait de moi.
