GALATEE.	GALATE.
Paſtor ale Heroïque en Müſique,	Pâtor ale Héroïque en Musique,
Par l'Academie Roiale de Muſique.	Par l'Académie Roiale de Musique.
Suivant la copie imptimée	Suivant la copie imptimée
ACTEURS DU PROLOGUE.	ACTEURS DU PROLOGUE.
DIANE.	DIANE.
Troupe de Driades, de Faunes, & d’autres Divinitez champêtres.	Troupe de Driades, de Faunes, et d'autres Divinités champêtres.
L'ABONDANCE.	L'ABONDANCE.
CeM Suite de l’Abondance & de Comus.	CeM Suite de l'Abondance et de Comus.
APOLLON.	APOLLON.
PROLOGUE.	PROLOGUE.
LE THEATRE REPRESENTE le Château d’ANET.	LE -THÉÂTRE REPRÉSENTE le Château d'ANET.
DIANE, Chœur de Driades, de Silvains, & d’autres Divinitez champêtres.	DIANE, Chœur de Driades, de Silvains, et d'autres Divinités champtres.
DIANE.	DIANE.
U’avec plaiſir je reviens en ces lieux  JQue jadis mon ſejour rendit ſi glorieux, Où regnoient la ſplendeur & la magnificence!	U'avec plaisir je reviens en ces lieux JQue jadis mon séjour rendit si glorieux, Où régnaient la splendeur et la magnificence!
Le Fils du plus puiſſant, du plus juſte des Rois Leur redonne aujourd’hui par ſa ſeule preſence Encore plus d’éclat qu’ils n’eurent autrefois.	Le Fils du plus puissant, du plus juste des Rois Leur redonne aujourd'hui par sa seule présence Encore plus d'éclat qu'ils n'eurent autrefois.
UNE DRIADE.	UNE DRYADE.
Depuis le jour que ſur vôtre promeſſe Nous nous ſommes flatez de le voir en ces lieux, Les Driades mes Sœurs, & tous ces autres Dieux;	Depuis le jour que sur votre promesse Nous nous sommes flattez de le voir en ces lieux, Les Driades mes Sœurs, et tous ces autres Dieux;
Aprés ce doux moment ont ſoupiré ſans ceſſe,	Après ce doux moment ont soupiré sans cesse,
UN SILYAIN.	UN SILYAIN.
Nous avons preparé pour lui Les fêtes, les concerts que l’allegreſſe inſpire;	Nous avons préparé pour lui Les fêtes, les concerts que l'allégresse inspire;
Que le ſombre chagrin, que le funeſte ennui De cet heureux ſejour pour jamais ſe retire!	Que le sombre chagrin, que le funeste ennui De cet heureux séjour pour jamais se retire!
Que les plaiſirs en foule y viennent aujourd’hui.	Que les plaisirs en foule y viennent aujourd'hui.
Le Château d’Anet a été bâti pour Diane de Poitiers:	Le Château d'Anet a été bâti pour Diane de Poitiers:
On y voit par tout des déviſes & des peintutes à l’honneur de Diane.	On y voit par tout des dévises et des peintutes à l'honneur de Diane.
DIANE.	DIANE.
Suivez les mouvemens de vôtre ardeur fidelle;	Suivez les mouvements de votre ardeur fidèle;
Commencez vos concerts, Que le bruit de vos chants reſonne dans les airs, Heureux!	Commencez vos concerts, Que le bruit de vos chants résonne dans les airs, Heureux!
ſi le ſuccés répond à vôtre zele!	si le succès répond à votre zèle!
LE CHOEUR.	LE CHOEUR.
cuiyons les mouvemens de nôtre ardeur fidelle, Que le bruit de nos chants reſonne dans les airs, Heureux!	cuions les mouvements de notre ardeur fidèle, Que le bruit de nos chants résonne dans les airs, Heureux!
ſi le ſuccés répond à nôtre zele!	si le succès répond à notre zèle!
L’ABONDANCE, COMUS, Suite de l’Abondance & de Comus.	L'ABONDANCE, COMUS, Suite de l'Abondance et de Comus.
L’ABONDANCE.	L'ABONDANCE.
Dans les jours de rejoüiſſance J’ai toùjours le premier emploi, Vous ſeriez-vous flatez de la vaine eſperance, De pouvoir vous paſſer de moi ?	Dans les jours de réjouissance J'ai toujours le premier emploi, Vous seriez-vous flattez de la vaine espérance, De pouvoir vous passer de moi ?
Qne feriez-vous ſans l’Abondance?	Qne feriez-vous sans l'Abondance?
COMUS.	COMUS.
A mon viſage, à ma ſuite ordinaire Reconnoiſſez Comus Dieu des Feſtins, Dont la preſence à vos deſſeins Eſt aujourd’hui ſi neceſſaire.	À mon visage, à ma suite ordinaire Reconnaissez Comus Dieu des Festins, Dont la présence à vos desseins Est aujourd'hui si nécessaire.
Que vous ſert d’aſſembler au gré de vos deſirs Tous les Jeux & tous les Plaiſirs?	Que vous sert d'assembler au gré de vos désirs Tous les Jeux et tous les Plaisirs?
Si vous n’avez ceux de la Table Tous les cœurs ſont mécontens, La fête la plus agreable - Sans moi ne peut durer long-tems.	Si vous n'avez ceux de la Table Tous les cœurs sont mécontents, La fête la plus agréable - Ans moi ne peut durer longtemps.
DIANE, L’ABONDANCE, COMUS.	DIANE, L'ABONDANCE, COUS.
Uniſſons nos éforts, & qu’une ardeur ſi belle Sans ceſſe ſe renoüvelle.	Unissons nos éforts, et qu'une ardeur si belle Sans cesse se renouvelle.
LE CHOEUR.	LE CHOEUR.
Uniſſons nos éforts, & qu’une ardeur ſi belle Sans ceſſe ſe renouvelle.	Unissons nos éforts, et qu'une ardeur si belle Sans cesse se renouvelle.
Apollon paroit en l’air ſur un nuage.	Apollon parait en l'air sur un nuage.
APOLLON.	APOLLON.
Apollon en ce jour aprouve vôtre zele Pour un Prince charmant, Et vient joindre aux plaiſirs d’une fête ſi belle D’un Spectacle nouveau le doux amuſement.	Apollon en ce jour après votre zèle Pour un Prince charmant, Et vient joindre aux plaisirs d'une fête si belle D'un Spectacle nouveau le doux amusement.
Au plus grand des Heros j’ai toûjours ſoin de plaire, Eh!	Au plus grand des Héros j'ai toujours soin de plaire, Eh!
que puis-je mieux faire Que de vous ſeconder par des chauts deſtinez A divertir un Fils qu’il aime, Puiſſent ces mêmes chants un jour plus fortunez, Le divertir encor lui-même!	que puis-je mieux faire Que de vous seconder par des chauts destinés A divertir un Fils qu'il aime, Puissent ces mêmes chants un jour plus fortunés, Le divertir encor lui-même!
