A PARIS, .	À PARIS, .
Chez FRANÇOIS TARGA, au premies pilier de la grand' Salle du Palais, deuant les Conſultations.	Chez FRANOIS TARGA, au premies pilier de la grand Salle du Palais, devant les Consultations.
M.	M.
DC.	DC.
XXXI.	XXXI.
Ih Auer Priuilege du Roy70110 228	Ih Auer Privilège du Roi7010 228
A MONSEIGNEVR FRERE TNIQVE AU	À MONSEIGNEUR FRÈRE TNIQVE AU
ONSEIGNEVR, 8 Ie prens la hardieſſe de preſenter à voſtre Alteſſe vn ouurage que diuerſes conſiderations luy ont deſia rendu fort agreable.	ONSEIGNEUR, 8 Je prends la hardiesse de présenter à votre Altesse un ouvrage que diverses considérations personne ont déjà rendu fort agréable.
Vous vous estonnerez, MONSEIGNEVR, qu'eſtant ce que ie ſuis, i'oſe paroiſtre deuant vn des plus grands Princes du monde:	Vous vous étonnerez, MONSEIGNEUR, qu'étant ce que ie suis, j'ose paraître devant un des plus grands Princes du monde:
Minis ie ne croirois pas eſtre moins coulpable que ceux qui ont aſſaßiné l'Autheur de cette belle piece, ſi toute crainte miſe à part ie n’executois ſa deruiere volonté,  ne mettois entre les mains de vostre Alteſſe vn bien qu’il y a long temps qu'elles eſt acquis par ſon approbation, S par ſa liberalité.	Minis Seigneur ne croirais pas être moins coulpable que ceux qui ont assassiné l'Auteur de cette belle pièce, si toute crainte mise à part ie n'exécutais sa deruière volonté, ne mettais entre les mains de votre Altesse un bien qu'il y a long temps qu'elles est acquis par son approbation, S a sa lité.
I’ay bien ſujet.	J'ai bien sujet.
MONSEIGNEVR, de prendre de là occaſion de dire a toute la France par ombien de vertus toutes herotques vous vous rendeZ l’exemple du Prince parfait.	MONSEIGNEUR, de prendre de là occasion de dire à toute la France par ombien de vertus toutes hérotques vous vous rendez l'exemple du Prince parfait.
Mais ces grands myſteres doiuent eſtre deſcouuerts pardes yeux plus clair-voyans que les miens, & publiez par des bouches qui ſont particulierement destinées à faire entendre les choſes miraculeuſes.	Mais ces grands mystères doivent être découverts pardes yeux plus clair-voyants que les miens, et publiés par des bouches qui sont particulièrement destinées à faire entendre les choses miraculeuses.
Ie demeureray donc dans les bornes que ma condition me preſcrit, & admirant en moy-meſme cc .	Je demeurerai donc dans les bornes que ma condition me prescrit, et admirant en moi-même cc .
.	.
qui eſt au deſſus de moy, vous ſupplieray ſeulement au nom d’vn pere qui a eu l’honneur d’estre aimé de voſtre Alteſſe, de prendre la protection d’vn orphelin, qui aura beaucoup gaigné en ſa perte ſi vous daignez, l’auouer.	qui est au dessus de moi, vous supplierai seulement au nom d'un père qui a eu l'honneur d'être aimé de votre Altesse, de prendre la protection d'un orphelin, qui aura beaucoup gagné en sa perte si vous daignez, l'avouer.
Les Muſes & le Theatre qui ont pris le dueil pour le deplorable accident qui leur a rauy leurs delices & leur ornement, ont receu tuſques à preſent tant de teſmoignages de voſtre bienueillance, qu’il eſt à croire que vous les leur continuereZ en vne occaſion qui doit eſtre la cauſe de leur reſurrection ou de leur mort.	Les Muses et le Théâtre qui ont pris le deuil pour le déplorable accident qui leur a ravi leurs délices et leur ornement, ont reçu tusques à présent tant de témoignages de votre bienveillance, qu'il est à croire que vous les leur continuereZ en une occasion qui doit être la cause de leur résurrection ou de leur mort.
Pour moy, MONSEIGMEVR, qui ſuis aux bons eſprits ce qu'eſtoit dans les ieux Olympiques la voix dus Heraut a ces grands et fameux Athletes qui remportoient autant de couronmes qu’ils entreprenoient de combats.	Pour moi, MONSEIGMEUR, qui suis aux bons esprits ce qu'était dans les jeux Olympiques la voix dus Héraut à ces grands et fameux Athlètes qui remportaient autant de couronmes qu'ils entreprenaient de combats.
