AILITI Maot.	ÀILITI Maot.
I le ſuccés d’un Ouvrage doit le defendre contre la critique, &t ſi la premiere, & la plus infaillible regle du Theatie eſt celle de plaire, j’oſe dire que Scipion l’Africain ayant eu ce bonheur, je pourois me diſpenſer de répondre aux critiques qu’on en a faites.	I le succès d'un Ouvrage doit le défendre contre la critique, ett si la première, et la plus infaillible règle du Théatie est celle de plaire, j'ose dire que Scipion l'Africain ayant eu ce bonheur, je croyais me dispenser de répondre aux critiques qu'on en a faites.
Cependant ſans me prévaloir, des aplaudiſſemens que le pablie luy a donnez, je vais tâcher en peu de mots d’en juſtifier la conduite.	Cependant sans me prévaloir, des applaudissements que le pablie vertu a donnés, je vais tâcher en peu de mots d'en justifier la conduite.
On me reproche d’avoir fait Scipion amoureux;	On me reproche d'avoir fait Scipion amoureux;
mais je ſoûtiens que le mettant ſur la Scene, j'ay dû luy donner ce caractere, qui releve ſon action principale, qui eſt de vainere ſa paſſion, &t de rendre ſa Maîtreſſe a, ſon Rival.	mais je soutiens que le mettant sur la Scène, j'ai dû lui donner ce caractère, qui relève son action principale, qui est de vaine sa passion, ett de rendre sa Maîtresse a, son Rival.
Ariſtote nous aprend qu’on peut ajouter quelque choſé de vray-ſemblable au vray;	Aristote nous apprend qu'on peut ajouter quelque chosé de vrai-semblable au vrai;
& il eſt vray-ſemblable que Scipion a l’age de vingt-quatre ans, ayant pris la plus belle perſonne de l’Univers, ait éſté ſenſible à ſa beauté,  qu’il ait rendu quelques combats?	et il est vrai-semblable que Scipion a l'age de vingt-quatre ans, ayant pris la plus belle personne de l'Univers, ait ésté sensible à sa beauté, qu'il ait rendu quelques combats?
avant que de la rendre à Lucejus Peince des Celtiberiens, à qui elle eſtoit promiſe.	avant que de la rendre à Lucejus Peince des Celtibériens, à qui elle était promise.
D’ailleurs ſi Scipion avoit remis ſa captive ſans la voir, ſon action n’auroit pas été ſi belle, que ce vue prlurcupvoouveunauo, C apuuron que uibement touché;	D'ailleurs si Scipion avait remis sa captive sans la voir, son action n'aurait pas été si belle, que ce vue prlurcupvoouveunauo, Ç apuvron que uibement touché;
car comme dit le grand Corneille, Ce n’eſt qu'en ces aſſauts qu’éclate la vertu, Et l’on doute d’un cœur qui n’a point combatu:	car comme dit le grand Corneille, Ce n'est qu'en ces assauts qu'éclate la vertu, Et l'on doute d'un cœur qui n'a point combattu:
Il me ſemble même que Scipion auroit bien douté de ſa vertu, & du pouvoir qu’il avoit ſur luy de n’oſer voir une tres-belle perſonne, depeur d’en être tenté.	Il me semble même que Scipion aurait bien douté de sa vertu, et du pouvoir qu'il avait sur deux de n'oser voir une très-belle personne, dépeur d'en être tenté.
