A	À
EIE SENEREVSE INGRATITVDE.	EYE SENEREUSE INGRATITUDE.
TRAGI-COMEDIE PASTORALE.	TRAGI-COMÉDIE PASTORALE.
Par le Se 2 ſemo 2 QVINAVLT.	Par le Se 2 semo 2 QUINAULT.
1b56	1b56
M.	M.
DC.	DC.
LVII.	LVII.
n.	n.
L.	L.
5684.	5684.
Auec Priuilege du Roy.	Avec Privilège du Roi.
PAA.	PA.
A PARIS, Chez TOVSSAINCT QVINET.	À PARIS, Chez TOUSAINCT QUINET.
au Palais, ſous la montée de la Cour des Aydes.	au Palais, sous la montée de la Cour des Aides.
A TRES-HAVT ET TRES.	À TRÈS-HAUT ET TRÈS.
PVISSANT PRINCE ARMAND DE BOVRBON PRINCE DE CONTY, Prince du ſang, Pair de France, Grand Maiſtre de la Maiſon du Roy, Gouuerneur & Lieutenant General pour ſa Maieſté en Guyenne.	PUISANT PRINCE ARMAND DE BOURBON PRINCE DE CONTY, Prince du sang, Pair de France, Grand Maître de la Maison du Roi, Gouverneur et Lieutenant Général pour sa Majesté en Guyenne.
Viceroy, & Capitaine General de ſes Armées en Catalogne, Rouſſillon, &c.	Vicerai, et Capitaine Général de ses Armées en Catalogne, Roussillon, etc.
m b ReyM ANSEIGNEVR, Encore que i’aye aſſez d’ambition pour oſer vous offrir cét Ouurae de Theatre, ie n’ay pas aſſez de vanité pour m’aſſeurer qu’il ſoit digne de la protection de VOSTRE ALTESSE, ie ſuis perſuadé que vous auez des lumieres ſt peu communes, que vous y découurirez des defauts aux endroits meſmes où les plus ſpirituels ont creu remarquer quelques beautez;	m' ai Reçu ANSEIGNEUR, Encore que j'aie assez d'ambition pour oser vous offrir cet Ouvrae de Théâtre, elle n'ai pas assez de vanité pour m'assurer qu'il soit digne de la protection de VÔTRE ALTESSE, ie suis persuadé que vous avez des lumières st peu communes, que vous y découvririez des défauts aux endroits mêmes où les plus spirituels ont cru remarquer quelques beautés;
& i’ay bien lieu de craindre que vous ne protegiez à regret ce que vous condamnerez auec iuſtice.	et j'ai bien lieu de craindre que vous ne protégiez à regret ce que vous condamnerez a iustice.
Cette conſideration toutesfois, n’a pû retenir mon zele;	Cette considération toutefois, n'a pu retenir mon zèle;
Ie me ſuis flatté de l’eſpoir que VOSTRE ALTESSE.	Je me suis flatté de l'espoir que VOTRE ALTESSE.
