A MADEMOISELLE	À MADEMOISELLE
MONTMORENC, DE LORESSE.	MONTMORENC, DE LORESSE.
Ie vous offre vn Ouurage que j’ay produit dans vos bois:	Je vous offre un Ouvrage que j'ai produit dans vos bois:
Vous y verrez des Bergers, e des Bergeres, qui ſe ſoûmettent à voſtre Empire:	Vous y verrez des Bergers, e des Bergères, qui se soumettent à votre Empire:
Ils vous reconnoiſſent tous pour leur Souueraine;	Ils vous reconnaissent tous pour leur Souveraine;
& pour leur Nymphe:	et pour leur Nymphe:
Ils n’en ont jamais eu vne de ſi Illuſtre Maiſon que vous, & quand il vous plaira Felicie ne I ſera que voſtre Bergere:	Ils n'en ont jamais eu une de si Illustre Maison que vous, et quand il vous plaira Félicie ne I sera que votre Bergère:
Elle vous rend les marques de ſa Souueraineté, qui ſont ſes fleches, & ſon carquois, & je cron qu’en ce poinct elle eſt d’intelligence auec l’Amour, qui vous, rend les meſmes armes;	Elle vous rend les marques de sa Souveraineté, qui sont ses flèches, et son carquois, et je cron qu'en ce point elle est d'intelligence avec l'Amour, qui vous, rend les mêmes armes;
Mais en voyant l’Ouurage, je vous prie de vous ſouuenir que j’ay emprunte de vous tout l'eſclat, & toute la lumtere aui y paroiſſent, que ja puiſe chez vous tout le feu qui a eſté la ſource de mes Vers;	Mais en voyant l'Ouvrage, je vous prie de vous souvenir que j'ai emprunte de vous tout l'éclat, et toute la lumère auj y paraissent, que ja puise chez vous tout le feu qui a été la source de mes Vers;
& que la fecondité de ma veine n’eſt pas tant l'effet de mon Art que l’Ouurage de voſtre preſence qui m'a animé:	et que la fécondité de ma veine n'est pas tant l'effet de mon Art que l'Ouvrage de votre présence qui m'a animé:
Ie vous ay mille fois rencontrée dans ces meſmes bois, où l’écho reſpondoit aux parolles qui formoient vos Prieres:	Je vous ai mille fois rencontrée dans ces mêmes bois, où l'écho répondait aux paroles qui formaient vos Prières:
fe ne ſçay ce que vous direz de moy, d’en auoir fait vn écho profane, & qui ne reſponde qu'à des chançons:	se ne sais ce que vous direz de moi, d'en avoir fait un écho profane, et qui ne réponde qu'à des chançons:
Mais ie croy que depuis ce temps vous l’aure:	Mais quelque crois que depuis ce temps vous l'aure:
purifié, & qu’en vain deſormais jé le ſolliciteray de redire mes Vers, & de repeter mes parolles:	purifié, et qu'en vain désormais jé le solliciterai de redire mes Vers, et de répéter mes paroles:
Je verray au premier jour ce qui en eſt:	Je verrai au premier jour ce qui en est:
Cependant je vous conjure de me mettre au nombre de mes Bergers, e de ſouffrir A que je vous rende comme eux mes reſpects, & mes hommages, puiſque je ſuis plus que perſonne du monde,	Cependant je vous conjure de me mettre au nombre de mes Bergers, est de souffrir A que je vous rende comme eux mes respects, et mes hommages, puisque je suis plus que personne du monde,
Voſtre tres-humble, & tresobeïſſant ſeruiteur,	Votre très-humble, et tresobeïssant serviteur,
DE MONTAVBAN.	DE MONTAUBAN.
AR Grace & Priuilege du Roy, A donné à Paris le 22.	AR Grâce et Privilège du Roi, A donné à Paris le 22.
Septembre 1653.	Septembre 1653.
Il eſt permis à GVILLAVME DE LVINE Marchand Libraire en noſtre bonne Ville de Paris, de faire imprimer, vendre & debiter Les Charmes de Felicie, &c.	Il est permis à GUILLAUME DE LVINE Marchand Libraire en notre bonne Ville de Paris, de faire imprimer, vendre et débiter Les Charmes de Félicie, etc.
En telle marge & caractere que bon luy ſemblera, pendant le temps & eſpace de neuf ans, à compter du iour qu’ils ſeront acheuez d’imprimer:	En telle marge et caractère que bon lui semblera, pendant le temps et espace de neuf ans, à compter du jour qu'ils seront achevez d'imprimer:
Et deffenſes ſont faites à tous Imprimeurs & Libraires & autres, de l’imprimer ſur les peines plus amplement portées audit Priuilege.	Et défenses sont faites à tous Imprimeurs et Libraires et autres, de l'imprimer sur les peines plus amplement portées audit Privilège.
Acheué d’imprimer pour la premiere fois le 3.	Achevé d'imprimer pour la première fois le 3.
Fevrier 1654.	Février 1654.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
THERSANDRE.	THÉRSANDRE.
THIMANTE.	THIMANTE.
CLIDAMANT.	CLIDAMANT.
PHILINTE.	PHILINTE.
a laten la Me	à laten la Me
DIANE.	DIANE.
PARTHENIE.	PARTHENIE.
ISMENE.	ISMENE.
FELICIE.	FELICIE.
LA DEESSE.	LA DÉESSE.
La Scene eſt dans l’Iſte d’Erithrée en Portugal.	La Scène est dans l'Iste d'Erithrée en Portugal.
LES CHARMES DE FELICIE TIRE'S DE LA DIANE DE MONTEMAIOR.	LES CHARMES DE FELICIE TIRE'S DE LA NE DE DONTEMAIOR.
PASTORALE.	PASTORALE.
ACTE I SCEND I.	ACTE I CEND I.
FABRICE.	FABRICE.
PHILINTE.	PHILINTE.
FABRICE.	FABRICE.
I vous voulez mander quelque cloſe à Seuille, Demain pour la reuoir ie partiray de l'iſte.	I vous voulez mander quelque close à Seuille, Demain pour la revoir avoir partirai de l'iste.
PHILINTE.	PHILINTE.
Pouuez vous bien partir & quitter noſtre bord, Sans auoir veu la Nymphe, & ſans ſon paſſe-port.	Pouvez -vous bien partir et quitter notre bord, Sans avoir vu la Nymphe, et sans son passe-port.
FABRICE.	FABRICE.
Non.	Non.
ie dois aujourd’huy luy porter ma caſſette, Et ſi toſt que la Nymphe aura fait ſon emplette, N’ayant plus rien à vendre aux Bergers de ſa Cour, Elle m’accordera, le conge du tetour.	Ne dois aujourd'hui lui porter ma cassette, Et si tôt que la Nymphe aura fait son emplette, N'ayant plus rien à vendre aux Bergers de sa Cour, Elle m'accordera, le congé du tetour.
PHILINTE.	PHILINTE.
Auez vous bien vendu?	Avez -vous bien vendu?
FABRICE.	FABRICE.
Que ſeruiroit de feindre.	Que servirait de feindre.
Le cômerce va bien, i’aurois tort de m’en plaindre, I’ay vendu des portraits, des diamans de prix, Quantité de corail, de perles, d’ambre gris, La Feſte de Uiane eſt touſiours ſolemnelle, Et comme tous les ans les leux qu’on renouuelle, Appellent en ces bois les Bergers d’aleutour, Pour dilputer les prix qu’on propoſe en ce iour :	Le cômerce va bien, j'aurais tort de m'en plaindre, J'ai vendu des portraits, des diamants de prix, Quantité de corail, de perles, d'ambre gris, La Fête de Uiane est toujours solennelle, Et comme tous les ans les leux qu'on renouvelle, Appellent en ces bois les Bergers d'aleutour, Pour dilputer les prix qu'on propose en ce jour :
Ie n’y viens point ſans voit pour la gloire de l’Iſle, Quelques nouueaux Bergers en cét illuſtre aſile.	Je n'y viens point sans voit pour la gloire de l'Île, Quelques nouveaux Bergers en cet illustre asile.
PHILINTE.	PHILINTE.
