A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
Chez (ANTHUINE de SOMMAVILLE.	Chez (ANTHUINE de SOMAVILLE.
& au Palais 2 ANDRE SOVBRON.	et au Palais 2 ANDRÉ SOUBRON.
J	J
M.	M.
DC.	DC.
XXXI.	XXXI.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
Source gallica.	Source galica.
bnt fr ( Bibliothèque nationale de France	bnt fr ( Bibliothèque nationale de France
Quand ie conſidere le ſouuerain degre d’honneur & de, cloire auquel voſire Majeſté ſe void eſleuee:	Quand ie considère le souverain degre d'honneur et de, cloire auquel vos Majesté se voit élève:
Zr elle regne par tout, ſoit par elie meſme où ſoit par ceux qu'elle a mis au monde;	Zr elle règne par tout, soit par elie même où soit par ceux qu'elle a mis au monde;
& qu’elle a fait de tout l’Vniuers vne prouince.	et qu'elle a fait de tout l'Univers une province.
Quand ie conſidere encore cette majeſté royale, qui luy eſt ſi propre, & ſi naturelle, qu'el	Quand ici considère encore cette majesté royale, qui lui est si propre, et si naturelle, qu'elle
A LA MERE .	À LA MERE .
ms3-82- 8 RETNE DV ROY.	ms3-82- 8 RETNE DU ROY.
ADAME, le n’eſt pas moins eſclatante en ſa perſonne, qu’en ſa dignité.	ADAME, le n'est pas moins éclatante en sa personne, qu'en sa dignité.
Ie me tiens, Madame, dans vn certain reſpect, qui ce me ſemble, ſe rend beaucoup mieux avoſtre Maieſté par le ſilẽce, que par la parolle.	Je me tiens, Madame, dans un certain respect, qui ce me semble, se rend beaucoup mieux avotre Majesté par le silience, que par la parole.
Mais quand ie voy que ſat bonté n'eſt pas moindre que ſa grandeur;	Mais quand ici vois que sat bonté n'est pas moindre que sa grandeur;
& qu’elle attire de telle ſorte les vœux & les hommages;	et qu'elle attire de telle sorte les vœux et les hommages;
que les grands y les petits croyent eſgalement que toutes choſes luy ſont deues.	que les grands y les petits croient également que toutes choses lui ont devez.
Cela, Madame, me donne la hardieſſe d’offrir à voſtre Maieſté ceſte Paſtorale, qui n’eſt faitte que pour elle, et que toutes ſortes de conſiderations rendent ſienne.	Cela, Madame, me donne la hardiesse d'offrir à votre Majesté cette Pastorale, qui n'est faitte que pour elle, et que toutes sortes de considérations rendent sienne.
La mere des dieux eſtoit particulierement adoree en la Scene que i'ay choiſie:	La mère des dieux était particulièrement adorée en la Scène que j'ai choisie:
Et les rares qualitez d’Amaranthe repreſentent quelque ombre de celles de voſtre Majeſté.	Et les rares qualités d'Amaranthe représentent quelque ombre de celles de votre Majesté.
Si l’on peut repreſentervne ombre des choſes qui n'en ont point, & qui ne ſont que gloire & que lumiere.	Si l'on peut représenterve ombre des choses qui n'en ont point, et qui ne sont que gloire et que lumière.
En quoy, ie n'ay point d’autre deſſein, que d’ajouſter vne voix à ſarenommee;	En quoi, je n'ai point d'autre dessein, que d'ajouter une voix à sarenommee;
9 de contribuer à ſon contentemen tout ce que peut MADAME,	9 de contribuer à son contentemen tout ce que peut MADAME,
Son tres-humble tres-obeïſſant & tres-fidelle ſujet & ſeruiteur.	Son très-humble très-obeïssant et très-fidelle sujet et serviteur.
GOMBAVLD La 2y.	GOMBAVLD La 2i.
AR Grace & priuilegede ſa Majeſté donnec à S.	AR Grâce et privilège sa Majesté donnec à S.
Germain en Laye le 3.	Germain en Laye le 3.
Iuillet 1631.	Juillet 1631.
B ſigné Conrard & ſeellé du grand Seau, il eſt permis à Anthoine de Sommauille marchand Libraire à Paris, d’Imprimer vendre & diſtribuer vn liure intitulé, L'AMARANTHE DE GOMBAVLD, PASTORALE, pendant le temps de ſix ans entiers, auec deffences à tous autres Libraires, & Imptimeurs, de l’Imprimer, uy faire Imprimer, vendre ny en debiter d’autre impreſſion que de celle qu’aura faict ou ſaict faire ledict de Sõmauille à peine de confiſcation des exemplaires contrefaicts & de quinze cens liures d’amende, deſpens dommages & intereſts,veulant ſadice Maieſté qu’en mettant le preſent cacedice da comencamoud ouim cmoe nure, il ſoit tenu pour deuëment ſigniſié à tous qu’il appactiendra ainſi qu’il eſt plus au long porté par ledict priuilege.	B signé Conrard et seellé du grand Seau, il est permis à Antoine de Sommaville marchand Libraire à Paris, d'Imprimer vendre et distribuer un livre intitulé, L'AMARANTHE DE GOMBAULD, PASTORALE, pendant le temps de six ans entiers, était défenses à tous autres Libraires, et Imptimeurs, de Imprimer, faire Imprimer, vendre ni en débiter autre impression que de celle aura faict ou y faire ledict de Me peine de confiscation des exemplaires contrefaicts et de quinze cens liures amende, de dommages ' Y,veulant sadice m en mettant le pr y me ouim cmoe nure, il soit tenu pour deuëment signisié tous il appactiendra ainsi il est plus au long porté par ledict priuilege.
Ledict de Sommauille a aſſocié auec luy François Pomeray marchand.	Ledict de Sommauille a associé avec lui Français Pomerai marchand.
Libraire à Paris, pour iouyr de la moitié du priuilege cy deſſus datté & de tous les droiers à luy corscsez pal la Maiene, & pour le temp3 contenu en iceluy, ainſi qu’il eſt accordé entre eux.	Libraire à Paris, pour jouir de la moitié du privilège cy dessus daté et de tous les droits à lui Norscsez pal la Majène, et pour le temp3 contenu en icelui, ainsi qu'il est accordé entre eux.
Acheué d’imprimer, le douzieſme Iuillet, 1631.	Achevé d'imprimer, le douzième Juillet, 1631.
Fautes ſuruenues en l’impreßion.	Fautes survenues en l'impression.
Pag.	Pag.
3.	3.
ces charmes, l.	ces charmes, l.
ſes charmes, p.	ses charmes, p.
82.	82.
eninnocence I.	eninnocence I.
en innocẽce, p.	en innocence, p.
9o.	9o.
ſuccede mes, l.	succède mes, l.
ſuccede à mes & p.	succède à mes et p.
1o9 la ſouhaite, l.	19 la souhaite, l.
le ſoubaite.	le soubaite.
p.	p.
116.	116.
Que dis tu Alexis, I.	Que dis tu Alexis, I.
que dis tu d’Alexis.	que dis -tu d'Alexis.
p.	p.
139.	139.
Eefers, l.	Eefers, l.
Enfers, p.	Enfers, p.
14o.	14o.
Mopſé, I, Mepſe,	Mopsé, I, Mépepse,
AVIE VRS.	AUIE VRS.
